Œroda,23,Wrzesieñ,2026,16:33:36:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.31,800,93.0,9.4,10111111,0.61,800,26.7,4.12,418.2,0.01,0.0,0.0, , 
,1.20,768,93.0,9.4,10111111,1.51,800,28.2,4.12,418.2,0.91,0.0,0.0, , 
,2.09,768,93.0,9.8,10111111,2.40,800,28.2,4.12,418.2,1.80,0.0,0.0, , 
,2.98,800,93.0,9.8,10111111,3.28,800,28.2,4.12,418.2,2.68,0.0,0.0, , 
,3.89,768,93.0,9.8,10111111,4.18,800,26.7,4.12,418.2,3.59,0.0,0.0, , 
,4.78,800,93.0,9.8,10111111,5.08,768,28.2,4.12,418.2,4.48,0.0,0.0, , 
,5.67,800,93.0,10.2,10111111,5.97,768,28.2,4.12,418.2,5.38,0.0,0.0, , 
,6.58,800,93.0,10.2,10111111,6.89,768,26.7,4.12,418.2,6.28,0.0,0.0, , 
,7.48,800,93.0,10.2,10111111,7.80,800,28.2,4.12,418.2,7.19,0.0,0.0, , 
,8.36,800,93.0,9.8,10111111,8.66,800,28.2,4.12,418.2,8.08,0.0,0.0, , 
,9.27,768,94.5,9.4,10111111,9.57,800,28.2,4.12,418.2,8.97,0.0,0.0, , 
,10.17,768,94.5,9.4,10111111,10.47,768,28.2,4.12,418.2,9.87,0.0,0.0, , 
,11.09,768,94.5,9.4,10111111,11.40,800,29.4,4.12,438.6,10.79,0.0,0.0, , 
,12.02,800,94.5,10.5,10111111,12.33,768,28.2,4.12,418.2,11.72,0.0,0.0, , 
,12.93,800,94.5,10.2,10111111,13.23,800,29.4,4.12,418.2,12.63,0.0,0.0, , 
,13.86,768,94.5,9.4,10111111,14.17,768,29.4,4.12,418.2,13.55,0.0,0.0, , 
,14.74,768,94.5,9.4,10111111,15.03,800,29.4,4.12,418.2,14.45,0.0,0.0, , 
,15.62,800,94.5,8.6,10111111,15.92,800,29.4,4.12,418.2,15.33,0.0,0.0, , 
,16.53,800,94.5,8.6,10111111,16.82,800,29.4,4.12,418.2,16.22,0.0,0.0, , 
,17.42,800,94.5,8.6,10111111,17.72,800,29.4,4.12,418.2,17.12,0.0,0.0, , 
,18.31,800,94.5,8.2,10111111,18.62,800,28.2,4.12,418.2,18.01,0.0,0.0, , 
,19.21,768,94.5,7.8,10111111,19.52,800,29.4,4.12,418.2,18.92,0.0,0.0, , 
,20.11,800,94.5,7.4,10111111,20.41,800,29.4,4.12,418.2,19.82,0.0,0.0, , 
,21.01,800,94.5,7.4,10111111,21.31,768,28.2,4.12,418.2,20.70,0.0,0.0, , 
,21.91,768,94.5,7.0,10111111,22.22,800,28.2,4.12,418.2,21.61,0.0,0.0, , 
,22.82,800,94.5,7.0,10111111,23.11,800,28.2,4.12,418.2,22.51,0.0,0.0, , 
,23.72,768,94.5,7.4,10111111,24.03,768,29.4,4.12,418.2,23.41,0.0,0.0, , 
,24.63,800,94.5,7.8,10111111,24.93,768,28.2,4.12,418.2,24.33,0.0,0.0, , 
,25.55,768,94.5,7.8,10111111,25.85,800,28.2,4.12,418.2,25.23,0.0,0.0, , 
,26.43,768,94.5,7.8,10111111,26.73,800,29.4,4.12,418.2,26.14,0.0,0.0, , 
,27.33,800,94.5,7.8,10111111,27.63,800,28.2,4.12,418.2,27.03,0.0,0.0, , 
,28.22,800,94.5,8.6,10111111,28.52,800,28.2,4.12,418.2,27.92,0.0,0.0, , 
,29.11,800,94.5,9.0,10111111,29.41,800,28.2,4.12,418.2,28.82,0.0,0.0, , 
,30.00,768,94.5,9.4,10111111,30.31,768,28.2,4.12,418.2,29.70,0.0,0.0, , 
,30.91,768,94.5,9.0,10111111,31.20,768,28.2,4.12,418.2,30.61,0.0,0.0, , 
,31.80,768,94.5,7.8,10111111,32.09,768,28.2,4.12,418.2,31.50,0.0,0.0, , 
,32.70,768,94.5,7.8,10111111,33.01,800,28.2,4.12,418.2,32.40,0.0,0.0, , 
,33.61,768,94.5,8.2,10111111,33.91,800,28.2,4.12,418.2,33.31,0.0,0.0, , 
,34.53,800,94.5,8.2,10111111,34.84,800,28.2,4.12,418.2,34.22,0.0,0.0, , 
,35.43,768,94.5,8.2,10111111,35.73,768,28.2,4.12,418.2,35.13,0.0,0.0, , 
,36.35,800,94.5,8.2,10111111,36.64,800,26.7,4.12,397.8,36.04,0.0,0.0, , 
,37.24,800,93.0,7.4,10111111,37.54,768,26.7,4.12,397.8,36.94,0.0,0.0, , 
,38.14,800,93.0,7.0,10111111,38.44,800,26.7,4.12,397.8,37.85,0.0,0.0, , 
,39.05,768,93.0,7.0,10111111,39.35,800,26.7,4.12,397.8,38.75,0.0,0.0, , 
,39.97,768,93.0,7.4,10111111,40.28,800,26.7,4.12,397.8,39.65,0.0,0.0, , 
,40.89,768,93.0,7.8,10111111,41.18,768,26.7,4.12,397.8,40.58,0.0,0.0, , 
,41.78,768,93.0,7.4,10111111,42.07,800,26.7,4.12,397.8,41.47,0.0,0.0, , 
,42.66,800,93.0,5.9,10111111,42.96,768,26.7,3.09,397.8,42.37,0.0,0.0, , 
,43.56,800,93.0,4.3,10111111,43.87,800,26.7,3.09,397.8,43.27,0.0,0.0, , 
,44.47,800,91.5,2.7,10111111,44.79,800,26.7,3.09,397.8,44.17,0.0,0.0, , 
,45.41,768,91.5,1.6,10111111,45.71,800,26.7,3.09,397.8,45.09,0.0,0.0, , 
,46.31,800,91.5,1.2,10111111,46.61,768,26.7,3.09,397.8,46.01,0.0,0.0, , 
,47.20,800,91.5,1.2,10111111,47.49,768,26.7,3.09,397.8,46.90,0.0,0.0, , 
,48.11,768,91.5,1.6,10111111,48.41,768,26.7,3.09,397.8,47.80,0.0,0.0, , 
,49.01,768,91.5,2.0,10111111,49.33,768,26.7,3.09,397.8,48.71,0.0,0.0, , 
,49.97,768,91.5,2.3,10111111,50.27,800,28.2,4.12,418.2,49.66,0.0,0.0, , 
,50.86,768,91.5,2.3,10111111,51.15,800,26.7,3.09,397.8,50.56,0.0,0.0, , 
,51.74,800,91.5,2.0,10111111,52.05,768,26.7,3.09,397.8,51.45,0.0,0.0, , 
,52.62,800,91.5,2.0,10111111,52.92,768,28.2,4.12,418.2,52.32,0.0,0.0, , 
,53.52,800,91.5,2.0,10111111,53.81,800,28.2,4.12,418.2,53.22,0.0,0.0, , 
,54.42,768,91.5,1.6,10111111,54.72,768,26.7,3.09,397.8,54.12,0.0,0.0, , 
,55.32,768,91.5,1.6,10111111,55.61,800,28.2,3.09,397.8,55.02,0.0,0.0, , 
,56.22,800,91.5,1.2,10111111,56.52,800,28.2,3.09,418.2,55.90,0.0,0.0, , 
,57.10,800,91.5,0.8,10111111,57.39,768,26.7,3.09,397.8,56.82,0.0,0.0, , 
,58.02,800,91.5,0.8,10111111,58.32,768,26.7,3.09,418.2,57.70,0.0,0.0, , 
,58.92,768,91.5,1.2,10111111,59.22,800,26.7,3.09,397.8,58.62,0.0,0.0, , 
,59.82,768,91.5,0.8,10111111,60.11,800,28.2,4.12,418.2,59.51,0.0,0.0, , 
,60.72,768,91.5,1.2,10111111,61.02,800,28.2,4.12,418.2,60.42,0.0,0.0, , 
,61.60,800,91.5,1.2,10111111,61.89,768,26.7,3.09,397.8,61.30,0.0,0.0, , 
,62.49,768,91.5,1.2,10111111,62.78,800,26.7,3.09,397.8,62.19,0.0,0.0, , 
,63.38,800,91.5,1.2,10111111,63.67,768,26.7,3.09,397.8,63.08,0.0,0.0, , 
,64.26,800,91.5,1.2,10111111,64.57,800,26.7,3.09,397.8,63.97,0.0,0.0, , 
,65.14,800,91.5,1.6,10111111,65.45,768,26.7,3.09,418.2,64.85,0.0,0.0, , 
,66.06,800,91.5,1.2,10111111,66.36,768,26.7,3.09,397.8,65.76,0.0,0.0, , 
,66.96,800,91.5,1.6,10111111,67.25,768,26.7,3.09,397.8,66.66,0.0,0.0, , 
,67.84,768,91.5,1.6,10111111,68.13,800,26.7,4.12,418.2,67.54,0.0,0.0, , 
,68.73,768,91.5,1.6,10111111,69.03,800,26.7,3.09,418.2,68.43,0.0,0.0, , 
,69.64,768,91.5,1.6,10111111,69.95,800,26.7,3.09,397.8,69.35,0.0,0.0, , 
,70.56,768,91.5,1.6,10111111,70.86,800,26.7,3.09,397.8,70.25,0.0,0.0, , 
,71.45,800,91.5,2.0,10111111,71.77,800,26.7,3.09,397.8,71.16,0.0,0.0, , 
,72.35,768,91.5,1.6,10111111,72.65,800,26.7,3.09,397.8,72.06,0.0,0.0, , 
,73.23,800,91.5,2.0,10111111,73.52,800,26.7,3.09,397.8,72.94,0.0,0.0, , 
,74.11,800,91.5,2.0,10111111,74.42,800,26.7,3.09,397.8,73.81,0.0,0.0, , 
,75.02,800,91.5,2.0,10111111,75.33,768,26.7,3.09,397.8,74.73,0.0,0.0, , 
,75.92,800,93.0,2.0,10111111,76.22,800,26.7,3.09,397.8,75.63,0.0,0.0, , 
,76.82,768,93.0,1.6,10111111,77.11,768,26.7,3.09,397.8,76.52,0.0,0.0, , 
,77.71,800,93.0,1.6,10111111,78.00,768,26.7,3.09,418.2,77.41,0.0,0.0, , 
,78.59,768,93.0,2.0,10111111,78.89,768,26.7,3.09,418.2,78.30,0.0,0.0, , 
,79.47,768,93.0,2.3,10111111,79.77,768,28.2,4.12,418.2,79.18,0.0,0.0, , 
,80.36,800,93.0,3.1,10111111,80.67,800,28.2,4.12,418.2,80.07,0.0,0.0, , 
,81.26,800,93.0,3.5,10111111,81.56,800,26.7,4.12,418.2,80.97,0.0,0.0, , 
,82.15,800,93.0,3.5,10111111,82.45,768,28.2,4.12,418.2,81.85,0.0,0.0, , 
,83.07,768,93.0,3.5,10111111,83.36,800,26.7,4.12,418.2,82.75,0.0,0.0, , 
,83.97,800,93.0,3.9,10111111,84.27,800,26.7,4.12,397.8,83.65,0.0,0.0, , 
,84.86,800,93.0,3.5,10111111,85.15,800,26.7,3.09,397.8,84.56,0.0,0.0, , 
,85.74,768,93.0,3.5,10111111,86.05,800,26.7,4.12,418.2,85.44,0.0,0.0, , 
,86.67,800,93.0,4.3,10111111,86.96,768,28.2,4.12,418.2,86.35,0.0,0.0, , 
,87.55,800,94.5,4.7,10111111,87.84,800,26.7,4.12,418.2,87.25,0.0,0.0, , 
,88.46,768,93.0,4.7,10111111,88.75,800,28.2,4.12,418.2,88.14,0.0,0.0, , 
,89.36,800,94.5,4.7,10111111,89.67,768,26.7,4.12,418.2,89.06,0.0,0.0, , 
,90.28,800,94.5,5.1,10111111,90.58,768,26.7,4.12,397.8,89.98,0.0,0.0, , 
,91.20,800,94.5,4.7,10111111,91.50,768,26.7,4.12,397.8,90.89,0.0,0.0, , 
,92.12,800,94.5,4.3,10111111,92.42,800,26.7,3.09,397.8,91.82,0.0,0.0, , 
,93.03,768,94.5,3.9,10111111,93.33,768,26.7,3.09,418.2,92.74,0.0,0.0, , 
,93.93,800,94.5,3.9,10111111,94.23,800,28.2,4.12,418.2,93.63,0.0,0.0, , 
,94.83,800,94.5,3.5,10111111,95.13,800,26.7,4.12,397.8,94.53,0.0,0.0, , 
,95.76,768,94.5,3.5,10111111,96.06,768,28.2,4.12,418.2,95.44,0.0,0.0, , 
,96.66,800,94.5,3.5,10111111,96.96,768,28.2,4.12,418.2,96.36,0.0,0.0, , 
,97.56,768,94.5,3.5,10111111,97.86,768,28.2,4.12,418.2,97.27,0.0,0.0, , 
,98.47,768,94.5,3.9,10111111,98.77,800,29.4,4.12,438.6,98.17,0.0,0.0, , 
,99.36,800,94.5,5.1,10111111,99.65,800,28.2,4.12,418.2,99.06,0.0,0.0, , 
,100.22,768,94.5,4.7,10111111,100.52,800,29.4,4.12,438.6,99.93,0.0,0.0, , 
,101.11,800,94.5,4.7,10111111,101.41,800,29.4,4.12,418.2,100.82,0.0,0.0, , 
,102.01,768,94.5,4.3,10111111,102.29,768,28.2,4.12,418.2,101.72,0.0,0.0, , 
,102.89,768,94.5,4.7,10111111,103.19,768,28.2,4.12,418.2,102.60,0.0,0.0, , 
,103.80,768,94.5,4.7,10111111,104.09,768,29.4,4.12,438.6,103.50,0.0,0.0, , 
,104.69,768,94.5,4.3,10111111,104.98,768,29.4,4.12,438.6,104.39,0.0,0.0, , 
,105.58,800,94.5,3.9,10111111,105.88,768,29.4,4.12,418.2,105.28,0.0,0.0, , 
,106.48,768,94.5,3.9,10111111,106.78,768,29.4,4.12,438.6,106.18,0.0,0.0, , 
,107.37,768,94.5,3.5,10111111,107.66,768,29.4,4.12,438.6,107.08,0.0,0.0, , 
,108.25,800,94.5,3.5,10111111,108.55,768,29.4,4.12,418.2,107.95,0.0,0.0, , 
,109.15,768,94.5,3.9,10111111,109.45,800,29.4,4.12,438.6,108.85,0.0,0.0, , 
,110.04,800,96.0,3.5,10111111,110.32,800,29.4,4.12,418.2,109.74,0.0,0.0, , 
,110.92,800,96.0,2.7,10111111,111.23,800,28.2,4.12,418.2,110.61,0.0,0.0, , 
,111.84,800,96.0,2.3,10111111,112.14,800,29.4,4.12,418.2,111.54,0.0,0.0, , 
,112.75,768,96.0,2.3,10111111,113.04,768,29.4,4.12,438.6,112.45,0.0,0.0, , 
,113.68,768,96.0,2.3,10111111,113.98,768,29.4,4.12,438.6,113.36,0.0,0.0, , 
,114.55,800,96.0,2.3,10111111,114.85,768,29.4,4.12,438.6,114.26,0.0,0.0, , 
,115.45,800,96.0,2.3,10111111,115.75,800,29.4,4.12,438.6,115.16,0.0,0.0, , 
,116.35,768,96.0,2.0,10111111,116.66,800,29.4,4.12,438.6,116.05,0.0,0.0, , 
,117.23,768,96.0,2.0,10111111,117.53,800,29.4,4.12,438.6,116.95,0.0,0.0, , 
,118.11,768,94.5,2.0,10111111,118.41,800,29.4,4.12,438.6,117.82,0.0,0.0, , 
,119.05,800,94.5,2.0,10111111,119.35,800,29.4,4.12,438.6,118.73,0.0,0.0, , 
,119.96,768,94.5,1.6,10111111,120.26,800,29.4,4.12,438.6,119.65,0.0,0.0, , 
,120.85,800,94.5,2.0,10111111,121.14,800,29.4,4.12,418.2,120.55,0.0,0.0, , 
,121.76,800,94.5,2.3,10111111,122.07,768,29.4,4.12,418.2,121.45,0.0,0.0, , 
,122.66,800,94.5,3.1,10111111,122.96,768,29.4,4.12,418.2,122.36,0.0,0.0, , 
,123.59,800,94.5,3.1,10111111,123.89,800,28.2,4.12,418.2,123.26,0.0,0.0, , 
,124.49,800,94.5,3.5,10111111,124.78,768,26.7,4.12,397.8,124.19,0.0,0.0, , 
,125.39,800,94.5,2.7,10111111,125.69,768,26.7,3.09,418.2,125.09,0.0,0.0, , 
,126.28,800,94.5,2.3,10111111,126.58,800,26.7,3.09,418.2,125.98,0.0,0.0, , 
,127.17,768,94.5,2.3,10111111,127.47,800,26.7,3.09,418.2,126.87,0.0,0.0, , 
,128.08,800,94.5,2.3,10111111,128.39,800,26.7,3.09,418.2,127.78,0.0,0.0, , 
,129.00,800,93.0,2.0,10111111,129.30,768,28.2,3.09,418.2,128.70,0.0,0.0, , 
,129.89,800,93.0,2.0,10111111,130.19,768,26.7,4.12,418.2,129.60,0.0,0.0, , 
,130.80,768,93.0,2.3,10111111,131.09,768,26.7,4.12,418.2,130.50,0.0,0.0, , 
,131.69,768,93.0,2.3,10111111,131.99,768,29.4,4.12,418.2,131.39,0.0,0.0, , 
,132.58,800,93.0,2.7,10111111,132.88,768,29.4,4.12,438.6,132.28,0.0,0.0, , 
,133.48,768,93.0,3.5,10111111,133.77,768,29.4,4.12,438.6,133.18,0.0,0.0, , 
,134.37,768,93.0,3.9,10111111,134.67,768,29.4,4.12,438.6,134.07,0.0,0.0, , 
,135.28,768,93.0,3.9,10111111,135.58,768,29.4,4.12,438.6,134.97,0.0,0.0, , 
,136.17,768,93.0,3.5,10111111,136.46,768,29.4,4.12,438.6,135.88,0.0,0.0, , 
,137.06,768,91.5,3.5,10111111,137.35,800,29.4,4.12,438.6,136.76,0.0,0.0, , 
,137.95,768,93.0,3.9,10111111,138.26,768,31.0,4.12,438.6,137.64,0.0,0.0, , 
,138.86,768,91.5,3.9,10111111,139.15,768,29.4,4.12,438.6,138.56,0.0,0.0, , 
,139.75,800,91.5,4.3,10111111,140.05,800,29.4,4.12,438.6,139.45,0.0,0.0, , 
,140.64,800,91.5,4.7,10111111,140.96,800,29.4,4.12,438.6,140.34,0.0,0.0, , 
,141.56,800,91.5,4.7,10111111,141.87,800,29.4,4.12,438.6,141.26,0.0,0.0, , 
,142.49,800,91.5,4.7,10111111,142.81,768,29.4,4.12,438.6,142.19,0.0,0.0, , 
,143.43,768,91.5,4.3,10111111,143.73,768,29.4,4.12,438.6,143.12,0.0,0.0, , 
,144.33,800,91.5,4.3,10111111,144.63,800,29.4,4.12,438.6,144.03,0.0,0.0, , 
,145.22,800,91.5,4.3,10111111,145.52,800,29.4,4.12,438.6,144.92,0.0,0.0, , 
,146.12,800,91.5,4.7,10111111,146.43,768,29.4,4.12,438.6,145.82,0.0,0.0, , 
,147.03,800,91.5,4.7,10111111,147.33,768,29.4,4.12,438.6,146.72,0.0,0.0, , 
,147.92,768,91.5,4.7,10111111,148.22,768,31.0,4.12,438.6,147.63,0.0,0.0, , 
,148.82,768,91.5,5.1,10111111,149.11,800,29.4,4.12,438.6,148.52,0.0,0.0, , 
,149.70,800,91.5,5.5,10111111,150.02,800,29.4,4.12,438.6,149.41,0.0,0.0, , 
,150.62,800,91.5,5.5,10111111,150.93,800,29.4,4.12,438.6,150.32,0.0,0.0, , 
,151.53,800,91.5,5.5,10111111,151.82,800,29.4,4.12,438.6,151.23,0.0,0.0, , 
,152.42,800,91.5,5.9,10111111,152.72,800,29.4,4.12,438.6,152.12,0.0,0.0, , 
,153.31,800,91.5,6.6,10111111,153.61,800,29.4,4.12,438.6,153.02,0.0,0.0, , 
,154.20,800,93.0,7.4,10111111,154.51,800,29.4,4.12,438.6,153.91,0.0,0.0, , 
,155.10,768,93.0,7.8,10111111,155.41,768,29.4,4.12,438.6,154.82,0.0,0.0, , 
,156.00,800,93.0,8.2,10111111,156.30,800,29.4,4.12,438.6,155.70,0.0,0.0, , 
,156.91,768,93.0,7.8,10111111,157.21,800,29.4,4.12,438.6,156.61,0.0,0.0, , 
,157.82,768,93.0,7.4,10111111,158.11,768,29.4,4.12,438.6,157.51,0.0,0.0, , 
,158.71,800,93.0,7.4,10111111,159.01,768,29.4,4.12,438.6,158.41,0.0,0.0, , 
,159.61,768,93.0,7.0,10111111,159.91,768,29.4,4.12,438.6,159.32,0.0,0.0, , 
,160.50,768,93.0,7.0,10111111,160.80,768,29.4,4.12,438.6,160.21,0.0,0.0, , 
,161.39,768,93.0,7.0,10111111,161.70,800,29.4,4.12,438.6,161.10,0.0,0.0, , 
,162.30,800,93.0,6.6,10111111,162.59,800,29.4,4.12,438.6,162.00,0.0,0.0, , 
,163.22,768,93.0,6.6,10111111,163.51,800,29.4,4.12,438.6,162.91,0.0,0.0, , 
,164.11,800,93.0,6.6,10111111,164.41,800,29.4,4.12,438.6,163.81,0.0,0.0, , 
,164.99,768,93.0,6.6,10111111,165.29,768,29.4,4.12,438.6,164.70,0.0,0.0, , 
,165.89,768,93.0,6.3,10111111,166.19,800,29.4,4.12,438.6,165.58,0.0,0.0, , 
,166.80,800,93.0,6.3,10111111,167.10,768,29.4,4.12,438.6,166.50,0.0,0.0, , 
,167.66,768,94.5,6.3,10111111,167.96,768,29.4,4.12,438.6,167.38,0.0,0.0, , 
,168.57,768,94.5,6.3,10111111,168.87,768,29.4,4.12,438.6,168.26,0.0,0.0, , 
,169.45,768,94.5,6.3,10111111,169.77,800,29.4,4.12,438.6,169.16,0.0,0.0, , 
,170.36,768,94.5,6.3,10111111,170.66,768,29.4,4.12,438.6,170.07,0.0,0.0, , 
,171.25,768,94.5,6.3,10111111,171.55,768,29.4,4.12,438.6,170.96,0.0,0.0, , 
,172.13,800,94.5,6.3,10111111,172.42,800,29.4,4.12,438.6,171.85,0.0,0.0, , 
,173.04,800,94.5,5.9,10111111,173.33,800,29.4,4.12,418.2,172.73,0.0,0.0, , 
,173.92,800,94.5,5.1,10111111,174.23,800,29.4,4.12,438.6,173.62,0.0,0.0, , 
,174.85,800,94.5,3.9,10111111,175.15,800,28.2,4.12,418.2,174.56,0.0,0.0, , 
,175.76,768,94.5,3.1,10111111,176.07,800,29.4,4.12,418.2,175.45,0.0,0.0, , 
,176.68,800,94.5,3.1,10111111,176.98,800,28.2,4.12,418.2,176.38,0.0,0.0, , 
,177.60,768,94.5,3.1,10111111,177.88,800,28.2,4.12,418.2,177.30,0.0,0.0, , 
,178.47,800,94.5,3.1,10111111,178.76,800,28.2,4.12,418.2,178.17,0.0,0.0, , 
,179.35,768,94.5,3.1,10111111,179.63,800,28.2,4.12,418.2,179.05,0.0,0.0, , 
,180.22,800,94.5,3.5,10111111,180.51,768,28.2,4.12,418.2,179.92,0.0,0.0, , 
,181.13,768,94.5,3.5,10111111,181.41,768,29.4,4.12,418.2,180.82,0.0,0.0, , 
,182.01,768,94.5,3.9,10111111,182.32,768,28.2,4.12,418.2,181.71,0.0,0.0, , 
,182.89,800,94.5,4.7,10111111,183.19,800,29.4,4.12,418.2,182.60,0.0,0.0, , 
,183.79,800,94.5,4.7,10111111,184.09,800,29.4,4.12,438.6,183.49,0.0,0.0, , 
,184.68,800,94.5,4.7,10111111,184.97,800,29.4,4.12,418.2,184.39,0.0,0.0, , 
,185.57,800,96.0,4.7,10111111,185.86,800,29.4,4.12,418.2,185.27,0.0,0.0, , 
,186.45,800,96.0,4.3,10111111,186.75,800,29.4,4.12,418.2,186.15,0.0,0.0, , 
,187.37,800,96.0,3.9,10111111,187.68,800,31.0,4.12,438.6,187.06,0.0,0.0, , 
,188.34,1152,96.0,7.0,10101011,188.66,1344,25.1,3.09,357.0,188.01,0.0,0.0, , 
,189.41,1568,97.5,4.3,10101011,189.74,1568,20.8,3.09,316.2,189.04,0.0,0.0, , 
,190.41,1600,96.0,3.5,10101011,190.78,1696,25.1,3.09,357.0,190.07,0.0,0.0, , 
,191.52,1920,96.0,1.6,10101011,191.88,1888,19.2,2.06,295.8,191.15,0.0,0.0, , 
,192.59,1856,96.0,0.8,10101011,192.96,1856,22.0,3.09,316.2,192.22,0.0,0.0, , 
,193.68,1888,96.0,2.0,10101011,194.04,1888,20.8,3.09,316.2,193.32,0.0,0.0, , 
,194.78,1952,96.0,1.6,10101011,195.14,1984,19.2,3.09,295.8,194.42,0.0,0.0, , 
,195.87,1952,96.0,-0.4,10101011,196.24,1952,22.0,3.09,316.2,195.50,0.0,0.0, , 
,196.94,1984,94.5,0.0,10101001,197.30,1984,20.8,3.09,295.8,196.60,0.0,0.0, , 
,198.00,1984,94.5,-1.2,10101011,198.36,1952,20.8,2.06,295.8,197.65,0.0,0.0, , 
,199.09,1984,94.5,-1.6,10101011,199.46,1984,20.8,3.09,295.8,198.74,0.0,0.0, , 
,200.17,1984,94.5,-2.3,10101011,200.54,1952,20.8,2.06,295.8,199.81,0.0,0.0, , 
,201.29,1952,94.5,0.8,10101011,201.64,1984,20.8,2.06,295.8,200.90,0.0,0.0, , 
,202.37,1984,94.5,0.4,10101011,202.73,1984,20.8,3.09,295.8,202.02,0.0,0.0, , 
,203.47,1984,94.5,-0.8,10101011,203.83,1984,20.8,2.06,295.8,203.10,0.0,0.0, , 
,204.55,1984,94.5,-1.2,10101001,204.91,1984,20.8,2.06,295.8,204.19,0.0,0.0, , 
,205.62,1984,94.5,-1.6,10101011,205.98,1984,20.8,2.06,295.8,205.27,0.0,0.0, , 
,206.70,1984,94.5,-3.1,10101011,207.07,1984,20.8,2.06,295.8,206.35,0.0,0.0, , 
,207.80,1984,94.5,0.8,10101011,208.16,1984,20.8,2.06,295.8,207.42,0.0,0.0, , 
,208.86,1984,93.0,-0.8,10101011,209.22,1984,20.8,2.06,295.8,208.50,0.0,0.0, , 
,209.96,1984,93.0,-2.0,10101001,210.32,1696,0.0,0.00,295.8,209.58,0.0,0.0, , 
,210.93,928,93.0,0.0,10111111,211.29,960,28.2,4.12,397.8,210.62,0.0,0.0, , 
,211.88,832,93.0,0.0,10111111,212.17,800,26.7,3.09,397.8,211.58,0.0,0.0, , 
,212.74,768,93.0,0.0,10111111,213.03,800,29.4,3.09,438.6,212.47,0.0,0.0, , 
