Poniedziałek,24,Sierpień,2026,06:33:49:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,0,16.5,0.0,10110110,0.27,0,0.0,0.00,989.4,0.53,0.0,1.48, , 
,0.81,0,16.5,0.0,10110110,1.09,0,0.0,0.00,989.4,1.37,0.0,1.48, , 
,1.65,0,16.5,0.0,10110110,1.92,0,0.0,0.00,989.4,2.20,0.0,1.48, , 
,2.47,0,16.5,0.0,10110110,2.74,0,0.0,0.00,989.4,3.01,0.0,1.48, , 
,3.27,0,16.5,0.0,10110110,3.54,0,0.0,0.00,989.4,3.80,0.0,1.48, , 
,4.07,0,16.5,0.0,10110110,4.33,0,0.0,0.00,989.4,4.60,0.0,1.48, , 
,4.86,0,16.5,0.0,10110110,5.13,0,0.0,0.00,989.4,5.40,0.0,1.48, , 
,5.66,0,16.5,0.0,10110110,5.93,0,0.0,0.00,989.4,6.20,0.0,1.48, , 
,6.47,0,16.5,0.0,10110110,6.74,0,0.0,0.00,989.4,7.01,0.0,1.48, , 
,7.27,0,16.5,0.0,10110110,7.54,0,0.0,0.00,989.4,7.80,0.0,1.48, , 
,8.07,0,16.5,0.0,10110110,8.33,0,0.0,0.00,989.4,8.60,0.0,1.48, , 
,8.86,0,16.5,0.0,10110110,9.13,0,0.0,0.00,989.4,9.40,0.0,1.48, , 
,9.66,0,16.5,0.0,10110110,9.93,0,0.0,0.00,989.4,10.19,0.0,1.48, , 
,10.46,0,16.5,0.0,10110110,10.73,192,97.3,81.37,989.4,11.01,0.0,1.48, , 
,11.29,192,15.0,0.0,10110110,11.55,192,100.0,80.34,989.4,11.85,0.0,1.48, , 
,12.17,1248,16.5,0.0,10110110,12.52,1376,59.2,14.42,632.4,12.85,0.0,1.48, , 
,13.17,1280,16.5,0.0,10110110,13.51,1088,45.9,10.30,520.2,13.82,0.0,1.48, , 
,14.12,1024,16.5,0.0,10110110,14.42,1024,48.6,11.33,550.8,14.74,0.0,1.48, , 
,15.05,1024,16.5,0.0,10110110,15.38,1024,48.6,10.30,550.8,15.70,0.0,1.48, , 
,16.02,1024,16.5,0.0,10110110,16.33,1024,48.6,10.30,550.8,16.64,0.0,1.48, , 
,16.96,1024,16.5,0.0,10110110,17.29,1024,47.1,10.30,550.8,17.59,0.0,1.48, , 
,17.93,1024,16.5,0.0,10110110,18.24,1024,45.9,9.27,520.2,18.55,0.0,1.48, , 
,18.86,1024,16.5,0.0,10110110,19.19,1024,45.9,9.27,520.2,19.50,0.0,1.48, , 
,19.81,1024,15.0,0.0,10110110,20.16,1024,44.3,8.24,499.8,20.49,0.0,1.48, , 
,20.80,1024,16.5,0.0,10110110,21.15,1024,44.3,8.24,499.8,21.47,0.0,1.48, , 
,21.76,992,16.5,0.0,10110110,22.10,1024,42.7,8.24,499.8,22.41,0.0,1.48, , 
,22.70,992,16.5,0.0,10110110,23.06,992,42.7,8.24,499.8,23.42,0.0,1.48, , 
,23.74,896,16.5,0.0,10100010,24.07,896,47.1,9.27,550.8,24.38,0.0,1.48, , 
,24.70,1216,16.5,0.0,10100010,25.07,1536,45.9,7.21,499.8,25.45,0.0,1.48, , 
,25.86,1472,16.5,0.0,10100010,26.23,1408,44.3,7.21,499.8,26.56,0.0,1.48, , 
,26.99,1472,16.5,0.0,10100010,27.26,1504,42.7,7.21,479.4,27.58,0.0,1.48, , 
,27.89,1376,16.5,0.0,10100010,28.21,1248,44.3,7.21,499.8,28.49,0.0,1.48, , 
,28.80,1536,16.5,0.0,10110110,29.16,1600,31.0,5.15,377.4,29.56,0.0,1.48, , 
,29.92,1440,16.5,0.0,10110110,30.24,1344,32.5,5.15,397.8,30.54,0.0,1.48, , 
,30.82,1120,16.5,0.0,10110110,31.09,1024,36.9,6.18,438.6,31.42,0.0,1.48, , 
,31.70,992,16.5,0.0,10110110,32.06,960,40.0,6.18,459.0,32.35,0.0,1.48, , 
,32.67,960,16.5,0.0,10110110,33.02,960,38.4,6.18,459.0,33.33,0.0,1.48, , 
,33.66,1184,16.5,0.0,10100010,33.94,1440,45.9,7.21,499.8,34.29,0.0,1.48, , 
,34.62,1344,16.5,0.0,10100010,34.95,1280,47.1,7.21,520.2,35.27,0.0,1.48, , 
,35.59,1152,16.5,0.0,10100010,35.91,1184,51.8,8.24,571.2,36.21,0.0,1.48, , 
,36.56,1440,16.5,0.0,10100010,36.89,1312,38.4,5.15,438.6,37.25,0.0,1.48, , 
,37.64,1376,16.5,0.0,10110110,37.98,1568,31.0,4.12,377.4,38.34,0.0,1.45, , 
,38.71,1440,16.5,0.0,10100010,39.02,1280,35.3,6.18,418.2,39.34,0.0,1.45, , 
,39.64,896,16.5,0.0,10100010,39.91,768,51.8,12.36,571.2,40.19,0.0,1.41, , 
,40.50,672,18.0,0.0,10100010,40.79,704,66.3,12.36,714.0,41.08,0.0,1.33, , 
,41.38,832,18.0,0.0,10100010,41.68,928,50.2,7.21,571.2,41.98,0.0,1.29, , 
,42.31,1024,18.0,0.0,10100010,42.64,1088,45.9,6.18,499.8,42.95,0.0,1.25, , 
,43.30,1216,18.0,0.0,10100010,43.63,1280,45.9,6.18,520.2,43.98,0.0,1.33, , 
,44.41,1440,18.0,0.0,10100010,44.75,1536,48.6,7.21,520.2,45.16,0.0,1.45, , 
,45.51,1792,18.0,0.0,10100010,45.87,1888,48.6,7.21,520.2,46.21,0.0,1.21, , 
,46.56,2048,18.0,0.0,10100000,46.91,2112,26.7,3.09,316.2,47.28,0.0,0.90, , 
,47.63,1856,18.0,0.0,10100010,47.95,1376,34.1,8.24,397.8,48.26,0.0,0.63, , 
,48.59,1184,18.0,0.0,10100010,48.91,1152,50.2,9.27,571.2,49.24,0.0,0.98, , 
,49.56,1248,18.0,0.0,10100010,49.88,1280,47.1,7.21,520.2,50.22,-0.4,1.33, , 
,50.55,1344,19.5,0.0,10101010,50.90,1344,44.3,6.18,499.8,51.26,1.2,1.41, , 
,51.58,1408,19.5,2.0,10101010,51.94,1440,41.2,6.18,479.4,52.35,2.0,1.37, , 
,52.79,1504,19.5,2.0,10101010,53.08,1504,40.0,6.18,459.0,53.41,1.6,1.33, , 
,53.76,1536,19.5,1.2,10101010,54.09,1568,41.2,6.18,459.0,54.43,3.5,1.41, , 
,54.80,1600,19.5,3.5,10101010,55.16,1632,45.9,7.21,499.8,55.50,5.9,1.45, , 
,55.89,1696,19.5,6.6,10101010,56.28,1728,44.3,7.21,499.8,56.65,1.6,1.13, , 
,56.99,1760,21.0,0.0,10101010,57.35,1792,41.2,6.18,459.0,57.71,-3.5,1.17, , 
,58.09,1824,21.0,-4.7,10101010,58.46,1824,40.0,5.15,438.6,58.84,-7.0,1.29, , 
,59.22,1856,21.0,-7.4,10101010,59.60,1888,36.9,5.15,418.2,59.96,-7.8,1.37, , 
,60.32,1920,21.0,-8.2,10101010,60.68,1888,35.3,5.15,418.2,61.04,-7.4,1.41, , 
,61.40,1920,21.0,-7.8,10101010,61.77,1920,32.5,4.12,377.4,62.14,-8.6,1.37, , 
,62.52,1920,21.0,-10.9,10111110,62.87,1824,26.7,3.09,336.6,63.21,-10.9,1.45, , 
,63.54,1536,21.0,-8.2,10111110,63.87,1408,31.0,4.12,377.4,64.18,-2.7,1.60, , 
,64.52,1056,22.5,-5.5,10111110,64.84,928,38.4,5.15,459.0,65.14,-1.6,1.64, , 
,65.47,928,22.5,0.4,10111110,65.81,960,40.0,6.18,479.4,66.13,2.3,1.48, , 
,66.43,928,22.5,3.1,10111110,66.72,960,40.0,6.18,459.0,67.04,4.3,1.41, , 
,67.35,928,22.5,4.7,10111110,67.65,928,38.4,6.18,459.0,67.95,4.7,1.33, , 
,68.28,960,22.5,5.1,10111110,68.60,928,38.4,6.18,459.0,68.88,4.7,1.29, , 
,69.20,928,22.5,4.7,10111110,69.49,928,35.3,5.15,438.6,69.80,3.9,1.29, , 
,70.14,928,24.0,5.1,10101010,70.50,1184,56.1,16.48,612.0,70.88,0.0,0.78, , 
,71.23,1632,24.0,0.0,10101010,71.59,1696,62.0,12.36,652.8,71.95,0.0,0.98, , 
,72.33,1600,24.0,0.0,10101010,72.69,1504,53.3,8.24,591.6,73.03,0.0,1.13, , 
,73.42,1760,24.0,-2.3,10101010,73.78,1888,50.2,7.21,550.8,74.13,0.0,1.21, , 
,74.47,2080,24.0,0.0,10111100,74.83,1952,22.0,3.09,295.8,75.20,-15.6,0.55, , 
,75.53,1088,24.0,-18.4,10101010,75.85,1088,35.3,4.12,438.6,76.18,-12.9,1.45, , 
,76.50,1152,24.0,0.0,10101010,76.85,1152,47.1,8.24,550.8,77.17,0.0,1.21, , 
,77.52,1248,25.5,0.0,10101010,77.87,1344,51.8,8.24,571.2,78.21,2.3,1.52, , 
,78.67,1472,25.5,3.1,10101010,79.04,1504,40.0,6.18,459.0,79.38,0.4,1.21, , 
,79.73,1600,25.5,-2.7,10101010,80.06,1600,31.0,4.12,377.4,80.45,-7.0,1.17, , 
,80.80,1696,25.5,-7.0,10101010,81.16,1728,31.0,4.12,377.4,81.53,-5.5,1.48, , 
,81.89,1824,25.5,-3.1,10101010,82.27,1856,38.4,5.15,438.6,82.64,-2.0,1.41, , 
,83.01,1952,25.5,-3.1,10101010,83.35,1984,31.0,4.12,377.4,83.69,-4.3,1.41, , 
,84.03,2080,27.0,-2.0,10101000,84.37,2112,34.1,5.15,397.8,84.71,-2.7,1.37, , 
,85.03,2176,27.0,-3.5,10101000,85.38,2208,29.4,4.12,357.0,85.71,-4.3,1.33, , 
,86.05,2272,27.0,-4.3,10101000,86.38,2272,28.2,4.12,336.6,86.71,-4.3,1.37, , 
,87.03,2336,27.0,-3.9,10101000,87.38,2336,26.7,3.09,316.2,87.73,-3.5,1.41, , 
,88.06,2400,27.0,-3.5,10101000,88.39,2368,23.5,3.09,295.8,88.74,-5.1,1.29, , 
,89.12,2400,27.0,-5.5,10111100,89.45,2368,22.0,3.09,275.4,89.78,-5.1,1.41, , 
,90.12,2336,28.5,-4.7,10111100,90.45,2272,22.0,3.09,275.4,90.80,-3.1,1.45, , 
,91.13,2272,28.5,-3.1,10101000,91.46,2240,22.0,3.09,275.4,91.79,-2.3,1.41, , 
,92.10,2304,28.5,-2.3,10101000,92.43,2304,20.8,3.09,275.4,92.76,-2.3,1.37, , 
,93.09,2304,28.5,-2.0,10101000,93.44,2336,22.0,3.09,275.4,93.77,-1.6,1.41, , 
,94.12,2368,28.5,-1.6,10101000,94.45,2368,22.0,3.09,275.4,94.80,-1.6,1.37, , 
,95.13,2336,28.5,-1.2,10111100,95.45,2304,22.0,3.09,275.4,95.79,0.0,1.41, , 
,96.10,2304,28.5,0.8,10111100,96.43,2272,22.0,3.09,275.4,96.77,0.0,1.37, , 
,97.10,2240,30.0,0.8,10111100,97.42,2240,22.0,3.09,275.4,97.77,0.8,1.37, , 
,98.09,2208,30.0,1.2,10111100,98.42,2208,22.0,3.09,275.4,98.77,2.3,1.41, , 
,99.11,2208,30.0,2.7,10111100,99.45,2176,22.0,3.09,275.4,99.80,2.7,1.33, , 
,100.13,2176,30.0,2.7,10111100,100.48,2144,22.0,3.09,275.4,100.81,2.7,1.33, , 
,101.16,2112,30.0,2.7,10111100,101.50,2112,22.0,3.09,275.4,101.88,3.9,1.37, , 
,102.23,2016,31.5,3.5,10111100,102.58,1984,20.8,3.09,275.4,102.96,2.7,1.37, , 
,103.34,1824,31.5,4.3,10111110,103.70,1760,28.2,4.12,357.0,104.06,5.9,1.45, , 
,104.44,1728,31.5,6.3,10111110,104.80,1728,29.4,4.12,357.0,105.15,6.6,1.37, , 
,105.49,1728,31.5,6.6,10111110,105.82,1728,29.4,4.12,357.0,106.18,6.6,1.37, , 
,106.52,1664,31.5,6.3,10111110,106.90,1664,29.4,4.12,357.0,107.24,5.1,1.33, , 
,107.59,1632,33.0,5.1,10111110,107.95,1632,29.4,4.12,357.0,108.30,4.7,1.37, , 
,108.69,1664,33.0,4.3,10101010,109.04,1664,29.4,4.12,357.0,109.38,4.3,1.37, , 
,109.76,1728,33.0,3.1,10101010,110.11,1792,28.2,4.12,336.6,110.49,1.6,1.33, , 
,110.87,1824,33.0,0.4,10101010,111.24,1856,25.1,3.09,316.2,111.60,-0.8,1.33, , 
,111.96,1920,34.5,-2.0,10101010,112.33,1952,22.0,3.09,295.8,112.69,-3.9,1.33, , 
,113.06,1952,34.5,-4.7,10101010,113.40,1984,20.8,3.09,275.4,113.77,-6.3,1.37, , 
,114.14,1984,34.5,-6.3,10101000,114.50,1984,20.8,3.09,275.4,114.86,-5.1,1.48, , 
,115.23,1952,34.5,-2.3,10111110,115.59,1920,22.0,3.09,295.8,115.95,0.4,1.52, , 
,116.32,1888,34.5,1.2,10101010,116.69,1888,23.5,3.09,295.8,117.07,2.0,1.45, , 
,117.42,1888,36.0,2.0,10101010,117.79,1920,22.0,3.09,295.8,118.16,0.0,1.29, , 
,118.51,1984,36.0,0.0,10101000,118.87,2016,22.0,3.09,295.8,119.23,0.4,1.41, , 
,119.58,2080,36.0,-0.4,10101000,119.92,2144,25.1,4.12,316.2,120.27,1.2,1.45, , 
,120.61,2208,36.0,1.2,10101000,120.95,2240,28.2,4.12,336.6,121.28,1.6,1.41, , 
,121.62,2336,36.0,2.0,10101000,121.95,2368,26.7,4.12,316.2,122.30,1.2,1.37, , 
,122.65,2432,36.0,1.6,10101000,123.00,2400,0.0,0.00,295.8,123.36,0.0,3.44, , 
,123.69,1024,37.5,0.0,10111110,124.03,1120,35.3,6.18,438.6,124.35,0.0,1.37, , 
,124.66,1120,37.5,0.0,10111110,125.01,1024,29.4,4.12,377.4,125.36,0.0,1.09, , 
,125.70,960,37.5,-2.3,10111110,126.00,960,32.5,5.15,418.2,126.32,-4.7,1.29, , 
,126.63,896,37.5,-4.7,10111110,126.94,896,34.1,5.15,438.6,127.26,-3.9,1.52, , 
,127.57,896,37.5,-3.5,10111110,127.87,896,34.1,5.15,438.6,128.17,-2.3,1.48, , 
,128.48,864,37.5,-2.0,10111110,128.79,896,34.1,5.15,438.6,129.09,-0.8,1.48, , 
,129.43,896,37.5,0.0,10111110,129.75,896,34.1,5.15,438.6,130.05,1.2,1.48, , 
,130.36,864,39.0,1.6,10111110,130.67,864,32.5,4.12,418.2,130.96,2.3,1.48, , 
,131.27,864,39.0,2.7,10111110,131.57,864,34.1,5.15,438.6,131.88,3.1,1.48, , 
,132.18,896,39.0,3.1,10111110,132.48,864,34.1,5.15,438.6,132.79,0.0,0.90, , 
,133.12,1536,39.0,0.0,10101010,133.49,1632,56.1,9.27,612.0,133.83,0.0,1.37, , 
,134.16,1248,39.0,0.0,10101010,134.48,1248,54.5,8.24,612.0,134.81,0.0,1.33, , 
,135.14,1440,39.0,-0.8,10101010,135.47,1472,47.1,7.21,550.8,135.83,2.0,1.52, , 
,136.19,1632,39.0,1.6,10101010,136.54,1696,31.0,4.12,377.4,136.90,-3.1,1.25, , 
,137.24,1728,39.0,-4.7,10111110,137.60,1760,28.2,3.09,357.0,137.93,-5.1,1.37, , 
,138.30,1760,39.0,-6.3,10111110,138.67,1696,28.2,3.09,357.0,139.02,-3.9,1.52, , 
,139.40,1632,40.5,-2.7,10111110,139.73,1600,28.2,4.12,357.0,140.10,0.8,1.60, , 
,140.49,1536,40.5,1.2,10111110,140.89,1472,29.4,4.12,357.0,141.24,4.7,1.56, , 
