Poniedziałek,24,Sierpień,2026,06:51:11:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.60,768,85.5,-2.0,10111111,0.01,800,28.2,3.09,418.2,0.30,-2.0,1.48, , 
,1.53,800,85.5,-2.7,10111111,0.91,800,28.2,3.09,418.2,1.23,-2.3,1.45, , 
,2.42,800,85.5,-3.1,10111111,1.82,800,28.2,3.09,418.2,2.12,-2.7,1.45, , 
,3.32,768,85.5,-3.5,10111111,2.73,800,28.2,3.09,418.2,3.03,-3.5,1.48, , 
,4.21,800,85.5,-2.7,10111111,3.63,768,28.2,3.09,418.2,3.92,-3.1,1.48, , 
,5.13,800,85.5,-2.0,10111111,4.51,800,28.2,3.09,418.2,4.81,-2.3,1.52, , 
,6.05,800,85.5,-2.3,10111111,5.44,800,28.2,3.09,418.2,5.74,-2.0,1.48, , 
,6.98,768,85.5,-2.7,10111111,6.37,800,28.2,3.09,418.2,6.68,-2.7,1.45, , 
,7.87,800,85.5,-3.1,10111111,7.29,800,28.2,3.09,418.2,7.58,-3.1,1.45, , 
,8.79,800,85.5,-3.1,10111111,8.18,800,28.2,3.09,418.2,8.48,-3.1,1.48, , 
,9.68,800,87.0,-3.1,10111111,9.09,768,28.2,3.09,418.2,9.39,-2.7,1.48, , 
,10.57,768,87.0,-2.7,10111111,9.98,800,28.2,3.09,418.2,10.27,-3.1,1.48, , 
,11.58,1472,85.5,0.0,10101011,10.88,800,34.1,4.12,459.0,11.19,0.0,1.60, , 
,12.60,1664,87.0,3.9,10101011,11.93,1984,44.3,5.15,520.2,12.26,2.0,1.60, , 
,13.66,1248,87.0,7.0,10101011,12.99,1536,47.1,6.18,591.6,13.36,4.3,1.52, , 
,14.67,1248,87.0,0.4,10101011,14.02,1280,31.0,4.12,418.2,14.36,1.2,1.25, , 
,15.65,1248,87.0,-3.9,10111111,14.99,1216,23.5,3.09,336.6,15.33,-1.2,1.33, , 
,16.66,1024,87.0,-3.9,10111111,15.99,1248,23.5,3.09,336.6,16.30,-4.7,1.41, , 
,17.63,896,87.0,-3.9,10111111,17.00,896,25.1,3.09,377.4,17.32,-3.9,1.48, , 
,18.52,768,87.0,-5.5,10111111,17.92,832,25.1,3.09,377.4,18.21,-4.7,1.37, , 
,19.45,800,87.0,-7.4,10111111,18.82,800,28.2,3.09,418.2,19.13,-6.6,1.33, , 
,20.43,1120,87.0,0.0,10101011,19.76,800,28.2,3.09,418.2,20.09,0.0,1.52, , 
,21.44,1344,87.0,0.0,10101011,20.79,1344,50.2,7.21,612.0,21.11,0.0,1.52, , 
,22.40,1216,87.0,2.7,10101011,21.76,1344,54.5,7.21,673.2,22.09,0.4,1.52, , 
,23.52,1600,87.0,4.3,10101011,22.76,1312,44.3,6.18,571.2,23.19,2.7,1.52, , 
,24.56,1568,87.0,0.0,10111111,23.87,1728,56.1,7.21,652.8,24.23,0.0,1.56, , 
,25.48,1184,87.0,0.0,10101011,24.85,1088,26.7,4.12,377.4,25.15,0.0,2.66, , 
,26.43,1440,87.0,0.0,10101011,25.82,1280,72.2,11.33,846.6,26.14,0.0,1.25, , 
,27.51,1728,87.0,-2.3,10101011,26.76,1504,71.0,10.30,826.2,27.14,-2.3,1.41, , 
,28.57,2112,87.0,-3.9,10101001,27.87,1856,73.7,10.30,826.2,28.23,-3.1,1.45, , 
,29.61,2432,87.0,-9.8,10101001,28.93,2208,72.2,9.27,795.6,29.26,-7.8,1.41, , 
,30.62,2752,87.0,-13.7,10101001,29.95,2528,72.2,8.24,775.2,30.27,-12.5,1.45, , 
,31.63,1920,87.0,0.0,11111111,30.97,2880,69.4,8.24,754.8,31.29,0.0,3.40, , 
,32.68,1856,87.0,0.0,11101011,32.00,1664,28.2,5.15,377.4,32.32,0.0,0.82, , 
,33.76,1920,87.0,0.0,11101011,33.06,1856,40.0,5.15,479.4,33.41,0.0,1.48, , 
,34.83,2048,87.0,-0.4,11101001,34.12,1952,65.1,9.27,734.4,34.48,-1.2,1.45, , 
,35.86,2144,87.0,-2.7,11101001,35.17,2080,63.5,8.24,714.0,35.51,-0.4,1.52, , 
,36.88,2272,87.0,-8.2,11101001,36.21,2176,71.0,9.27,775.2,36.55,-7.0,1.37, , 
,37.94,2432,87.0,-9.8,11101001,37.24,2336,69.4,8.24,754.8,37.57,-9.4,1.48, , 
,38.99,2528,87.0,-10.2,11101001,38.30,2464,66.3,8.24,734.4,38.65,-10.2,1.48, , 
,40.00,2656,87.0,-8.6,11101001,39.34,2560,66.3,8.24,734.4,39.67,-9.4,1.45, , 
,41.04,2752,87.0,-4.3,11101001,40.35,2688,63.5,8.24,714.0,40.70,-5.5,1.52, , 
,42.05,2848,87.0,-2.7,11101001,41.38,2784,62.0,8.24,693.6,41.70,-2.7,1.52, , 
,43.14,2656,87.0,0.0,11111101,42.41,2880,60.4,7.21,673.2,42.80,-1.6,1.45, , 
,44.16,1920,87.0,0.0,11101011,43.49,2144,0.0,0.00,316.2,43.82,0.0,3.87, , 
,45.21,2080,87.0,-5.9,11101001,44.51,2080,23.5,3.09,336.6,44.87,0.0,0.63, , 
,46.25,2112,87.0,0.8,11101001,45.57,2080,41.2,5.15,499.8,45.91,0.0,1.64, , 
,47.26,2144,87.0,5.5,11101001,46.58,2112,54.5,7.21,632.4,46.93,3.9,1.56, , 
,48.28,2144,87.0,9.4,11101001,47.61,2144,54.5,7.21,632.4,47.93,8.6,1.52, , 
,49.32,2176,87.0,7.4,11101001,48.62,2144,54.5,7.21,632.4,48.97,9.8,1.45, , 
,50.35,2208,87.0,0.4,11101001,49.66,2176,62.0,9.27,693.6,50.01,1.2,1.29, , 
,51.32,2272,87.0,-1.6,11101001,50.68,2240,62.0,8.24,693.6,51.00,-1.2,1.48, , 
,52.35,2304,87.0,-2.0,11101001,51.66,2272,60.4,8.24,673.2,52.01,-2.0,1.45, , 
,53.39,2336,87.0,-1.6,11101001,52.69,2304,59.2,8.24,673.2,53.04,-2.0,1.52, , 
,54.41,2368,87.0,-0.8,11101001,53.72,2336,59.2,7.21,673.2,54.07,-0.4,1.52, , 
,55.49,2400,87.0,-1.2,11101001,54.75,2368,59.2,8.24,652.8,55.13,-0.4,1.45, , 
,56.54,2432,87.0,-0.8,11101001,55.85,2400,57.6,7.21,652.8,56.19,-1.6,1.52, , 
,57.62,2464,87.0,-0.8,11101001,56.89,2432,56.1,7.21,632.4,57.25,-0.8,1.45, , 
,58.67,2496,85.5,-0.8,11101001,57.96,2464,56.1,7.21,632.4,58.33,-0.8,1.48, , 
,59.70,2496,85.5,-1.2,11101001,58.99,2496,56.1,7.21,632.4,59.36,-1.2,1.52, , 
,60.76,2528,85.5,-0.4,11101001,60.06,2528,54.5,7.21,612.0,60.40,0.0,1.45, , 
,61.79,2560,85.5,0.0,11101001,61.12,2528,54.5,7.21,612.0,61.46,-0.4,1.48, , 
,62.85,2592,85.5,1.2,11101001,62.15,2560,54.5,7.21,612.0,62.49,0.0,1.52, , 
,63.88,2624,85.5,0.8,11101001,63.19,2592,53.3,7.21,612.0,63.55,1.2,1.45, , 
,64.91,2656,85.5,-2.7,11101001,64.22,2624,57.6,7.21,652.8,64.55,-1.2,1.33, , 
,65.95,2720,85.5,-4.3,11101001,65.26,2656,60.4,8.24,673.2,65.61,-3.9,1.48, , 
,66.99,2752,85.5,-4.7,11101001,66.29,2720,63.5,8.24,693.6,66.65,-4.3,1.52, , 
,68.04,2816,85.5,-3.1,11101001,67.33,2784,62.0,8.24,673.2,67.69,-3.9,1.45, , 
,69.11,2848,85.5,-2.0,11101001,68.40,2816,60.4,8.24,673.2,68.79,-2.7,1.52, , 
,70.13,2880,85.5,-1.2,11101001,69.44,2880,59.2,7.21,652.8,69.79,-1.2,1.48, , 
,71.18,2944,85.5,-1.6,11101001,70.42,2912,59.2,7.21,652.8,70.76,-0.8,1.41, , 
,72.14,2272,85.5,0.0,11111101,71.45,2944,57.6,7.21,632.4,71.78,0.0,2.27, , 
,73.17,1824,85.5,0.0,11101011,72.44,1760,0.0,0.00,295.8,72.82,0.0,3.83, , 
,74.18,2208,85.5,0.0,11101001,73.51,2240,16.1,3.09,244.8,73.85,0.0,1.02, , 
,75.18,2208,85.5,2.3,11101001,74.53,2208,47.1,6.18,550.8,74.87,1.2,1.56, , 
,76.21,2240,85.5,7.0,11101001,75.52,2208,48.6,6.18,571.2,75.87,5.9,1.56, , 
,77.26,2240,85.5,10.2,11101001,76.54,2240,50.2,7.21,571.2,76.88,8.6,1.52, , 
,78.31,2240,84.0,9.8,11101001,77.63,2240,48.6,7.21,571.2,77.98,9.8,1.41, , 
,79.33,2272,84.0,9.8,11101001,78.65,2272,48.6,7.21,571.2,78.99,10.2,1.48, , 
,80.34,2272,84.0,7.0,11101001,79.67,2272,48.6,7.21,571.2,80.00,7.0,1.41, , 
,81.40,2272,84.0,7.0,11101001,80.69,2272,48.6,7.21,571.2,81.05,7.0,1.48, , 
,82.45,2304,85.5,4.3,11101001,81.76,2272,48.6,7.21,571.2,82.10,3.9,1.45, , 
,83.44,2304,84.0,-1.6,11101001,82.78,2304,56.1,8.24,632.4,83.10,-0.4,1.29, , 
,84.47,2304,84.0,-3.5,11101001,83.78,2304,57.6,8.24,652.8,84.14,-2.7,1.52, , 
,85.51,2336,84.0,-4.3,11101001,84.83,2336,57.6,7.21,652.8,85.16,-3.5,1.45, , 
,86.56,2336,84.0,-3.5,11101001,85.85,2336,57.6,8.24,652.8,86.21,-3.9,1.48, , 
,87.63,2368,84.0,-5.1,11101001,86.93,2336,59.2,8.24,652.8,87.29,-4.3,1.48, , 
,88.66,2368,84.0,-5.1,11101001,87.97,2368,59.2,8.24,652.8,88.32,-5.9,1.45, , 
,89.75,2400,84.0,-4.3,11101001,89.00,2368,57.6,8.24,652.8,89.39,-4.7,1.52, , 
,90.78,2400,84.0,-4.3,11101001,90.09,2400,57.6,7.21,632.4,90.45,-3.5,1.45, , 
,91.83,2400,84.0,-2.7,11101001,91.11,2400,57.6,7.21,632.4,91.46,-3.5,1.45, , 
,92.86,2400,84.0,-3.5,11101001,92.18,2400,56.1,7.21,632.4,92.52,-2.7,1.48, , 
,93.90,2432,84.0,-4.3,11101001,93.20,2432,56.1,7.21,632.4,93.55,-3.9,1.45, , 
,94.97,2432,84.0,-4.3,11101001,94.25,2432,56.1,7.21,632.4,94.63,-4.7,1.48, , 
,96.06,2432,84.0,-2.3,11101001,95.35,2432,56.1,7.21,632.4,95.70,-3.1,1.48, , 
,97.16,2432,84.0,2.3,11101001,96.43,2432,48.6,6.18,550.8,96.81,1.2,1.48, , 
,98.23,2432,84.0,2.7,11101001,97.49,2432,47.1,6.18,550.8,97.86,3.1,1.48, , 
,99.25,2432,84.0,2.7,11101001,98.58,2432,47.1,6.18,550.8,98.92,2.7,1.41, , 
,100.28,2400,84.0,3.9,11101001,99.60,2432,47.1,6.18,550.8,99.95,3.9,1.52, , 
,101.34,2400,84.0,3.5,11101001,100.64,2400,47.1,6.18,550.8,101.00,3.9,1.45, , 
,102.43,2400,84.0,0.8,11101001,101.68,2400,48.6,7.21,550.8,102.07,0.8,1.41, , 
,103.48,2368,84.0,0.4,11101001,102.80,2400,48.6,7.21,571.2,103.13,0.4,1.52, , 
,104.57,2368,84.0,-0.8,11101001,103.84,2368,50.2,7.21,571.2,104.23,0.0,1.45, , 
,105.60,2368,85.5,-1.6,11101001,104.92,2368,51.8,7.21,591.6,105.26,-1.2,1.52, , 
,106.62,2368,84.0,-1.2,11101001,105.94,2368,51.8,7.21,591.6,106.27,-0.8,1.52, , 
,107.62,2368,84.0,-2.3,11101001,106.95,2368,53.3,7.21,612.0,107.28,-2.3,1.45, , 
,108.61,2336,84.0,-1.2,11101001,107.95,2336,53.3,7.21,612.0,108.28,-2.0,1.52, , 
,109.62,2336,84.0,0.0,11101001,108.94,2336,53.3,7.21,612.0,109.27,-0.8,1.48, , 
,110.66,2336,84.0,-0.8,11101001,109.97,2336,53.3,7.21,591.6,110.31,-1.2,1.45, , 
,111.76,2336,84.0,-1.2,11101001,111.02,2336,53.3,7.21,612.0,111.40,-0.8,1.52, , 
,112.79,2336,84.0,-2.0,11101001,112.10,2336,53.3,7.21,612.0,112.46,-2.0,1.48, , 
,113.84,2336,84.0,-1.2,11101001,113.14,2336,53.3,7.21,612.0,113.50,-1.6,1.45, , 
,114.84,2336,84.0,-1.6,11101001,114.17,2368,53.3,7.21,612.0,114.50,-1.6,1.52, , 
,115.86,2336,84.0,-2.0,11101001,115.17,2336,53.3,7.21,612.0,115.51,-1.6,1.48, , 
,116.88,2368,84.0,-2.0,11101001,116.19,2368,53.3,7.21,612.0,116.54,-2.3,1.45, , 
,117.89,2368,84.0,-2.3,11101001,117.22,2368,53.3,7.21,612.0,117.55,-2.0,1.52, , 
,118.97,2368,84.0,-2.7,11101001,118.26,2368,53.3,7.21,612.0,118.63,-2.7,1.48, , 
,119.99,2368,84.0,-1.6,11101001,119.30,2368,53.3,7.21,612.0,119.65,-2.3,1.48, , 
,121.06,2368,84.0,-2.3,11101001,120.36,2368,53.3,7.21,591.6,120.72,-2.0,1.52, , 
,122.07,2368,84.0,-2.3,11101001,121.39,2368,53.3,7.21,612.0,121.73,-2.3,1.45, , 
,123.10,2368,84.0,-0.4,11101001,122.40,2368,47.1,6.18,550.8,122.76,1.2,1.48, , 
,124.16,2368,84.0,-0.4,11101001,123.44,2368,50.2,7.21,571.2,123.79,-0.4,1.48, , 
,125.16,2368,84.0,-0.8,11101001,124.48,2368,50.2,7.21,571.2,124.83,-0.4,1.45, , 
,126.20,2368,84.0,-1.2,11101001,125.50,2368,50.2,7.21,571.2,125.85,-1.2,1.48, , 
,127.25,2368,84.0,-1.2,11101001,126.56,2368,50.2,7.21,571.2,126.89,-1.2,1.48, , 
,128.27,2368,84.0,-1.2,11101001,127.57,2368,50.2,7.21,571.2,127.91,-1.2,1.48, , 
,129.36,2368,84.0,-2.7,11101001,128.63,2368,53.3,7.21,612.0,128.99,-2.0,1.48, , 
,130.40,2368,84.0,-2.7,11101001,129.70,2368,54.5,7.21,612.0,130.03,-2.7,1.48, , 
,131.49,2368,84.0,0.8,11101001,130.77,2368,51.8,7.21,591.6,131.15,-1.2,1.56, , 
,132.48,2368,84.0,-5.1,11111101,131.82,2368,25.1,3.09,336.6,132.15,0.0,1.37, , 
,133.45,2272,84.0,0.0,11111101,132.80,2336,0.0,0.00,244.8,133.12,0.0,3.63, , 
,134.44,2240,84.0,0.0,11111101,133.79,2272,0.0,0.00,244.8,134.12,0.0,3.91, , 
,135.45,2176,84.0,0.0,11111101,134.77,2208,0.0,0.00,244.8,135.11,0.0,3.95, , 
,136.46,2144,84.0,0.0,11111101,135.79,2176,0.0,0.00,244.8,136.13,0.0,3.91, , 
,137.50,2080,84.0,0.0,11111101,136.82,2112,0.0,0.00,244.8,137.16,0.0,3.91, , 
,138.51,2016,84.0,0.0,11111101,137.83,2048,0.0,0.00,244.8,138.17,0.0,3.95, , 
,139.53,1984,84.0,0.0,11111111,138.84,2016,0.0,0.00,244.8,139.19,0.0,3.95, , 
,140.61,1920,84.0,0.0,11111111,139.89,1952,0.0,0.00,275.4,140.25,0.0,3.87, , 
,141.62,1856,84.0,0.0,11111111,140.95,1888,0.0,0.00,275.4,141.29,0.0,3.91, , 
,142.68,1792,84.0,0.0,11111111,141.96,1824,0.0,0.00,295.8,142.31,0.0,3.87, , 
