Czwartek,24,Wrzesieñ,2026,20:55:37:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.54,0,24.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,-100.0,0.0, , 
,1.34,0,24.0,0.0,10110110,0.80,0,0.0,0.00,989.4,1.07,-100.0,0.0, , 
,2.15,0,24.0,0.0,10110110,1.62,0,0.0,0.00,989.4,1.88,-100.0,0.0, , 
,2.96,0,24.0,0.0,10110110,2.42,0,0.0,0.00,989.4,2.69,-100.0,0.0, , 
,3.77,0,24.0,0.0,10110110,3.22,0,0.0,0.00,989.4,3.50,-100.0,0.0, , 
,4.58,0,24.0,0.0,10110110,4.04,0,0.0,0.00,989.4,4.31,-100.0,0.0, , 
,5.38,0,24.0,0.0,10110110,4.85,0,0.0,0.00,989.4,5.12,-100.0,0.0, , 
,6.18,0,24.0,0.0,10110110,5.65,0,0.0,0.00,989.4,5.91,-100.0,0.0, , 
,6.97,0,24.0,0.0,10110110,6.44,0,0.0,0.00,989.4,6.71,-100.0,0.0, , 
,7.78,0,24.0,0.0,10110110,7.24,0,0.0,0.00,989.4,7.51,-100.0,0.0, , 
,8.59,0,24.0,0.0,10110110,8.05,0,0.0,0.00,989.4,8.32,-100.0,0.0, , 
,9.40,0,24.0,0.0,10110110,8.87,0,0.0,0.00,989.4,9.13,-100.0,0.0, , 
,10.21,0,24.0,0.0,10110110,9.67,0,0.0,0.00,989.4,9.95,-100.0,0.0, , 
,11.03,0,24.0,0.0,10110110,10.48,0,0.0,0.00,989.4,10.76,-100.0,0.0, , 
,11.86,544,24.0,0.0,10110110,11.30,192,100.0,56.65,989.4,11.58,-100.0,0.0, , 
,12.84,1152,24.0,0.0,10110110,12.18,1024,67.8,18.54,775.2,12.51,-0.8,0.0, , 
,13.79,1152,24.0,0.0,10110110,13.15,1152,41.2,8.24,479.4,13.47,-0.8,0.0, , 
,14.77,1152,24.0,0.0,10110110,14.11,1152,41.2,8.24,479.4,14.44,-0.8,0.0, , 
,15.74,1152,24.0,0.0,10110110,15.10,1152,41.2,8.24,479.4,15.43,-0.8,0.0, , 
,16.72,1152,24.0,0.0,10110110,16.07,1152,41.2,7.21,479.4,16.40,-0.8,0.0, , 
,17.69,1152,24.0,0.0,10110110,17.05,1152,40.0,7.21,459.0,17.36,-0.8,0.0, , 
,18.70,1120,24.0,0.0,10110110,18.01,1152,40.0,7.21,459.0,18.34,-0.8,0.0, , 
,19.65,1120,24.0,0.0,10110110,19.03,1120,40.0,6.18,459.0,19.35,-0.8,0.0, , 
,20.65,1088,24.0,0.0,10110110,19.97,1120,40.0,6.18,479.4,20.32,-0.8,0.0, , 
,21.59,1024,24.0,0.0,10100010,20.97,1088,41.2,6.18,479.4,21.29,-0.8,0.0, , 
,22.51,672,24.0,0.0,10100010,21.88,800,45.9,8.24,520.2,22.17,-0.8,0.0, , 
,23.41,768,24.0,0.0,10110110,22.79,704,60.4,9.27,673.2,23.10,-0.8,0.0, , 
,24.36,1024,24.0,0.0,10110110,23.71,864,54.5,9.27,632.4,24.02,-0.8,0.0, , 
,25.37,1120,24.0,0.0,10110110,24.70,1088,40.0,6.18,459.0,25.04,-0.8,0.0, , 
,26.34,1120,24.0,0.0,10110110,25.68,1120,35.3,5.15,438.6,26.00,-0.8,0.0, , 
,27.29,1088,24.0,0.0,10110110,26.66,1088,36.9,5.15,438.6,26.99,-0.8,0.0, , 
,28.25,1088,24.0,0.0,10110110,27.58,1088,38.4,5.15,459.0,27.91,-0.8,0.0, , 
,29.20,992,24.0,0.0,10100010,28.58,1088,38.4,5.15,459.0,28.90,-0.8,0.0, , 
,30.24,1568,24.0,0.0,10100010,29.54,864,54.5,14.42,612.0,29.86,-0.8,0.0, , 
,31.24,992,24.0,0.0,10100010,30.58,1344,50.2,10.30,571.2,30.93,-0.8,0.0, , 
,32.14,768,24.0,0.0,10100010,31.53,576,65.1,13.39,673.2,31.84,-0.8,0.0, , 
,33.13,928,24.0,0.0,10100010,32.45,896,59.2,6.18,673.2,32.79,-0.8,0.0, , 
,34.14,1216,24.0,0.0,10100010,33.46,1056,60.4,8.24,673.2,33.80,-0.8,0.0, , 
,35.17,1504,24.0,0.0,10100010,34.49,1312,54.5,8.24,612.0,34.85,-0.8,0.0, , 
,36.31,1952,24.0,0.0,10100010,35.58,1600,67.8,11.33,693.6,35.96,0.0,1.6, , 
,37.36,2112,24.0,0.0,10110100,36.67,2112,57.6,7.21,612.0,37.01,0.0,1.6, , 
,38.40,1152,25.5,0.0,10100010,37.68,1664,26.7,3.09,336.6,38.02,-0.8,0.0, , 
,39.42,1248,25.5,0.0,10100010,38.73,1184,47.1,7.21,520.2,39.08,-0.8,0.0, , 
,40.43,1344,25.5,0.0,10100010,39.77,1280,51.8,7.21,571.2,40.10,-0.8,0.0, , 
,41.41,1472,25.5,0.0,10100010,40.79,1376,57.6,11.33,632.4,41.09,-0.8,0.0, , 
,42.52,1664,25.5,0.0,10100010,41.78,1536,60.4,9.27,652.8,42.16,-0.8,1.6, , 
,43.65,1792,25.5,0.0,10100010,42.88,1696,54.5,7.21,591.6,43.27,-0.8,1.6, , 
,44.77,1920,25.5,0.0,10100010,44.02,1856,50.2,7.21,550.8,44.40,0.0,1.6, , 
,45.87,2016,25.5,0.0,10100000,45.14,1952,47.1,6.18,520.2,45.50,0.0,1.6, , 
,46.95,2048,25.5,0.0,10100000,46.21,2016,45.9,6.18,499.8,46.56,0.0,1.6, , 
,48.01,2112,25.5,0.0,10100000,47.30,2080,44.3,6.18,479.4,47.67,0.0,1.6, , 
,49.03,2144,25.5,0.0,10100000,48.36,2112,41.2,5.15,459.0,48.70,0.0,1.6, , 
,50.06,2176,25.5,4.3,10101000,49.39,2144,45.9,6.18,499.8,49.73,0.0,1.6, , 
,51.10,2240,25.5,8.2,10101000,50.42,2208,44.3,6.18,479.4,50.77,0.0,1.6, , 
,52.14,1664,27.0,0.0,10111110,51.43,2208,23.5,3.09,295.8,51.77,0.0,1.6, , 
,53.15,1152,27.0,0.0,10111110,52.47,1312,31.0,4.12,377.4,52.80,-0.8,0.0, , 
,54.12,1120,27.0,0.0,10111110,53.48,1152,41.2,6.18,479.4,53.79,-0.8,0.0, , 
,55.12,1088,27.0,2.3,10111110,54.44,1120,42.7,6.18,499.8,54.79,-0.8,0.0, , 
,56.06,1120,27.0,6.3,10111110,55.43,1088,44.3,6.18,499.8,55.76,-0.8,0.0, , 
,57.05,1120,27.0,8.6,10111110,56.40,1088,42.7,6.18,499.8,56.72,-0.8,0.0, , 
,58.04,1088,27.0,9.4,10111110,57.38,1120,42.7,6.18,499.8,57.71,-0.8,0.0, , 
,59.04,1088,27.0,9.4,10111110,58.36,1088,42.7,6.18,479.4,58.70,-0.8,0.0, , 
,60.12,1984,27.0,0.0,10101000,59.37,1088,40.0,6.18,479.4,59.76,-0.8,0.0, , 
,61.26,1376,28.5,0.0,10101010,60.50,1760,62.0,18.54,652.8,60.90,-0.8,1.6, , 
,62.31,1728,28.5,0.0,10101010,61.57,1472,67.8,8.24,734.4,61.91,-0.8,1.6, , 
,63.38,2144,28.5,0.4,10101000,62.69,1888,51.8,7.21,571.2,63.04,0.0,1.6, , 
,64.51,1760,28.5,0.0,10101010,63.73,2144,29.4,2.06,357.0,64.08,0.0,1.6, , 
,65.55,1344,28.5,0.0,10101010,64.84,1248,40.0,8.24,459.0,65.20,-0.8,0.0, , 
,66.72,1600,28.5,0.0,10101010,65.96,1408,65.1,12.36,693.6,66.37,-0.8,1.6, , 
,67.86,1856,28.5,-1.2,10101010,67.09,1664,56.1,8.24,612.0,67.48,-0.8,1.6, , 
,68.93,2048,28.5,-3.9,10101000,68.23,1888,50.2,7.21,550.8,68.58,0.0,1.6, , 
,69.94,2208,28.5,-1.6,10101000,69.26,2112,42.7,5.15,479.4,69.61,0.0,1.6, , 
,71.00,2368,30.0,1.2,10101000,70.28,2272,40.0,5.15,438.6,70.64,0.0,1.6, , 
,72.08,2528,30.0,3.1,10101000,71.38,2432,36.9,5.15,418.2,71.72,0.0,1.6, , 
,73.06,1600,30.0,0.0,10111110,72.43,2560,34.1,5.15,397.8,72.76,0.0,1.6, , 
,74.07,1120,30.0,0.0,10111110,73.39,1056,38.4,8.24,438.6,73.74,-0.8,0.0, , 
,75.20,1664,30.0,0.0,10111110,74.39,1184,36.9,6.18,438.6,74.81,-0.8,0.0, , 
,76.19,1696,30.0,0.0,10111110,75.52,1696,0.0,0.00,357.0,75.87,-0.8,1.6, , 
,77.26,1664,30.0,1.6,10111110,76.57,1664,28.2,4.12,357.0,76.91,-0.8,1.6, , 
,78.35,1632,31.5,6.6,10111110,77.65,1632,28.2,4.12,357.0,78.00,-0.8,1.6, , 
,79.40,1632,31.5,9.0,10111110,78.71,1664,28.2,4.12,357.0,79.04,-0.8,1.6, , 
,80.50,1600,31.5,10.5,10111110,79.76,1632,29.4,4.12,357.0,80.12,-0.8,1.6, , 
,81.58,1536,31.5,12.1,10111110,80.87,1568,29.4,4.12,357.0,81.22,-0.8,1.6, , 
,82.65,1504,31.5,12.1,10111110,81.90,1536,28.2,4.12,357.0,82.26,-0.8,1.6, , 
,83.70,1536,31.5,11.3,10111110,82.98,1504,28.2,4.12,357.0,83.35,-0.8,1.6, , 
,84.73,1600,31.5,11.3,10111110,84.06,1568,28.2,4.12,357.0,84.38,-0.8,1.6, , 
,85.85,1600,33.0,11.3,10111110,85.12,1568,28.2,4.12,357.0,85.47,-0.8,1.6, , 
,86.89,1536,33.0,11.3,10111110,86.25,1600,28.2,4.12,357.0,86.62,-0.8,1.6, , 
,87.99,1440,33.0,10.9,10111110,87.32,1504,28.2,4.12,357.0,87.64,-0.8,0.0, , 
,88.97,1344,33.0,9.0,10111110,88.33,1408,29.4,4.12,377.4,88.66,-0.8,0.0, , 
,89.91,1024,33.0,9.4,10111110,89.26,1152,31.0,4.12,377.4,89.59,-0.8,0.0, , 
,90.85,1024,33.0,8.6,10111110,90.20,992,36.9,5.15,459.0,90.55,-0.8,0.0, , 
,91.80,992,33.0,8.6,10111110,91.20,992,38.4,5.15,459.0,91.46,-0.8,0.0, , 
,92.82,1472,33.0,5.9,10111110,92.12,1056,36.9,5.15,459.0,92.44,-0.8,0.0, , 
,93.86,1376,34.5,7.8,10111110,93.18,1376,29.4,4.12,377.4,93.52,-0.8,0.0, , 
,94.90,1344,34.5,7.4,10101010,94.19,1376,29.4,4.12,377.4,94.54,-0.8,0.0, , 
,96.02,1440,34.5,9.0,10101010,95.24,1376,31.0,4.12,377.4,95.59,-0.8,0.0, , 
,97.07,1568,34.5,7.0,10101010,96.37,1504,31.0,4.12,377.4,96.72,-0.8,1.6, , 
,98.19,1696,34.5,8.2,10101010,97.42,1600,31.0,4.12,377.4,97.82,-0.8,1.6, , 
,99.36,1792,34.5,6.3,10101010,98.57,1696,31.0,4.12,377.4,98.95,-0.8,1.6, , 
,100.52,1792,34.5,2.7,10101010,99.75,1792,25.1,3.09,336.6,100.14,0.0,1.6, , 
,101.64,1760,36.0,3.5,10101010,100.90,1760,26.7,3.09,336.6,101.28,-0.8,1.6, , 
,102.77,1920,36.0,8.2,10101010,102.02,1824,35.3,5.15,418.2,102.40,0.0,1.6, , 
,103.86,2144,36.0,5.9,10101000,103.15,1952,50.2,7.21,550.8,103.50,0.0,1.6, , 
,104.94,2464,36.0,10.9,10101000,104.20,2240,60.4,9.27,632.4,104.58,0.0,1.6, , 
,106.01,2720,36.0,0.0,10111100,105.30,2560,59.2,9.27,612.0,105.67,0.0,1.6, , 
,107.05,1120,36.0,0.0,10111110,106.40,2048,0.0,0.00,316.2,106.72,-0.8,0.0, , 
,108.15,1792,36.0,0.0,10101010,107.41,1280,34.1,4.12,418.2,107.79,-0.8,1.6, , 
,109.23,1824,36.0,-9.8,10101010,108.51,1824,23.5,3.09,316.2,108.87,0.0,1.6, , 
,110.35,1824,36.0,-9.4,10111110,109.60,1824,23.5,3.09,316.2,109.97,0.0,1.6, , 
,111.51,1792,36.0,1.2,10111110,110.73,1824,25.1,3.09,316.2,111.11,0.0,1.6, , 
,112.61,1728,36.0,4.7,10111110,111.88,1760,26.7,3.09,336.6,112.24,-0.8,1.6, , 
,113.74,1664,36.0,8.2,10111110,113.02,1696,28.2,4.12,357.0,113.40,-0.8,1.6, , 
,114.85,1632,37.5,9.4,10101010,114.09,1632,26.7,4.12,336.6,114.46,-0.8,1.6, , 
,115.99,1664,37.5,9.0,10101010,115.21,1664,28.2,4.12,357.0,115.61,-0.8,1.6, , 
,117.13,1664,37.5,9.0,10101010,116.35,1664,29.4,4.12,357.0,116.74,-0.8,1.6, , 
,118.29,1664,37.5,9.4,10101010,117.52,1664,31.0,4.12,377.4,117.90,-0.8,1.6, , 
,119.43,1664,37.5,8.6,10101010,118.68,1664,31.0,4.12,377.4,119.04,-0.8,1.6, , 
,120.58,1664,37.5,7.8,10101010,119.82,1696,31.0,4.12,377.4,120.19,-0.8,1.6, , 
,121.71,1696,37.5,7.0,10101010,120.95,1696,31.0,4.12,377.4,121.30,-0.8,1.6, , 
,122.83,1728,37.5,6.6,10101010,122.11,1696,31.0,4.12,377.4,122.46,-0.8,1.6, , 
,123.98,1728,37.5,5.9,10101010,123.21,1728,31.0,4.12,377.4,123.61,-0.8,1.6, , 
,125.09,1664,37.5,0.0,10111110,124.36,1760,34.1,5.15,397.8,124.74,-0.8,1.6, , 
,125.94,960,39.0,0.0,10111110,125.35,1056,32.5,5.15,397.8,125.65,-0.8,0.0, , 
,126.88,928,39.0,-1.6,10111110,126.25,960,40.0,6.18,479.4,126.57,-0.8,0.0, , 
,127.83,928,39.0,-2.7,10111110,127.21,928,38.4,5.15,459.0,127.53,-0.8,0.0, , 
,128.76,928,39.0,-0.8,10111110,128.15,928,38.4,5.15,479.4,128.45,-0.8,0.0, , 
,129.71,928,39.0,1.6,10111110,129.09,928,38.4,5.15,479.4,129.39,-0.8,0.0, , 
,130.65,896,39.0,4.3,10111110,130.02,928,40.0,5.15,479.4,130.34,-0.8,0.0, , 
,131.57,928,39.0,6.3,10111110,130.94,928,40.0,5.15,479.4,131.25,-0.8,0.0, , 
,132.47,1120,39.0,6.3,10101010,131.84,960,40.0,5.15,479.4,132.14,-0.8,0.0, , 
,133.51,1248,39.0,10.5,10101010,132.81,1120,35.3,5.15,438.6,133.18,-0.8,0.0, , 
,134.55,1536,39.0,0.0,10111110,133.85,1312,44.3,7.21,499.8,134.20,-0.8,0.0, , 
,135.57,1344,39.0,0.0,10111110,134.92,1536,28.2,4.12,357.0,135.26,-0.8,0.0, , 
,136.51,896,40.5,0.4,10111110,135.89,1120,29.4,4.12,377.4,136.21,-0.8,0.0, , 
,137.45,896,40.5,0.8,10111110,136.82,928,40.0,5.15,479.4,137.13,-0.8,0.0, , 
,138.39,928,40.5,3.1,10111110,137.77,928,40.0,5.15,479.4,138.09,-0.8,0.0, , 
,139.31,896,40.5,4.3,10111110,138.71,928,38.4,5.15,479.4,139.01,-0.8,0.0, , 
,140.25,896,40.5,5.1,10111110,139.63,896,36.9,5.15,459.0,139.96,-0.8,0.0, , 
,141.20,896,40.5,5.9,10111110,140.58,896,36.9,5.15,459.0,140.90,-0.8,0.0, , 
,142.12,896,40.5,6.6,10111110,141.49,896,36.9,5.15,459.0,141.80,-0.8,0.0, , 
,143.03,928,40.5,7.4,10101010,142.41,896,36.9,5.15,459.0,142.73,-0.8,0.0, , 
,144.06,1376,40.5,12.9,10101010,143.36,1024,40.0,6.18,479.4,143.71,-0.8,0.0, , 
,145.01,1024,40.5,0.0,10101010,144.38,1088,45.9,8.24,520.2,144.68,-0.8,0.0, , 
,146.18,1664,42.0,0.0,10101010,145.36,1216,51.8,8.24,591.6,145.80,-0.8,0.0, , 
,147.14,1120,42.0,0.0,10111110,146.52,1952,59.2,5.15,673.2,146.83,-0.8,1.6, , 
,148.09,1088,42.0,0.0,10111110,147.48,1120,35.3,5.15,438.6,147.78,-0.8,0.0, , 
,149.05,1024,42.0,-3.9,10111110,148.41,1056,32.5,4.12,397.8,148.73,-0.8,0.0, , 
,149.97,1088,42.0,-4.7,10101010,149.40,1024,32.5,4.12,418.2,149.71,-0.8,0.0, , 
,150.95,1056,42.0,2.0,10101010,150.31,1088,38.4,5.15,459.0,150.63,-0.8,0.0, , 
,151.89,1280,42.0,0.0,10101010,151.28,1152,54.5,9.27,612.0,151.59,-0.8,0.0, , 
,152.93,1504,42.0,0.0,10101010,152.23,1376,62.0,9.27,673.2,152.55,-0.8,0.0, , 
,154.04,1760,42.0,2.0,10101010,153.28,1600,59.2,9.27,652.8,153.66,-0.8,1.6, , 
,155.14,2016,42.0,3.5,10101000,154.41,1856,54.5,8.24,612.0,154.78,0.0,1.6, , 
,156.20,2176,42.0,4.3,10101000,155.51,2048,53.3,8.24,591.6,155.86,0.0,1.6, , 
,157.19,2336,42.0,5.1,10101000,156.54,2240,50.2,7.21,550.8,156.87,0.0,1.6, , 
,158.25,2080,42.0,0.0,10111100,157.55,2400,47.1,7.21,499.8,157.88,0.0,1.6, , 
,159.20,1024,42.0,0.0,10111110,158.60,1344,0.0,0.00,377.4,158.89,-0.8,0.0, , 
,160.15,1248,42.0,0.0,10111110,159.46,960,35.3,5.15,438.6,159.78,-0.8,0.0, , 
,161.21,1504,42.0,-21.5,10111110,160.51,1536,26.7,3.09,357.0,160.89,-0.8,1.6, , 
,162.26,1440,42.0,-21.1,10111110,161.48,1504,28.2,3.09,357.0,161.91,-0.8,0.0, , 
,163.27,1408,42.0,-16.8,10111110,162.60,1440,28.2,3.09,357.0,162.93,-0.8,0.0, , 
,164.35,1344,42.0,-13.3,10101010,163.60,1376,28.2,3.09,357.0,163.97,-0.8,0.0, , 
,165.35,1376,43.5,-8.2,10101010,164.66,1408,32.5,4.12,397.8,165.01,-0.8,0.0, , 
,166.39,1408,43.5,-5.1,10101010,165.69,1408,38.4,5.15,459.0,166.03,-0.8,0.0, , 
,167.45,1440,43.5,-4.3,10101010,166.76,1408,31.0,4.12,397.8,167.10,-0.8,0.0, , 
,168.62,1472,43.5,-5.1,10101010,167.82,1440,29.4,4.12,377.4,168.18,-0.8,0.0, , 
,169.72,1568,43.5,-3.1,10101010,169.01,1504,34.1,4.12,418.2,169.35,-0.8,1.6, , 
,170.82,1632,43.5,-1.2,10101010,170.10,1600,38.4,5.15,459.0,170.46,-0.8,1.6, , 
,171.96,1728,43.5,-0.4,10101010,171.16,1664,41.2,5.15,479.4,171.56,-0.8,1.6, , 
,173.09,1792,43.5,-1.2,10101010,172.34,1728,40.0,5.15,459.0,172.71,-0.8,1.6, , 
,174.19,1888,43.5,-1.6,10101010,173.46,1824,44.3,6.18,499.8,173.83,0.0,1.6, , 
,175.29,1952,43.5,-3.1,10101010,174.56,1920,44.3,6.18,499.8,174.93,0.0,1.6, , 
,176.36,2048,43.5,-2.3,10101000,175.65,1984,42.7,5.15,479.4,176.00,0.0,1.6, , 
,177.37,2144,43.5,-0.4,10101000,176.71,2080,48.6,7.21,550.8,177.04,0.0,1.6, , 
,178.36,2240,43.5,-1.6,10101000,177.70,2176,50.2,7.21,550.8,178.03,0.0,1.6, , 
,179.40,2336,45.0,-2.3,11101000,178.70,2272,48.6,7.21,520.2,179.05,0.0,1.6, , 
,180.38,2432,45.0,0.0,11101000,179.73,2368,53.3,8.24,571.2,180.05,0.0,1.6, , 
,181.35,1056,45.0,0.0,11111110,180.73,2112,0.0,0.00,336.6,181.03,-0.8,1.6, , 
,182.36,1568,45.0,0.0,11111110,181.69,1152,34.1,5.15,418.2,182.02,-0.8,0.0, , 
,183.43,1696,45.0,0.0,11101010,182.69,1792,0.0,0.00,336.6,183.06,-0.8,1.6, , 
,184.51,1696,45.0,-10.9,11101010,183.78,1728,25.1,4.12,336.6,184.14,-0.8,1.6, , 
,185.56,1664,45.0,-10.9,11101010,184.85,1664,34.1,4.12,397.8,185.22,-0.8,1.6, , 
,186.65,1696,45.0,-7.8,11101010,185.93,1696,41.2,5.15,479.4,186.29,-0.8,1.6, , 
,187.78,1696,45.0,-6.6,11101010,186.99,1696,40.0,5.15,479.4,187.39,-0.8,1.6, , 
,188.91,1728,45.0,-5.5,11101010,188.17,1696,38.4,5.15,459.0,188.50,-0.8,1.6, , 
,189.96,1728,45.0,-9.4,11101010,189.28,1728,25.1,3.09,336.6,189.62,-0.8,1.6, , 
,191.11,1696,45.0,-10.2,11101010,190.35,1696,25.1,3.09,316.2,190.75,-0.8,1.6, , 
,192.24,1664,45.0,-9.0,11101010,191.49,1696,26.7,3.09,336.6,191.88,-0.8,1.6, , 
,193.27,1664,46.5,0.0,11101010,192.61,1664,47.1,7.21,550.8,192.95,-0.8,1.6, , 
,194.31,1664,46.5,-4.3,10101010,193.60,1664,31.0,4.12,377.4,193.95,-0.8,1.6, , 
,195.41,1632,46.5,-9.8,10101010,194.69,1632,25.1,3.09,336.6,195.07,-0.8,1.6, , 
,196.52,1632,46.5,-8.6,10101010,195.78,1632,29.4,3.09,377.4,196.14,-0.8,1.6, , 
,197.64,1664,46.5,-6.6,10101010,196.90,1632,45.9,6.18,520.2,197.29,-0.8,1.6, , 
,198.77,1696,46.5,-3.9,10101010,197.99,1664,48.6,6.18,550.8,198.38,-0.8,1.6, , 
,199.87,1728,46.5,-2.3,10101010,199.17,1696,47.1,6.18,550.8,199.52,-0.8,1.6, , 
,200.92,1728,46.5,-2.0,10101010,200.23,1696,45.9,6.18,520.2,200.56,-0.8,1.6, , 
,202.02,1760,46.5,-2.3,10101010,201.29,1728,45.9,6.18,520.2,201.65,-0.8,1.6, , 
,203.09,1760,46.5,-2.0,10101010,202.36,1760,44.3,6.18,499.8,202.72,-0.8,1.6, , 
,204.23,1792,46.5,-3.1,10101010,203.47,1760,44.3,6.18,499.8,203.85,0.0,1.6, , 
,205.36,1792,46.5,-5.9,10101010,204.61,1792,38.4,5.15,459.0,204.98,0.0,1.6, , 
,206.51,1792,46.5,-6.6,10101010,205.75,1792,34.1,4.12,397.8,206.13,0.0,1.6, , 
,207.67,1792,46.5,-8.6,10101010,206.88,1792,34.1,4.12,418.2,207.28,0.0,1.6, , 
,208.67,1792,46.5,-8.2,10101010,207.98,1792,36.9,4.12,438.6,208.34,0.0,1.6, , 
,209.80,1792,46.5,-7.8,10101010,209.05,1792,36.9,5.15,438.6,209.44,0.0,1.6, , 
,210.91,1792,48.0,-8.2,10101010,210.17,1792,38.4,5.15,438.6,210.53,0.0,1.6, , 
,211.98,1824,46.5,-7.8,10101010,211.27,1792,36.9,5.15,438.6,211.62,0.0,1.6, , 
,213.07,1824,48.0,-7.8,10101010,212.34,1824,36.9,5.15,438.6,212.70,0.0,1.6, , 
,214.18,1856,48.0,-7.4,10101010,213.44,1856,35.3,4.12,418.2,213.80,0.0,1.6, , 
,215.26,1824,48.0,-8.6,10101010,214.54,1856,38.4,5.15,459.0,214.90,0.0,1.6, , 
,216.39,1824,48.0,-5.9,10101010,215.64,1824,44.3,6.18,499.8,216.01,0.0,1.6, , 
,217.54,1824,48.0,-4.3,10101010,216.77,1824,45.9,6.18,520.2,217.16,0.0,1.6, , 
,218.66,1824,48.0,-6.3,10101010,217.89,1824,41.2,5.15,479.4,218.29,0.0,1.6, , 
,219.74,1824,48.0,-6.6,10101010,219.02,1824,34.1,4.12,418.2,219.38,0.0,1.6, , 
,220.84,1824,48.0,-5.1,10101010,220.12,1824,44.3,6.18,499.8,220.48,0.0,1.6, , 
,221.92,1824,48.0,-5.1,10101010,221.20,1824,44.3,6.18,499.8,221.56,0.0,1.6, , 
,223.00,1824,48.0,-8.2,10101010,222.29,1824,42.7,6.18,499.8,222.63,0.0,1.6, , 
,224.13,1824,48.0,-7.8,10101010,223.38,1824,35.3,4.12,418.2,223.77,0.0,1.6, , 
,225.26,1824,48.0,-8.2,10101010,224.51,1824,36.9,4.12,438.6,224.89,0.0,1.6, , 
,226.35,1792,49.5,-8.6,10101010,225.63,1824,36.9,4.12,438.6,226.02,0.0,1.6, , 
,227.47,1760,48.0,-10.9,10111110,226.73,1792,28.2,3.09,357.0,227.10,0.0,1.6, , 
,228.50,1344,49.5,0.0,10111110,227.83,1760,25.1,3.09,336.6,228.18,-0.8,1.6, , 
