Wtorek,25,Sierpień,2026,06:34:55:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

Znacznik,Grupa A:, Zatrzymany,,,,Grupa B:,'002,,,,Grupa C:,'033
,,,,,,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU,,,,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,,,,,,0.26,0,0.0,0.00,989.4,0.01,0.0,1.48, , 
,,,,,,0.80,0,0.0,0.00,989.4,0.53,0.0,1.48, , 
,,,,,,1.33,0,0.0,0.00,989.4,1.06,0.0,1.48, , 
,,,,,,1.86,0,0.0,0.00,989.4,1.59,0.0,1.48, , 
,,,,,,2.41,0,0.0,0.00,989.4,2.13,0.0,1.48, , 
,,,,,,2.93,0,0.0,0.00,989.4,2.67,0.0,1.48, , 
,,,,,,3.47,0,0.0,0.00,989.4,3.20,0.0,1.48, , 
,,,,,,4.00,0,0.0,0.00,989.4,3.73,0.0,1.48, , 
,,,,,,4.55,0,0.0,0.00,989.4,4.27,0.0,1.48, , 
,,,,,,5.08,0,0.0,0.00,989.4,4.81,0.0,1.48, , 
,,,,,,5.61,0,0.0,0.00,989.4,5.34,0.0,1.48, , 
,,,,,,6.14,0,0.0,0.00,989.4,5.87,0.0,1.48, , 
,,,,,,6.67,0,0.0,0.00,989.4,6.40,0.0,1.48, , 
,,,,,,7.20,0,0.0,0.00,989.4,6.94,0.0,1.48, , 
,,,,,,7.73,0,0.0,0.00,989.4,7.47,0.0,1.48, , 
,,,,,,8.27,0,0.0,0.00,989.4,8.00,0.0,1.48, , 
,,,,,,8.80,0,0.0,0.00,989.4,8.53,0.0,1.48, , 
,,,,,,9.33,0,0.0,0.00,989.4,9.06,0.0,1.48, , 
,,,,,,9.86,0,0.0,0.00,989.4,9.59,0.0,1.48, , 
,,,,,,10.39,0,0.0,0.00,989.4,10.12,0.0,1.48, , 
,,,,,,10.92,0,0.0,0.00,989.4,10.65,0.0,1.48, , 
,,,,,,11.45,0,0.0,0.00,989.4,11.19,0.0,1.48, , 
,,,,,,11.98,0,0.0,0.00,989.4,11.72,0.0,1.48, , 
,,,,,,12.52,0,0.0,0.00,989.4,12.25,0.0,1.48, , 
,,,,,,13.06,0,0.0,0.00,989.4,12.79,0.0,1.48, , 
,,,,,,13.59,0,0.0,0.00,989.4,13.33,0.0,1.48, , 
,,,,,,14.12,0,0.0,0.00,989.4,13.86,0.0,1.48, , 
,,,,,,14.66,0,0.0,0.00,989.4,14.39,0.0,1.48, , 
,,,,,,15.21,0,0.0,0.00,989.4,14.93,0.0,1.48, , 
,,,,,,15.75,192,98.8,76.22,989.4,15.48,0.0,1.48, , 
,,,,,,16.29,192,100.0,74.16,989.4,16.01,0.0,1.48, , 
,,,,,,16.92,1312,75.3,18.54,795.6,16.62,0.0,1.48, , 
,,,,,,17.55,1216,44.3,10.30,499.8,17.25,0.0,1.48, , 
,,,,,,18.18,1024,47.1,10.30,520.2,17.85,0.0,1.48, , 
,,,,,,18.83,1024,50.2,10.30,550.8,18.52,0.0,1.48, , 
,,,,,,19.50,1024,48.6,10.30,550.8,19.17,0.0,1.48, , 
,,,,,,20.09,1024,48.6,10.30,550.8,19.79,0.0,1.48, , 
,,,,,,20.70,1024,48.6,10.30,550.8,20.41,0.0,1.48, , 
,,,,,,21.34,1024,47.1,9.27,550.8,21.01,0.0,1.48, , 
,,,,,,21.96,1024,47.1,9.27,550.8,21.65,0.0,1.48, , 
,,,,,,22.57,1024,47.1,9.27,520.2,22.26,0.0,1.48, , 
,,,,,,23.23,1024,45.9,9.27,520.2,22.90,0.0,1.48, , 
,,,,,,23.89,1024,45.9,8.24,520.2,23.56,0.0,1.48, , 
,,,,,,24.58,992,45.9,8.24,520.2,24.23,0.0,1.48, , 
,,,,,,25.20,1024,44.3,8.24,499.8,24.90,0.0,1.48, , 
,,,,,,25.87,992,44.3,8.24,499.8,25.51,0.0,1.48, , 
,,,,,,26.52,1024,44.3,7.21,499.8,26.15,0.0,1.48, , 
,,,,,,27.14,1024,44.3,7.21,499.8,26.84,0.0,1.48, , 
,,,,,,27.81,992,42.7,7.21,499.8,27.48,0.0,1.48, , 
,,,,,,28.44,1024,42.7,7.21,499.8,28.10,0.0,1.48, , 
