Wtorek,25,Sierpień,2026,16:25:45:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.34,2496,87.0,-0.4,11101001,0.71,2496,62.0,7.21,693.6,0.01,-1.2,1.48, , 
,1.40,2528,87.0,-0.8,11101001,1.76,2528,62.0,7.21,693.6,1.05,-0.8,1.52, , 
,2.44,2528,87.0,0.4,11101001,2.78,2528,62.0,7.21,693.6,2.09,-0.4,1.45, , 
,3.47,2560,87.0,-2.7,11101001,3.81,2560,62.0,7.21,673.2,3.13,-1.6,1.41, , 
,4.48,2560,87.0,-5.9,11101001,4.82,2560,54.5,6.18,612.0,4.16,-5.1,1.48, , 
,5.51,2560,87.0,-2.0,11101001,5.84,2560,51.8,6.18,591.6,5.17,-3.5,1.60, , 
,6.51,2560,87.0,0.4,11101001,6.86,2560,48.6,6.18,571.2,6.17,-0.8,1.45, , 
,7.54,2560,87.0,2.3,11101001,7.90,2560,48.6,6.18,550.8,7.19,2.3,1.48, , 
,8.58,2560,87.0,2.7,11101001,8.92,2560,48.6,6.18,550.8,8.23,2.7,1.52, , 
,9.60,2560,87.0,0.8,11101001,9.93,2560,47.1,6.18,550.8,9.26,1.6,1.41, , 
,10.63,2560,87.0,0.4,11101001,11.00,2560,48.6,6.18,550.8,10.28,0.4,1.45, , 
,11.70,2560,87.0,1.6,11101001,12.07,2560,50.2,6.18,571.2,11.34,0.8,1.52, , 
,12.77,2560,87.0,0.0,11101001,13.10,2560,48.6,6.18,571.2,12.42,0.0,1.45, , 
,13.79,2560,87.0,0.4,11101001,14.16,2560,50.2,6.18,571.2,13.44,0.8,1.45, , 
,14.83,2560,87.0,0.8,11101001,15.17,2560,51.8,6.18,591.6,14.49,0.0,1.52, , 
,15.88,2560,87.0,-1.6,11101001,16.25,2560,53.3,6.18,612.0,15.53,-0.8,1.48, , 
,16.96,2560,87.0,-4.3,11101001,17.31,2560,53.3,6.18,612.0,16.60,-3.9,1.45, , 
,17.98,2560,87.0,-3.9,11101001,18.33,2560,53.3,6.18,612.0,17.64,-4.7,1.48, , 
,18.98,2560,87.0,-3.9,11101001,19.33,2560,54.5,6.18,612.0,18.66,-3.9,1.52, , 
,20.03,2560,87.0,-3.9,11101001,20.35,2560,54.5,7.21,612.0,19.68,-3.9,1.45, , 
,21.07,2592,87.0,-4.3,11101001,21.42,2560,53.3,6.18,612.0,20.71,-4.3,1.45, , 
,22.10,2560,87.0,-3.5,11101001,22.45,2592,53.3,6.18,612.0,21.74,-3.9,1.52, , 
,23.08,2592,87.0,-4.3,11101001,23.42,2592,53.3,6.18,612.0,22.77,-3.5,1.48, , 
,24.10,2592,87.0,-3.9,11101001,24.46,2592,53.3,7.21,612.0,23.75,-3.5,1.45, , 
,25.14,2592,87.0,-3.9,11101001,25.46,2592,53.3,6.18,612.0,24.79,-3.9,1.45, , 
,26.15,2592,87.0,-3.5,11101001,26.50,2592,53.3,6.18,612.0,25.82,-3.9,1.52, , 
,27.17,2592,87.0,-3.9,11101001,27.51,2592,53.3,6.18,612.0,26.83,-3.5,1.45, , 
,28.18,2592,87.0,-3.9,11101001,28.54,2592,53.3,6.18,612.0,27.86,-3.9,1.41, , 
,29.20,2592,87.0,-3.9,11101001,29.55,2592,53.3,6.18,612.0,28.88,-3.9,1.48, , 
,30.22,2592,87.0,-3.5,11101001,30.55,2592,53.3,6.18,612.0,29.87,-3.9,1.52, , 
,31.18,2592,87.0,-8.2,11101001,31.51,2592,63.5,7.21,714.0,30.86,-3.5,1.48, , 
,32.17,2624,87.0,-9.0,11101001,32.51,2624,65.1,7.21,714.0,31.84,-8.2,1.48, , 
,33.21,2624,87.0,-10.2,11101001,33.56,2624,63.5,7.21,714.0,32.87,-10.2,1.48, , 
,34.26,2656,87.0,-9.4,11101001,34.60,2656,62.0,7.21,693.6,33.90,-9.8,1.41, , 
,35.26,2656,87.0,-9.0,11101001,35.61,2656,63.5,7.21,714.0,34.94,-9.0,1.52, , 
,36.26,2656,88.5,-8.2,11101001,36.61,2688,63.5,7.21,714.0,35.94,-8.2,1.52, , 
,37.29,2688,87.0,-7.4,11101001,37.64,2688,57.6,7.21,652.8,36.95,-7.4,1.45, , 
,38.32,2688,87.0,-0.4,11101001,38.67,2688,44.3,5.15,520.2,37.97,-4.3,1.52, , 
,39.37,2688,87.0,5.1,11101001,39.72,2688,44.3,5.15,520.2,39.01,3.5,1.56, , 
,40.42,2656,87.0,7.0,11101001,40.75,2656,44.3,6.18,520.2,40.06,6.6,1.45, , 
,41.39,2656,87.0,7.8,11101001,41.73,2656,44.3,6.18,520.2,41.06,7.4,1.37, , 
,42.42,2656,87.0,5.1,11101001,42.76,2656,44.3,6.18,520.2,42.09,7.4,1.41, , 
,43.45,2656,87.0,4.7,11101001,43.79,2656,45.9,6.18,520.2,43.11,5.1,1.48, , 
,44.51,2656,87.0,4.3,11101001,44.86,2624,47.1,6.18,550.8,44.16,5.1,1.45, , 
,45.55,2624,87.0,3.5,11101001,45.88,2624,45.9,6.18,520.2,45.20,3.5,1.45, , 
,46.56,2624,87.0,3.1,11101001,46.90,2624,45.9,6.18,550.8,46.22,3.5,1.52, , 
,47.58,2624,87.0,2.7,11101001,47.90,2624,45.9,6.18,550.8,47.24,2.7,1.48, , 
,48.55,2624,87.0,3.1,11101001,48.88,2624,45.9,6.18,520.2,48.22,3.1,1.48, , 
,49.54,2624,87.0,2.7,11101001,49.88,2592,47.1,6.18,550.8,49.22,3.1,1.48, , 
,50.55,2592,87.0,2.7,11101001,50.88,2592,45.9,6.18,550.8,50.23,2.7,1.52, , 
,51.56,2592,87.0,2.0,11101001,51.89,2592,47.1,6.18,550.8,51.22,2.7,1.52, , 
,52.56,2592,87.0,1.6,11101001,52.89,2592,47.1,6.18,550.8,52.21,2.3,1.45, , 
,53.57,2592,87.0,1.6,11101001,53.93,2592,47.1,6.18,550.8,53.21,2.0,1.48, , 
,54.63,2592,87.0,1.2,11101001,54.98,2592,47.1,6.18,550.8,54.28,1.6,1.52, , 
,55.66,2592,87.0,-0.4,11101001,55.99,2560,50.2,6.18,591.6,55.31,1.2,1.45, , 
,56.67,2592,87.0,-1.2,11101001,57.00,2560,50.2,6.18,571.2,56.33,-1.6,1.41, , 
,57.68,2592,87.0,-1.6,11101001,58.02,2560,50.2,6.18,591.6,57.34,-1.2,1.52, , 
,58.72,2560,87.0,-2.0,11101001,59.03,2560,50.2,6.18,591.6,58.38,-1.6,1.52, , 
,59.71,2560,87.0,-1.6,11101001,60.07,2560,50.2,6.18,591.6,59.37,-1.2,1.48, , 
,60.75,2560,87.0,-1.6,11101001,61.10,2560,50.2,6.18,591.6,60.43,-1.6,1.45, , 
,61.82,2560,87.0,-0.8,11101001,62.18,2560,48.6,6.18,550.8,61.46,-2.0,1.52, , 
,62.86,2560,87.0,2.7,11101001,63.19,2560,38.4,5.15,459.0,62.52,0.8,1.52, , 
,63.85,2560,87.0,6.6,11101001,64.19,2528,34.1,4.12,418.2,63.52,4.7,1.45, , 
,64.85,2528,87.0,9.8,11101001,65.18,2528,34.1,4.12,418.2,64.52,9.0,1.48, , 
,65.86,2496,87.0,8.6,11101001,66.18,2496,34.1,4.12,418.2,65.55,9.0,1.45, , 
,66.88,2496,87.0,8.2,11101001,67.20,2496,35.3,5.15,418.2,66.53,7.8,1.41, , 
,67.88,2496,87.0,7.8,11101001,68.23,2464,34.1,4.12,418.2,67.53,7.0,1.41, , 
,68.95,2464,87.0,7.4,11101001,69.28,2464,35.3,4.12,418.2,68.57,7.8,1.52, , 
,69.99,2432,87.0,6.6,11101001,70.33,2432,35.3,5.15,438.6,69.65,7.0,1.45, , 
,71.01,2432,87.0,6.6,11101001,71.34,2432,35.3,5.15,418.2,70.68,6.6,1.45, , 
,72.03,2432,87.0,6.6,11101001,72.37,2400,35.3,5.15,438.6,71.67,6.6,1.52, , 
,73.05,2400,87.0,6.6,11101001,73.46,2400,35.3,5.15,438.6,72.70,7.0,1.48, , 
,74.20,2368,87.0,6.3,11101001,74.56,2368,36.9,5.15,438.6,73.82,6.6,1.48, , 
,75.27,2368,87.0,5.5,11101001,75.61,2368,36.9,5.15,438.6,74.90,6.3,1.48, , 
,76.26,2336,87.0,6.3,11101001,76.61,2336,22.0,3.09,295.8,75.94,5.5,1.45, , 
,77.31,2304,87.0,3.1,11101001,77.66,2304,20.8,2.06,295.8,76.96,4.3,1.37, , 
,78.35,2272,87.0,-0.8,11101001,78.68,2272,17.6,2.06,275.4,78.01,0.0,1.37, , 
,79.35,2240,87.0,3.1,11101001,79.68,2240,16.1,2.06,244.8,79.02,2.3,1.64, , 
,80.36,2208,87.0,5.9,11101001,80.68,2208,16.1,2.06,244.8,80.01,3.9,1.56, , 
,81.35,2176,87.0,7.4,11101001,81.70,2144,16.1,2.06,244.8,81.01,5.1,1.45, , 
,82.39,2144,87.0,10.2,11101001,82.72,2112,16.1,2.06,244.8,82.06,9.8,1.52, , 
,83.40,2112,87.0,11.7,11101001,83.75,2080,16.1,2.06,244.8,83.05,11.3,1.52, , 
,84.46,2048,87.0,12.1,11101001,84.83,2048,14.9,2.06,244.8,84.10,12.5,1.45, , 
,85.55,2016,87.0,13.3,11101001,85.89,1984,14.9,2.06,244.8,85.18,11.7,1.41, , 
,86.59,1952,87.0,13.3,11101011,86.95,1952,14.9,2.06,244.8,86.24,12.5,1.45, , 
,87.66,1920,87.0,13.7,11101011,88.00,1920,17.6,2.06,275.4,87.30,13.3,1.45, , 
,88.68,1888,87.0,11.3,11101011,89.05,1856,17.6,2.06,275.4,88.33,7.4,1.25, , 
,89.78,1824,87.0,5.5,11101011,90.14,1824,19.2,2.06,275.4,89.41,9.0,1.48, , 
,90.82,1792,87.0,7.8,11101011,91.16,1792,19.2,2.06,295.8,90.52,2.3,1.29, , 
,91.85,1280,87.0,0.0,11111111,92.17,960,28.2,4.12,397.8,91.49,0.0,1.60, , 
,92.86,1280,87.0,0.0,11111111,93.19,1920,0.0,0.00,295.8,92.49,0.0,2.23, , 
,93.89,2080,87.0,0.0,11111101,94.23,2048,16.1,2.06,244.8,93.54,0.0,3.55, , 
,94.93,1984,87.0,0.0,11101001,95.29,1952,45.9,7.21,520.2,94.58,0.0,1.76, , 
,96.01,1952,87.0,0.0,11101011,96.37,1952,53.3,7.21,612.0,95.65,0.0,1.45, , 
,97.09,1952,85.5,0.8,11101011,97.46,1952,63.5,8.24,714.0,96.74,3.9,1.52, , 
,98.23,1984,85.5,-2.3,11101011,98.60,1984,66.3,8.24,754.8,97.85,-0.8,1.37, , 
,99.33,1984,85.5,-2.3,11101011,99.70,1984,65.1,8.24,734.4,98.97,-2.3,1.45, , 
,100.41,2016,85.5,0.4,11101001,100.75,2016,65.1,8.24,734.4,100.05,-1.6,1.56, , 
,101.45,2016,85.5,0.8,11101001,101.81,2016,65.1,8.24,734.4,101.10,1.2,1.45, , 
,102.51,2048,85.5,0.4,11101001,102.86,2048,65.1,8.24,734.4,102.16,0.8,1.48, , 
,103.57,2048,85.5,0.4,11101001,103.91,2048,63.5,8.24,714.0,103.20,0.0,1.45, , 
,104.62,2080,85.5,2.3,11101001,104.98,2048,63.5,8.24,714.0,104.25,2.3,1.48, , 
,105.68,2080,85.5,2.3,11101001,106.04,2080,63.5,8.24,714.0,105.34,2.3,1.52, , 
,106.75,2080,85.5,2.3,11101001,107.10,2080,47.1,5.15,571.2,106.38,2.3,1.45, , 
,107.78,2080,87.0,5.5,11101001,108.13,2080,47.1,6.18,571.2,107.44,0.0,1.76, , 
,108.87,2048,85.5,8.2,11101001,109.22,2048,48.6,6.18,571.2,108.49,7.0,1.56, , 
,109.93,2048,85.5,10.2,11101001,110.28,2048,47.1,6.18,550.8,109.56,9.8,1.48, , 
,110.98,2048,85.5,11.3,11101001,111.32,2048,56.1,8.24,652.8,110.63,11.3,1.45, , 
,112.03,2048,87.0,8.2,11101001,112.38,2080,56.1,7.21,652.8,111.69,9.0,1.33, , 
,113.05,2080,85.5,7.4,11101001,113.38,2080,56.1,7.21,652.8,112.72,7.8,1.48, , 
,114.07,2112,85.5,7.0,11101001,114.43,2112,53.3,7.21,632.4,113.73,7.0,1.45, , 
,115.12,2144,85.5,7.0,11101001,115.47,2144,53.3,7.21,612.0,114.78,7.0,1.52, , 
,116.17,2176,85.5,0.0,11101001,116.51,2176,25.1,3.09,336.6,115.82,7.8,1.48, , 
,117.17,2176,85.5,3.5,11101001,117.49,2176,22.0,3.09,316.2,116.84,0.0,1.72, , 
,118.20,2144,85.5,2.3,11101001,118.53,2144,22.0,3.09,316.2,117.84,2.7,1.48, , 
,119.22,2144,87.0,2.0,11101001,119.55,2112,25.1,3.09,336.6,118.87,2.0,1.45, , 
,120.27,2112,85.5,7.4,11101001,120.61,2112,38.4,5.15,459.0,119.91,5.1,1.56, , 
,121.32,2144,85.5,9.0,11101001,121.68,2144,45.9,6.18,550.8,120.96,10.5,1.52, , 
,122.40,2176,85.5,9.8,11101001,122.75,2176,45.9,6.18,550.8,122.04,9.8,1.45, , 
,123.43,2176,85.5,11.7,11101001,123.77,2208,38.4,5.15,459.0,123.09,10.5,1.45, , 
,124.45,2176,85.5,10.5,11101001,124.80,2176,23.5,3.09,316.2,124.11,10.9,1.52, , 
,125.49,2176,85.5,9.0,11101001,125.83,2176,23.5,3.09,336.6,125.15,9.4,1.41, , 
,126.51,2144,85.5,7.4,11101001,126.87,2144,23.5,3.09,336.6,126.17,7.8,1.41, , 
,127.57,2144,85.5,5.5,11101001,127.92,2144,25.1,3.09,336.6,127.21,5.9,1.45, , 
,128.58,2112,85.5,5.5,11101001,128.92,2112,25.1,3.09,336.6,128.25,4.7,1.45, , 
,129.62,2112,85.5,5.9,11101001,129.98,2112,31.0,4.12,397.8,129.27,5.9,1.52, , 
,130.67,2112,85.5,7.8,11101001,131.01,2112,34.1,4.12,438.6,130.32,7.4,1.52, , 
,131.70,2112,85.5,9.8,11101001,132.06,2112,34.1,4.12,418.2,131.36,9.4,1.52, , 
,132.76,2112,87.0,10.2,11101001,133.12,2112,34.1,4.12,418.2,132.41,9.8,1.45, , 
,133.84,2112,87.0,10.9,11101001,134.20,2112,34.1,4.12,438.6,133.48,10.9,1.52, , 
,134.89,2112,85.5,10.9,11101001,135.24,2112,34.1,4.12,418.2,134.54,10.9,1.45, , 
,135.95,2112,85.5,10.5,11101001,136.30,2112,34.1,4.12,438.6,135.59,10.9,1.48, , 
,136.97,2112,87.0,10.2,11101001,137.29,2112,34.1,4.12,418.2,136.63,10.2,1.41, , 
,137.99,2144,85.5,9.0,11101001,138.34,2112,34.1,4.12,438.6,137.64,8.6,1.48, , 
,139.01,2144,85.5,8.6,11101001,139.36,2144,34.1,4.12,418.2,138.68,9.0,1.52, , 
,140.03,2144,85.5,9.0,11101001,140.37,2144,34.1,4.12,418.2,139.70,8.6,1.45, , 
,141.06,2144,87.0,7.8,11101001,141.42,2112,19.2,2.06,295.8,140.72,8.6,1.48, , 
,142.11,2112,85.5,-0.8,11101001,142.45,2080,19.2,2.06,295.8,141.77,0.8,1.13, , 
,143.14,2080,87.0,-3.5,11101001,143.50,2080,20.8,2.06,295.8,142.80,1.6,1.56, , 
,144.19,2080,87.0,-2.7,11101001,144.54,2048,20.8,2.06,295.8,143.84,-4.3,1.37, , 
,145.24,2048,87.0,-5.1,11101001,145.59,2048,20.8,2.06,295.8,144.89,-1.2,1.64, , 
