Ver. 4 7 real time data, œroda, 26 sierpieñ 2026 16:13:24
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
281	800	0.080000	5.480000	4.470000	1.070000	0.000000	76.000000	36.000000	57	0.000000	0.000000	0.000000	0	0	0	
516	801	0.080000	5.430000	4.450000	1.080000	0.000000	76.000000	36.000000	57	0.000000	0.000000	0.000000	0	0	0	
719	801	0.080000	5.450000	4.470000	1.080000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
922	799	0.080000	5.510000	4.500000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
1125	807	0.080000	5.380000	4.430000	1.080000	0.000000	76.000000	36.000000	54	0.000000	0.000000	0.000000	0	0	0	
1344	805	0.080000	5.430000	4.460000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
1547	800	0.080000	5.260000	4.380000	1.080000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
1750	791	0.080000	5.450000	4.470000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
1969	799	0.080000	5.330000	4.410000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
2172	786	0.080000	5.530000	4.530000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
2375	797	0.080000	5.510000	4.510000	1.080000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
2578	807	0.080000	5.480000	4.480000	1.080000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
2812	807	0.080000	5.480000	4.470000	1.080000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
3031	793	0.080000	5.280000	4.390000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
3250	794	0.080000	5.510000	4.540000	1.090000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
3484	816	0.080000	5.360000	4.450000	1.070000	0.000000	76.000000	36.000000	173	0.000000	0.000000	0.000000	0	0	0	
3719	812	0.080000	5.420000	4.450000	1.070000	0.000000	76.000000	36.000000	54	0.000000	0.000000	0.000000	0	0	0	
3953	785	0.080000	5.170000	4.320000	1.060000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
4187	770	0.080000	5.520000	4.500000	1.070000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
4406	778	0.080000	5.400000	4.440000	1.070000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
4703	798	0.080000	5.670000	4.770000	1.100000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
4937	898	0.080000	5.990000	5.080000	1.110000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
5156	1034	0.080000	6.120000	5.230000	1.090000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
5375	1217	0.080000	6.220000	5.180000	1.080000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
5609	1312	0.080000	6.010000	4.820000	1.060000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
5828	1353	0.080000	5.730000	4.580000	1.060000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
6047	1347	0.080000	5.750000	4.560000	1.050000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
6281	1277	0.080000	5.710000	4.520000	1.050000	0.000000	76.000000	36.000000	57	0.000000	0.000000	0.000000	0	0	0	
6500	1197	0.080000	5.560000	4.470000	1.060000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
6719	1124	0.080000	5.750000	4.660000	1.070000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
6953	1065	0.080000	5.900000	4.870000	1.080000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
7172	1000	0.080000	6.130000	5.250000	1.110000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
7391	960	0.080000	6.620000	5.820000	1.130000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
7625	961	0.080000	6.970000	6.250000	1.130000	0.000000	76.000000	36.000000	54	0.000000	0.000000	0.000000	0	0	0	
7844	964	0.080000	7.130000	6.520000	1.150000	0.000000	76.000000	36.000000	53	0.000000	0.000000	0.000000	0	0	0	
8062	949	0.080000	7.190000	6.650000	1.160000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
8281	878	0.080000	7.320000	6.770000	1.170000	0.000000	76.000000	36.000000	54	0.000000	0.000000	0.000000	0	0	0	
8516	906	0.080000	7.660000	7.160000	1.170000	0.000000	76.000000	36.000000	57	0.000000	0.000000	0.000000	0	0	0	
8734	970	0.080000	7.580000	7.070000	1.160000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
8953	1033	0.080000	7.300000	6.690000	1.140000	0.000000	76.000000	36.000000	57	0.000000	0.000000	0.000000	0	0	0	
9266	1099	0.080000	7.190000	6.450000	1.130000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
9484	1141	0.080000	7.020000	6.180000	1.120000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
9703	1165	0.080000	6.910000	5.910000	1.100000	0.000000	76.000000	36.000000	55	0.000000	0.000000	0.000000	0	0	0	
9937	1216	0.080000	6.810000	5.710000	1.100000	0.000000	76.000000	36.000000	56	0.000000	0.000000	0.000000	0	0	0	
10156	1210	0.080000	6.310000	5.230000	1.080000	0.000000	76.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
10391	1227	0.080000	6.030000	4.880000	1.060000	0.000000	76.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
10625	1212	0.080000	5.750000	4.680000	1.060000	0.000000	76.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
10844	1206	0.080000	5.670000	4.590000	1.060000	0.000000	76.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
11062	1177	0.080000	5.730000	4.660000	1.070000	0.000000	76.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
11297	1198	0.080000	1.810000	0.900000	1.090000	0.000000	76.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
11516	1197	0.080000	7.850000	7.060000	1.150000	0.000000	76.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
11734	1255	0.080000	1.750000	1.000000	1.180000	0.000000	76.000000	37.000000	71	0.000000	0.000000	0.000000	0	0	0	
11969	1364	0.080000	10.220000	9.370000	1.200000	0.000000	76.000000	37.000000	72	0.000000	0.000000	0.000000	0	0	0	
12187	1454	0.080000	8.070000	7.010000	1.160000	0.000000	76.000000	37.000000	106	0.000000	0.000000	0.000000	0	0	0	
12406	1514	0.080000	7.450000	6.200000	1.130000	0.000000	76.000000	37.000000	106	0.000000	0.000000	0.000000	0	0	0	
12656	1594	0.080000	8.270000	6.990000	1.150000	0.000000	76.000000	37.000000	105	0.000000	0.000000	0.000000	0	0	0	
12891	1703	0.080000	1.860000	0.800000	1.190000	0.000000	76.000000	37.000000	106	0.000000	0.000000	0.000000	0	0	0	
13125	1790	0.080000	9.190000	8.200000	1.190000	0.000000	76.000000	37.000000	105	0.000000	0.000000	0.000000	0	0	0	
13375	1917	0.080000	10.260000	0.970000	1.200000	0.000000	76.000000	37.000000	156	0.000000	0.000000	0.000000	0	0	0	
13625	2085	0.080000	11.060000	9.550000	1.240000	0.000000	76.000000	37.000000	179	0.000000	0.000000	0.000000	0	0	0	
13937	1829	0.080000	0.000000	0.000000	1.190000	0.000000	76.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
14203	1459	0.080000	0.000000	0.000000	1.190000	0.000000	76.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
14422	1194	0.080000	7.840000	6.860000	1.190000	0.000000	76.000000	37.000000	106	0.000000	0.000000	0.000000	0	0	0	
14672	1159	0.080000	6.050000	5.150000	1.050000	0.000000	76.000000	37.000000	73	0.000000	0.000000	0.000000	0	0	0	
14922	1219	0.080000	6.300000	5.080000	1.040000	0.000000	77.000000	37.000000	71	0.000000	0.000000	0.000000	0	0	0	
15172	1180	0.080000	6.490000	5.400000	1.060000	0.000000	76.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
15437	1164	0.080000	5.880000	4.820000	1.050000	0.000000	77.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
15703	1144	0.080000	5.660000	4.580000	1.060000	0.000000	77.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
15937	1139	0.080000	5.630000	4.550000	1.050000	0.000000	77.000000	37.000000	254	0.000000	0.000000	0.000000	0	0	0	
16187	1160	0.080000	5.620000	4.500000	1.050000	0.000000	77.000000	37.000000	0	0.000000	0.000000	0.000000	0	0	0	
16453	1164	0.080000	5.640000	5.040000	1.070000	0.000000	77.000000	37.000000	0	0.000000	0.000000	0.000000	0	0	0	
16687	1160	0.080000	1.780000	0.890000	1.110000	0.000000	77.000000	37.000000	0	0.000000	0.000000	0.000000	0	0	0	
16937	1144	0.080000	7.370000	6.540000	1.140000	0.000000	77.000000	37.000000	16	0.000000	0.000000	0.000000	0	0	0	
17172	1146	0.080000	7.520000	6.710000	1.150000	0.000000	77.000000	37.000000	14	0.000000	0.000000	0.000000	0	0	0	
17406	1155	0.080000	7.820000	7.110000	1.160000	0.000000	77.000000	37.000000	13	0.000000	0.000000	0.000000	0	0	0	
