Ver. 4 7 real time data, œroda, 26 sierpieñ 2026 16:07:55
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
172	800	0.100000	5.170000	4.320000	1.070000	0.000000	78.000000	37.000000	54	0.000000	0.000000	0.000000	0	0	0	
390	800	0.100000	5.290000	4.390000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
594	799	0.100000	5.120000	4.300000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
797	795	0.100000	5.280000	4.380000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
1000	795	0.100000	5.170000	4.320000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
1219	793	0.100000	5.070000	4.290000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
1422	793	0.100000	5.230000	4.350000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
1625	792	0.100000	5.170000	4.320000	1.070000	0.000000	78.000000	37.000000	57	0.000000	0.000000	0.000000	0	0	0	
1859	790	0.100000	5.220000	4.340000	1.070000	0.000000	78.000000	37.000000	57	0.000000	0.000000	0.000000	0	0	0	
2062	789	0.100000	5.110000	4.290000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
2281	795	0.100000	5.380000	4.440000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
2515	803	0.100000	5.260000	4.370000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
2781	806	0.100000	5.380000	4.430000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
2969	813	0.100000	5.110000	4.300000	1.070000	0.000000	78.000000	37.000000	57	0.000000	0.000000	0.000000	0	0	0	
3297	805	0.100000	5.220000	4.350000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
3500	803	0.100000	5.120000	4.300000	1.070000	0.000000	78.000000	37.000000	57	0.000000	0.000000	0.000000	0	0	0	
3687	802	0.100000	5.220000	4.350000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
3875	802	0.100000	5.060000	4.270000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
4094	806	0.100000	5.170000	4.330000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
4312	797	0.100000	5.290000	4.390000	1.070000	0.000000	78.000000	37.000000	55	0.000000	0.000000	0.000000	0	0	0	
4500	807	0.100000	5.150000	4.320000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
4703	808	0.100000	5.280000	4.380000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
4875	794	0.100000	5.160000	4.320000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
5078	801	0.100000	5.290000	4.390000	1.070000	0.000000	78.000000	37.000000	56	0.000000	0.000000	0.000000	0	0	0	
