Środa,26,Sierpień,2026,06:32:27:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.27,0,16.5,0.0,10110110,0.53,0,0.0,0.00,989.4,0.01,0.0,1.48, , 
,1.06,0,16.5,0.0,10110110,1.34,0,0.0,0.00,989.4,0.80,0.0,1.48, , 
,1.88,0,16.5,0.0,10110110,2.14,0,0.0,0.00,989.4,1.61,0.0,1.48, , 
,2.68,0,16.5,0.0,10110110,2.94,0,0.0,0.00,989.4,2.41,0.0,1.48, , 
,3.47,0,16.5,0.0,10110110,3.74,0,0.0,0.00,989.4,3.20,0.0,1.48, , 
,4.27,0,16.5,0.0,10110110,4.53,0,0.0,0.00,989.4,4.00,0.0,1.48, , 
,5.07,0,16.5,0.0,10110110,5.34,0,0.0,0.00,989.4,4.80,0.0,1.48, , 
,5.88,192,16.5,0.0,10110110,6.15,192,100.0,79.31,989.4,5.61,0.0,1.48, , 
,6.69,192,16.5,0.0,10110110,6.95,192,100.0,72.10,989.4,6.42,0.0,1.48, , 
,7.57,960,16.5,0.0,10110110,7.89,1056,69.4,17.51,734.4,7.23,0.0,1.48, , 
,8.54,1120,16.5,0.0,10110110,8.84,1152,44.3,10.30,499.8,8.21,0.0,1.48, , 
,9.47,1024,16.5,0.0,10110110,9.79,1056,47.1,10.30,550.8,9.16,0.0,1.48, , 
,10.43,1024,16.5,0.0,10110110,10.74,1024,47.1,10.30,550.8,10.10,0.0,1.48, , 
,11.33,1024,16.5,0.0,10110110,11.65,1024,47.1,10.30,550.8,11.04,0.0,1.48, , 
,12.26,1024,16.5,0.0,10110110,12.59,1024,47.1,9.27,520.2,11.96,0.0,1.48, , 
,13.23,1024,16.5,0.0,10110110,13.54,1024,45.9,9.27,520.2,12.91,0.0,1.48, , 
,14.16,1024,16.5,0.0,10110110,14.47,1024,45.9,9.27,520.2,13.86,0.0,1.48, , 
,15.07,1024,16.5,0.0,10110110,15.39,1024,44.3,8.24,499.8,14.75,0.0,1.48, , 
,16.00,1024,16.5,0.0,10110110,16.31,1024,44.3,8.24,499.8,15.70,0.0,1.48, , 
,16.93,1024,16.5,0.0,10110110,17.21,1024,42.7,7.21,499.8,16.63,0.0,1.48, , 
,17.80,1024,16.5,0.0,10110110,18.10,1024,42.7,7.21,479.4,17.50,0.0,1.48, , 
,18.76,992,16.5,0.0,10110110,19.11,1024,41.2,7.21,479.4,18.42,0.0,1.48, , 
,19.73,992,16.5,0.0,10110110,20.00,1024,41.2,7.21,479.4,19.38,0.0,1.48, , 
,20.71,992,16.5,0.0,10110110,20.99,992,41.2,7.21,479.4,20.36,0.0,1.48, , 
,21.64,992,16.5,0.0,10110110,22.00,992,40.0,6.18,459.0,21.28,0.0,1.48, , 
,22.54,992,16.5,0.0,10110110,22.81,992,41.2,6.18,479.4,22.27,0.0,1.48, , 
,23.46,992,16.5,0.0,10110110,23.80,992,40.0,6.18,479.4,23.09,0.0,1.48, , 
,24.45,960,16.5,0.0,10110110,24.73,960,40.0,6.18,459.0,24.15,0.0,1.48, , 
,25.38,960,16.5,0.0,10110110,25.67,960,40.0,6.18,459.0,25.06,0.0,1.48, , 
,26.30,960,16.5,0.0,10110110,26.57,960,40.0,6.18,479.4,25.99,0.0,1.48, , 
,27.22,960,16.5,0.0,10110110,27.50,960,40.0,6.18,479.4,26.89,0.0,1.48, , 
,28.11,960,16.5,0.0,10110110,28.44,960,40.0,6.18,479.4,27.80,0.0,1.48, , 
,29.06,960,16.5,0.0,10110110,29.35,960,40.0,6.18,479.4,28.76,0.0,1.48, , 
,30.01,960,16.5,0.0,10110110,30.33,960,40.0,6.18,479.4,29.67,0.0,1.48, , 
,30.98,960,16.5,0.0,10100010,31.30,1088,44.3,7.21,499.8,30.65,0.0,1.48, , 
,31.94,1120,16.5,0.0,10100010,32.26,864,48.6,10.30,550.8,31.60,0.0,1.48, , 
,32.83,864,16.5,0.0,10100010,33.15,896,50.2,7.21,571.2,32.54,0.0,1.48, , 
,33.74,736,16.5,0.0,10100010,34.04,800,57.6,10.30,652.8,33.45,0.0,1.48, , 
,34.67,896,16.5,0.0,10110110,34.98,960,44.3,6.18,499.8,34.35,0.0,1.45, , 
,35.62,960,18.0,0.0,10110110,35.94,960,41.2,6.18,479.4,35.30,0.0,1.41, , 
,36.55,928,18.0,0.0,10110110,36.86,928,42.7,6.18,499.8,36.24,0.0,1.37, , 
,37.45,960,18.0,0.0,10110110,37.79,960,41.2,6.18,479.4,37.14,0.0,1.33, , 
,38.39,960,18.0,0.0,10110110,38.72,960,40.0,6.18,479.4,38.06,0.0,1.29, , 
,39.34,960,18.0,0.0,10110110,39.63,960,40.0,6.18,479.4,39.03,0.0,1.25, , 
,40.22,928,18.0,0.0,10100010,40.53,800,47.1,8.24,550.8,39.93,0.0,1.13, , 
,41.21,1248,18.0,0.0,10100010,41.53,1184,41.2,6.18,479.4,40.87,0.0,1.37, , 
,42.13,768,18.0,0.0,10100010,42.45,960,56.1,8.24,632.4,41.83,0.0,1.25, , 
,43.10,992,18.0,0.0,10100010,43.41,736,51.8,10.30,571.2,42.78,0.0,1.09, , 
,44.05,960,18.0,0.0,10110110,44.35,928,42.7,5.15,499.8,43.72,0.0,1.29, , 
,44.98,896,19.5,0.0,10110110,45.29,832,45.9,7.21,520.2,44.68,0.0,1.02, , 
,45.88,768,19.5,0.0,10111110,46.17,800,59.2,11.33,652.8,45.58,0.0,1.33, , 
,46.76,800,19.5,0.0,10111110,47.07,864,56.1,8.24,632.4,46.46,0.0,0.98, , 
,47.69,928,19.5,-1.2,10111110,47.97,960,45.9,6.18,520.2,47.38,0.0,1.09, , 
,48.54,992,19.5,-5.1,10111110,48.85,896,45.9,6.18,520.2,48.24,-3.9,1.13, , 
,49.44,960,19.5,-8.6,10101010,49.73,992,45.9,6.18,520.2,49.15,-9.0,1.33, , 
,50.37,1088,19.5,0.0,10101010,50.67,1184,54.5,9.27,591.6,50.05,-8.2,1.41, , 
,51.37,1376,19.5,0.0,10101010,51.75,1504,51.8,7.21,571.2,51.01,0.0,1.25, , 
,52.48,1728,19.5,3.9,10101010,52.85,1856,48.6,7.21,520.2,52.11,2.7,1.45, , 
,53.56,1984,19.5,0.0,10111100,53.95,1920,23.5,3.09,295.8,53.20,0.0,1.17, , 
,54.60,1216,21.0,-12.1,10101010,54.92,1088,41.2,7.21,479.4,54.26,0.0,0.63, , 
,55.55,1056,21.0,0.0,10101010,55.86,1088,51.8,10.30,591.6,55.23,0.0,0.82, , 
,56.53,1152,21.0,0.0,10101010,56.85,1216,53.3,8.24,591.6,56.19,0.0,1.17, , 
,57.50,1280,21.0,0.0,10101010,57.82,1344,53.3,8.24,591.6,57.17,0.0,1.33, , 
,58.50,1408,21.0,0.8,10101010,58.77,1440,50.2,7.21,550.8,58.15,1.2,1.41, , 
,59.41,1504,21.0,0.0,10101010,59.74,1536,44.3,6.18,499.8,59.04,0.0,1.33, , 
,60.46,1568,21.0,0.0,10101010,60.84,1600,41.2,5.15,459.0,60.07,0.0,1.33, , 
,61.54,1632,21.0,2.3,10101010,61.93,1632,40.0,5.15,459.0,61.19,2.0,1.41, , 
,62.65,1664,21.0,5.9,10101010,62.98,1696,40.0,5.15,438.6,62.28,4.7,1.45, , 
,63.68,1728,22.5,7.0,10101010,64.02,1728,38.4,5.15,438.6,63.31,6.3,1.37, , 
,64.74,1728,22.5,7.0,10101010,65.13,1728,36.9,5.15,438.6,64.37,7.0,1.33, , 
,65.85,1760,22.5,7.0,10101010,66.19,1760,36.9,5.15,418.2,65.49,7.0,1.33, , 
,66.96,1792,22.5,7.8,10101010,67.34,1792,36.9,5.15,418.2,66.57,7.4,1.37, , 
,68.08,1792,22.5,7.0,10101010,68.44,1792,40.0,6.18,438.6,67.72,7.0,1.33, , 
,69.18,1856,22.5,10.5,10101010,69.54,1888,41.2,6.18,459.0,68.82,9.0,1.45, , 
,70.24,1888,24.0,0.0,10111110,70.62,1792,26.7,3.09,336.6,69.90,0.0,1.09, , 
,71.27,1536,24.0,-0.4,10111110,71.61,1408,31.0,4.12,377.4,70.97,-3.9,1.21, , 
,72.23,1088,24.0,2.3,10111110,72.54,960,38.4,5.15,459.0,71.91,2.0,1.48, , 
,73.16,928,24.0,3.5,10111110,73.48,928,40.0,6.18,479.4,72.84,2.3,1.52, , 
,74.11,928,24.0,5.1,10111110,74.41,896,40.0,6.18,479.4,73.80,4.7,1.45, , 
,75.02,928,24.0,6.6,10111110,75.33,896,40.0,6.18,479.4,74.72,6.3,1.45, , 
,75.95,928,25.5,6.6,10111110,76.28,928,40.0,6.18,479.4,75.65,6.6,1.37, , 
,76.90,896,25.5,6.3,10101010,77.22,1024,50.2,12.36,571.2,76.59,6.6,1.33, , 
,77.86,1184,25.5,0.0,10101010,78.19,1088,62.0,15.45,673.2,77.53,0.0,0.63, , 
,78.81,1152,25.5,0.0,10101010,79.12,1024,71.0,18.54,754.8,78.54,0.0,1.05, , 
,79.85,1440,25.5,0.0,10101010,80.20,1664,67.8,11.33,714.0,79.46,0.0,1.05, , 
,80.94,1952,25.5,0.0,10111110,81.29,2048,25.1,3.09,316.2,80.58,0.0,1.52, , 
,81.96,1408,25.5,0.0,10101010,82.26,1120,36.9,6.18,438.6,81.60,0.0,0.86, , 
,82.91,1184,25.5,0.0,10101010,83.23,1152,45.9,7.21,520.2,82.59,0.0,0.94, , 
,83.89,1248,27.0,0.8,10101010,84.22,1248,53.3,8.24,591.6,83.57,0.0,1.41, , 
,84.87,1376,27.0,0.0,10101010,85.22,1408,48.6,7.21,550.8,84.54,0.0,1.48, , 
,85.86,1504,27.0,4.3,10101010,86.22,1568,36.9,5.15,438.6,85.49,3.1,1.52, , 
,86.92,1632,27.0,2.7,10101010,87.29,1664,34.1,4.12,397.8,86.57,3.5,1.33, , 
,88.03,1760,27.0,4.7,10101010,88.41,1792,32.5,4.12,397.8,87.65,3.9,1.41, , 
,89.14,1888,27.0,7.0,10101010,89.51,1888,35.3,5.15,418.2,88.77,5.9,1.45, , 
,90.21,1984,27.0,6.3,10101000,90.56,1984,32.5,4.12,377.4,89.87,6.6,1.33, , 
,91.28,2048,28.5,3.9,10101000,91.64,2080,29.4,4.12,357.0,90.92,4.3,1.29, , 
,92.34,2144,28.5,3.1,10101000,92.67,2144,26.7,4.12,336.6,91.99,3.5,1.33, , 
,93.34,2176,28.5,3.1,10101000,93.68,2208,26.7,4.12,336.6,93.02,3.1,1.37, , 
,94.34,2208,28.5,4.7,10101000,94.68,2272,25.1,3.09,316.2,94.02,4.3,1.45, , 
,95.35,2240,28.5,3.9,10101000,95.68,2272,22.0,3.09,275.4,95.01,3.9,1.37, , 
,96.35,2272,28.5,2.7,10111100,96.69,2240,20.8,3.09,275.4,96.01,2.7,1.37, , 
,97.37,2144,28.5,5.1,10111100,97.73,2144,20.8,3.09,275.4,97.04,5.1,1.52, , 
,98.42,2080,30.0,8.6,10111100,98.77,2048,20.8,3.09,275.4,98.07,8.6,1.52, , 
,99.48,2016,30.0,10.2,10111100,99.84,1984,20.8,3.09,275.4,99.12,10.2,1.41, , 
,100.56,1920,30.0,12.1,10111110,100.94,1888,23.5,3.09,295.8,100.21,11.7,1.45, , 
,101.67,1856,30.0,11.7,10111110,102.02,1824,25.1,4.12,316.2,101.30,11.7,1.37, , 
,102.79,1792,30.0,12.5,10111110,103.15,1792,26.7,4.12,336.6,102.39,12.5,1.41, , 
,103.89,1824,31.5,11.7,10101010,104.26,1888,23.5,3.09,316.2,103.52,12.1,1.33, , 
,104.98,1920,31.5,7.8,10101010,105.34,1920,22.0,3.09,295.8,104.62,9.4,1.29, , 
,106.07,1984,31.5,4.7,10101010,106.43,1984,19.2,3.09,275.4,105.71,5.5,1.29, , 
,107.13,1984,31.5,4.3,10111100,107.48,1984,20.8,3.09,275.4,106.77,3.9,1.37, , 
,108.20,1952,31.5,10.2,10111110,108.57,1920,22.0,3.09,295.8,107.85,9.8,1.60, , 
,109.29,1888,33.0,11.7,10111110,109.65,1920,23.5,3.09,316.2,108.93,11.3,1.45, , 
,110.37,1856,33.0,13.3,10111110,110.74,1856,25.1,3.09,316.2,110.02,12.9,1.41, , 
,111.44,1824,33.0,12.9,10111110,111.82,1792,26.7,4.12,336.6,111.11,12.9,1.37, , 
,112.50,1632,33.0,15.2,10111110,112.87,1600,29.4,4.12,357.0,112.15,14.8,1.48, , 
,113.53,1504,33.0,16.8,10111110,113.83,1504,29.4,4.12,377.4,113.25,16.4,1.45, , 
,114.56,1472,34.5,13.7,10111110,114.97,1472,29.4,4.12,377.4,114.29,14.8,1.33, , 
,115.64,1408,34.5,11.3,10111110,115.98,1408,29.4,4.12,377.4,115.30,11.7,1.29, , 
,116.67,1344,34.5,8.6,10111110,117.00,1376,29.4,4.12,377.4,116.32,10.2,1.33, , 
,117.69,1376,34.5,6.3,10111110,118.04,1344,29.4,4.12,377.4,117.34,7.0,1.33, , 
,118.71,1408,34.5,5.9,10101010,119.03,1408,31.0,4.12,397.8,118.38,6.3,1.41, , 
,119.84,1504,34.5,6.3,10101010,120.21,1536,29.4,4.12,357.0,119.49,6.6,1.45, , 
,120.89,1568,36.0,9.8,10101010,121.23,1600,28.2,4.12,357.0,120.55,8.6,1.52, , 
,121.95,1696,36.0,12.1,10101010,122.31,1696,28.2,4.12,357.0,121.58,11.3,1.48, , 
,123.02,1792,36.0,12.9,10101010,123.37,1792,26.7,4.12,336.6,122.69,12.5,1.45, , 
,124.10,1856,36.0,10.9,10101010,124.47,1888,23.5,3.09,316.2,123.74,11.3,1.33, , 
,125.20,1920,36.0,8.2,10101010,125.56,1920,22.0,3.09,295.8,124.85,8.6,1.29, , 
,126.28,1952,36.0,7.4,10101010,126.64,1952,20.8,3.09,295.8,125.91,7.0,1.37, , 
,127.36,1952,37.5,8.2,10111110,127.71,1920,22.0,3.09,295.8,127.01,7.4,1.45, , 
,128.42,1888,37.5,10.9,10101010,128.78,1920,22.0,3.09,295.8,128.06,10.9,1.52, , 
,129.51,1952,37.5,10.9,10101010,129.86,1952,22.0,3.09,295.8,129.14,11.3,1.41, , 
,130.59,1984,37.5,8.6,10101000,130.94,2016,20.8,3.09,295.8,130.23,9.4,1.29, , 
,131.64,2080,37.5,9.4,10101000,131.99,2112,23.5,3.09,316.2,131.29,9.4,1.45, , 
,132.64,2144,37.5,10.5,10101000,132.98,2208,25.1,3.09,316.2,132.32,10.2,1.45, , 
,133.66,2272,37.5,10.2,10101000,134.01,2304,25.1,3.09,316.2,133.33,10.2,1.41, , 
,134.66,2368,39.0,11.3,10101000,134.99,2400,23.5,3.09,295.8,134.33,10.9,1.45, , 
,135.68,2400,39.0,10.2,10111100,135.99,2400,20.8,3.09,275.4,135.34,10.2,1.41, , 
,136.64,2336,39.0,10.9,10111100,136.98,2304,20.8,3.09,275.4,136.32,10.5,1.48, , 
,137.66,2240,39.0,12.5,10111100,138.00,2240,20.8,3.09,275.4,137.33,12.1,1.45, , 
,138.68,2144,39.0,13.3,10111100,139.03,2176,20.8,3.09,275.4,138.35,12.9,1.45, , 
,139.71,2048,39.0,15.6,10111100,140.06,2016,20.8,3.09,275.4,139.37,14.5,1.48, , 
,140.78,1856,39.0,16.4,10111110,141.14,1760,26.7,4.12,336.6,140.43,14.8,1.41, , 
,141.82,1248,40.5,17.6,10111110,142.14,992,32.5,5.15,418.2,141.49,17.6,1.48, , 
