Ver. 4 7 real time data, czwartek, 27 sierpieñ 2026 06:37:35
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
235	821	0.570000	5.560000	4.410000	1.540000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
453	824	0.570000	5.390000	4.340000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
688	815	0.570000	5.560000	4.410000	1.530000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
875	826	0.570000	5.490000	4.380000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
1094	824	0.570000	5.430000	4.340000	1.520000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
1344	818	0.570000	5.450000	4.360000	1.520000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
1547	813	0.570000	5.380000	4.330000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
1750	827	0.570000	5.730000	4.490000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
1969	834	0.570000	5.380000	4.320000	1.520000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
2219	827	0.570000	5.500000	4.390000	1.530000	0.470000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
2406	826	0.570000	5.280000	4.280000	1.530000	0.470000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
2719	815	0.570000	5.390000	4.340000	1.530000	0.460000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
2938	813	0.570000	5.340000	4.310000	1.530000	0.470000	53.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
3156	819	0.570000	5.660000	4.450000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
3375	820	0.570000	5.390000	4.330000	1.540000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
3594	820	0.570000	5.660000	4.450000	1.540000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
3781	819	0.570000	5.390000	4.340000	1.540000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
3985	818	0.570000	5.500000	4.390000	1.510000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
4219	812	0.570000	5.430000	4.350000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
4438	814	0.570000	5.560000	4.410000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
4641	817	0.570000	5.730000	4.490000	1.530000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
4828	821	0.570000	5.390000	4.340000	1.540000	0.470000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
5031	816	0.570000	5.560000	4.420000	1.520000	0.490000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
5250	819	0.570000	5.440000	4.350000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
5438	825	0.570000	5.540000	4.400000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
5610	822	0.570000	5.500000	4.390000	1.530000	0.480000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
5813	824	0.570000	5.320000	4.300000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
6000	805	0.570000	5.500000	4.390000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
6203	822	0.570000	5.390000	4.340000	1.520000	0.480000	53.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
6406	816	0.570000	5.430000	4.420000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
6610	823	0.570000	5.490000	4.380000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
6906	809	0.570000	5.600000	4.430000	1.510000	0.490000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
7110	820	0.570000	5.610000	4.430000	1.530000	0.470000	53.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
7328	818	0.570000	5.510000	4.390000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
7563	820	0.570000	5.550000	4.400000	1.530000	0.480000	53.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
7766	820	0.570000	5.440000	4.350000	1.530000	0.470000	53.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
8000	823	0.570000	5.560000	4.420000	1.540000	0.470000	54.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
8219	823	0.570000	5.390000	4.340000	1.530000	0.470000	54.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
8422	808	0.570000	5.600000	4.420000	1.530000	0.470000	54.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
8672	822	0.570000	5.390000	4.330000	1.520000	0.480000	54.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
8891	819	0.570000	5.560000	4.420000	1.520000	0.490000	54.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
9094	819	0.570000	5.380000	4.330000	1.520000	0.470000	54.000000	5.000000	200	0.000000	0.000000	0.000000	0	0	0	
9313	819	0.570000	5.450000	4.370000	1.530000	0.490000	54.000000	5.000000	107	0.000000	0.000000	0.000000	0	0	0	
9547	823	0.570000	5.390000	4.340000	1.530000	0.480000	54.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
9766	823	0.570000	5.330000	4.310000	1.520000	0.470000	54.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
9985	819	0.570000	5.430000	4.340000	1.530000	0.480000	54.000000	5.000000	201	0.000000	0.000000	0.000000	0	0	0	
10172	824	0.570000	5.370000	4.320000	1.540000	0.470000	54.000000	5.000000	113	0.000000	0.000000	0.000000	0	0	0	
10391	825	0.570000	6.260000	1.050000	1.510000	0.500000	54.000000	5.000000	150	0.000000	0.000000	0.000000	0	0	0	
10578	909	0.570000	3.200000	2.830000	1.420000	0.720000	54.000000	5.000000	116	0.000000	0.000000	0.000000	0	0	0	
10813	1156	0.570000	18.310000	18.230000	1.490000	0.890000	54.000000	5.000000	189	0.000000	0.000000	0.000000	0	0	0	
11047	2053	0.570000	10.100000	8.360000	1.480000	0.760000	54.000000	5.000000	106	0.000000	0.000000	0.000000	0	0	0	
11328	2360	0.550000	7.780000	6.310000	1.490000	0.610000	54.000000	5.000000	105	0.000000	0.000000	0.000000	0	0	0	
11547	2226	0.570000	7.390000	5.910000	1.490000	0.610000	54.000000	6.000000	122	0.000000	0.000000	0.000000	0	0	0	
11797	2096	0.570000	8.130000	6.520000	1.460000	0.670000	54.000000	5.000000	179	0.000000	0.000000	0.000000	0	0	0	
12016	1999	0.570000	8.400000	6.730000	1.490000	0.670000	54.000000	6.000000	179	0.000000	0.000000	0.000000	0	0	0	
12266	1992	0.550000	8.260000	6.590000	1.490000	0.660000	54.000000	6.000000	179	0.000000	0.000000	0.000000	0	0	0	
12469	1907	0.550000	8.490000	0.860000	1.490000	0.680000	54.000000	6.000000	156	0.000000	0.000000	0.000000	0	0	0	
12672	1811	0.550000	9.110000	7.390000	1.490000	0.710000	54.000000	6.000000	156	0.000000	0.000000	0.000000	0	0	0	
12891	1674	0.550000	8.340000	6.580000	1.500000	0.680000	54.000000	6.000000	156	0.000000	0.000000	0.000000	0	0	0	
13094	1339	0.550000	7.520000	5.770000	1.530000	0.640000	54.000000	6.000000	179	0.000000	0.000000	0.000000	0	0	0	
13313	1584	0.550000	5.710000	4.430000	1.540000	0.540000	54.000000	6.000000	179	0.000000	0.000000	0.000000	0	0	0	
13547	1555	0.550000	6.070000	4.670000	1.530000	0.530000	54.000000	6.000000	183	0.000000	0.000000	0.000000	0	0	0	
13735	1593	0.550000	4.640000	3.960000	1.530000	0.500000	54.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
13969	1594	0.550000	4.920000	4.120000	1.530000	0.500000	54.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
14203	1693	0.550000	5.990000	4.660000	1.510000	0.480000	54.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
14391	1596	0.550000	6.210000	4.810000	1.540000	0.460000	54.000000	6.000000	233	0.000000	0.000000	0.000000	0	0	0	
14610	1605	0.550000	1.940000	0.900000	1.540000	0.430000	54.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
14828	1373	0.550000	0.000000	0.000000	1.600000	0.390000	54.000000	6.000000	156	0.000000	0.000000	0.000000	0	0	0	
15047	1037	0.550000	6.070000	4.820000	1.540000	0.410000	54.000000	6.000000	251	0.000000	0.000000	0.000000	0	0	0	
15266	1008	0.550000	6.950000	5.720000	1.530000	0.440000	54.000000	6.000000	82	0.000000	0.000000	0.000000	0	0	0	
15500	979	0.550000	7.010000	5.890000	1.530000	0.420000	54.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
15797	892	0.550000	6.830000	5.600000	1.520000	0.450000	54.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
16047	879	0.550000	6.710000	5.510000	1.540000	0.430000	54.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
16281	863	0.550000	6.760000	5.570000	1.540000	0.440000	55.000000	6.000000	74	0.000000	0.000000	0.000000	0	0	0	
16547	850	0.550000	6.920000	5.700000	1.540000	0.440000	54.000000	6.000000	74	0.000000	0.000000	0.000000	0	0	0	
16750	875	0.550000	6.740000	5.540000	1.530000	0.460000	54.000000	6.000000	54	0.000000	0.000000	0.000000	0	0	0	
16953	909	0.550000	6.620000	5.410000	1.540000	0.450000	54.000000	6.000000	0	0.000000	0.000000	0.000000	0	0	0	
17172	903	0.550000	6.530000	5.320000	1.520000	0.450000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
17422	908	0.550000	6.280000	5.050000	1.520000	0.450000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
17641	910	0.550000	5.940000	4.720000	1.530000	0.440000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
17844	913	0.550000	5.840000	4.620000	1.520000	0.440000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
18094	910	0.550000	5.510000	4.390000	1.530000	0.440000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
18328	913	0.550000	5.070000	4.200000	1.540000	0.430000	55.000000	6.000000	57	0.000000	0.000000	0.000000	0	0	0	
18578	895	0.550000	4.860000	4.090000	1.530000	0.450000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
18797	868	0.550000	5.130000	4.220000	1.550000	0.450000	55.000000	6.000000	57	0.000000	0.000000	0.000000	0	0	0	
19031	883	0.550000	5.130000	4.220000	1.520000	0.470000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
19266	886	0.550000	5.080000	4.200000	1.540000	0.460000	55.000000	6.000000	57	0.000000	0.000000	0.000000	0	0	0	
19547	882	0.550000	5.180000	4.240000	1.540000	0.460000	55.000000	6.000000	13	0.000000	0.000000	0.000000	0	0	0	
19781	886	0.550000	5.080000	4.200000	1.530000	0.460000	55.000000	6.000000	15	0.000000	0.000000	0.000000	0	0	0	
20000	878	0.550000	5.370000	4.320000	1.520000	0.470000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
20219	911	0.550000	5.270000	4.280000	1.550000	0.440000	55.000000	6.000000	57	0.000000	0.000000	0.000000	0	0	0	
20516	871	0.550000	4.680000	4.000000	1.530000	0.460000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
20766	802	0.550000	4.680000	4.010000	1.540000	0.470000	55.000000	6.000000	18	0.000000	0.000000	0.000000	0	0	0	
21047	798	0.550000	5.610000	4.430000	1.530000	0.480000	55.000000	6.000000	17	0.000000	0.000000	0.000000	0	0	0	
21266	826	0.550000	5.430000	4.350000	1.530000	0.480000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
21516	820	0.550000	3.200000	1.610000	1.470000	0.580000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
21750	1006	0.550000	11.650000	10.960000	1.500000	0.640000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
21969	1391	0.550000	10.400000	8.990000	1.500000	0.610000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
22172	1629	0.550000	9.130000	7.290000	1.490000	0.560000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
22406	1548	0.550000	2.200000	1.350000	1.470000	0.600000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
22625	1492	0.550000	1.900000	12.060000	1.460000	0.750000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
22860	1682	0.550000	11.810000	9.620000	1.490000	0.700000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
23094	1906	0.550000	9.570000	7.900000	1.500000	0.650000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
23344	1900	0.550000	7.380000	5.810000	1.500000	0.540000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
23563	1745	0.550000	8.380000	6.670000	1.480000	0.560000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
23781	1644	0.550000	8.490000	6.680000	1.510000	0.570000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
23985	1570	0.550000	8.470000	6.650000	1.510000	0.590000	55.000000	6.000000	59	0.000000	0.000000	0.000000	0	0	0	
24219	1505	0.550000	8.610000	6.790000	1.510000	0.610000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
24422	1505	0.550000	4.820000	4.070000	1.560000	0.480000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
24656	1316	0.550000	0.000000	0.000000	1.580000	0.460000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
24906	991	0.550000	6.900000	0.810000	1.510000	0.480000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
25203	1163	0.550000	6.510000	5.290000	1.530000	0.430000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
25438	1145	0.550000	6.300000	4.990000	1.530000	0.390000	55.000000	6.000000	122	0.000000	0.000000	0.000000	0	0	0	
25672	1010	0.550000	5.670000	4.460000	1.540000	0.380000	55.000000	6.000000	122	0.000000	0.000000	0.000000	0	0	0	
25891	882	0.550000	1.650000	0.870000	1.540000	0.380000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
26110	793	0.550000	1.660000	0.900000	1.530000	0.420000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
26313	737	0.550000	7.630000	6.460000	1.520000	0.460000	55.000000	6.000000	134	0.000000	0.000000	0.000000	0	0	0	
26578	752	0.550000	8.060000	6.920000	1.520000	0.500000	55.000000	6.000000	124	0.000000	0.000000	0.000000	0	0	0	
26813	777	0.550000	7.320000	6.130000	1.530000	0.480000	55.000000	6.000000	165	0.000000	0.000000	0.000000	0	0	0	
27063	770	0.550000	7.260000	6.060000	1.530000	0.470000	55.000000	6.000000	153	0.000000	0.000000	0.000000	0	0	0	
27281	792	0.550000	6.870000	5.640000	1.540000	0.470000	55.000000	6.000000	254	0.000000	0.000000	0.000000	0	0	0	
27516	811	0.550000	6.530000	5.320000	1.520000	0.490000	55.000000	6.000000	123	0.000000	0.000000	0.000000	0	0	0	
27750	838	0.550000	8.190000	7.070000	1.530000	0.540000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
27953	874	0.550000	1.630000	0.800000	1.520000	0.560000	55.000000	6.000000	104	0.000000	0.000000	0.000000	0	0	0	
28156	920	0.550000	8.040000	6.900000	1.520000	0.540000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
28406	962	0.550000	7.830000	6.680000	1.520000	0.520000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
28641	978	0.550000	1.770000	1.170000	1.480000	0.560000	55.000000	6.000000	104	0.000000	0.000000	0.000000	0	0	0	
28860	1043	0.550000	1.660000	0.850000	1.500000	0.590000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
29078	1175	0.550000	8.790000	7.520000	1.520000	0.560000	55.000000	6.000000	107	0.000000	0.000000	0.000000	0	0	0	
29281	1309	0.550000	8.240000	6.730000	1.520000	0.530000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
29500	1294	0.550000	8.400000	6.790000	1.510000	0.520000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
29844	1056	0.550000	9.560000	8.460000	1.500000	0.610000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
30063	829	0.550000	1.770000	1.160000	1.500000	0.710000	55.000000	6.000000	122	0.000000	0.000000	0.000000	0	0	0	
30344	1013	0.550000	9.980000	8.980000	1.510000	0.660000	55.000000	6.000000	155	0.000000	0.000000	0.000000	0	0	0	
30594	1182	0.550000	8.470000	7.130000	1.520000	0.580000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
30844	1255	0.550000	7.960000	6.600000	1.510000	0.530000	55.000000	6.000000	56	0.000000	0.000000	0.000000	0	0	0	
31063	1314	0.550000	6.780000	5.330000	1.510000	0.480000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
31281	1382	0.550000	6.780000	5.320000	1.500000	0.470000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
31500	1432	0.550000	6.680000	5.190000	1.520000	0.450000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
31719	1464	0.550000	6.750000	5.290000	1.510000	0.450000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
31985	1532	0.550000	6.020000	4.680000	1.500000	0.440000	55.000000	6.000000	74	0.000000	0.000000	0.000000	0	0	0	
32203	1559	0.550000	5.870000	4.560000	1.500000	0.430000	55.000000	6.000000	57	0.000000	0.000000	0.000000	0	0	0	
32406	1587	0.550000	5.810000	4.540000	1.510000	0.440000	55.000000	6.000000	55	0.000000	0.000000	0.000000	0	0	0	
32688	1650	0.550000	5.780000	4.540000	1.510000	0.420000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
32922	1669	0.550000	5.630000	4.450000	1.500000	0.420000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
33125	1729	0.550000	5.440000	4.390000	1.510000	0.410000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
33375	1745	0.550000	5.730000	4.520000	1.500000	0.430000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
33578	1802	0.550000	5.780000	4.650000	1.500000	0.440000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
33797	1846	0.550000	5.950000	4.840000	1.500000	0.450000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
34047	1889	0.550000	5.890000	4.820000	1.500000	0.460000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
34250	1943	0.550000	5.770000	4.680000	1.500000	0.440000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
34594	2040	0.550000	7.000000	5.640000	1.480000	0.490000	55.000000	6.000000	72	0.000000	0.000000	0.000000	0	0	0	
34828	2085	0.550000	7.780000	6.250000	1.490000	0.540000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
35078	2180	0.550000	7.250000	5.840000	1.480000	0.530000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
35328	2282	0.550000	6.940000	5.660000	1.500000	0.510000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
35547	2333	0.550000	6.360000	5.350000	1.500000	0.480000	55.000000	6.000000	105	0.000000	0.000000	0.000000	0	0	0	
35797	2377	0.550000	3.900000	3.100000	1.540000	0.370000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
36016	2097	0.550000	0.000000	0.000000	1.570000	0.340000	55.000000	6.000000	106	0.000000	0.000000	0.000000	0	0	0	
36235	1661	0.550000	0.000000	0.000000	1.580000	0.340000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
36469	1268	0.550000	0.000000	0.000000	1.560000	0.360000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
36750	993	0.550000	6.780000	5.620000	1.520000	0.400000	55.000000	6.000000	73	0.000000	0.000000	0.000000	0	0	0	
36985	913	0.550000	7.010000	5.910000	1.510000	0.430000	55.000000	6.000000	75	0.000000	0.000000	0.000000	0	0	0	
