Czwartek,27,Sierpień,2026,06:31:56:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.27,0,16.5,0.0,10110110,0.54,0,0.0,0.00,1009.8,0.01,-100.0,0.0, , 
,1.07,0,16.5,0.0,10110110,1.35,0,0.0,0.00,1009.8,0.80,-100.0,0.0, , 
,1.89,0,16.5,0.0,10110110,2.16,0,0.0,0.00,1009.8,1.62,-100.0,0.0, , 
,2.69,0,16.5,0.0,10110110,2.95,0,0.0,0.00,1009.8,2.42,-100.0,0.0, , 
,3.48,0,16.5,0.0,10110110,3.76,0,0.0,0.00,1009.8,3.22,-100.0,0.0, , 
,4.30,0,16.5,0.0,10110110,4.56,0,0.0,0.00,1009.8,4.03,-100.0,0.0, , 
,5.10,0,16.5,0.0,10110110,5.37,0,0.0,0.00,1009.8,4.83,-100.0,0.0, , 
,5.91,0,16.5,0.0,10110110,6.17,0,0.0,0.00,1009.8,5.64,-100.0,0.0, , 
,6.70,0,16.5,0.0,10110110,6.97,0,0.0,0.00,1009.8,6.44,-100.0,0.0, , 
,7.50,0,16.5,0.0,10110110,7.77,0,0.0,0.00,1009.8,7.24,-100.0,0.0, , 
,8.31,0,16.5,0.0,10110110,8.58,0,0.0,0.00,1009.8,8.04,-100.0,0.0, , 
,9.12,0,16.5,0.0,10110110,9.39,0,0.0,0.00,1009.8,8.85,-100.0,0.0, , 
,9.92,0,16.5,0.0,10110110,10.19,0,0.0,0.00,1009.8,9.65,-100.0,0.0, , 
,10.73,0,16.5,0.0,10110110,11.00,0,0.0,0.00,1009.8,10.46,-100.0,0.0, , 
,11.53,0,16.5,0.0,10110110,11.80,0,0.0,0.00,1009.8,11.27,-100.0,0.0, , 
,12.33,0,16.5,0.0,10110110,12.60,0,0.0,0.00,1009.8,12.06,-100.0,0.0, , 
,13.14,0,16.5,0.0,10110110,13.41,0,0.0,0.00,1009.8,12.87,-100.0,0.0, , 
,13.94,0,16.5,0.0,10110110,14.20,0,0.0,0.00,1009.8,13.67,-100.0,0.0, , 
,14.73,0,16.5,0.0,10110110,15.00,0,0.0,0.00,1009.8,14.47,-100.0,0.0, , 
,15.53,0,16.5,0.0,10110110,15.80,0,0.0,0.00,1009.8,15.27,-100.0,0.0, , 
,16.33,0,16.5,0.0,10110110,16.60,0,0.0,0.00,1009.8,16.06,-100.0,0.0, , 
,17.14,0,16.5,0.0,10110110,17.40,0,0.0,0.00,1009.8,16.88,-100.0,0.0, , 
,17.95,0,16.5,0.0,10110110,18.20,0,0.0,0.00,1009.8,17.67,-100.0,0.0, , 
,18.74,0,16.5,0.0,10110110,19.01,0,0.0,0.00,1009.8,18.47,-100.0,0.0, , 
,19.56,0,16.5,0.0,10110110,19.83,0,0.0,0.00,1009.8,19.29,-100.0,0.0, , 
,20.36,0,16.5,0.0,10110110,20.62,0,0.0,0.00,1009.8,20.09,-100.0,0.0, , 
,21.16,0,16.5,0.0,10110110,21.42,0,0.0,0.00,1009.8,20.89,-100.0,0.0, , 
,21.96,0,16.5,0.0,10110110,22.24,0,0.0,0.00,1009.8,21.69,-100.0,0.0, , 
,22.78,0,16.5,0.0,10110110,23.05,0,0.0,0.00,1009.8,22.51,-100.0,0.0, , 
,23.59,0,16.5,0.0,10110110,23.84,0,0.0,0.00,1009.8,23.31,-100.0,0.0, , 
,24.38,0,16.5,0.0,10110110,24.64,0,0.0,0.00,1009.8,24.11,-100.0,0.0, , 
,25.17,0,16.5,0.0,10110110,25.44,0,0.0,0.00,1009.8,24.91,-100.0,0.0, , 
,25.97,0,16.5,0.0,10110110,26.24,0,0.0,0.00,1009.8,25.70,-100.0,0.0, , 
,26.76,0,16.5,0.0,10110110,27.03,0,0.0,0.00,1009.8,26.50,-100.0,0.0, , 
,27.56,0,16.5,0.0,10110110,27.83,0,0.0,0.00,1009.8,27.29,-100.0,0.0, , 
,28.36,0,16.5,0.0,10110110,28.63,0,0.0,0.00,1009.8,28.09,-100.0,0.0, , 
,29.16,0,16.5,0.0,10110110,29.42,0,0.0,0.00,1009.8,28.89,-100.0,0.0, , 
,29.95,0,16.5,0.0,10110110,30.22,0,0.0,0.00,1009.8,29.69,-100.0,0.0, , 
,30.75,0,16.5,0.0,10110110,31.02,0,0.0,0.00,1009.8,30.48,-100.0,0.0, , 
,31.55,0,16.5,0.0,10110110,31.82,0,0.0,0.00,1009.8,31.28,-100.0,0.0, , 
,32.36,0,16.5,0.0,10110110,32.63,0,0.0,0.00,1009.8,32.09,-100.0,0.0, , 
,33.16,0,16.5,0.0,10110110,33.43,0,0.0,0.00,1009.8,32.89,-100.0,0.0, , 
,33.98,0,16.5,0.0,10110110,34.25,0,0.0,0.00,1009.8,33.71,-100.0,0.0, , 
,34.78,192,16.5,0.0,10110110,35.05,192,100.0,80.34,989.4,34.52,-100.0,0.0, , 
,35.58,192,16.5,0.0,10110110,35.84,192,100.0,73.13,989.4,35.31,-100.0,0.0, , 
,36.39,192,16.5,0.0,10110110,36.67,192,100.0,66.95,989.4,36.13,-100.0,0.0, , 
,37.30,1152,16.5,0.0,10110110,37.65,1280,62.0,15.45,673.2,36.99,-100.0,0.0, , 
,38.29,1184,16.5,0.0,10110110,38.59,1088,45.9,10.30,520.2,37.96,-1.6,0.0, , 
,39.24,1056,16.5,0.0,10110110,39.54,1056,48.6,11.33,550.8,38.92,-1.6,0.0, , 
,40.18,1056,16.5,0.0,10110110,40.51,1024,50.2,10.30,550.8,39.85,-1.6,0.0, , 
,41.15,1024,16.5,0.0,10110110,41.47,1024,48.6,10.30,550.8,40.82,-1.6,0.0, , 
,42.12,1024,16.5,0.0,10110110,42.43,1024,47.1,9.27,520.2,41.79,-1.6,0.0, , 
,43.06,1024,16.5,0.0,10110110,43.38,1024,47.1,9.27,520.2,42.75,-1.6,0.0, , 
,44.01,1024,16.5,0.0,10110110,44.33,1024,45.9,9.27,520.2,43.70,-1.6,0.0, , 
,44.98,1024,16.5,0.0,10110110,45.30,1024,45.9,8.24,520.2,44.65,-1.6,0.0, , 
,45.93,1024,16.5,0.0,10110110,46.25,1024,44.3,8.24,499.8,45.62,-1.6,0.0, , 
,46.85,1024,16.5,0.0,10110110,47.22,992,44.3,8.24,499.8,46.58,-1.6,0.0, , 
,47.77,992,16.5,0.0,10110110,48.11,992,44.3,8.24,499.8,47.48,-1.6,0.0, , 
,48.70,992,16.5,0.0,10110110,49.06,992,44.3,8.24,499.8,48.40,-1.6,0.0, , 
,49.75,992,16.5,0.0,10110110,50.10,960,44.3,7.21,499.8,49.42,-1.6,0.0, , 
,50.79,992,16.5,0.0,10110110,51.15,960,44.3,7.21,499.8,50.44,-1.6,0.0, , 
,51.75,992,16.5,0.0,10110110,52.04,992,42.7,7.21,499.8,51.49,-1.6,0.0, , 
,52.76,992,16.5,0.0,10110110,53.12,992,42.7,7.21,499.8,52.40,-1.6,0.0, , 
,53.72,992,16.5,0.0,10110110,54.06,960,42.7,7.21,499.8,53.42,-1.6,0.0, , 
,54.65,960,16.5,0.0,10100010,54.95,992,42.7,7.21,499.8,54.35,-1.6,0.0, , 
,55.57,1216,16.5,0.0,10100010,55.88,1184,41.2,6.18,479.4,55.27,-1.6,0.0, , 
,56.53,1056,16.5,0.0,10100010,56.84,1120,44.3,6.18,499.8,56.22,-1.6,0.0, , 
,57.48,1280,16.5,0.0,10100010,57.82,1248,35.3,5.15,418.2,57.17,-1.6,0.0, , 
,58.47,1024,16.5,0.0,10100010,58.77,1120,36.9,4.12,438.6,58.16,-1.6,0.0, , 
,59.34,1024,16.5,0.0,10110110,59.65,928,38.4,6.18,438.6,59.07,-1.6,0.0, , 
,60.27,960,16.5,0.0,10110110,60.58,928,40.0,6.18,479.4,59.97,-1.6,0.0, , 
,61.21,960,16.5,0.0,10100010,61.54,928,41.2,6.18,479.4,60.89,-1.6,0.0, , 
,62.18,1184,16.5,0.0,10100010,62.49,1184,41.2,8.24,479.4,61.88,-1.6,0.0, , 
,63.11,1312,16.5,0.0,10100010,63.44,1312,42.7,8.24,479.4,62.79,-1.6,0.0, , 
,64.17,1440,16.5,0.0,10100010,64.63,1472,44.3,6.18,479.4,63.79,-0.8,0.0, , 
,65.16,1472,16.5,0.0,10100010,65.49,1504,42.7,6.18,479.4,64.89,-0.8,-2.0, , 
,66.22,1760,18.0,0.0,10110110,66.60,1728,31.0,4.12,357.0,65.85,-1.6,-2.0, , 
,67.30,1344,18.0,0.0,10110110,67.62,1056,35.3,6.18,418.2,66.98,-1.6,-2.0, , 
,68.26,928,18.0,0.0,10110110,68.56,960,44.3,6.18,499.8,67.92,-1.6,0.0, , 
,69.17,896,18.0,0.0,10110110,69.49,928,44.3,6.18,520.2,68.88,-1.6,0.0, , 
,70.10,928,18.0,0.0,10110110,70.43,960,44.3,6.18,520.2,69.78,-1.6,0.0, , 
,71.08,960,18.0,0.0,10110110,71.40,960,44.3,6.18,499.8,70.76,-1.6,0.0, , 
,72.07,960,18.0,0.0,10110110,72.40,960,44.3,6.18,499.8,71.73,-1.6,0.0, , 
,73.03,960,18.0,0.0,10110110,73.37,960,42.7,6.18,499.8,72.72,-1.6,0.0, , 
,74.01,960,18.0,0.0,10110110,74.33,960,42.7,6.18,499.8,73.67,-1.6,0.0, , 
,74.93,960,18.0,0.0,10110110,75.26,928,41.2,6.18,479.4,74.64,-1.6,0.0, , 
,75.87,928,19.5,0.0,10110110,76.18,896,40.0,6.18,479.4,75.55,-1.6,0.0, , 
,76.83,928,19.5,0.0,10110110,77.15,928,41.2,6.18,479.4,76.51,-1.6,0.0, , 
,77.75,928,19.5,0.0,10110110,78.05,928,41.2,6.18,479.4,77.46,-1.6,0.0, , 
,78.67,928,19.5,0.0,10110110,78.99,928,41.2,5.15,479.4,78.38,-1.6,0.0, , 
,79.58,928,19.5,0.0,10110110,79.88,928,41.2,6.18,479.4,79.28,-1.6,0.0, , 
,80.50,960,19.5,0.0,10110110,80.80,960,41.2,6.18,479.4,80.19,-1.6,0.0, , 
,81.45,960,19.5,0.0,10100010,81.79,1184,42.7,7.21,479.4,81.12,-1.6,0.0, , 
,82.51,1376,19.5,0.0,10100010,82.84,1312,41.2,6.18,479.4,82.14,-1.6,0.0, , 
,83.49,960,19.5,0.0,10100010,83.81,1120,50.2,6.18,571.2,83.17,-1.6,0.0, , 
,84.43,1152,19.5,0.0,10100010,84.75,1024,48.6,7.21,550.8,84.13,-1.6,0.0, , 
,85.38,1216,19.5,0.0,10110110,85.70,1120,34.1,4.12,418.2,85.08,-1.6,0.0, , 
,86.31,896,21.0,0.0,10111110,86.60,928,40.0,5.15,459.0,85.99,-1.6,0.0, , 
,87.21,928,21.0,2.3,10111110,87.55,928,45.9,10.30,499.8,86.89,-1.6,0.0, , 
,88.17,1184,21.0,0.0,10101010,88.49,1152,45.9,7.21,520.2,87.86,-1.6,0.0, , 
,89.15,1216,21.0,2.7,10101010,89.50,1184,45.9,7.21,520.2,88.81,-1.6,0.0, , 
,90.15,1120,21.0,4.3,10101010,90.48,1216,41.2,4.12,479.4,89.82,-1.6,0.0, , 
,91.09,1152,21.0,0.0,10101010,91.39,1088,36.9,5.15,438.6,90.80,-1.6,0.0, , 
,92.01,1024,21.0,0.0,10101010,92.34,1120,47.1,7.21,520.2,91.71,-1.6,0.0, , 
,92.99,1184,21.0,-0.4,10101010,93.30,1216,38.4,5.15,459.0,92.66,-1.6,0.0, , 
,93.96,1248,22.5,-2.0,10101010,94.28,1312,42.7,6.18,499.8,93.64,-1.6,0.0, , 
,94.95,1376,22.5,2.7,10101010,95.28,1344,45.9,7.21,520.2,94.63,-1.6,0.0, , 
,95.91,1184,22.5,7.0,10101010,96.19,992,54.5,9.27,591.6,95.60,-1.6,0.0, , 
,96.81,992,22.5,0.0,10101010,97.12,1088,54.5,8.24,612.0,96.52,-1.6,0.0, , 
,97.81,1344,22.5,0.0,10101010,98.19,1536,62.0,10.30,652.8,97.46,-0.8,0.0, , 
,98.90,1824,22.5,-2.3,10101010,99.27,1920,35.3,1.03,418.2,98.53,-0.8,-2.0, , 
,100.00,1824,22.5,0.0,10101010,100.35,1408,35.3,6.18,418.2,99.64,0.0,-2.0, , 
,100.97,1056,24.0,0.0,10101010,101.28,1088,57.6,10.30,632.4,100.66,-1.6,0.0, , 
,101.94,1120,24.0,0.0,10101010,102.24,1152,54.5,9.27,612.0,101.58,-0.8,0.0, , 
,102.92,1248,24.0,-3.5,10101010,103.25,1248,50.2,7.21,571.2,102.58,-0.8,0.0, , 
,103.93,1312,24.0,-5.1,10101010,104.28,1344,47.1,7.21,520.2,103.59,-0.8,0.0, , 
,104.98,1408,24.0,-2.7,10101010,105.33,1440,42.7,6.18,499.8,104.62,-0.8,0.0, , 
,106.01,1472,24.0,-2.7,10101010,106.44,1472,38.4,5.15,438.6,105.72,-1.6,0.0, , 
,107.31,1504,24.0,-0.4,10101010,107.58,1504,36.9,5.15,438.6,106.88,-1.6,0.0, , 
,108.30,1504,24.0,2.3,10101010,108.62,1504,34.1,5.15,397.8,107.95,-1.6,-2.0, , 
,109.35,1504,25.5,3.5,10101010,109.74,1504,35.3,5.15,418.2,109.03,-1.6,-2.0, , 
,110.40,1504,25.5,6.6,10101010,110.76,1504,36.9,5.15,418.2,110.06,-1.6,-2.0, , 
,111.49,1536,25.5,8.2,10101010,111.83,1536,35.3,5.15,418.2,111.13,-1.6,-2.0, , 
,112.51,1536,25.5,9.4,10101010,112.87,1536,35.3,5.15,418.2,112.16,-1.6,-2.0, , 
,113.57,1536,25.5,10.2,10101010,113.94,1568,40.0,6.18,459.0,113.22,-1.6,-2.0, , 
,114.62,1600,25.5,14.5,10101010,114.98,1600,40.0,6.18,459.0,114.30,-0.8,-2.0, , 
,115.68,1664,27.0,13.7,10101010,116.02,1664,40.0,6.18,459.0,115.32,-0.8,-2.0, , 
,116.77,1696,27.0,11.7,10101010,117.13,1728,36.9,5.15,438.6,116.38,-0.8,-2.0, , 
,117.88,1856,27.0,-1.2,10111110,118.22,1760,28.2,3.09,336.6,117.51,0.0,-2.0, , 
,118.90,1408,27.0,-3.1,10111110,119.24,1248,31.0,4.12,397.8,118.56,-1.6,-2.0, , 
,119.86,896,27.0,-0.4,10111110,120.17,928,41.2,6.18,479.4,119.55,-1.6,0.0, , 
,120.79,928,27.0,2.7,10111110,121.11,896,40.0,6.18,479.4,120.49,-1.6,0.0, , 
,121.72,928,27.0,4.7,10111110,122.02,896,40.0,6.18,479.4,121.42,-1.6,0.0, , 
,122.62,896,28.5,5.5,10111110,122.92,928,40.0,6.18,479.4,122.33,-1.6,0.0, , 
,123.57,896,28.5,5.9,10111110,123.86,928,40.0,6.18,479.4,123.24,-1.6,0.0, , 
,124.47,896,28.5,5.9,10111110,124.77,928,40.0,6.18,479.4,124.16,-1.6,0.0, , 
,125.40,896,28.5,4.7,10111110,125.70,896,36.9,5.15,459.0,125.08,-1.6,0.0, , 
,126.43,1792,28.5,0.0,10101010,126.79,1632,66.3,16.48,673.2,126.05,-0.8,0.0, , 
,127.49,1344,28.5,0.0,10101010,127.79,1376,72.2,10.30,754.8,127.17,-0.8,-2.0, , 
,128.49,1824,28.5,0.0,10101010,128.84,1984,59.2,8.24,632.4,128.13,-0.8,-2.0, , 
,129.55,2112,28.5,0.0,10111100,129.91,1792,26.7,3.09,336.6,129.19,0.0,-2.0, , 
,130.52,1248,28.5,0.0,10101010,130.85,1312,72.2,14.42,754.8,130.20,-1.6,0.0, , 
,131.54,1536,28.5,0.0,10101010,131.88,1664,87.1,15.45,887.4,131.22,-0.8,0.0, , 
,132.61,1920,30.0,0.0,10101010,132.96,2016,78.4,12.36,795.6,132.25,-0.8,-2.0, , 
,133.63,2240,30.0,-1.6,10101000,134.00,2368,81.2,13.39,795.6,133.30,0.0,-2.0, , 
,134.68,2592,30.0,0.8,10101000,135.02,2336,0.0,0.00,316.2,134.34,0.0,-2.0, , 
,135.69,1184,30.0,0.0,10101010,136.07,1728,40.0,6.18,459.0,135.33,-1.6,-2.0, , 
,136.81,1728,30.0,0.0,10101010,137.18,1760,63.5,12.36,673.2,136.47,-0.8,-2.0, , 
,137.93,1824,31.5,0.0,10101010,138.30,1856,66.3,10.30,693.6,137.55,0.0,-2.0, , 
,139.03,1920,31.5,-0.4,10101010,139.39,1952,60.4,9.27,632.4,138.66,0.0,-2.0, , 
,140.13,2048,31.5,-0.8,10101000,140.48,2048,56.1,8.24,591.6,139.76,0.0,-2.0, , 
,141.18,2112,31.5,2.0,10101000,141.52,2144,51.8,7.21,550.8,140.85,0.0,-2.0, , 
,142.21,2144,31.5,-0.4,10101000,142.56,2176,35.3,5.15,418.2,141.86,0.0,-2.0, , 
,143.23,2176,33.0,-3.1,10101000,143.56,2176,34.1,4.12,397.8,142.91,0.0,-2.0, , 
,144.24,2208,33.0,-2.0,10101000,144.58,2208,31.0,4.12,377.4,143.90,0.0,-2.0, , 
,145.22,2240,33.0,0.0,10101000,145.55,2240,45.9,6.18,499.8,144.91,0.0,-2.0, , 
,146.22,2336,33.0,3.1,10101000,146.55,2336,38.4,5.15,438.6,145.89,0.0,-2.0, , 
,147.24,2400,34.5,2.3,10101000,147.60,2432,31.0,4.12,357.0,146.88,0.0,-2.0, , 
,148.34,2464,34.5,1.6,10101000,148.70,2496,31.0,4.12,357.0,147.97,0.0,-2.0, , 
,149.38,2528,34.5,7.0,10101000,149.71,2560,42.7,6.18,459.0,149.03,0.0,-2.0, , 
,150.39,2624,34.5,11.3,11101000,150.72,2624,47.1,7.21,499.8,150.06,0.0,-2.0, , 
,151.40,2272,34.5,0.0,11111100,151.71,1568,0.0,0.00,357.0,151.05,0.0,-2.0, , 
,152.39,1536,36.0,0.0,11101010,152.76,1888,26.7,4.12,336.6,152.01,-1.6,0.0, , 
,153.48,1952,36.0,0.0,11101010,153.84,1952,67.8,11.33,714.0,153.13,0.0,-2.0, , 
,154.56,1984,36.0,0.0,11101010,154.92,1984,63.5,9.27,673.2,154.20,0.0,-2.0, , 
,155.64,2016,36.0,3.1,11101000,155.99,2016,62.0,9.27,652.8,155.28,0.0,-2.0, , 
,156.68,2048,37.5,5.1,11101000,157.03,2048,62.0,9.27,652.8,156.33,0.0,-2.0, , 
,157.74,2080,37.5,7.8,11101000,158.09,2080,69.4,11.33,714.0,157.39,0.0,-2.0, , 
,158.82,2144,37.5,9.4,11101000,159.14,2144,79.6,13.39,795.6,158.45,0.0,-2.0, , 
,159.81,2208,37.5,6.6,11101000,160.16,2208,79.6,12.36,795.6,159.47,0.0,-2.0, , 
,160.82,2240,37.5,5.1,11101000,161.15,2272,78.4,12.36,795.6,160.49,0.0,-2.0, , 
,161.82,2272,37.5,3.9,11101000,162.15,2304,73.7,11.33,754.8,161.49,0.0,-2.0, , 
,162.84,2304,39.0,0.0,11101000,163.19,2304,60.4,8.24,632.4,162.49,0.0,-2.0, , 
,163.85,2304,39.0,3.5,11101000,164.19,2304,60.4,9.27,632.4,163.51,0.0,-2.0, , 
,164.85,2272,39.0,5.9,11101000,165.16,2272,60.4,9.27,632.4,164.51,0.0,-2.0, , 
,165.82,2272,39.0,5.1,11101000,166.15,2240,44.3,6.18,479.4,165.49,0.0,-2.0, , 
,166.85,2208,39.0,4.3,11101000,167.20,2208,28.2,3.09,336.6,166.50,0.0,-2.0, , 
,167.87,2112,40.5,-5.1,11101000,168.21,2080,20.8,2.06,275.4,167.53,0.0,-2.0, , 
,168.91,2016,40.5,-6.6,11111100,169.26,1984,0.0,0.00,275.4,168.56,0.0,-2.3, , 
,169.96,1888,40.5,0.0,11111110,170.31,1856,0.0,0.00,316.2,169.61,0.0,-2.3, , 
,170.98,1760,40.5,0.0,11111110,171.33,1728,0.0,0.00,357.0,170.64,0.0,-2.3, , 
,171.93,960,40.5,0.0,11111110,172.27,1056,38.4,7.21,479.4,171.65,-1.6,0.0, , 
,172.91,1056,42.0,0.0,11111110,173.20,960,32.5,5.15,418.2,172.57,-1.6,0.0, , 
,173.81,896,42.0,-1.2,11111110,174.12,864,35.3,5.15,459.0,173.51,-2.3,0.0, , 
,174.72,896,42.0,-1.6,11111110,175.02,896,35.3,5.15,459.0,174.43,-2.3,0.0, , 
,175.65,896,42.0,-1.2,11111110,175.97,864,35.3,5.15,459.0,175.34,-2.3,0.0, , 
,176.58,864,42.0,0.0,11111110,176.88,896,35.3,5.15,459.0,176.28,-2.3,0.0, , 
,177.49,896,42.0,1.6,11111110,177.80,896,36.9,5.15,459.0,177.18,-2.3,0.0, , 
,178.38,896,42.0,3.5,11111110,178.67,864,36.9,5.15,459.0,178.10,-2.3,0.0, , 
,179.31,1344,43.5,9.0,11101010,179.64,1280,31.0,4.12,397.8,178.99,-1.6,0.0, , 
,180.28,1280,43.5,9.4,11101010,180.60,1312,34.1,5.15,418.2,179.96,-1.6,0.0, , 
,181.23,1312,43.5,10.2,11101010,181.60,1344,50.2,8.24,571.2,180.92,-1.6,0.0, , 
,182.32,1440,43.5,12.9,11101010,182.58,1472,51.8,8.24,591.6,181.97,-0.8,0.0, , 
,183.30,1536,43.5,15.6,11101010,183.65,1600,50.2,8.24,571.2,182.96,-0.8,-2.3, , 
,184.42,1728,43.5,16.8,11101010,184.77,1792,63.5,9.27,693.6,184.04,-0.8,-2.3, , 
,185.51,1920,43.5,3.1,11101010,185.90,1984,63.5,9.27,673.2,185.14,0.0,-2.3, , 
,186.57,2112,45.0,8.2,11101000,186.90,2208,65.1,10.30,693.6,186.24,0.0,-2.3, , 
,187.61,2368,45.0,12.1,11101000,187.96,2464,65.1,10.30,673.2,187.23,0.0,-2.3, , 
,188.64,2176,45.0,0.0,11111100,188.97,1408,0.0,0.00,377.4,188.28,0.0,-2.3, , 
,189.67,1664,45.0,0.0,11101010,190.04,1632,36.9,5.15,438.6,189.30,-1.6,0.0, , 
,190.76,1600,45.0,0.4,11101010,191.12,1632,47.1,7.21,520.2,190.40,-0.8,-2.3, , 
,191.86,1664,45.0,0.0,11101010,192.21,1696,62.0,9.27,673.2,191.48,-0.8,-2.3, , 
,192.91,1760,45.0,2.0,11101010,193.21,1760,59.2,8.24,632.4,192.55,-0.8,-2.3, , 
,193.97,1824,46.5,5.5,11101010,194.35,1856,54.5,8.24,612.0,193.59,0.0,-2.3, , 
,195.08,1920,46.5,7.0,11101010,195.46,1920,51.8,7.21,591.6,194.72,0.0,-2.3, , 
,196.19,1952,46.5,7.4,11101010,196.54,1984,50.2,7.21,571.2,195.83,0.0,-2.3, , 
,197.24,2048,46.5,9.0,11101000,197.59,2080,48.6,7.21,520.2,196.90,0.0,-2.3, , 
,198.30,2144,46.5,9.0,11101000,198.65,2176,47.1,7.21,520.2,197.94,0.0,-2.3, , 
,199.32,2240,46.5,9.4,11101000,199.65,2272,44.3,6.18,499.8,198.99,0.0,-2.3, , 
,200.33,2304,46.5,9.4,11101000,200.67,2336,44.3,6.18,479.4,199.99,0.0,-2.3, , 
,201.40,2368,46.5,7.0,11101000,201.77,2400,42.7,6.18,459.0,201.02,0.0,-2.3, , 
,202.46,2432,46.5,5.1,11101000,202.80,2464,41.2,6.18,459.0,202.11,0.0,-2.3, , 
,203.49,2496,46.5,3.5,11101000,203.84,2464,28.2,4.12,336.6,203.14,0.0,-2.3, , 
,204.57,2496,48.0,2.3,11101000,204.91,2496,28.2,4.12,336.6,204.20,0.0,-2.3, , 
,205.58,2496,48.0,3.5,11101000,205.95,2496,29.4,4.12,357.0,205.22,0.0,-2.3, , 
,206.67,2496,48.0,-9.0,11101000,207.02,2496,34.1,3.09,397.8,206.31,0.0,-2.3, , 
,207.70,2496,48.0,-17.2,11101000,208.07,2496,51.8,5.15,571.2,207.35,0.0,-2.3, , 
,208.76,2560,48.0,-4.3,11101000,209.09,2592,57.6,6.18,612.0,208.42,0.0,-2.3, , 
,209.76,2624,48.0,-5.1,11101000,210.11,2656,48.6,4.12,520.2,209.42,0.0,-2.3, , 
,210.83,2656,48.0,-2.3,11101000,211.18,2656,41.2,4.12,459.0,210.48,0.0,-2.3, , 
,211.86,2656,49.5,2.3,11101000,212.19,2624,23.5,2.06,295.8,211.54,0.0,-2.3, , 
,212.84,2624,49.5,-14.8,11101000,213.18,2592,23.5,2.06,295.8,212.51,0.0,-2.3, , 
