Czwartek,27,Sierpieñ,2026,16:35:06:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.66,2272,87.0,7.8,11101001,0.01,2240,57.6,8.24,673.2,0.33,7.8,1.52, , 
,1.66,2272,87.0,8.2,11101001,0.99,2272,56.1,8.24,652.8,1.33,8.6,1.48, , 
,2.65,2304,87.0,7.8,11101001,2.00,2272,56.1,8.24,652.8,2.32,7.4,1.45, , 
,3.66,2304,87.0,7.4,11101001,2.97,2304,50.2,7.21,591.6,3.29,7.4,1.52, , 
,4.69,2304,85.5,6.6,11101001,3.98,2304,51.8,7.21,612.0,4.33,7.4,1.48, , 
,5.70,2336,85.5,7.8,11101001,5.04,2304,53.3,8.24,612.0,5.37,7.8,1.52, , 
,6.69,2336,85.5,7.4,11101001,6.05,2336,62.0,9.27,714.0,6.36,7.4,1.52, , 
,7.77,2368,85.5,6.3,11101001,7.04,2336,62.0,9.27,693.6,7.39,7.4,1.48, , 
,8.79,2400,85.5,7.0,11101001,8.08,2368,60.4,9.27,693.6,8.40,6.6,1.52, , 
,9.85,2432,85.5,7.4,11101001,9.14,2400,63.5,9.27,714.0,9.48,7.0,1.52, , 
,10.88,2432,85.5,6.6,11101001,10.20,2432,65.1,9.27,734.4,10.55,7.0,1.45, , 
,11.91,2464,85.5,7.0,11101001,11.21,2432,56.1,8.24,632.4,11.56,7.4,1.52, , 
,12.99,2464,85.5,5.9,11101001,12.26,2464,53.3,7.21,612.0,12.62,5.9,1.48, , 
,14.03,2464,85.5,6.3,11101001,13.32,2464,53.3,7.21,612.0,13.68,5.9,1.48, , 
,15.11,2464,85.5,6.6,11101001,14.40,2464,51.8,7.21,591.6,14.76,5.9,1.52, , 
,16.16,2464,85.5,6.6,11101001,15.47,2464,50.2,7.21,591.6,15.81,6.6,1.48, , 
,17.23,2464,85.5,7.4,11101001,16.52,2464,50.2,7.21,591.6,16.87,6.6,1.52, , 
,18.30,2464,85.5,7.4,11101001,17.59,2464,50.2,7.21,591.6,17.96,7.8,1.48, , 
,19.32,2496,85.5,6.6,11101001,18.62,2496,51.8,7.21,591.6,18.95,7.0,1.48, , 
,20.40,2496,85.5,8.2,11101001,19.68,2496,47.1,7.21,571.2,20.03,7.0,1.52, , 
,21.37,2496,85.5,7.4,11101001,20.72,2496,45.9,6.18,550.8,21.04,7.4,1.48, , 
,22.44,2496,85.5,7.0,11101001,21.72,2496,45.9,6.18,550.8,22.08,7.0,1.45, , 
,23.51,2464,85.5,7.4,11101001,22.78,2464,45.9,6.18,550.8,23.15,7.4,1.48, , 
,24.56,2464,85.5,7.0,11101001,23.85,2464,45.9,6.18,550.8,24.21,7.0,1.52, , 
,25.65,2464,85.5,6.6,11101001,24.93,2464,45.9,6.18,520.2,25.29,7.4,1.45, , 
,26.72,2464,85.5,6.6,11101001,26.00,2464,41.2,6.18,479.4,26.35,6.3,1.52, , 
,27.82,2432,85.5,5.1,11101001,27.07,2464,34.1,4.12,418.2,27.45,5.5,1.45, , 
,28.88,2432,85.5,5.9,11101001,28.18,2432,31.0,4.12,397.8,28.52,5.1,1.52, , 
,29.88,2400,85.5,7.0,11101001,29.20,2432,34.1,4.12,418.2,29.55,6.3,1.52, , 
,30.92,2400,85.5,8.2,11101001,30.24,2400,41.2,6.18,479.4,30.59,8.2,1.48, , 
,31.94,2400,85.5,10.5,11101001,31.27,2400,45.9,6.18,550.8,31.61,10.5,1.48, , 
,33.01,2400,85.5,9.4,11101001,32.30,2400,50.2,7.21,591.6,32.66,9.8,1.45, , 
,34.05,2400,84.0,8.2,11101001,33.34,2400,51.8,7.21,591.6,33.70,8.6,1.45, , 
,35.10,2400,85.5,7.8,11101001,34.42,2400,50.2,7.21,591.6,34.76,7.8,1.52, , 
,36.17,2432,84.0,7.8,11101001,35.45,2432,50.2,7.21,591.6,35.81,8.2,1.45, , 
,37.20,2400,84.0,0.0,11101001,36.50,2400,50.2,7.21,571.2,36.85,0.0,1.64, , 
,38.24,2432,84.0,4.7,11101001,37.55,2432,56.1,7.21,632.4,37.88,3.5,1.64, , 
,39.27,2432,84.0,7.0,11101001,38.59,2432,56.1,8.24,632.4,38.94,6.6,1.52, , 
,40.31,2432,84.0,7.8,11101001,39.61,2432,54.5,8.24,632.4,39.97,7.8,1.48, , 
,41.37,2464,84.0,7.4,11101001,40.66,2464,53.3,8.24,612.0,41.01,7.8,1.45, , 
,42.44,2464,84.0,7.4,11101001,41.72,2464,53.3,8.24,612.0,42.08,7.0,1.48, , 
,43.50,2464,84.0,7.4,11101001,42.79,2464,44.3,6.18,520.2,43.15,7.4,1.48, , 
,44.54,2464,84.0,6.3,11101001,43.85,2464,42.7,6.18,499.8,44.19,7.0,1.45, , 
,45.61,2432,84.0,5.5,11101001,44.90,2432,32.5,4.12,397.8,45.25,5.5,1.52, , 
,46.66,2400,84.0,3.9,11101001,45.96,2432,26.7,3.09,357.0,46.31,4.3,1.48, , 
,47.69,2368,84.0,3.5,11101001,47.03,2400,28.2,4.12,357.0,47.38,3.1,1.52, , 
,48.76,2368,84.0,5.5,11101001,48.03,2368,28.2,4.12,357.0,48.40,4.7,1.52, , 
,49.77,2336,84.0,4.7,11101001,49.09,2336,28.2,4.12,377.4,49.44,6.3,1.48, , 
,50.80,2336,84.0,3.9,11101001,50.12,2336,26.7,3.09,357.0,50.47,4.3,1.52, , 
,51.79,2304,84.0,4.7,11101001,51.12,2304,29.4,4.12,377.4,51.45,4.3,1.52, , 
,52.81,2304,84.0,3.9,11101001,52.12,2304,29.4,4.12,377.4,52.47,4.3,1.45, , 
,53.81,2272,84.0,4.7,11101001,53.15,2272,29.4,4.12,377.4,53.48,3.9,1.52, , 
,54.81,2272,84.0,5.1,11101001,54.14,2272,29.4,4.12,377.4,54.48,5.1,1.52, , 
,55.83,2240,84.0,4.3,11101001,55.14,2272,28.2,4.12,377.4,55.50,4.3,1.45, , 
,56.84,2240,85.5,3.5,11101001,56.17,2240,28.2,3.09,357.0,56.50,2.7,1.48, , 
,57.88,2208,84.0,4.7,11101001,57.18,2208,32.5,4.12,418.2,57.53,4.7,1.48, , 
,58.89,2208,84.0,7.8,11101001,58.22,2208,35.3,5.15,438.6,58.55,6.3,1.52, , 
,59.91,2240,84.0,8.2,11101001,59.22,2208,42.7,6.18,520.2,59.56,8.6,1.45, , 
,60.92,2208,85.5,8.2,11101001,60.23,2208,42.7,6.18,499.8,60.58,7.8,1.45, , 
,61.92,2208,85.5,7.4,11101001,61.27,2208,42.7,6.18,499.8,61.59,7.4,1.48, , 
,62.92,2176,85.5,7.8,11101001,62.26,2176,42.7,6.18,499.8,62.60,7.4,1.52, , 
,63.95,2144,85.5,9.4,11101001,63.25,2144,45.9,6.18,550.8,63.59,9.0,1.52, , 
,64.98,2080,85.5,0.0,11101001,64.30,2112,44.3,6.18,550.8,64.63,0.0,1.45, , 
,66.04,2016,85.5,0.8,11101001,65.33,2080,22.0,3.09,316.2,65.67,0.8,1.52, , 
,67.13,1952,85.5,2.0,11101011,66.40,1984,22.0,3.09,316.2,66.76,1.6,1.52, , 
,68.20,1920,85.5,0.0,11101011,67.48,1920,28.2,4.12,377.4,67.84,0.0,1.48, , 
,69.30,1696,85.5,0.0,11111111,68.58,1888,60.4,8.24,693.6,68.95,0.0,1.64, , 
,70.23,1600,85.5,0.0,11101011,69.60,1248,0.0,0.00,377.4,69.91,0.0,3.52, , 
,71.23,2368,85.5,1.2,11101001,70.57,2464,19.2,3.09,295.8,70.89,0.0,1.37, , 
,72.23,2400,85.5,0.0,11101001,71.56,2432,31.0,4.12,377.4,71.89,0.0,1.60, , 
,73.33,2464,85.5,3.9,11101001,72.59,2400,42.7,5.15,499.8,72.96,4.7,1.60, , 
,74.37,2528,85.5,5.5,11101001,73.68,2464,42.7,6.18,499.8,74.03,5.5,1.48, , 
,75.37,2656,85.5,10.2,11101001,74.69,2560,63.5,9.27,714.0,75.04,8.6,1.52, , 
,76.40,2816,85.5,9.8,11101001,75.71,2688,78.4,12.36,867.0,76.06,10.2,1.48, , 
,77.47,2944,85.5,8.2,11101001,76.75,2848,85.5,14.42,928.2,77.03,9.0,1.41, , 
,78.57,2752,85.5,0.0,11111101,77.89,2976,88.6,15.45,969.0,78.22,7.4,1.45, , 
,79.66,2176,85.5,0.0,11101001,78.95,2208,0.0,0.00,295.8,79.31,0.0,3.75, , 
,80.64,2304,85.5,0.0,11101001,79.98,2272,19.2,3.09,275.4,80.31,0.0,1.29, , 
,81.68,2336,85.5,3.5,11101001,80.97,2304,67.8,9.27,754.8,81.32,0.0,1.68, , 
,82.72,2368,85.5,7.0,11101001,82.01,2336,75.3,11.33,846.6,82.35,6.3,1.52, , 
,83.69,2368,85.5,0.0,11101001,83.04,2368,78.4,12.36,867.0,83.38,7.4,1.52, , 
,84.75,2400,85.5,4.3,11101001,84.04,2400,54.5,7.21,632.4,84.40,3.1,1.68, , 
,85.80,2400,85.5,7.0,11101001,85.08,2400,50.2,7.21,591.6,85.42,5.9,1.52, , 
,86.84,2400,85.5,10.2,11101001,86.15,2400,45.9,6.18,520.2,86.48,9.8,1.52, , 
,87.91,2432,85.5,9.0,11101001,87.21,2400,56.1,8.24,652.8,87.56,9.4,1.41, , 
,88.96,2432,85.5,8.6,11101001,88.24,2432,56.1,8.24,652.8,88.59,8.6,1.45, , 
,90.01,2432,85.5,7.4,11101001,89.33,2432,60.4,9.27,693.6,89.67,7.8,1.48, , 
,91.10,2464,85.5,3.1,11101001,90.36,2464,50.2,7.21,591.6,90.73,0.0,1.64, , 
,92.21,2464,85.5,6.3,11101001,91.46,2464,48.6,7.21,571.2,91.83,5.5,1.52, , 
,93.25,2464,85.5,8.2,11101001,92.56,2464,50.2,7.21,571.2,92.91,7.8,1.52, , 
,94.31,2464,85.5,8.2,11101001,93.60,2464,50.2,7.21,571.2,93.94,8.6,1.48, , 
,95.35,2464,85.5,7.4,11101001,94.65,2464,50.2,7.21,571.2,94.98,7.8,1.45, , 
,96.38,2464,85.5,7.8,11101001,95.70,2464,50.2,7.21,571.2,96.05,7.4,1.52, , 
,97.44,2464,85.5,7.0,11101001,96.72,2464,50.2,7.21,571.2,97.08,6.6,1.45, , 
,98.48,2496,85.5,7.0,11101001,97.79,2464,56.1,8.24,632.4,98.14,7.0,1.48, , 
,99.54,2496,87.0,6.6,11101001,98.82,2496,56.1,8.24,652.8,99.17,7.0,1.52, , 
,100.57,2496,85.5,6.3,11101001,99.90,2496,56.1,8.24,632.4,100.25,7.0,1.45, , 
,101.61,2528,87.0,6.6,11101001,100.90,2496,56.1,8.24,632.4,101.27,5.9,1.45, , 
,102.66,2528,87.0,7.4,11101001,101.97,2528,54.5,8.24,632.4,102.31,6.6,1.52, , 
,103.69,2528,87.0,7.0,11101001,103.00,2528,54.5,8.24,632.4,103.34,7.4,1.48, , 
,104.73,2528,87.0,7.4,11101001,104.03,2528,54.5,8.24,632.4,104.38,7.0,1.48, , 
,105.78,2528,87.0,7.4,11101001,105.09,2528,57.6,8.24,652.8,105.44,7.4,1.52, , 
,106.79,2528,87.0,6.6,11101001,106.13,2528,56.1,8.24,652.8,106.46,7.4,1.52, , 
,107.79,2528,87.0,0.0,11111101,107.13,2528,56.1,8.24,652.8,107.45,0.0,1.45, , 
,108.77,2592,87.0,0.0,11101001,108.11,2528,19.2,2.06,275.4,108.44,2.3,1.60, , 
,109.80,2496,87.0,4.3,11101001,109.11,2464,53.3,7.21,612.0,109.44,0.0,1.64, , 
,110.83,2496,87.0,6.6,11101001,110.12,2496,54.5,8.24,632.4,110.48,6.3,1.52, , 
,111.87,2496,87.0,0.0,11101001,111.18,2496,56.1,8.24,652.8,111.53,9.0,1.52, , 
,112.90,2528,87.0,3.1,11101001,112.21,2528,81.2,12.36,887.4,112.56,2.3,1.64, , 
,113.93,2560,87.0,6.3,11101001,113.24,2560,79.6,12.36,887.4,113.59,5.5,1.52, , 
,114.93,2592,87.0,7.0,11101001,114.28,2592,73.7,11.33,826.2,114.61,6.6,1.52, , 
,115.94,2592,87.0,2.3,11101001,115.27,2592,56.1,8.24,652.8,115.61,0.0,1.60, , 
,116.94,2592,87.0,2.3,11101001,116.26,2592,32.5,4.12,418.2,116.61,1.6,1.52, , 
,117.95,2560,87.0,3.9,11101001,117.28,2560,29.4,4.12,377.4,117.61,3.1,1.52, , 
,119.01,2528,87.0,6.6,11101001,118.32,2560,31.0,4.12,397.8,118.66,5.9,1.52, , 
,120.04,2528,87.0,7.0,11101001,119.35,2528,40.0,6.18,479.4,119.68,6.3,1.48, , 
,121.06,2528,87.0,6.6,11101001,120.37,2528,42.7,6.18,499.8,120.72,6.6,1.48, , 
,122.10,2528,87.0,5.9,11101001,121.43,2528,41.2,6.18,499.8,121.77,5.9,1.48, , 
,123.15,2496,87.0,5.5,11101001,122.46,2528,40.0,5.15,479.4,122.79,5.5,1.48, , 
,124.12,2464,87.0,0.4,11101001,123.46,2496,22.0,3.09,316.2,123.78,0.0,1.56, , 
,125.19,2464,87.0,2.0,11101001,124.48,2464,19.2,2.06,275.4,124.82,1.6,1.56, , 
,126.24,2432,87.0,4.7,11101001,125.54,2432,35.3,5.15,438.6,125.89,3.9,1.52, , 
,127.30,2432,87.0,7.4,11101001,126.59,2432,42.7,6.18,499.8,126.95,6.6,1.52, , 
,128.32,2432,87.0,8.6,11101001,127.63,2432,44.3,6.18,520.2,127.96,9.0,1.48, , 
,129.37,2432,87.0,8.2,11101001,128.67,2432,48.6,7.21,571.2,129.02,8.6,1.48, , 
,130.41,2432,87.0,7.8,11101001,129.71,2432,47.1,7.21,550.8,130.08,7.8,1.45, , 
,131.52,2432,87.0,7.0,11101001,130.76,2432,47.1,6.18,550.8,131.13,7.4,1.45, , 
,132.59,2432,87.0,7.0,11101001,131.89,2432,47.1,6.18,550.8,132.23,6.6,1.52, , 
,133.57,2432,87.0,7.8,11101001,132.92,2432,47.1,6.18,550.8,133.25,8.2,1.48, , 
,134.60,2432,87.0,7.8,11101001,133.92,2432,47.1,7.21,550.8,134.26,7.8,1.48, , 
,135.59,2432,87.0,8.2,11101001,134.94,2432,47.1,7.21,550.8,135.27,7.8,1.52, , 
,136.60,2432,87.0,7.8,11101001,135.93,2432,47.1,7.21,550.8,136.27,8.2,1.48, , 
,137.66,2432,87.0,8.2,11101001,136.97,2432,47.1,7.21,550.8,137.33,7.4,1.48, , 
,138.67,2432,87.0,8.2,11101001,137.98,2432,47.1,7.21,571.2,138.31,7.8,1.52, , 
,139.72,2432,87.0,8.2,11101001,139.01,2432,47.1,7.21,550.8,139.38,8.2,1.45, , 
,140.78,2432,87.0,8.6,11101001,140.06,2432,48.6,7.21,571.2,140.42,8.2,1.52, , 
,141.81,2432,87.0,8.2,11101001,141.12,2432,48.6,7.21,571.2,141.46,7.8,1.48, , 
,142.88,2432,87.0,7.8,11101001,142.15,2432,48.6,7.21,571.2,142.51,8.6,1.48, , 
,143.90,2400,87.0,6.3,11101001,143.22,2432,38.4,5.15,459.0,143.55,7.4,1.52, , 
,144.95,2400,87.0,7.0,11101001,144.23,2400,41.2,5.15,479.4,144.58,6.3,1.48, , 
,145.97,2400,87.0,9.8,11101001,145.29,2400,44.3,6.18,520.2,145.64,9.4,1.52, , 
,147.02,2400,87.0,9.8,11101001,146.31,2400,44.3,6.18,520.2,146.67,9.8,1.52, , 
