Ver. 4 7 real time data, pi¹tek, 28 sierpieñ 2026 06:49:29
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
297	798	0.410000	0.000000	4.700000	0.580000	0.430000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
500	808	0.410000	0.000000	4.780000	0.590000	0.410000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
719	805	0.410000	0.000000	4.660000	0.580000	0.420000	72.000000	15.000000	123	0.000000	0.000000	0.000000	0	0	0	
922	802	0.410000	0.000000	4.750000	0.580000	0.420000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
1140	804	0.410000	0.000000	4.770000	0.600000	0.400000	72.000000	15.000000	125	0.000000	0.000000	0.000000	0	0	0	
1344	809	0.410000	0.000000	4.690000	0.590000	0.420000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
1515	791	0.410000	0.000000	4.750000	0.590000	0.410000	72.000000	15.000000	125	0.000000	0.000000	0.000000	0	0	0	
1703	795	0.410000	0.000000	4.710000	0.580000	0.420000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
1937	792	0.410000	0.000000	4.730000	0.570000	0.430000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
2156	797	0.410000	0.000000	4.720000	0.590000	0.410000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
2344	796	0.410000	0.000000	4.700000	0.590000	0.410000	72.000000	15.000000	124	0.000000	0.000000	0.000000	0	0	0	
2547	805	0.410000	0.000000	4.770000	0.580000	0.420000	72.000000	15.000000	123	0.000000	0.000000	0.000000	0	0	0	
2750	804	0.410000	0.000000	4.720000	0.580000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
2937	801	0.410000	0.000000	4.820000	0.580000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
3234	803	0.410000	0.000000	4.740000	0.590000	0.410000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
3437	807	0.410000	0.000000	4.780000	0.590000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
3640	795	0.410000	0.000000	4.700000	0.570000	0.430000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
3828	799	0.410000	0.000000	4.710000	0.590000	0.430000	72.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
4031	801	0.410000	0.000000	4.750000	0.590000	0.410000	72.000000	16.000000	125	0.000000	0.000000	0.000000	0	0	0	
4219	809	0.410000	0.000000	4.720000	0.590000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
4422	805	0.410000	0.000000	4.740000	0.580000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
4656	805	0.410000	0.000000	4.660000	0.580000	0.420000	72.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
4922	800	0.410000	0.000000	4.760000	0.580000	0.420000	72.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
5203	805	0.410000	0.000000	4.750000	0.580000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
5406	808	0.410000	0.000000	4.690000	0.580000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
5594	805	0.410000	0.000000	4.630000	0.590000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
5797	789	0.410000	0.000000	4.740000	0.590000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
5984	798	0.410000	0.000000	4.790000	0.590000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
