er. 4 7 real time data, piątek, 28 sierpień 2026 06:30:39
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
234	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
437	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
609	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
781	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
953	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
1140	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
1312	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
1500	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
1687	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
1890	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
2078	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
2265	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
2468	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
2671	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
2859	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
3078	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
3281	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
3515	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
3703	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
3984	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
4171	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
4359	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
4546	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
4796	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
4984	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
5187	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
5390	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
5578	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
5765	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
5968	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
6171	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
6390	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
6578	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
6781	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
6968	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
7156	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
7359	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
7578	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
7781	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
8078	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
8281	0	0.600000	0.000000	0.000000	0.000000	0.000000	177.000000	177.000000	0	0.000000	0.000000	0.000000	0	0	0	
