Pi¹tek,28,Sierpieñ,2026,06:31:51:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.54,0,18.0,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,0.0,1.48, , 
,1.33,0,18.0,0.0,10110110,0.80,0,0.0,0.00,989.4,1.07,0.0,1.48, , 
,2.14,0,18.0,0.0,10110110,1.60,0,0.0,0.00,989.4,1.87,0.0,1.48, , 
,2.94,0,18.0,0.0,10110110,2.41,0,0.0,0.00,989.4,2.68,0.0,1.48, , 
,3.74,0,18.0,0.0,10110110,3.21,0,0.0,0.00,989.4,3.47,0.0,1.48, , 
,4.53,0,18.0,0.0,10110110,4.01,0,0.0,0.00,989.4,4.27,0.0,1.48, , 
,5.36,192,18.0,0.0,10110110,4.80,0,0.0,0.00,989.4,5.08,0.0,1.48, , 
,6.17,192,18.0,0.0,10110110,5.63,192,100.0,64.89,989.4,5.89,0.0,1.48, , 
,7.14,1152,18.0,0.0,10110110,6.48,1088,75.3,27.81,826.2,6.81,0.0,1.48, , 
,8.07,1056,18.0,0.0,10110110,7.44,1088,47.1,10.30,520.2,7.75,0.0,1.48, , 
,8.98,1056,18.0,0.0,10110110,8.37,1056,45.9,10.30,520.2,8.66,0.0,1.48, , 
,9.90,1024,18.0,0.0,10110110,9.31,1056,45.9,10.30,520.2,9.61,0.0,1.48, , 
,10.83,1024,18.0,0.0,10110110,10.21,1024,45.9,9.27,520.2,10.54,0.0,1.48, , 
,11.75,1024,18.0,0.0,10110110,11.12,992,45.9,9.27,520.2,11.42,0.0,1.48, , 
,12.73,1024,18.0,0.0,10110110,12.07,1024,45.9,9.27,520.2,12.41,0.0,1.48, , 
,13.67,992,18.0,0.0,10110110,13.00,1024,44.3,8.24,499.8,13.36,0.0,1.48, , 
,14.61,992,18.0,0.0,10110110,13.97,1024,44.3,8.24,499.8,14.33,0.0,1.48, , 
,15.60,992,18.0,0.0,10110110,14.97,992,42.7,8.24,499.8,15.26,0.0,1.48, , 
,16.55,992,18.0,0.0,10110110,15.89,992,42.7,7.21,479.4,16.21,0.0,1.48, , 
,17.42,992,18.0,0.0,10110110,16.83,992,41.2,7.21,479.4,17.10,0.0,1.48, , 
,18.32,992,18.0,0.0,10110110,17.77,992,41.2,7.21,479.4,18.05,0.0,1.48, , 
,19.14,992,18.0,0.0,10100010,18.58,992,41.2,7.21,479.4,18.85,0.0,1.48, , 
,20.10,1152,18.0,0.0,10110110,19.47,1184,51.8,8.24,591.6,19.78,0.0,1.48, , 
,21.02,960,18.0,0.0,10110110,20.38,1024,34.1,5.15,418.2,20.74,0.0,1.48, , 
,21.89,960,18.0,0.0,10110110,21.32,960,36.9,6.18,438.6,21.58,0.0,1.48, , 
,22.84,960,18.0,0.0,10110110,22.21,960,36.9,6.18,438.6,22.55,0.0,1.48, , 
,23.77,960,18.0,0.0,10110110,23.14,960,36.9,6.18,438.6,23.45,0.0,1.48, , 
,24.71,1088,18.0,0.0,10100010,24.08,928,36.9,6.18,459.0,24.42,0.0,1.48, , 
,25.68,1056,18.0,0.0,10100010,25.03,1248,36.9,5.15,438.6,25.36,0.0,1.48, , 
,26.62,1184,18.0,0.0,10100010,25.99,1056,51.8,11.33,571.2,26.30,0.0,1.48, , 
,27.58,1248,18.0,0.0,10100010,26.91,1088,51.8,9.27,571.2,27.23,0.0,1.48, , 
,28.57,1632,19.5,0.0,10110110,27.90,1312,41.2,5.15,479.4,28.22,0.0,1.48, , 
,29.58,1504,19.5,0.0,10110110,28.91,1664,31.0,4.12,377.4,29.25,0.0,1.48, , 
,30.57,896,19.5,0.0,10110110,29.90,1344,29.4,4.12,377.4,30.24,0.0,1.48, , 
,31.50,928,19.5,0.0,10110110,30.88,928,38.4,6.18,459.0,31.19,0.0,1.48, , 
,32.44,928,19.5,0.0,10110110,31.82,928,38.4,5.15,459.0,32.12,0.0,1.48, , 
,33.35,1056,19.5,0.0,10100010,32.75,928,40.0,6.18,459.0,33.04,0.0,1.45, , 
,34.27,800,19.5,0.0,10100010,33.68,1024,40.0,6.18,459.0,33.97,0.0,1.41, , 
,35.19,800,19.5,0.0,10100010,34.58,800,50.2,8.24,571.2,34.89,0.0,1.41, , 
,36.12,1024,19.5,0.0,10100010,35.49,800,54.5,8.24,612.0,35.78,0.0,1.52, , 
,37.13,1248,19.5,0.0,10110110,36.45,1120,41.2,6.18,479.4,36.79,0.0,1.41, , 
,38.16,1504,19.5,0.0,10110110,37.51,1408,32.5,4.12,377.4,37.87,0.0,1.17, , 
,39.15,1184,19.5,0.0,10110110,38.51,1472,31.0,4.12,377.4,38.83,0.0,1.25, , 
,40.02,928,19.5,0.0,10110110,39.41,1024,35.3,5.15,418.2,39.71,0.0,1.41, , 
,40.95,928,19.5,0.0,10110110,40.31,928,38.4,6.18,459.0,40.63,0.0,1.45, , 
,41.87,928,21.0,0.0,10110110,41.27,928,38.4,5.15,459.0,41.57,0.0,1.52, , 
,42.77,928,21.0,0.0,10110110,42.15,896,38.4,5.15,459.0,42.46,0.0,1.56, , 
,43.69,928,21.0,0.0,10110110,43.08,928,40.0,5.15,459.0,43.39,0.0,1.56, , 
,44.62,928,21.0,0.0,10110110,44.01,928,38.4,5.15,459.0,44.32,0.0,1.56, , 
,45.54,896,21.0,0.0,10110110,44.93,928,40.0,5.15,459.0,45.23,0.0,1.52, , 
,46.46,928,21.0,0.0,10110110,45.85,928,38.4,5.15,459.0,46.15,0.0,1.56, , 
,47.39,928,21.0,0.0,10110110,46.76,928,40.0,5.15,459.0,47.09,0.0,1.56, , 
,48.28,928,21.0,0.0,10110110,47.70,928,40.0,5.15,459.0,47.99,0.0,1.52, , 
,49.20,896,21.0,0.0,10110110,48.59,928,40.0,5.15,459.0,48.89,0.0,1.56, , 
,50.17,896,21.0,0.0,10110110,49.52,896,40.0,6.18,479.4,49.84,0.0,1.52, , 
,51.11,928,22.5,0.0,10110110,50.50,928,40.0,6.18,479.4,50.82,0.0,1.52, , 
,52.04,928,22.5,0.0,10110110,51.42,928,40.0,5.15,479.4,51.74,0.0,1.52, , 
,52.96,928,22.5,0.0,10110110,52.35,928,40.0,5.15,479.4,52.65,0.0,1.52, , 
,53.89,928,22.5,0.0,10110110,53.27,928,40.0,5.15,479.4,53.59,0.0,1.52, , 
,54.85,896,22.5,0.0,10110110,54.20,928,40.0,5.15,479.4,54.53,0.0,1.52, , 
,55.80,864,22.5,0.0,10100010,55.17,896,41.2,6.18,479.4,55.49,0.0,1.52, , 
,56.72,928,22.5,0.0,10100010,56.11,896,41.2,6.18,499.8,56.42,0.0,1.52, , 
,57.72,992,22.5,0.0,10100010,57.05,928,40.0,5.15,459.0,57.37,0.0,1.45, , 
,58.63,960,22.5,0.0,10110110,58.03,992,35.3,5.15,438.6,58.33,0.0,1.33, , 
,59.51,864,22.5,0.0,10110110,58.93,864,38.4,5.15,459.0,59.23,0.0,1.41, , 
,60.44,928,22.5,0.0,10110110,59.81,864,41.2,6.18,499.8,60.14,0.0,1.45, , 
,61.37,928,24.0,1.2,10111110,60.75,928,40.0,5.15,479.4,61.07,0.8,1.45, , 
,62.29,1184,24.0,0.0,10101010,61.65,928,41.2,6.18,479.4,61.97,0.0,1.45, , 
,63.28,896,24.0,4.3,10101010,62.60,1152,44.3,6.18,499.8,62.95,0.0,1.45, , 
,64.23,960,24.0,0.0,10101010,63.60,960,51.8,8.24,591.6,63.91,0.0,1.41, , 
,65.16,928,24.0,0.0,10111110,64.53,896,44.3,6.18,520.2,64.85,0.4,1.37, , 
,66.08,928,24.0,0.0,10111110,65.48,928,41.2,6.18,499.8,65.77,0.0,1.37, , 
,67.01,928,24.0,0.8,10111110,66.40,928,41.2,6.18,479.4,66.70,0.8,1.41, , 
,67.93,928,24.0,2.0,10111110,67.30,928,40.0,6.18,479.4,67.61,1.6,1.41, , 
,68.82,928,24.0,2.3,10111110,68.21,928,40.0,6.18,479.4,68.50,2.3,1.41, , 
,69.73,928,25.5,2.7,10111110,69.10,928,40.0,6.18,479.4,69.41,2.3,1.37, , 
,70.65,928,25.5,3.1,10111110,70.03,928,40.0,6.18,479.4,70.35,2.7,1.41, , 
,71.60,928,25.5,3.5,10111110,70.97,928,38.4,6.18,459.0,71.29,3.5,1.37, , 
,72.54,928,25.5,2.3,10111110,71.92,928,36.9,5.15,459.0,72.23,2.7,1.33, , 
,73.45,896,25.5,-0.8,10111110,72.83,928,35.3,5.15,438.6,73.15,0.0,1.21, , 
,74.40,896,25.5,-0.4,10111110,73.79,896,35.3,5.15,438.6,74.10,-1.2,1.45, , 
,75.32,896,25.5,1.2,10111110,74.70,928,36.9,5.15,438.6,75.00,0.8,1.41, , 
,76.21,896,25.5,2.0,10111110,75.62,896,36.9,5.15,438.6,75.90,1.6,1.45, , 
,77.12,896,25.5,2.3,10111110,76.51,928,36.9,5.15,438.6,76.81,2.3,1.37, , 
,78.03,896,25.5,2.7,10111110,77.41,896,36.9,5.15,438.6,77.71,2.7,1.41, , 
,78.97,896,25.5,2.7,10111110,78.35,928,36.9,5.15,438.6,78.68,2.7,1.37, , 
,79.88,896,27.0,3.1,10111110,79.27,928,36.9,5.15,438.6,79.58,3.1,1.41, , 
,80.81,896,27.0,3.1,10111110,80.19,896,36.9,5.15,438.6,80.51,3.1,1.41, , 
,81.74,928,27.0,3.5,10111110,81.13,896,35.3,5.15,438.6,81.44,3.1,1.37, , 
,82.63,928,27.0,3.5,10111110,82.04,896,36.9,5.15,438.6,82.33,3.5,1.41, , 
,83.53,896,27.0,3.5,10111110,82.93,896,35.3,5.15,438.6,83.22,3.5,1.37, , 
,84.46,960,27.0,4.7,10101010,83.84,896,36.9,5.15,438.6,84.16,3.5,1.37, , 
,85.44,1216,27.0,0.0,10101010,84.77,1152,35.3,5.15,438.6,85.11,6.3,1.37, , 
,86.40,1024,27.0,0.0,10101010,85.75,1152,51.8,9.27,571.2,86.06,0.0,1.21, , 
,87.28,800,27.0,0.0,10111110,86.71,1024,54.5,9.27,612.0,86.99,0.0,1.41, , 
,88.23,864,27.0,0.0,10111110,87.59,896,48.6,7.21,571.2,87.91,0.0,1.25, , 
,89.13,960,27.0,-3.5,10101010,88.54,896,44.3,6.18,520.2,88.83,-5.1,1.21, , 
,90.01,1056,28.5,0.8,10101010,89.43,960,47.1,7.21,550.8,89.70,1.2,1.56, , 
,90.96,1184,28.5,2.3,10101010,90.30,1088,42.7,6.18,499.8,90.63,1.6,1.45, , 
,91.96,1376,28.5,0.0,10101010,91.29,1248,42.7,6.18,499.8,91.61,0.0,1.48, , 
,93.00,1696,28.5,3.9,10101010,92.30,1472,50.2,7.21,571.2,92.65,2.7,1.56, , 
,94.12,1888,28.5,-0.8,10101010,93.39,1792,42.7,6.18,479.4,93.76,2.0,1.25, , 
,95.16,2048,28.5,0.0,10101000,94.46,1920,35.3,5.15,418.2,94.82,0.0,1.21, , 
,96.16,2240,28.5,0.0,10111100,95.49,2208,56.1,10.30,591.6,95.81,0.0,1.25, , 
,97.20,1280,28.5,-7.0,10101010,96.53,2112,23.5,3.09,295.8,96.87,-6.3,1.02, , 
,98.20,1248,28.5,-0.8,10101010,97.53,1280,32.5,4.12,397.8,97.86,-1.6,1.52, , 
,99.20,1312,30.0,3.9,10101010,98.55,1280,41.2,6.18,479.4,98.87,2.7,1.56, , 
,100.19,1376,30.0,9.4,10101010,99.54,1312,42.7,6.18,499.8,99.87,7.8,1.56, , 
,101.40,1504,30.0,13.3,10101010,100.56,1408,45.9,7.21,520.2,100.99,12.1,1.48, , 
,102.45,1568,30.0,14.5,10101010,101.76,1536,42.7,7.21,479.4,102.10,13.7,1.33, , 
,103.55,1664,30.0,13.3,10101010,102.82,1600,41.2,6.18,459.0,103.19,14.5,1.33, , 
,104.66,1728,30.0,10.5,10101010,103.92,1696,40.0,6.18,459.0,104.28,12.1,1.25, , 
,105.78,1760,31.5,7.8,10101010,105.04,1728,38.4,6.18,438.6,105.43,8.6,1.29, , 
,106.84,1792,31.5,5.9,10101010,106.11,1792,35.3,5.15,418.2,106.46,6.6,1.33, , 
,107.95,1856,31.5,5.9,10101010,107.21,1824,41.2,6.18,459.0,107.58,7.4,1.45, , 
,109.05,1952,31.5,7.0,10101010,108.33,1888,40.0,6.18,459.0,108.70,6.6,1.48, , 
,110.15,1856,31.5,0.0,10111110,109.41,1984,35.3,3.09,418.2,109.77,0.0,1.33, , 
,111.23,1408,31.5,1.2,10111110,110.51,1728,28.2,3.09,336.6,110.89,0.8,1.45, , 
,112.16,928,33.0,1.6,10111110,111.55,1184,31.0,4.12,377.4,111.85,2.3,1.45, , 
,113.04,928,33.0,3.5,10111110,112.46,896,38.4,5.15,459.0,112.74,3.1,1.52, , 
,113.93,960,33.0,4.3,10111110,113.32,928,36.9,5.15,459.0,113.63,4.3,1.45, , 
,114.87,896,33.0,3.5,10111110,114.27,992,35.3,5.15,438.6,114.57,3.9,1.33, , 
,115.77,896,33.0,3.5,10111110,115.15,896,36.9,5.15,459.0,115.46,3.1,1.45, , 
,116.70,896,33.0,4.3,10111110,116.10,896,36.9,5.15,459.0,116.40,4.3,1.45, , 
,117.65,864,33.0,4.7,10111110,117.01,896,36.9,5.15,459.0,117.33,4.7,1.45, , 
,118.54,864,34.5,2.3,10101010,117.94,864,32.5,5.15,418.2,118.27,3.1,1.29, , 
,119.69,1504,34.5,0.0,10101010,118.85,896,44.3,9.27,499.8,119.24,0.0,0.98, , 
,120.70,1056,34.5,0.0,10101010,120.04,1568,62.0,11.33,673.2,120.40,0.0,1.52, , 
,121.74,1696,34.5,0.0,10101010,121.06,1312,56.1,8.24,632.4,121.38,0.0,1.52, , 
,122.84,1984,34.5,0.0,10111100,122.11,1856,50.2,7.21,550.8,122.47,0.0,1.52, , 
,123.81,1024,34.5,0.0,10101010,123.17,1696,23.5,3.09,316.2,123.51,-9.4,1.05, , 
,124.80,1120,36.0,-0.4,10101010,124.16,1024,38.4,5.15,459.0,124.49,0.0,1.25, , 
,125.79,1216,36.0,3.9,10101010,125.13,1152,44.3,6.18,499.8,125.45,2.7,1.52, , 
,126.80,1376,36.0,0.0,10101010,126.11,1280,51.8,8.24,591.6,126.45,0.0,1.56, , 
,127.93,1600,36.0,8.2,10101010,127.25,1440,48.6,7.21,550.8,127.62,5.9,1.56, , 
,128.99,1760,36.0,10.5,10101010,128.28,1632,44.3,6.18,499.8,128.62,10.5,1.48, , 
,130.08,1920,36.0,4.3,10101010,129.36,1824,38.4,5.15,438.6,129.73,6.6,1.21, , 
,131.15,2016,37.5,0.4,10101000,130.44,1952,31.0,4.12,377.4,130.80,1.2,1.25, , 
,132.16,2112,37.5,1.2,10101000,131.50,2048,29.4,4.12,357.0,131.84,0.8,1.45, , 
,133.18,2208,37.5,1.6,10101000,132.51,2144,28.2,4.12,336.6,132.85,1.6,1.45, , 
,134.19,2272,37.5,2.7,10101000,133.50,2208,26.7,3.09,336.6,133.84,2.3,1.45, , 
,135.20,2176,37.5,2.7,10111100,134.52,2272,25.1,3.09,316.2,134.86,3.5,1.45, , 
,136.22,1312,37.5,3.5,10111110,135.55,1920,20.8,3.09,295.8,135.91,2.7,1.48, , 
,137.15,1152,39.0,3.9,10111110,136.52,1056,31.0,4.12,397.8,136.84,3.5,1.48, , 
,138.18,1568,39.0,7.0,10111110,137.53,1472,26.7,4.12,357.0,137.87,4.3,1.52, , 
