Pi¹tek,28,Sierpieñ,2026,06:49:43:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,800,87.0,2.0,10111111,0.30,768,28.2,3.09,418.2,0.60,2.0,1.45, , 
,0.90,768,87.0,1.6,10111111,1.20,768,28.2,4.12,418.2,1.50,1.6,1.45, , 
,1.80,768,87.0,1.6,10111111,2.10,768,29.4,4.12,418.2,2.39,1.6,1.48, , 
,2.69,800,87.0,1.6,10111111,3.00,800,29.4,4.12,418.2,3.31,2.0,1.48, , 
,3.62,800,87.0,2.0,10111111,3.90,768,28.2,4.12,418.2,4.20,2.0,1.48, , 
,4.50,768,88.5,2.0,10111111,4.80,800,28.2,4.12,418.2,5.10,2.0,1.48, , 
,5.40,800,88.5,2.0,10111111,5.71,800,28.2,4.12,418.2,6.01,2.3,1.45, , 
,6.31,800,88.5,2.0,10111111,6.63,800,28.2,3.09,418.2,6.92,2.0,1.45, , 
,7.22,800,88.5,2.0,10111111,7.52,800,28.2,4.12,418.2,7.82,2.0,1.45, , 
,8.10,800,88.5,1.6,10111111,8.38,800,28.2,4.12,418.2,8.69,1.6,1.45, , 
,8.98,768,88.5,1.6,10111111,9.26,768,29.4,4.12,418.2,9.54,1.6,1.48, , 
,9.84,800,88.5,1.6,10111111,10.15,768,28.2,4.12,418.2,10.46,1.2,1.45, , 
,10.76,768,87.0,1.2,10111111,11.04,768,28.2,4.12,418.2,11.33,1.2,1.48, , 
,11.64,800,88.5,1.2,10111111,11.95,768,28.2,3.09,418.2,12.26,1.2,1.48, , 
,12.56,768,88.5,1.6,10111111,12.86,800,28.2,4.12,418.2,13.17,1.6,1.48, , 
,13.47,800,88.5,1.6,10111111,13.77,800,29.4,4.12,418.2,14.07,2.0,1.48, , 
,14.38,768,88.5,2.0,10111111,14.67,768,28.2,3.09,418.2,14.98,2.7,1.48, , 
,15.28,800,88.5,0.0,10101011,15.59,1088,35.3,4.12,479.4,15.90,0.4,1.52, , 
,16.22,1152,88.5,0.8,10101011,16.56,1056,28.2,3.09,397.8,16.86,-0.4,1.48, , 
,17.16,768,88.5,-0.4,10101011,17.43,640,36.9,4.12,479.4,17.71,0.0,1.52, , 
,17.97,704,88.5,2.0,10101011,18.29,800,45.9,6.18,591.6,18.57,0.8,1.45, , 
,18.84,704,88.5,-0.4,10101011,19.14,800,41.2,5.15,571.2,19.43,1.2,1.48, , 
,19.74,832,88.5,0.0,10111111,20.04,832,29.4,3.09,418.2,20.34,-0.8,1.37, , 
,20.64,832,88.5,-2.0,10111111,20.97,800,31.0,4.12,438.6,21.27,-4.7,1.45, , 
,21.57,832,88.5,-3.9,10101011,21.85,832,31.0,4.12,438.6,22.15,-3.1,1.56, , 
,22.44,768,88.5,-3.1,10101011,22.75,864,32.5,4.12,459.0,23.07,-2.7,1.56, , 
,23.36,832,88.5,-2.7,10111111,23.65,800,31.0,4.12,438.6,23.94,-5.5,1.37, , 
,24.25,800,90.0,-6.6,10101011,24.55,800,35.3,4.12,479.4,24.87,-3.1,1.64, , 
,25.21,896,88.5,0.0,10101011,25.53,992,47.1,6.18,591.6,25.86,0.0,1.52, , 
,26.19,1280,88.5,-0.8,10101011,26.55,1376,35.3,5.15,459.0,26.90,0.4,1.52, , 
,27.23,1536,88.5,0.0,10101011,27.57,1664,63.5,10.30,734.4,27.90,0.0,1.56, , 
,28.23,2080,88.5,0.0,10111101,28.55,1536,0.0,0.00,397.8,28.87,0.0,3.71, , 
,29.21,1248,88.5,0.0,10101011,29.52,1184,44.3,7.21,550.8,29.84,0.0,1.09, , 
,30.17,1280,88.5,0.0,10101011,30.50,1376,60.4,9.27,734.4,30.82,0.0,1.52, , 
,31.22,1536,88.5,1.6,10101011,31.60,1632,60.4,9.27,714.0,31.92,2.3,1.56, , 
,32.30,1792,88.5,2.7,10101011,32.67,1888,54.5,7.21,632.4,33.04,4.7,1.52, , 
,33.37,2016,88.5,5.9,10101001,33.71,2112,54.5,8.24,652.8,34.07,5.1,1.48, , 
,34.40,2240,88.5,5.9,10101001,34.76,2368,60.4,9.27,693.6,35.14,5.1,1.41, , 
,35.48,2528,88.5,4.7,10101001,35.82,2624,62.0,9.27,693.6,36.17,5.1,1.48, , 
,36.51,2816,88.5,5.1,10101001,36.84,2880,57.6,8.24,652.8,37.19,0.0,1.52, , 
,37.53,2304,88.5,0.0,10111101,37.92,1760,0.0,0.00,295.8,38.28,0.0,3.63, , 
,38.65,1952,88.5,0.0,10101011,39.02,1920,26.7,3.09,357.0,39.38,0.0,1.41, , 
,39.73,1888,88.5,0.0,10101011,40.10,1920,53.3,7.21,632.4,40.45,2.0,1.60, , 
,40.82,2016,88.5,3.1,10101001,41.15,2048,57.6,8.24,673.2,41.48,3.9,1.52, , 
,41.82,2080,88.5,4.7,11101001,42.15,2112,56.1,8.24,652.8,42.48,5.1,1.45, , 
,42.83,2176,88.5,5.5,11101001,43.17,2208,57.6,8.24,652.8,43.51,4.7,1.48, , 
,43.83,2272,88.5,5.1,11101001,44.18,2304,56.1,8.24,652.8,44.50,4.7,1.45, , 
,44.83,2368,88.5,4.7,11101001,45.19,2400,57.6,8.24,652.8,45.55,4.3,1.48, , 
,45.91,2464,88.5,3.9,11101001,46.27,2496,57.6,8.24,652.8,46.61,4.3,1.48, , 
,46.93,2560,88.5,3.5,11101001,47.24,2624,65.1,9.27,734.4,47.59,2.7,1.45, , 
,47.93,2688,88.5,2.7,11101001,48.26,2720,65.1,10.30,714.0,48.60,2.7,1.52, , 
,48.92,2464,88.5,0.0,11111101,49.27,1952,0.0,0.00,295.8,49.63,0.0,3.67, , 
,49.97,2048,88.5,0.0,11101001,50.33,2016,19.2,3.09,295.8,50.69,0.0,1.25, , 
,51.04,2016,88.5,0.0,11101001,51.38,2016,53.3,7.21,632.4,51.73,0.8,1.56, , 
,52.08,2048,88.5,2.0,11101001,52.43,2048,57.6,8.24,673.2,52.76,2.0,1.52, , 
,53.09,2080,88.5,2.7,11101001,53.46,2080,57.6,8.24,673.2,53.80,2.7,1.45, , 
,54.13,2112,88.5,2.7,11101001,54.47,2144,57.6,8.24,673.2,54.83,2.0,1.52, , 
,55.17,2144,88.5,1.6,11101001,55.52,2176,57.6,8.24,673.2,55.87,2.0,1.52, , 
,56.22,2208,88.5,2.0,11101001,56.55,2208,56.1,8.24,652.8,56.89,2.3,1.52, , 
,57.23,2240,88.5,3.1,11101001,57.57,2240,56.1,8.24,652.8,57.90,3.1,1.45, , 
,58.23,2272,88.5,2.7,11101001,58.57,2272,54.5,8.24,632.4,58.90,3.1,1.52, , 
,59.23,2304,87.0,2.7,11101001,59.57,2304,54.5,8.24,632.4,59.92,2.0,1.48, , 
,60.25,2336,87.0,2.0,11101001,60.59,2336,54.5,8.24,632.4,60.94,2.0,1.48, , 
,61.27,2336,88.5,1.6,11101001,61.59,2368,53.3,8.24,612.0,61.93,2.0,1.52, , 
,62.28,2400,87.0,2.7,11101001,62.62,2400,53.3,7.21,612.0,62.97,2.7,1.52, , 
,63.33,2432,87.0,2.3,11101001,63.67,2432,51.8,7.21,591.6,64.02,1.6,1.48, , 
,64.37,2432,87.0,1.2,11101001,64.72,2464,51.8,7.21,591.6,65.06,1.2,1.52, , 
,65.43,2464,87.0,2.0,11101001,65.78,2496,51.8,7.21,591.6,66.12,2.0,1.48, , 
,66.45,2496,87.0,1.6,11101001,66.80,2528,51.8,7.21,591.6,67.14,1.6,1.48, , 
,67.51,2528,87.0,1.6,11101001,67.86,2560,51.8,7.21,591.6,68.21,1.6,1.52, , 
,68.53,2560,87.0,2.0,11101001,68.87,2560,51.8,7.21,591.6,69.19,2.7,1.52, , 
,69.53,2592,87.0,2.7,11101001,69.86,2592,54.5,8.24,632.4,70.20,3.9,1.52, , 
,70.56,2624,87.0,2.7,11101001,70.89,2624,57.6,8.24,652.8,71.23,2.7,1.52, , 
,71.57,2656,87.0,2.3,11101001,71.91,2688,57.6,8.24,652.8,72.25,2.7,1.52, , 
,72.58,2720,87.0,3.5,11101001,72.92,2720,57.6,8.24,652.8,73.27,3.5,1.48, , 
,73.64,2752,87.0,3.5,11101001,73.98,2784,56.1,8.24,632.4,74.33,3.5,1.48, , 
,74.68,2784,85.5,3.5,11101001,75.02,2816,56.1,8.24,632.4,75.38,3.5,1.52, , 
,75.70,2848,85.5,3.9,11101001,76.07,2848,57.6,8.24,652.8,76.41,3.5,1.48, , 
,76.75,2880,85.5,3.5,11101001,77.11,2912,60.4,9.27,673.2,77.52,4.3,1.45, , 
,77.82,2944,85.5,3.1,11101001,78.28,2944,60.4,9.27,673.2,78.73,2.3,1.52, , 
,79.21,3008,85.5,2.3,11101001,79.61,3008,0.0,0.00,520.2,79.95,0.0,3.48, , 
,80.32,1952,85.5,0.0,11111111,80.66,1408,0.0,0.00,316.2,80.97,0.0,3.63, , 
,81.32,1792,85.5,0.0,11101011,81.64,2272,16.1,2.06,244.8,81.97,0.0,1.09, , 
,82.30,2240,85.5,0.0,11101001,82.64,2240,34.1,4.12,418.2,82.99,-2.0,1.52, , 
,83.30,2240,85.5,-1.6,11101001,83.64,2240,35.3,5.15,438.6,83.98,-2.0,1.48, , 
,84.31,2240,85.5,-1.6,11101001,84.64,2240,42.7,6.18,499.8,84.99,0.4,1.52, , 
,85.32,2240,85.5,2.0,11101001,85.64,2240,42.7,6.18,499.8,85.97,3.5,1.52, , 
,86.30,2240,84.0,4.7,11101001,86.64,2272,44.3,6.18,520.2,86.98,4.7,1.48, , 
,87.32,2272,84.0,3.9,11101001,87.66,2272,53.3,8.24,612.0,87.98,3.5,1.48, , 
,88.31,2272,84.0,3.1,11101001,88.66,2272,53.3,7.21,612.0,89.00,2.7,1.45, , 
,89.35,2304,84.0,2.3,11101001,89.67,2304,56.1,8.24,632.4,90.05,2.0,1.48, , 
,90.39,2304,84.0,1.6,11101001,90.73,2304,56.1,8.24,652.8,91.07,2.0,1.52, , 
,91.42,2336,84.0,1.6,11101001,91.77,2336,59.2,8.24,673.2,92.11,1.2,1.45, , 
,92.45,2336,84.0,0.8,11101001,92.81,2336,57.6,8.24,652.8,93.15,0.8,1.52, , 
,93.50,2368,84.0,0.8,11101001,93.83,2368,57.6,8.24,652.8,94.15,0.4,1.52, , 
,94.48,2368,84.0,0.4,11101001,94.84,2368,57.6,8.24,652.8,95.18,0.8,1.45, , 
,95.49,2368,84.0,0.4,11101001,95.84,2400,57.6,8.24,652.8,96.16,1.2,1.52, , 
,96.51,2400,84.0,0.4,11101001,96.86,2400,53.3,7.21,612.0,97.23,0.4,1.52, , 
,97.56,2400,84.0,0.8,11101001,97.91,2400,47.1,7.21,571.2,98.27,1.2,1.48, , 
,98.62,2400,84.0,1.6,11101001,99.00,2400,42.7,6.18,499.8,99.33,1.6,1.48, , 
,99.70,2400,84.0,2.0,11101001,100.06,2400,45.9,6.18,520.2,100.40,2.0,1.45, , 
,100.75,2400,82.5,1.6,11101001,101.08,2400,44.3,6.18,520.2,101.44,1.6,1.48, , 
,101.81,2400,82.5,1.6,11101001,102.19,2400,45.9,6.18,520.2,102.51,1.2,1.48, , 
,102.87,2400,82.5,1.2,11101001,103.24,2400,45.9,6.18,520.2,103.57,1.2,1.48, , 
,103.88,2400,82.5,0.8,11101001,104.20,2368,45.9,6.18,520.2,104.53,0.8,1.48, , 
,104.88,2368,82.5,1.2,11101001,105.22,2368,47.1,6.18,550.8,105.58,0.8,1.52, , 
,105.91,2368,82.5,0.8,11101001,106.25,2368,47.1,6.18,550.8,106.60,0.8,1.45, , 
,106.96,2368,82.5,0.8,11101001,107.30,2368,47.1,6.18,550.8,107.62,0.8,1.48, , 
,107.94,2368,82.5,1.2,11101001,108.27,2368,47.1,6.18,550.8,108.60,1.2,1.48, , 
,108.95,2368,82.5,1.6,11101001,109.30,2368,47.1,6.18,550.8,109.66,1.2,1.48, , 
,109.99,2368,82.5,1.2,11101001,110.32,2336,45.9,6.18,550.8,110.64,0.8,1.48, , 
,110.98,2336,82.5,1.2,11101001,111.35,2336,47.1,6.18,550.8,111.69,0.8,1.52, , 
,112.03,2336,82.5,0.4,11101001,112.39,2336,45.9,6.18,550.8,112.75,1.2,1.48, , 
,113.08,2336,82.5,0.8,11101001,113.42,2336,45.9,6.18,550.8,113.76,0.8,1.48, , 
,114.14,2336,82.5,0.8,11101001,114.50,2336,47.1,6.18,550.8,114.85,0.4,1.52, , 
,115.18,2336,82.5,0.0,11101001,115.50,2304,47.1,6.18,550.8,115.84,0.4,1.45, , 
,116.18,2336,84.0,0.4,11101001,116.50,2336,47.1,6.18,550.8,116.84,0.4,1.52, , 
,117.20,2336,82.5,0.4,11101001,117.53,2336,47.1,6.18,550.8,117.86,0.8,1.48, , 
,118.20,2336,82.5,0.4,11101001,118.54,2336,45.9,6.18,550.8,118.87,1.2,1.48, , 
,119.22,2336,82.5,0.4,11101001,119.55,2336,47.1,6.18,550.8,119.89,0.4,1.52, , 
,120.22,2336,82.5,0.4,11101001,120.57,2336,47.1,6.18,550.8,120.89,0.4,1.48, , 
,121.23,2336,82.5,-0.4,11101001,121.56,2336,47.1,6.18,550.8,121.88,0.0,1.48, , 
,122.23,2336,82.5,0.0,11101001,122.57,2336,47.1,6.18,550.8,122.89,0.4,1.52, , 
,123.24,2336,82.5,0.4,11101001,123.60,2336,47.1,6.18,550.8,123.94,0.4,1.48, , 
,124.29,2336,82.5,0.4,11101001,124.66,2336,45.9,6.18,550.8,125.00,0.4,1.48, , 
,125.33,2336,82.5,0.4,11101001,125.68,2336,47.1,6.18,550.8,126.01,0.0,1.52, , 
,126.34,2336,84.0,0.8,11101001,126.69,2336,47.1,6.18,550.8,127.03,1.2,1.48, , 
,127.38,2336,84.0,0.4,11101001,127.70,2336,47.1,7.21,550.8,128.03,0.4,1.48, , 
,128.37,2336,84.0,0.4,11101001,128.71,2304,47.1,6.18,550.8,129.03,0.4,1.52, , 
,129.38,2336,84.0,0.8,11101001,129.73,2336,50.2,7.21,591.6,130.08,0.8,1.45, , 
,130.42,2336,84.0,0.0,11101001,130.76,2336,60.4,9.27,673.2,131.08,0.0,1.45, , 
,131.44,2336,84.0,0.4,11101001,131.78,2336,59.2,8.24,673.2,132.12,0.0,1.48, , 
,132.44,2336,84.0,0.0,11101001,132.77,2336,23.5,3.09,316.2,133.12,-4.7,1.29, , 
,133.45,2336,84.0,-5.5,11101001,133.80,2304,34.1,4.12,418.2,134.14,-3.9,1.52, , 
,134.47,2304,82.5,-3.9,11101001,134.80,2304,34.1,4.12,418.2,135.13,0.0,1.56, , 
,135.47,2304,84.0,0.4,11101001,135.82,2304,35.3,5.15,438.6,136.16,2.0,1.52, , 
,136.50,2272,84.0,2.0,11101001,136.84,2272,36.9,5.15,459.0,137.18,3.5,1.52, , 
,137.51,2272,84.0,4.7,11101001,137.86,2272,41.2,6.18,499.8,138.19,5.1,1.45, , 
,138.55,2272,84.0,5.1,11101001,138.89,2272,40.0,5.15,479.4,139.23,4.7,1.45, , 
,139.56,2272,84.0,4.3,11101001,139.90,2272,40.0,5.15,479.4,140.23,3.9,1.48, , 
,140.56,2272,84.0,3.9,11101001,140.89,2240,25.1,3.09,336.6,141.23,0.0,1.25, , 
,141.59,2240,84.0,-7.8,11101001,141.94,2176,17.6,2.06,244.8,142.29,-10.5,1.37, , 
,142.63,2176,84.0,0.0,11111101,142.96,2176,0.0,0.00,244.8,143.30,0.0,3.83, , 
