Sobota,29,Sierpieñ,2026,18:50:08:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.53,0,46.5,0.0,10110110,0.01,0,0.0,0.00,989.4,0.27,0.0,1.48, , 
,1.33,0,46.5,0.0,10110110,0.80,0,0.0,0.00,989.4,1.06,0.0,1.48, , 
,2.13,0,46.5,0.0,10110110,1.60,0,0.0,0.00,989.4,1.86,0.0,1.48, , 
,2.92,0,46.5,0.0,10110110,2.39,0,0.0,0.00,989.4,2.66,0.0,1.48, , 
,3.72,0,46.5,0.0,10110110,3.19,0,0.0,0.00,989.4,3.46,0.0,1.48, , 
,4.52,0,46.5,0.0,10110110,3.99,0,0.0,0.00,989.4,4.25,0.0,1.48, , 
,5.33,0,46.5,0.0,10110110,4.79,0,0.0,0.00,989.4,5.07,0.0,1.48, , 
,6.15,0,46.5,0.0,10110110,5.59,0,0.0,0.00,989.4,5.87,0.0,1.48, , 
,6.97,0,46.5,0.0,10110110,6.43,0,0.0,0.00,989.4,6.70,0.0,1.48, , 
,7.77,0,46.5,0.0,10110110,7.24,0,0.0,0.00,989.4,7.50,0.0,1.48, , 
,8.58,0,46.5,0.0,10110110,8.04,0,0.0,0.00,989.4,8.32,0.0,1.48, , 
,9.38,0,46.5,0.0,10110110,8.85,0,0.0,0.00,989.4,9.11,0.0,1.48, , 
,10.19,0,46.5,0.0,10110110,9.65,0,0.0,0.00,989.4,9.93,0.0,1.48, , 
,11.00,224,46.5,0.0,10110110,10.46,256,92.9,39.14,969.0,10.72,0.0,1.48, , 
,11.99,1280,46.5,0.0,10110110,11.32,1120,79.6,25.75,887.4,11.65,0.0,1.48, , 
,12.90,960,46.5,0.0,10110110,12.32,1088,38.4,7.21,459.0,12.60,0.0,1.48, , 
,13.83,928,46.5,0.0,10110110,13.22,928,40.0,7.21,479.4,13.53,0.0,1.48, , 
,14.72,864,46.5,0.0,10110110,14.13,928,40.0,6.18,479.4,14.44,0.0,1.48, , 
,15.66,896,46.5,0.0,10110110,15.01,896,41.2,7.21,499.8,15.34,0.0,1.48, , 
,16.53,864,46.5,0.0,10110110,15.94,864,41.2,6.18,499.8,16.25,0.0,1.48, , 
,17.43,864,46.5,0.0,10110110,16.83,864,40.0,6.18,499.8,17.13,0.0,1.48, , 
,18.40,928,46.5,0.0,10100010,17.74,864,38.4,6.18,479.4,18.04,0.0,1.48, , 
,19.43,1600,46.5,0.0,10100010,18.70,1376,44.3,7.21,520.2,19.06,0.0,1.48, , 
,20.38,736,46.5,0.0,10100010,19.79,1280,26.7,4.12,357.0,20.11,0.0,1.45, , 
,21.28,992,46.5,0.0,10100010,20.68,704,50.2,10.30,591.6,20.99,0.0,1.37, , 
,22.17,1056,46.5,0.0,10100010,21.58,1088,36.9,5.15,459.0,21.88,0.0,1.29, , 
,23.16,1024,46.5,0.0,10100010,22.49,1024,36.9,5.15,459.0,22.81,0.0,1.13, , 
,24.06,1024,46.5,0.0,10100010,23.42,992,47.1,7.21,550.8,23.73,0.0,1.45, , 
,24.97,928,46.5,0.0,10100010,24.38,1024,48.6,7.21,571.2,24.65,0.0,1.52, , 
,25.84,992,46.5,0.0,10100010,25.27,864,50.2,7.21,612.0,25.55,0.0,1.48, , 
,26.78,992,46.5,0.0,10100010,26.20,960,36.9,5.15,459.0,26.51,0.0,1.05, , 
,27.74,1088,46.5,0.0,10100010,27.06,992,40.0,6.18,479.4,27.40,0.0,1.02, , 
,28.72,1312,46.5,0.0,10111110,28.05,1152,44.3,6.18,520.2,28.37,0.0,0.98, , 
,29.70,1312,46.5,-12.1,10111110,29.05,1376,28.2,4.12,357.0,29.38,0.0,0.90, , 
,30.61,896,45.0,-9.0,10111110,30.01,1184,29.4,3.09,377.4,30.32,-8.6,1.33, , 
,31.50,896,45.0,-9.4,10111110,30.91,864,35.3,4.12,438.6,31.20,-9.4,1.45, , 
,32.41,832,45.0,-9.0,10111110,31.80,896,35.3,4.12,459.0,32.11,-9.4,1.48, , 
,33.35,960,45.0,0.0,10101010,32.70,832,35.3,4.12,438.6,33.01,-8.6,1.52, , 
,34.26,1024,45.0,-0.8,10101010,33.66,1216,47.1,7.21,550.8,33.96,0.0,1.13, , 
,35.23,1152,45.0,0.0,10111110,34.56,800,51.8,9.27,612.0,34.90,0.0,1.48, , 
,36.10,896,45.0,0.0,10111110,35.53,800,38.4,6.18,459.0,35.82,0.0,1.37, , 
,37.00,768,45.0,0.0,10111110,36.40,832,38.4,5.15,479.4,36.70,0.0,1.21, , 
,37.91,896,45.0,0.0,10111110,37.30,896,45.9,6.18,571.2,37.61,0.0,1.09, , 
,38.81,896,45.0,0.0,10111110,38.20,896,38.4,5.15,479.4,38.50,0.0,1.48, , 
,39.70,832,45.0,-0.8,10101010,39.11,864,35.3,5.15,459.0,39.41,0.0,1.45, , 
,40.75,1696,46.5,0.0,10101010,40.00,1024,72.2,24.72,754.8,40.38,0.0,0.00, , 
,41.81,1600,46.5,-0.8,10101010,41.11,1664,31.0,4.12,397.8,41.47,0.0,1.48, , 
,42.89,1216,46.5,-3.5,10101010,42.26,1504,29.4,4.12,377.4,42.59,-3.5,1.37, , 
,43.93,1312,46.5,-1.6,10101010,43.23,1120,35.3,5.15,438.6,43.56,-1.6,1.48, , 
,45.02,1856,46.5,0.0,10101010,44.29,1472,45.9,6.18,520.2,44.66,0.0,1.41, , 
,46.00,1056,46.5,0.0,10111110,45.37,1920,0.0,0.00,397.8,45.71,0.0,3.28, , 
,46.96,1216,46.5,0.0,10111110,46.32,1152,32.5,5.15,418.2,46.63,0.0,1.21, , 
,47.93,1184,46.5,-4.3,10111110,47.27,1216,25.1,4.12,336.6,47.59,0.0,0.98, , 
,48.91,1152,46.5,-6.6,10111110,48.25,1184,23.5,3.09,316.2,48.59,-7.4,1.41, , 
,49.88,1248,46.5,-4.7,10101010,49.25,1152,25.1,4.12,336.6,49.57,-5.5,1.48, , 
,50.86,1312,46.5,-3.9,10101010,50.22,1248,32.5,4.12,397.8,50.53,-3.5,1.52, , 
,51.88,1408,46.5,-4.3,10101010,51.20,1312,29.4,4.12,377.4,51.53,-3.9,1.48, , 
,52.85,1472,46.5,-5.5,10111110,52.20,1440,29.4,4.12,377.4,52.58,-5.5,1.45, , 
,53.76,1504,46.5,-5.1,10111110,53.11,1504,26.7,3.09,336.6,53.37,-5.9,1.45, , 
,54.93,1408,46.5,-3.1,10111110,54.15,1504,26.7,3.09,336.6,54.58,-3.9,1.52, , 
,55.89,1248,46.5,-1.2,10111110,55.25,1344,28.2,4.12,357.0,55.58,-2.0,1.52, , 
,56.88,1152,46.5,-0.4,10111110,56.20,1248,28.2,4.12,357.0,56.55,-0.8,1.48, , 
,57.83,1152,46.5,0.0,10111110,57.19,1152,28.2,4.12,377.4,57.52,-1.2,1.45, , 
,58.78,1184,46.5,0.0,10111110,58.14,1184,28.2,4.12,377.4,58.47,0.0,1.45, , 
,59.72,1248,46.5,-0.4,10111110,59.10,1216,28.2,4.12,357.0,59.41,-0.8,1.45, , 
,60.68,1248,46.5,0.4,10111110,60.05,1248,26.7,4.12,357.0,60.36,0.4,1.48, , 
,61.70,1312,48.0,0.0,10111110,61.04,1248,26.7,4.12,357.0,61.38,0.4,1.45, , 
,62.68,1344,48.0,0.0,10111110,62.01,1312,26.7,4.12,357.0,62.36,0.4,1.45, , 
,63.71,1376,48.0,-0.4,10111110,63.02,1344,26.7,4.12,357.0,63.35,0.8,1.45, , 
,64.68,1376,48.0,-0.8,10111110,64.05,1376,28.2,4.12,357.0,64.37,-0.4,1.45, , 
,65.73,1408,48.0,-0.4,10111110,65.01,1408,28.2,4.12,357.0,65.38,-1.2,1.48, , 
,66.85,1472,48.0,0.0,10111110,66.11,1440,26.7,4.12,357.0,66.41,-0.4,1.48, , 
,67.96,1536,48.0,-2.0,10111110,67.29,1504,26.7,4.12,357.0,67.56,-1.2,1.41, , 
,68.87,1472,48.0,-2.0,10111110,68.29,1504,26.7,4.12,336.6,68.60,-2.0,1.45, , 
,69.87,1280,48.0,-1.6,10111110,69.21,1408,26.7,4.12,357.0,69.54,-1.2,1.52, , 
,70.89,1056,48.0,-1.2,10111110,70.23,1216,26.7,4.12,357.0,70.56,-0.8,1.52, , 
,71.83,1152,48.0,-1.2,10111110,71.20,1056,29.4,4.12,397.8,71.51,-0.8,1.48, , 
,72.79,1152,48.0,-1.6,10111110,72.14,1184,28.2,4.12,377.4,72.47,-0.8,1.41, , 
,73.71,1088,48.0,-3.1,10111110,73.09,1152,26.7,4.12,357.0,73.39,-2.3,1.37, , 
,74.63,992,48.0,-5.9,10111110,74.01,1056,25.1,3.09,357.0,74.35,-5.1,1.33, , 
,75.53,928,48.0,-7.4,10111110,74.91,992,26.7,3.09,357.0,75.22,-7.0,1.41, , 
,76.42,896,48.0,-7.0,10111110,75.83,896,28.2,3.09,377.4,76.13,-7.0,1.52, , 
,77.32,896,48.0,-6.6,10111110,76.72,896,28.2,3.09,377.4,77.01,-6.6,1.48, , 
,78.22,864,49.5,-6.6,10111110,77.61,896,28.2,3.09,377.4,77.91,-6.6,1.48, , 
,79.14,864,49.5,-6.6,10111110,78.53,864,28.2,3.09,377.4,78.83,-6.6,1.45, , 
,80.04,864,49.5,-6.6,10111110,79.44,864,29.4,4.12,397.8,79.74,-6.6,1.45, , 
,80.98,864,49.5,-7.4,10111110,80.35,864,31.0,4.12,418.2,80.67,-7.0,1.45, , 
,81.90,864,49.5,-8.2,10111110,81.29,864,31.0,4.12,418.2,81.59,-7.8,1.45, , 
,82.86,864,49.5,-8.2,10111110,82.23,832,32.5,4.12,418.2,82.55,-8.2,1.48, , 
,83.79,832,49.5,-7.0,10111110,83.17,864,32.5,4.12,418.2,83.48,-7.4,1.52, , 
,84.70,896,49.5,-7.8,10111110,84.11,864,34.1,4.12,438.6,84.41,-7.4,1.41, , 
,85.70,992,49.5,-6.6,10111110,85.04,960,31.0,4.12,418.2,85.35,-7.4,1.52, , 
,86.64,1056,49.5,-3.5,10111110,86.03,1024,28.2,4.12,377.4,86.34,-4.3,1.64, , 
,87.63,1120,49.5,-2.0,10111110,86.98,1088,25.1,3.09,336.6,87.29,-2.3,1.52, , 
,88.55,1184,49.5,2.7,10101010,87.91,1120,22.0,3.09,316.2,88.23,3.9,1.68, , 
,89.52,1376,49.5,-1.2,10101010,88.86,1248,28.2,4.12,357.0,89.18,-0.4,1.33, , 
,90.71,1568,51.0,-6.3,10111110,89.91,1408,28.2,4.12,357.0,90.33,-3.9,1.33, , 
,91.77,1696,51.0,-5.1,10111110,91.09,1600,26.7,3.09,336.6,91.44,-5.9,1.52, , 
,92.83,1728,51.0,-2.3,10111110,92.12,1696,26.7,3.09,336.6,92.49,-2.7,1.56, , 
,93.88,1760,51.0,0.0,10111110,93.17,1760,25.1,3.09,336.6,93.53,-0.4,1.56, , 
,94.95,1760,51.0,2.0,10111110,94.26,1760,25.1,3.09,336.6,94.61,1.2,1.52, , 
,96.04,1728,51.0,2.3,10111110,95.29,1760,25.1,3.09,336.6,95.67,2.3,1.48, , 
,97.14,1728,51.0,3.5,10111110,96.42,1760,25.1,3.09,336.6,96.78,3.1,1.48, , 
,98.19,1696,51.0,2.3,10111110,97.49,1728,25.1,4.12,336.6,97.83,2.3,1.41, , 
,99.23,1664,51.0,1.2,10111110,98.55,1664,25.1,4.12,336.6,98.89,2.7,1.45, , 
,100.26,1632,51.0,1.2,10111110,99.58,1632,25.1,4.12,336.6,99.93,1.2,1.45, , 
,101.33,1568,51.0,-1.2,10111110,100.63,1568,25.1,4.12,336.6,100.97,-0.4,1.41, , 
,102.38,1504,51.0,-3.5,10111110,101.70,1536,25.1,3.09,336.6,102.11,-2.3,1.41, , 
,103.34,1440,51.0,-3.5,10111110,102.64,1472,26.7,3.09,336.6,103.01,-4.3,1.45, , 
,104.42,1376,51.0,-4.7,10111110,103.68,1440,26.7,3.09,357.0,104.05,-3.9,1.48, , 
,105.48,1280,52.5,-4.7,10111110,104.78,1344,26.7,3.09,357.0,105.12,-4.7,1.48, , 
,106.47,1184,52.5,-5.5,10111110,105.79,1248,26.7,3.09,357.0,106.14,-5.1,1.48, , 
,107.41,1024,52.5,-4.3,10111110,106.79,1152,28.2,4.12,377.4,107.10,-4.7,1.52, , 
,108.38,1056,52.5,-4.3,10111110,107.74,1024,31.0,4.12,397.8,108.06,-3.9,1.52, , 
,109.32,1056,52.5,-5.1,10111110,108.68,1056,29.4,4.12,377.4,108.99,-4.7,1.41, , 
,110.27,1120,52.5,-5.9,10111110,109.63,1088,28.2,3.09,377.4,109.96,-5.5,1.45, , 
,111.21,1184,52.5,-5.5,10101010,110.60,1152,25.1,3.09,336.6,110.91,-6.3,1.48, , 
,112.17,1312,52.5,0.0,10101010,111.50,1216,32.5,5.15,397.8,111.83,0.0,1.09, , 
,113.28,1440,52.5,-5.1,10101010,112.54,1344,40.0,5.15,479.4,112.88,0.0,1.17, , 
,114.43,1568,52.5,-7.4,10101010,113.73,1472,31.0,4.12,397.8,114.09,-4.7,1.45, , 
,115.52,1632,52.5,0.0,10101010,114.79,1568,38.4,5.15,459.0,115.16,-7.4,1.48, , 
,116.50,1792,52.5,0.0,10101010,115.85,1696,53.3,8.24,591.6,116.19,0.0,1.29, , 
,117.64,1856,54.0,-0.8,10101010,116.89,1792,48.6,7.21,550.8,117.26,-1.2,1.52, , 
,118.74,1920,54.0,-1.6,10101010,118.01,1888,44.3,6.18,520.2,118.38,-2.0,1.45, , 
,119.80,1888,54.0,0.0,10111110,119.09,1952,41.2,6.18,479.4,119.46,0.0,1.41, , 
,120.85,1824,54.0,2.0,10111110,120.15,1920,20.8,2.06,295.8,120.50,2.0,1.56, , 
,121.99,1760,54.0,3.1,10101010,121.23,1792,22.0,3.09,316.2,121.61,3.1,1.52, , 
,123.04,1696,54.0,-1.6,10101010,122.35,1728,23.5,3.09,316.2,122.71,0.4,1.33, , 
,124.13,1632,54.0,-3.1,10101010,123.42,1696,25.1,3.09,336.6,123.78,-3.1,1.37, , 
,125.24,1600,54.0,-4.7,10101010,124.51,1600,28.2,4.12,357.0,124.89,-3.9,1.45, , 
,126.31,1600,54.0,-5.9,10101010,125.58,1568,29.4,4.12,377.4,125.93,-4.7,1.48, , 
,127.39,1632,54.0,-5.9,10101010,126.66,1568,29.4,4.12,377.4,127.02,-5.5,1.48, , 
,128.32,960,54.0,0.0,10111110,127.72,1600,28.2,4.12,357.0,128.02,0.0,1.95, , 
,129.30,1024,54.0,0.0,10111110,128.62,1088,34.1,5.15,438.6,128.95,0.0,1.33, , 
,130.22,896,54.0,-2.0,10111110,129.60,928,29.4,4.12,397.8,129.92,0.0,0.98, , 
,131.14,896,55.5,-6.3,10111110,130.53,896,32.5,4.12,418.2,130.84,-4.7,1.25, , 
,132.02,864,55.5,-7.4,10111110,131.44,864,32.5,4.12,418.2,131.74,-7.0,1.45, , 
,132.92,864,55.5,-7.4,10111110,132.32,864,32.5,4.12,418.2,132.62,-7.4,1.48, , 
,133.83,896,55.5,-6.6,10111110,133.23,864,32.5,4.12,438.6,133.53,-7.0,1.52, , 
,134.73,896,55.5,-5.9,10101010,134.13,896,32.5,4.12,438.6,134.42,-6.3,1.52, , 
,135.65,1184,55.5,0.0,10101010,135.01,896,48.6,9.27,571.2,135.33,0.0,1.05, , 
