Sobota,29,Sierpieñ,2026,22:03:25:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'032
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, %,,
,0.58,800,55.5,-10.5,10111110,0.01,832,31.0,4.12,418.2,0.29,3.9,0.0, , 
,1.50,832,55.5,-10.9,10111110,0.87,832,31.0,4.12,418.2,1.16,3.9,0.0, , 
,2.45,800,55.5,-10.9,10111110,1.81,832,31.0,4.12,418.2,2.13,3.9,0.0, , 
,3.32,832,55.5,-10.5,10111110,2.74,832,31.0,4.12,418.2,3.03,3.9,0.0, , 
,4.22,800,55.5,-10.5,10111110,3.63,832,31.0,4.12,418.2,3.93,3.9,0.0, , 
,5.12,832,55.5,-10.5,10111110,4.51,800,31.0,4.12,418.2,4.83,3.9,0.0, , 
,5.99,800,55.5,-10.9,10111110,5.41,800,31.0,4.12,418.2,5.70,3.9,0.0, , 
,6.89,800,55.5,-11.3,10111110,6.30,832,31.0,4.12,418.2,6.59,3.9,0.0, , 
,7.80,800,55.5,-11.7,10111110,7.18,800,31.0,4.12,418.2,7.49,3.9,0.0, , 
,8.70,800,55.5,-11.3,10111110,8.10,800,31.0,4.12,418.2,8.41,3.9,0.0, , 
,9.59,800,55.5,-11.3,10111110,9.00,832,31.0,3.09,418.2,9.29,3.9,0.0, , 
,10.50,800,55.5,-11.3,10111110,9.89,832,31.0,4.12,418.2,10.20,3.9,0.0, , 
,11.38,832,57.0,-11.7,10111110,10.79,800,31.0,3.09,418.2,11.09,3.9,0.0, , 
,12.30,768,57.0,-9.8,10111110,11.69,800,31.0,4.12,418.2,12.00,3.9,0.0, , 
,13.17,800,57.0,-5.9,10111110,12.58,768,34.1,4.12,438.6,12.86,3.9,0.0, , 
,14.06,800,57.0,-3.5,10111110,13.46,768,32.5,4.12,438.6,13.74,3.9,0.0, , 
,14.96,800,57.0,-2.7,10111110,14.37,800,34.1,4.12,438.6,14.67,3.9,0.0, , 
,15.88,832,57.0,-2.3,10111110,15.26,800,32.5,4.12,438.6,15.57,3.9,0.0, , 
,16.77,832,57.0,-2.3,10111110,16.18,832,32.5,4.12,438.6,16.48,3.9,0.0, , 
,17.70,832,57.0,-3.1,10111110,17.08,832,32.5,4.12,438.6,17.40,3.9,0.0, , 
,18.62,800,57.0,-3.5,10111110,18.01,832,32.5,4.12,438.6,18.32,3.9,0.0, , 
,19.50,800,57.0,-3.9,10111110,18.92,800,32.5,4.12,438.6,19.21,3.9,0.0, , 
,20.39,800,57.0,-4.3,10111110,19.79,832,32.5,4.12,438.6,20.09,3.9,0.0, , 
,21.30,832,57.0,-5.1,10111110,20.68,832,32.5,4.12,438.6,21.00,3.9,0.0, , 
,22.21,800,57.0,-5.1,10111110,21.60,800,32.5,4.12,438.6,21.91,3.9,0.0, , 
,23.13,800,57.0,-5.1,10111110,22.51,800,31.0,4.12,438.6,22.83,3.9,0.0, , 
,24.06,800,57.0,-5.1,10111110,23.44,832,32.5,4.12,438.6,23.74,3.9,0.0, , 
,24.98,800,57.0,-4.7,10111110,24.36,800,32.5,4.12,438.6,24.68,3.9,0.0, , 
,25.88,832,57.0,-5.1,10111110,25.27,832,31.0,4.12,438.6,25.58,3.9,0.0, , 
,26.79,832,57.0,-5.1,10111110,26.20,800,32.5,4.12,438.6,26.49,3.9,0.0, , 
,27.67,832,57.0,-5.1,10111110,27.09,800,32.5,4.12,438.6,27.37,3.9,0.0, , 
,28.58,832,57.0,-4.7,10111110,27.96,800,32.5,4.12,438.6,28.27,3.9,0.0, , 
,29.48,800,57.0,-4.7,10111110,28.88,832,31.0,4.12,438.6,29.19,3.9,0.0, , 
,30.40,832,57.0,-4.7,10111110,29.79,800,31.0,4.12,438.6,30.10,3.9,0.0, , 
,31.32,800,57.0,-5.1,10111110,30.71,832,32.5,4.12,438.6,31.01,3.9,0.0, , 
,32.27,800,57.0,-4.7,10111110,31.63,832,32.5,4.12,438.6,31.96,3.9,0.0, , 
,33.19,800,58.5,-4.3,10111110,32.58,800,32.5,4.12,438.6,32.88,3.9,0.0, , 
,34.10,832,58.5,-4.3,10111110,33.49,800,31.0,4.12,438.6,33.80,3.9,0.0, , 
,34.99,800,58.5,-4.3,10111110,34.39,832,31.0,4.12,418.2,34.70,3.9,0.0, , 
,35.92,800,58.5,-4.7,10111110,35.32,800,31.0,4.12,418.2,35.62,3.9,0.0, , 
,36.84,800,58.5,-4.3,10111110,36.22,800,32.5,4.12,438.6,36.52,3.9,0.0, , 
,37.75,800,58.5,-3.9,10111110,37.14,800,32.5,4.12,438.6,37.44,3.9,0.0, , 
,38.64,800,58.5,-3.9,10111110,38.05,800,32.5,4.12,438.6,38.35,3.9,0.0, , 
,39.52,832,58.5,-3.9,10111110,38.93,800,31.0,4.12,438.6,39.22,3.9,0.0, , 
,40.43,800,58.5,-3.5,10111110,39.83,800,31.0,4.12,418.2,40.14,3.9,0.0, , 
,41.36,832,58.5,-3.5,10111110,40.75,832,31.0,4.12,418.2,41.06,3.9,0.0, , 
,42.26,800,58.5,-2.7,10111110,41.67,800,31.0,4.12,418.2,41.96,3.9,0.0, , 
,43.14,800,58.5,-2.7,10111110,42.56,800,31.0,4.12,438.6,42.84,3.9,0.0, , 
,44.04,800,58.5,-2.3,10111110,43.44,800,32.5,4.12,438.6,43.74,3.9,0.0, , 
,44.97,832,58.5,-2.7,10111110,44.35,800,31.0,4.12,438.6,44.67,3.9,0.0, , 
,45.89,800,58.5,-3.1,10111110,45.27,832,31.0,4.12,418.2,45.58,3.9,0.0, , 
,46.78,800,58.5,-3.5,10111110,46.17,800,31.0,4.12,418.2,46.48,3.9,0.0, , 
,47.67,800,58.5,-3.5,10111110,47.07,800,31.0,4.12,438.6,47.37,3.9,0.0, , 
,48.57,800,58.5,-3.5,10111110,47.98,800,32.5,4.12,438.6,48.27,3.9,0.0, , 
,49.48,800,58.5,-3.1,10111110,48.89,800,32.5,4.12,438.6,49.19,3.9,0.0, , 
,50.40,800,58.5,-3.1,10111110,49.80,832,32.5,4.12,438.6,50.11,3.9,0.0, , 
,51.31,800,58.5,-3.5,10111110,50.71,832,32.5,4.12,438.6,51.02,3.9,0.0, , 
,52.21,832,58.5,-3.1,10111110,51.60,800,32.5,4.12,438.6,51.90,3.9,0.0, , 
,53.16,800,58.5,-2.7,10111110,52.52,800,32.5,4.12,438.6,52.85,3.9,0.0, , 
,54.06,800,58.5,-3.1,10111110,53.45,800,32.5,4.12,438.6,53.75,3.9,0.0, , 
,54.97,800,60.0,-3.1,10111110,54.35,800,32.5,4.12,438.6,54.66,3.9,0.0, , 
,55.85,832,60.0,-3.1,10111110,55.28,800,32.5,4.12,438.6,55.56,3.9,0.0, , 
,56.75,832,60.0,-2.7,10111110,56.16,800,32.5,4.12,438.6,56.45,3.9,0.0, , 
,57.66,800,60.0,-2.7,10111110,57.06,832,32.5,4.12,438.6,57.36,3.9,0.0, , 
,58.57,800,60.0,-2.7,10111110,57.96,800,32.5,4.12,438.6,58.27,3.9,0.0, , 
,59.46,800,60.0,-2.7,10111110,58.87,800,32.5,4.12,438.6,59.16,3.9,0.0, , 
,60.35,832,60.0,-2.7,10111110,59.76,832,32.5,4.12,438.6,60.05,3.9,0.0, , 
,61.25,832,60.0,-2.7,10111110,60.65,832,32.5,4.12,438.6,60.97,3.9,0.0, , 
,62.12,800,60.0,-2.7,10111110,61.55,800,32.5,4.12,438.6,61.84,3.9,0.0, , 
,63.01,800,60.0,-3.1,10111110,62.41,832,32.5,4.12,438.6,62.71,3.9,0.0, , 
,63.94,800,60.0,-3.1,10111110,63.33,800,31.0,4.12,438.6,63.62,3.9,0.0, , 
,64.83,800,60.0,-3.1,10111110,64.24,800,32.5,4.12,438.6,64.54,3.9,0.0, , 
,65.75,832,60.0,-2.3,10111110,65.13,800,32.5,4.12,438.6,65.45,3.9,0.0, , 
,66.65,832,60.0,-2.7,10111110,66.05,832,32.5,4.12,438.6,66.35,3.9,0.0, , 
,67.52,832,60.0,-2.3,10111110,66.94,800,32.5,4.12,438.6,67.22,3.9,0.0, , 
,68.45,832,60.0,-2.3,10111110,67.84,800,32.5,4.12,438.6,68.16,3.9,0.0, , 
,69.33,800,60.0,-2.3,10111110,68.75,800,32.5,4.12,438.6,69.04,3.9,0.0, , 
,70.20,800,60.0,-2.3,10111110,69.62,832,32.5,4.12,438.6,69.91,3.9,0.0, , 
,71.11,832,60.0,-2.3,10111110,70.51,800,32.5,4.12,438.6,70.82,3.9,0.0, , 
,72.02,800,60.0,-2.7,10111110,71.42,832,32.5,4.12,438.6,71.73,3.9,0.0, , 
,72.94,800,60.0,-2.7,10111110,72.32,800,32.5,4.12,438.6,72.63,3.9,0.0, , 
,73.84,800,60.0,-2.7,10111110,73.23,800,32.5,4.12,438.6,73.54,3.9,0.0, , 
,74.74,800,60.0,-2.7,10111110,74.14,800,32.5,4.12,438.6,74.45,3.9,0.0, , 
,75.65,800,61.5,-2.7,10111110,75.04,832,32.5,4.12,438.6,75.35,3.9,0.0, , 
,76.55,800,61.5,-2.7,10111110,75.95,832,32.5,4.12,438.6,76.25,3.9,0.0, , 
,77.43,800,61.5,-2.3,10111110,76.84,800,32.5,4.12,438.6,77.14,3.9,0.0, , 
,78.32,800,61.5,-2.0,10111110,77.72,800,32.5,4.12,438.6,78.01,3.9,0.0, , 
,79.26,832,61.5,-2.0,10111110,78.63,800,32.5,4.12,438.6,78.96,3.9,0.0, , 
,80.15,832,61.5,-2.0,10111110,79.56,832,31.0,4.12,418.2,79.86,3.9,0.0, , 
,81.04,800,61.5,-2.3,10111110,80.45,832,31.0,4.12,438.6,80.75,3.9,0.0, , 
,81.93,800,61.5,-2.3,10111110,81.35,800,31.0,4.12,438.6,81.66,3.9,0.0, , 
,82.83,800,61.5,-2.7,10111110,82.21,800,31.0,4.12,438.6,82.51,3.9,0.0, , 
,83.76,800,61.5,-3.1,10111110,83.14,800,31.0,4.12,438.6,83.45,3.9,0.0, , 
,84.66,800,61.5,-3.1,10111110,84.06,800,31.0,4.12,438.6,84.35,3.9,0.0, , 
,85.53,800,61.5,-3.1,10111110,84.94,800,31.0,4.12,438.6,85.22,3.9,0.0, , 
,86.41,800,61.5,-2.3,10111110,85.82,768,31.0,4.12,438.6,86.11,3.9,0.0, , 
,87.30,832,61.5,-2.3,10111110,86.70,832,31.0,4.12,438.6,87.01,3.9,0.0, , 
,88.19,800,61.5,-2.3,10111110,87.59,832,32.5,4.12,438.6,87.90,3.9,0.0, , 
,89.11,832,61.5,-2.7,10111110,88.48,800,32.5,4.12,438.6,88.80,3.9,0.0, , 
,90.01,800,61.5,-2.7,10111110,89.41,800,31.0,4.12,438.6,89.71,3.9,0.0, , 
,90.91,800,61.5,-2.7,10111110,90.29,800,31.0,4.12,438.6,90.60,3.9,0.0, , 
,91.80,800,61.5,-3.1,10111110,91.21,800,31.0,4.12,438.6,91.50,3.9,0.0, , 
,92.68,800,63.0,-3.1,10111110,92.10,800,32.5,4.12,438.6,92.38,3.9,0.0, , 
,93.60,832,63.0,-3.5,10111110,92.98,800,31.0,4.12,438.6,93.30,3.9,0.0, , 
,94.51,800,63.0,-3.5,10111110,93.90,800,31.0,4.12,438.6,94.20,3.9,0.0, , 
,95.40,800,63.0,-3.5,10111110,94.81,800,32.5,4.12,438.6,95.10,3.9,0.0, , 
,96.33,832,63.0,-3.1,10111110,95.71,800,32.5,4.12,438.6,96.02,3.9,0.0, , 
,97.19,800,63.0,-3.1,10111110,96.61,800,32.5,4.12,438.6,96.90,3.9,0.0, , 
,98.07,800,63.0,-3.5,10111110,97.49,800,32.5,4.12,438.6,97.77,3.9,0.0, , 
,99.00,800,63.0,-3.5,10111110,98.38,800,32.5,4.12,438.6,98.69,3.9,0.0, , 
,99.89,832,63.0,-3.1,10111110,99.30,832,32.5,4.12,438.6,99.59,3.9,0.0, , 
,100.80,800,63.0,-3.1,10111110,100.20,832,32.5,4.12,438.6,100.50,3.9,0.0, , 
,101.69,800,63.0,-2.7,10111110,101.09,800,32.5,4.12,438.6,101.38,3.9,0.0, , 
,102.56,800,63.0,-2.7,10111110,101.97,800,32.5,4.12,438.6,102.26,3.9,0.0, , 
,103.45,800,63.0,-3.1,10111110,102.86,800,32.5,4.12,438.6,103.16,3.9,0.0, , 
,104.37,800,63.0,-2.7,10111110,103.76,800,31.0,4.12,438.6,104.06,3.9,0.0, , 
,105.30,800,63.0,-3.1,10111110,104.68,800,32.5,4.12,438.6,104.99,3.9,0.0, , 
,106.23,800,63.0,-2.7,10111110,105.60,800,32.5,4.12,438.6,105.91,3.9,0.0, , 
,107.11,864,63.0,-3.5,10111110,106.53,832,32.5,4.12,438.6,106.82,3.9,0.0, , 
,107.98,832,63.0,-9.8,10111110,107.40,832,31.0,4.12,418.2,107.70,3.9,0.0, , 
,108.91,800,63.0,-14.1,10111110,108.28,832,29.4,4.12,418.2,108.59,3.9,0.0, , 
,109.85,800,63.0,-13.7,10111110,109.24,800,31.0,3.09,418.2,109.56,3.9,0.0, , 
,110.77,832,63.0,-12.1,10111110,110.16,800,31.0,4.12,438.6,110.46,3.9,0.0, , 
,111.68,800,63.0,-10.2,10111110,111.06,800,31.0,3.09,418.2,111.37,3.9,0.0, , 
,112.57,800,64.5,-8.6,10111110,111.97,800,31.0,4.12,418.2,112.26,3.9,0.0, , 
,113.47,800,64.5,-7.8,10111110,112.87,800,31.0,4.12,418.2,113.17,3.9,0.0, , 
,114.36,800,64.5,-7.4,10111110,113.76,800,31.0,4.12,418.2,114.06,3.9,0.0, , 
,115.25,800,64.5,-7.0,10111110,114.66,800,31.0,4.12,418.2,114.96,3.9,0.0, , 
,116.13,832,64.5,-6.6,10111110,115.55,800,29.4,4.12,418.2,115.84,3.9,0.0, , 
,117.02,832,64.5,-6.6,10111110,116.44,800,29.4,4.12,418.2,116.72,3.9,0.0, , 
,117.93,800,64.5,-6.6,10111110,117.32,800,29.4,4.12,418.2,117.63,3.9,0.0, , 
,118.86,800,64.5,-6.6,10111110,118.24,800,29.4,4.12,418.2,118.56,4.7,0.0, , 
,119.75,800,64.5,-6.6,10111110,119.15,832,29.4,4.12,418.2,119.45,4.7,0.0, , 
,120.64,832,64.5,-6.6,10111110,120.02,800,29.4,4.12,418.2,120.33,3.9,0.0, , 
,121.54,800,64.5,-6.6,10111110,120.94,800,29.4,4.12,418.2,121.23,4.7,0.0, , 
,122.48,768,64.5,-7.0,10111110,121.87,800,28.2,3.09,397.8,122.17,4.7,0.0, , 
,123.36,800,64.5,-8.2,10111110,122.78,800,29.4,4.12,418.2,123.07,4.7,0.0, , 
,124.25,800,64.5,-9.0,10111110,123.64,800,28.2,3.09,397.8,123.95,4.7,0.0, , 
,125.13,800,64.5,-9.4,10111110,124.53,800,29.4,4.12,418.2,124.83,4.7,0.0, , 
,126.08,800,66.0,-9.4,10111110,125.45,800,29.4,4.12,418.2,125.76,4.7,0.0, , 
,126.99,800,64.5,-9.4,10111110,126.37,800,29.4,3.09,418.2,126.68,4.7,0.0, , 
,127.92,800,64.5,-9.0,10111110,127.30,800,29.4,3.09,418.2,127.60,3.9,0.0, , 
,128.79,800,64.5,-9.0,10111110,128.21,800,29.4,3.09,418.2,128.50,3.9,0.0, , 
,129.72,800,66.0,-9.0,10111110,129.12,800,29.4,3.09,418.2,129.42,3.9,0.0, , 
,130.61,800,66.0,-8.6,10111110,130.01,800,29.4,4.12,418.2,130.31,4.7,0.0, , 
,131.51,800,66.0,-9.0,10111110,130.92,800,29.4,4.12,418.2,131.22,4.7,0.0, , 
,132.43,800,66.0,-9.0,10111110,131.82,800,29.4,4.12,418.2,132.13,4.7,0.0, , 
,133.36,800,66.0,-9.4,10111110,132.74,800,29.4,4.12,418.2,133.04,4.7,0.0, , 
,134.26,800,66.0,-10.2,10111110,133.67,800,29.4,4.12,418.2,133.97,3.9,0.0, , 
,135.14,800,66.0,-10.2,10111110,134.56,800,29.4,4.12,418.2,134.85,3.9,0.0, , 
,136.03,800,66.0,-10.5,10111110,135.43,800,29.4,3.09,418.2,135.73,3.9,0.0, , 
,136.94,800,66.0,-10.5,10111110,136.34,800,29.4,3.09,418.2,136.64,3.9,0.0, , 
,137.84,800,66.0,-10.2,10111110,137.23,800,29.4,3.09,418.2,137.53,4.7,0.0, , 
,138.74,800,66.0,-10.2,10111110,138.13,800,29.4,3.09,418.2,138.44,4.7,0.0, , 
,139.65,800,66.0,-10.2,10111110,139.05,800,29.4,4.12,418.2,139.36,4.7,0.0, , 
,140.59,800,66.0,-10.2,10111110,139.97,800,29.4,4.12,418.2,140.28,3.9,0.0, , 
,141.49,800,66.0,-10.2,10111110,140.89,800,29.4,4.12,418.2,141.19,4.7,0.0, , 
,142.43,800,66.0,-10.2,10111110,141.81,800,29.4,4.12,418.2,142.13,3.9,0.0, , 
,143.37,800,66.0,-10.5,10111110,142.74,800,29.4,4.12,418.2,143.06,3.9,0.0, , 
,144.29,800,66.0,-10.2,10111110,143.69,800,29.4,3.09,418.2,143.98,3.9,0.0, , 
,145.23,800,66.0,-9.8,10111110,144.60,800,29.4,4.12,418.2,144.93,4.7,0.0, , 
,146.10,800,66.0,-9.8,10111110,145.51,800,29.4,4.12,418.2,145.81,4.7,0.0, , 
,147.02,800,66.0,-10.2,10111110,146.41,800,29.4,4.12,418.2,146.72,3.9,0.0, , 
,147.93,800,66.0,-10.2,10111110,147.34,800,29.4,3.09,418.2,147.64,3.9,0.0, , 
,148.83,800,66.0,-10.5,10111110,148.24,800,29.4,4.12,418.2,148.54,3.9,0.0, , 
,149.73,800,66.0,-10.5,10111110,149.12,800,29.4,4.12,418.2,149.42,3.9,0.0, , 
,150.65,800,66.0,-10.2,10111110,150.04,800,29.4,4.12,418.2,150.35,3.9,0.0, , 
,151.54,800,67.5,-10.2,10111110,150.96,800,29.4,4.12,418.2,151.25,3.9,0.0, , 
,152.44,800,66.0,-10.5,10111110,151.82,800,29.4,4.12,418.2,152.13,3.9,0.0, , 
,153.34,800,67.5,-10.5,10111110,152.75,800,29.4,4.12,418.2,153.04,3.9,0.0, , 
,154.25,800,67.5,-10.5,10111110,153.65,800,29.4,4.12,418.2,153.95,3.9,0.0, , 
,155.14,800,67.5,-10.5,10111110,154.55,800,29.4,3.09,418.2,154.84,4.7,0.0, , 
,156.06,800,66.0,-10.5,10111110,155.45,800,29.4,4.12,418.2,155.76,4.7,0.0, , 
,156.94,800,67.5,-10.9,10111110,156.36,800,29.4,3.09,418.2,156.66,4.7,0.0, , 
,157.86,800,67.5,-11.3,10111110,157.25,800,29.4,4.12,418.2,157.56,4.7,0.0, , 
,158.79,800,67.5,-11.3,10111110,158.17,800,31.0,4.12,418.2,158.48,3.9,0.0, , 
,159.69,800,67.5,-11.3,10111110,159.08,800,29.4,4.12,418.2,159.39,4.7,0.0, , 
,160.63,800,67.5,-11.3,10111110,159.99,800,29.4,3.09,418.2,160.31,4.7,0.0, , 
,161.56,800,67.5,-11.3,10111110,160.91,800,29.4,4.12,418.2,161.24,4.7,0.0, , 
,162.46,800,67.5,-11.7,10111110,161.88,800,29.4,3.09,418.2,162.17,3.9,0.0, , 
,163.37,800,67.5,-11.3,10111110,162.76,800,29.4,3.09,418.2,163.08,4.7,0.0, , 
,164.27,800,67.5,-11.3,10111110,163.67,800,29.4,3.09,418.2,163.96,3.9,0.0, , 
,165.19,800,67.5,-11.7,10111110,164.56,800,29.4,3.09,418.2,164.87,4.7,0.0, , 
,166.09,800,67.5,-11.7,10111110,165.48,800,29.4,3.09,418.2,165.80,4.7,0.0, , 
,166.97,800,67.5,-11.7,10111110,166.39,800,29.4,3.09,418.2,166.68,4.7,0.0, , 
,167.86,800,67.5,-11.7,10111110,167.26,800,29.4,3.09,418.2,167.56,4.7,0.0, , 
,168.74,800,67.5,-12.1,10111110,168.14,800,29.4,4.12,418.2,168.45,4.7,0.0, , 
,169.63,800,67.5,-11.7,10111110,169.04,800,29.4,3.09,418.2,169.34,3.9,0.0, , 
,170.55,800,67.5,-12.1,10111110,169.93,800,29.4,3.09,418.2,170.25,3.9,0.0, , 
,171.46,800,67.5,-11.7,10111110,170.85,800,29.4,3.09,418.2,171.16,4.7,0.0, , 
,172.35,800,67.5,-11.7,10111110,171.75,800,29.4,3.09,418.2,172.06,4.7,0.0, , 
,173.25,800,67.5,-11.7,10111110,172.65,800,29.4,4.12,418.2,172.94,4.7,0.0, , 
,174.18,800,67.5,-11.3,10111110,173.57,800,29.4,4.12,418.2,173.87,3.9,0.0, , 
,175.07,768,67.5,-10.9,10111110,174.49,800,29.4,4.12,418.2,174.78,3.9,0.0, , 
,176.00,768,67.5,-8.2,10111110,175.40,800,31.0,4.12,438.6,175.70,3.9,0.0, , 
,176.90,800,67.5,-6.3,10111110,176.30,768,32.5,4.12,438.6,176.61,3.9,0.0, , 
,177.82,800,69.0,-5.5,10111110,177.20,800,31.0,4.12,438.6,177.51,3.9,0.0, , 
,178.74,800,69.0,-5.5,10111110,178.12,800,31.0,4.12,438.6,178.43,3.9,0.0, , 
,179.65,800,69.0,-5.5,10111110,179.04,800,31.0,4.12,438.6,179.36,3.9,0.0, , 
,180.54,800,69.0,-5.9,10111110,179.94,800,31.0,4.12,438.6,180.24,3.9,0.0, , 
,181.47,800,69.0,-5.9,10111110,180.86,800,31.0,4.12,438.6,181.16,3.9,0.0, , 
,182.37,800,69.0,-5.9,10111110,181.77,800,31.0,4.12,438.6,182.08,4.7,0.0, , 
,183.27,800,69.0,-5.9,10111110,182.67,800,31.0,4.12,438.6,182.97,3.9,0.0, , 
,184.15,800,69.0,-5.9,10111110,183.57,800,31.0,4.12,438.6,183.88,3.9,0.0, , 
,185.04,800,69.0,-6.3,10111110,184.44,800,31.0,4.12,438.6,184.74,3.9,0.0, , 
,185.96,800,69.0,-6.3,10111110,185.35,800,31.0,4.12,438.6,185.65,3.9,0.0, , 
,186.87,800,69.0,-5.9,10111110,186.27,800,31.0,4.12,418.2,186.58,3.9,0.0, , 
,187.75,800,69.0,-5.9,10111110,187.17,800,31.0,4.12,438.6,187.47,3.9,0.0, , 
,188.65,800,69.0,-5.5,10111110,188.05,800,31.0,4.12,438.6,188.35,3.9,0.0, , 
,189.56,800,69.0,-5.5,10111110,188.96,800,31.0,4.12,438.6,189.26,3.9,0.0, , 
,190.45,800,69.0,-5.5,10111110,189.84,800,31.0,4.12,418.2,190.13,4.7,0.0, , 
,191.37,800,69.0,-5.5,10111110,190.76,800,31.0,4.12,438.6,191.08,3.9,0.0, , 
,192.31,800,69.0,-5.5,10111110,191.67,800,31.0,4.12,438.6,191.99,3.9,0.0, , 
,193.23,800,69.0,-5.5,10111110,192.61,800,31.0,4.12,438.6,192.92,3.9,0.0, , 
,194.13,800,69.0,-5.1,10111110,193.52,800,31.0,4.12,418.2,193.83,3.9,0.0, , 
,195.02,800,69.0,-5.1,10111110,194.42,800,31.0,4.12,438.6,194.72,4.7,0.0, , 
,195.92,800,69.0,-5.1,10111110,195.31,800,31.0,4.12,418.2,195.60,3.9,0.0, , 
,196.84,800,69.0,-5.1,10111110,196.21,800,31.0,4.12,438.6,196.53,3.9,0.0, , 
,197.74,800,69.0,-5.1,10111110,197.15,800,31.0,4.12,438.6,197.45,3.9,0.0, , 
,198.64,800,70.5,-5.1,10111110,198.04,800,31.0,4.12,438.6,198.34,4.7,0.0, , 
,199.55,800,69.0,-5.1,10111110,198.95,800,31.0,4.12,438.6,199.25,3.9,0.0, , 
,200.44,800,70.5,-5.1,10111110,199.85,800,31.0,4.12,418.2,200.14,3.9,0.0, , 
,201.35,800,70.5,-5.1,10111110,200.74,800,31.0,4.12,438.6,201.06,3.9,0.0, , 
,202.26,800,70.5,-5.1,10111110,201.67,800,31.0,4.12,438.6,201.97,3.9,0.0, , 
,203.15,800,70.5,-5.1,10111110,202.55,768,31.0,4.12,438.6,202.86,3.9,0.0, , 
,204.06,800,70.5,-4.7,10111110,203.45,800,31.0,4.12,438.6,203.75,3.9,0.0, , 
,204.95,768,70.5,-4.3,10111110,204.36,800,31.0,4.12,438.6,204.65,3.9,0.0, , 
,205.84,768,70.5,-4.3,10111110,205.24,800,31.0,4.12,438.6,205.55,3.9,0.0, , 
,206.72,800,70.5,-4.3,10111110,206.14,800,31.0,4.12,438.6,206.43,3.9,0.0, , 
