Sobota,29,Sierpieñ,2026,12:37:49:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'004
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Obroty silnika,Napiêcie,Temperatura,Temperatura
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, /min, V,*C,*C
,0.26,0,22.5,0.0,10110110,0.53,0,0.0,0.00,969.0,0.01,0,12.02,22.5,21.0
,1.06,0,22.5,0.0,10110110,1.32,0,0.0,0.00,969.0,0.79,0,12.02,22.5,21.0
,1.86,0,22.5,0.0,10110110,2.12,0,0.0,0.00,969.0,1.59,0,12.02,22.5,21.0
,2.65,0,22.5,0.0,10110110,2.92,0,0.0,0.00,969.0,2.39,0,12.02,22.5,21.0
,3.45,0,22.5,0.0,10110110,3.72,0,0.0,0.00,969.0,3.19,0,12.02,22.5,21.0
,4.26,192,22.5,0.0,10110110,4.53,192,100.0,56.65,969.0,3.98,0,7.88,22.5,21.0
,5.14,1024,22.5,0.0,10110110,5.45,1184,60.4,13.39,673.2,4.82,192,9.29,22.5,21.0
,6.10,1184,22.5,0.0,10110110,6.42,1184,41.2,8.24,479.4,5.78,1216,14.04,22.5,21.0
,7.07,1152,22.5,0.0,10110110,7.38,1152,41.2,8.24,479.4,6.74,1152,13.94,22.5,21.0
,8.02,1152,22.5,0.0,10110110,8.37,1152,41.2,8.24,479.4,7.70,1152,14.04,22.5,21.0
,9.04,1152,22.5,0.0,10110110,9.37,1152,40.0,7.21,459.0,8.71,1152,13.94,22.5,21.0
,10.01,1152,22.5,0.0,10110110,10.33,1152,40.0,7.21,459.0,9.69,1184,14.04,22.5,21.0
,11.01,1152,22.5,0.0,10110110,11.33,1152,40.0,7.21,459.0,10.68,1152,14.04,22.5,21.0
,12.00,1152,22.5,0.0,10110110,12.31,1152,40.0,6.18,459.0,11.65,1152,14.04,22.5,21.0
,12.95,1152,22.5,0.0,10110110,13.26,1152,38.4,6.18,459.0,12.64,1152,14.04,22.5,21.0
,13.90,1120,22.5,0.0,10110110,14.22,1152,38.4,6.18,459.0,13.58,1152,14.04,22.5,21.0
,14.87,1120,22.5,0.0,10110110,15.18,1120,40.0,6.18,459.0,14.55,1120,13.84,22.5,21.0
,15.80,1120,22.5,0.0,10110110,16.14,1120,40.0,6.18,459.0,15.50,1120,13.74,22.5,21.0
,16.77,1120,22.5,0.0,10110110,17.10,1120,40.0,6.18,459.0,16.45,1120,13.84,22.5,21.0
,17.73,1120,22.5,0.0,10110110,18.05,1120,40.0,6.18,459.0,17.42,1088,13.94,22.5,21.0
,18.67,1120,22.5,0.0,10110110,19.02,1120,41.2,6.18,479.4,18.36,1120,13.94,22.5,21.0
,19.67,1120,22.5,0.0,10110110,20.01,1088,42.7,6.18,479.4,19.35,1088,13.84,22.5,21.0
,20.66,1088,22.5,0.0,10110110,20.98,1088,44.3,6.18,499.8,20.34,1088,13.94,22.5,21.0
,21.61,1120,22.5,0.0,10110110,21.93,1088,45.9,6.18,520.2,21.30,1088,13.84,22.5,21.0
,22.60,1120,22.5,0.0,10110110,22.92,1088,47.1,7.21,550.8,22.27,1120,13.84,22.5,21.0
,23.59,1088,22.5,0.0,10110110,23.93,1088,50.2,7.21,571.2,23.24,1088,13.84,22.5,21.0
,24.59,1120,22.5,0.0,10110110,24.91,1120,50.2,6.18,571.2,24.26,1120,13.74,22.5,21.0
,25.57,1120,22.5,0.0,10110110,25.92,1120,51.8,7.21,571.2,25.24,1088,13.84,22.5,21.0
,26.54,1120,22.5,0.0,10110110,26.83,1088,53.3,7.21,591.6,26.22,1152,13.84,22.5,21.0
,27.49,1152,22.5,0.0,10110110,27.83,1152,54.5,7.21,612.0,27.15,1120,13.84,22.5,21.0
,28.46,1152,22.5,0.0,10110110,28.80,1152,54.5,7.21,612.0,28.14,1152,13.84,22.5,21.0
,29.44,1120,22.5,0.0,10110110,29.75,1120,54.5,7.21,612.0,29.11,1152,13.84,22.5,21.0
,30.41,1120,22.5,0.0,10110110,30.75,1120,54.5,7.21,612.0,30.09,1120,13.94,22.5,22.5
,31.40,1120,22.5,0.0,10110110,31.73,1120,54.5,7.21,612.0,31.08,1088,13.84,22.5,21.0
,32.36,1152,22.5,0.0,10110110,32.70,1152,54.5,7.21,591.6,32.06,1120,13.74,22.5,21.0
,33.31,1120,22.5,0.0,10110110,33.66,1088,54.5,7.21,612.0,33.00,1152,13.94,22.5,22.5
,34.34,1120,24.0,0.0,10110110,34.67,1152,53.3,7.21,591.6,33.99,1120,13.94,22.5,22.5
,35.33,1120,24.0,0.0,10110110,35.67,1152,54.5,7.21,591.6,35.00,1120,13.84,24.0,22.5
,36.32,1152,24.0,3.5,10111110,36.65,1120,53.3,7.21,591.6,35.99,1120,13.84,24.0,22.5
,37.32,1152,24.0,6.3,10111110,37.67,1152,51.8,7.21,571.2,36.99,1152,13.94,24.0,22.5
,38.32,1152,24.0,7.4,10111110,38.66,1152,51.8,7.21,571.2,38.00,1152,13.84,24.0,22.5
,39.32,1152,24.0,7.4,10111110,39.66,1152,48.6,7.21,550.8,38.99,1152,13.84,24.0,21.0
,40.34,1120,24.0,7.0,10111110,40.69,1152,48.6,7.21,550.8,40.00,1120,13.94,24.0,22.5
,41.35,1152,24.0,6.6,10111110,41.70,1152,48.6,7.21,550.8,41.03,1152,13.84,24.0,22.5
,42.40,1152,24.0,6.6,10111110,42.74,1152,48.6,7.21,550.8,42.04,1152,13.74,24.0,22.5
,43.43,1120,25.5,6.6,10111110,43.77,1152,47.1,7.21,550.8,43.10,1152,13.94,25.5,22.5
,44.41,1120,25.5,6.6,10111110,44.76,1120,47.1,7.21,550.8,44.09,1152,13.94,25.5,22.5
,45.42,1152,25.5,6.6,10111110,45.75,1152,47.1,7.21,520.2,45.10,1120,13.84,25.5,22.5
,46.40,1152,25.5,6.3,10111110,46.74,1120,45.9,6.18,520.2,46.07,1152,13.94,25.5,22.5
,47.42,1120,25.5,6.3,10111110,47.74,1120,45.9,6.18,520.2,47.07,1152,13.94,25.5,22.5
,48.41,1120,25.5,5.5,10111110,48.75,1120,45.9,6.18,520.2,48.09,1152,13.94,25.5,22.5
,49.40,1120,25.5,5.5,10111110,49.72,1120,45.9,6.18,520.2,49.06,1120,13.94,25.5,22.5
,50.40,1120,25.5,5.5,10111110,50.72,1120,45.9,6.18,520.2,50.06,1120,13.84,25.5,22.5
,51.37,1120,25.5,5.1,10111110,51.70,1120,44.3,6.18,499.8,51.06,1120,13.84,25.5,22.5
,52.38,1120,27.0,5.1,10111110,52.72,1120,44.3,6.18,499.8,52.03,1120,13.84,25.5,22.5
,53.39,1120,27.0,4.7,10111110,53.70,1120,44.3,6.18,499.8,53.07,1120,13.84,27.0,22.5
,54.35,1088,27.0,5.1,10111110,54.70,1088,44.3,6.18,499.8,54.02,1120,13.84,27.0,22.5
,55.34,1120,27.0,5.1,10111110,55.66,1120,42.7,6.18,499.8,55.02,1120,13.84,27.0,22.5
,56.34,1120,27.0,5.1,10111110,56.66,1120,42.7,6.18,499.8,56.02,1120,13.94,27.0,22.5
,57.28,1120,27.0,4.7,10111110,57.61,1120,42.7,6.18,479.4,56.97,1120,13.84,27.0,22.5
,58.25,1120,27.0,4.7,10111110,58.58,1120,41.2,6.18,479.4,57.94,1120,13.84,27.0,22.5
,59.21,1120,27.0,4.7,10111110,59.54,1120,41.2,6.18,479.4,58.91,1120,13.84,27.0,22.5
,60.20,1120,28.5,4.7,10111110,60.51,1088,41.2,6.18,479.4,59.87,1088,13.94,27.0,22.5
,61.14,1120,28.5,4.3,10111110,61.46,1120,41.2,6.18,479.4,60.83,1088,13.84,28.5,22.5
,62.11,1120,28.5,4.3,10111110,62.43,1120,41.2,6.18,479.4,61.78,1120,13.84,28.5,22.5
,63.11,1088,28.5,4.3,10111110,63.45,1088,40.0,6.18,479.4,62.78,1088,13.94,28.5,22.5
,64.12,1088,28.5,4.3,10111110,64.47,1088,40.0,5.15,479.4,63.78,1088,13.94,28.5,22.5
,65.10,1088,28.5,4.3,10111110,65.42,1088,40.0,5.15,479.4,64.80,1088,13.94,28.5,22.5
,66.04,1088,30.0,3.9,10111110,66.37,1088,40.0,5.15,459.0,65.72,1088,13.84,28.5,22.5
,67.05,1088,28.5,3.1,10111110,67.36,1088,38.4,5.15,459.0,66.72,1088,13.84,30.0,22.5
,68.03,1088,28.5,2.7,10111110,68.35,1088,38.4,5.15,459.0,67.69,1088,13.94,28.5,22.5
,69.03,1056,30.0,2.0,10111110,69.37,1056,38.4,5.15,459.0,68.71,1056,13.94,30.0,22.5
,70.01,1152,30.0,0.0,10101010,70.34,1216,48.6,7.21,550.8,69.69,1120,13.94,30.0,22.5
,70.97,1184,30.0,0.0,10101010,71.32,1152,53.3,8.24,591.6,70.66,1088,13.84,30.0,22.5
,71.96,1056,30.0,0.0,10101010,72.27,1216,50.2,6.18,571.2,71.63,864,13.74,30.0,22.5
,73.02,1440,30.0,0.0,10111110,73.36,1536,31.0,4.12,377.4,72.63,1344,13.84,30.0,22.5
,74.11,1600,31.5,-7.0,10111110,74.45,1408,31.0,4.12,377.4,73.71,1632,13.84,30.0,22.5
,75.06,1024,31.5,-6.6,10111110,75.38,1024,36.9,5.15,459.0,74.75,1152,13.84,31.5,22.5
,76.03,1024,31.5,-6.6,10111110,76.34,992,36.9,5.15,438.6,75.71,992,13.84,31.5,22.5
,77.01,1024,31.5,0.0,10101010,77.34,1280,50.2,9.27,571.2,76.69,992,13.84,31.5,22.5
,77.91,320,31.5,0.0,10100010,78.25,928,69.4,5.15,754.8,77.62,800,13.13,31.5,22.5
,78.91,1024,31.5,0.0,10101010,79.21,672,62.0,12.36,673.2,78.61,1408,13.84,31.5,22.5
,79.85,928,33.0,0.0,10101010,80.15,992,50.2,6.18,571.2,79.52,896,13.74,33.0,22.5
,80.78,1120,33.0,0.0,10101010,81.12,1216,54.5,8.24,612.0,80.46,1056,13.84,33.0,22.5
