Sobota,29,Sierpieñ,2026,12:45:31:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'004
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Obroty silnika,Napiêcie,Temperatura,Temperatura
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, /min, V,*C,*C
,0.31,800,78.0,-5.5,10111110,0.61,768,32.5,4.12,459.0,0.01,800,13.74,78.0,33.0
,1.21,768,78.0,-5.1,10111110,1.50,800,32.5,4.12,459.0,0.91,800,13.74,78.0,34.5
,2.10,800,78.0,-5.5,10111110,2.40,800,32.5,4.12,459.0,1.80,768,13.74,78.0,34.5
,2.99,800,78.0,-5.1,10111110,3.29,800,32.5,4.12,459.0,2.70,800,13.74,78.0,34.5
,3.90,800,78.0,-5.1,10111110,4.20,800,32.5,4.12,459.0,3.60,800,13.64,78.0,34.5
,4.80,800,78.0,-4.7,10111110,5.10,768,32.5,4.12,459.0,4.50,768,13.74,78.0,34.5
,5.68,800,79.5,-4.7,10111110,5.99,800,32.5,4.12,459.0,5.40,768,13.84,79.5,34.5
,6.60,800,78.0,-4.7,10111110,6.89,768,32.5,4.12,459.0,6.30,800,13.84,78.0,34.5
,7.49,768,79.5,-4.7,10111110,7.78,800,34.1,4.12,459.0,7.19,768,13.84,79.5,34.5
,8.40,768,79.5,-4.3,10111110,8.71,768,32.5,4.12,459.0,8.10,800,13.84,79.5,34.5
,9.31,800,79.5,-4.3,10111110,9.61,800,32.5,4.12,459.0,9.01,768,13.64,79.5,34.5
,10.19,768,79.5,-4.3,10111110,10.50,800,32.5,4.12,459.0,9.90,768,13.64,79.5,34.5
,11.13,800,79.5,-5.1,10111110,11.41,768,32.5,4.12,459.0,10.81,768,13.74,79.5,34.5
,11.99,768,79.5,-5.5,10111110,12.28,768,34.1,4.12,459.0,11.70,768,13.64,79.5,34.5
,12.90,768,79.5,-5.5,10111110,13.19,800,32.5,4.12,459.0,12.60,768,13.64,79.5,34.5
,13.80,800,79.5,-5.5,10111110,14.10,800,32.5,4.12,459.0,13.50,800,13.74,79.5,34.5
,14.71,800,79.5,-5.1,10111111,15.02,800,32.5,4.12,459.0,14.40,800,13.64,79.5,34.5
,15.62,800,79.5,-5.1,10111111,15.92,768,32.5,4.12,459.0,15.32,768,13.84,79.5,34.5
,16.52,768,79.5,-5.1,10111111,16.83,800,32.5,4.12,459.0,16.22,768,13.84,79.5,34.5
,17.43,768,79.5,-4.7,10111111,17.73,800,32.5,4.12,459.0,17.13,768,13.74,79.5,34.5
,18.32,800,79.5,-5.1,10111111,18.61,768,32.5,4.12,438.6,18.02,768,13.64,79.5,34.5
,19.21,800,79.5,-5.1,10111111,19.51,768,32.5,4.12,459.0,18.91,768,13.74,79.5,34.5
,20.15,768,79.5,-5.1,10111111,20.43,768,32.5,4.12,459.0,19.83,768,13.64,79.5,34.5
,21.02,800,79.5,-5.1,10111111,21.31,768,32.5,4.12,459.0,20.73,768,13.64,79.5,34.5
,21.92,800,79.5,-5.5,10111111,22.23,768,32.5,4.12,459.0,21.62,768,13.84,79.5,34.5
,22.83,800,79.5,-5.5,10111111,23.13,800,32.5,4.12,459.0,22.53,768,13.84,79.5,34.5
,23.74,800,79.5,-5.1,10111111,24.03,800,34.1,4.12,459.0,23.42,768,13.74,79.5,34.5
,24.64,768,81.0,-4.7,10111111,24.96,768,34.1,4.12,459.0,24.33,768,13.74,81.0,34.5
,25.57,768,81.0,-4.3,10111111,25.86,800,34.1,4.12,459.0,25.26,800,13.74,81.0,34.5
,26.47,768,79.5,-4.3,10111111,26.77,800,32.5,4.12,459.0,26.16,800,13.74,79.5,34.5
,27.35,768,81.0,-4.7,10111111,27.66,768,32.5,4.12,459.0,27.07,768,13.64,81.0,36.0
,28.27,800,81.0,-4.3,10111111,28.56,800,34.1,4.12,459.0,27.96,768,13.64,81.0,34.5
,29.16,800,79.5,-4.3,10111111,29.46,768,34.1,4.12,459.0,28.86,800,13.64,81.0,34.5
,30.04,800,81.0,-3.5,10111111,30.34,800,34.1,4.12,459.0,29.76,768,13.64,79.5,36.0
,30.93,800,81.0,-3.9,10111111,31.23,768,32.5,4.12,459.0,30.65,800,13.74,81.0,36.0
,31.84,800,81.0,-4.7,10111111,32.12,768,32.5,4.12,459.0,31.53,768,13.74,81.0,36.0
,32.72,768,81.0,-4.7,10111111,33.02,800,34.1,4.12,459.0,32.42,800,13.64,81.0,36.0
,33.62,768,81.0,-4.3,10111111,33.92,768,32.5,4.12,459.0,33.32,800,13.74,81.0,36.0
,34.52,800,81.0,-4.7,10111111,34.82,768,32.5,4.12,459.0,34.22,768,13.74,81.0,36.0
,35.41,768,81.0,-5.1,10111111,35.70,768,34.1,4.12,459.0,35.11,768,13.74,81.0,36.0
,36.32,768,81.0,-4.7,10111111,36.62,800,34.1,4.12,459.0,36.02,768,13.84,81.0,36.0
,37.22,800,81.0,-5.1,10111111,37.52,768,32.5,4.12,459.0,36.91,768,13.84,81.0,36.0
,38.11,768,81.0,-5.1,10111111,38.42,768,32.5,4.12,459.0,37.82,768,13.74,81.0,36.0
,39.03,800,81.0,-5.1,10111111,39.35,800,34.1,4.12,459.0,38.72,768,13.74,81.0,36.0
,39.95,800,81.0,-4.3,10111111,40.24,768,32.5,4.12,459.0,39.65,768,13.64,81.0,36.0
,40.84,800,81.0,-4.3,10111111,41.15,800,34.1,4.12,459.0,40.54,800,13.53,81.0,36.0
,41.75,800,81.0,-4.3,10111111,42.07,800,32.5,4.12,459.0,41.45,768,13.64,81.0,36.0
,42.68,800,81.0,-4.7,10111111,42.97,800,32.5,4.12,459.0,42.37,800,13.53,81.0,36.0
,43.57,768,81.0,-4.7,10111111,43.87,800,34.1,4.12,459.0,43.27,800,13.74,81.0,36.0
,44.47,800,81.0,-4.7,10111111,44.77,800,32.5,4.12,459.0,44.16,800,13.64,81.0,36.0
,45.37,800,81.0,-4.7,10111111,45.67,800,32.5,4.12,459.0,45.07,800,13.74,81.0,36.0
,46.27,800,81.0,-4.7,10111111,46.57,800,34.1,4.12,459.0,45.97,800,13.64,81.0,36.0
,47.15,800,81.0,-4.7,10111111,47.45,800,32.5,4.12,459.0,46.87,800,13.64,81.0,36.0
,48.04,800,82.5,-5.1,10111111,48.34,800,32.5,4.12,459.0,47.74,768,13.74,81.0,36.0
,48.94,800,82.5,-5.1,10111111,49.26,800,32.5,4.12,459.0,48.63,800,13.74,82.5,36.0
,49.87,800,82.5,-5.5,10111111,50.17,768,34.1,4.12,459.0,49.56,800,13.74,82.5,36.0
,50.78,800,82.5,-5.1,10111111,51.09,800,32.5,4.12,459.0,50.48,800,13.64,82.5,36.0
,51.65,800,81.0,-5.1,10111111,51.95,800,32.5,4.12,459.0,51.37,800,13.74,81.0,36.0
,52.55,800,82.5,-5.1,10111111,52.86,800,32.5,4.12,459.0,52.24,800,13.64,82.5,36.0
,53.46,768,82.5,-5.1,10111111,53.76,800,34.1,4.12,459.0,53.17,800,13.64,82.5,36.0
,54.36,800,82.5,-4.7,10111111,54.67,800,32.5,4.12,459.0,54.06,800,13.64,82.5,36.0
,55.27,768,82.5,-4.3,10111111,55.56,800,34.1,4.12,459.0,54.97,768,13.74,82.5,36.0
,56.18,800,82.5,-3.9,10111111,56.48,768,32.5,4.12,459.0,55.87,800,13.74,82.5,36.0
,57.07,800,82.5,-4.3,10111111,57.38,800,32.5,4.12,459.0,56.77,768,13.74,82.5,36.0
,57.98,800,82.5,-4.7,10111111,58.27,768,32.5,4.12,459.0,57.67,800,13.74,82.5,36.0
,58.86,800,82.5,-5.1,10111111,59.16,800,32.5,4.12,459.0,58.57,768,13.74,82.5,37.5
,59.76,768,82.5,-5.1,10111111,60.06,800,32.5,4.12,459.0,59.46,800,13.64,82.5,37.5
,60.65,800,82.5,-4.7,10111111,60.94,800,32.5,4.12,459.0,60.36,800,13.74,82.5,36.0
,61.55,768,82.5,-5.1,10111111,61.85,800,34.1,4.12,459.0,61.24,800,13.64,82.5,36.0
,62.46,800,82.5,-5.1,10111111,62.75,800,32.5,4.12,459.0,62.15,800,13.64,82.5,37.5
,63.36,800,82.5,-4.7,10111111,63.66,768,34.1,4.12,459.0,63.04,768,13.64,82.5,37.5
,64.25,800,82.5,-4.3,10111111,64.55,800,32.5,4.12,459.0,63.95,800,13.64,82.5,37.5
,65.14,800,82.5,-3.9,10111111,65.45,800,32.5,4.12,438.6,64.84,800,13.74,82.5,37.5
,66.06,800,82.5,-4.3,10111111,66.38,800,32.5,4.12,459.0,65.75,800,13.53,82.5,37.5
,66.99,768,82.5,-5.1,10111111,67.29,800,34.1,4.12,459.0,66.68,800,13.64,82.5,37.5
,67.89,768,82.5,-5.5,10111111,68.19,800,32.5,4.12,459.0,67.60,800,13.84,82.5,37.5
,68.78,800,82.5,-4.7,10111111,69.08,800,32.5,4.12,459.0,68.48,768,13.64,82.5,37.5
,69.71,768,84.0,-4.7,10111111,70.02,768,32.5,4.12,459.0,69.39,800,13.64,84.0,37.5
,70.62,768,84.0,-4.7,10111111,70.92,800,32.5,4.12,459.0,70.32,768,13.64,84.0,37.5
,71.52,768,84.0,-4.7,10111111,71.82,768,32.5,4.12,459.0,71.22,768,13.74,84.0,37.5
,72.40,768,84.0,-4.7,10111111,72.71,768,32.5,4.12,459.0,72.11,768,13.64,84.0,37.5
,73.31,800,84.0,-4.3,10111111,73.61,800,32.5,4.12,459.0,73.01,768,13.64,84.0,37.5
,74.22,768,84.0,-4.3,10111111,74.54,800,32.5,4.12,459.0,73.91,768,13.64,84.0,37.5
,75.16,800,82.5,-4.7,10111111,75.47,800,32.5,4.12,459.0,74.85,800,13.74,84.0,37.5
,76.07,800,84.0,-4.7,10111111,76.39,768,32.5,4.12,459.0,75.77,800,13.64,82.5,37.5
,77.00,800,84.0,-4.3,10111111,77.31,800,32.5,4.12,459.0,76.69,768,13.64,84.0,37.5
