Niedziela,16,Sierpień,2026,11:48:57:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,0,21.0,0.0,10110110,0.27,0,0.0,0.00,969.0,0.54,0.0,1.48, , 
,0.81,0,21.0,0.0,10110110,1.08,0,0.0,0.00,969.0,1.35,0.0,1.48, , 
,1.62,0,21.0,0.0,10110110,1.89,0,0.0,0.00,969.0,2.16,0.0,1.48, , 
,2.43,0,21.0,0.0,10110110,2.69,0,0.0,0.00,969.0,2.96,0.0,1.48, , 
,3.23,0,21.0,0.0,10110110,3.50,0,0.0,0.00,969.0,3.78,0.0,1.48, , 
,4.06,0,21.0,0.0,10110110,4.33,192,97.3,58.71,969.0,4.60,0.0,1.48, , 
,4.87,192,21.0,0.0,10110110,5.13,192,100.0,55.62,969.0,5.40,0.0,1.48, , 
,5.66,192,21.0,0.0,10110110,5.98,224,100.0,48.41,969.0,6.29,0.0,1.48, , 
,6.61,1248,21.0,0.0,10110110,6.94,1248,42.7,9.27,499.8,7.28,0.0,1.48, , 
,7.60,1184,21.0,0.0,10110110,7.93,1152,41.2,8.24,479.4,8.24,0.0,1.48, , 
,8.55,1152,21.0,0.0,10110110,8.88,1152,42.7,8.24,479.4,9.22,0.0,1.48, , 
,9.52,1184,21.0,0.0,10110110,9.87,1184,40.0,8.24,479.4,10.18,0.0,1.48, , 
,10.50,1184,21.0,0.0,10110110,10.88,1184,40.0,7.21,459.0,11.19,0.0,1.48, , 
,11.50,1152,21.0,0.0,10110110,11.84,1184,40.0,7.21,459.0,12.16,0.0,1.48, , 
,12.47,1184,21.0,0.0,10110110,12.80,1184,40.0,7.21,459.0,13.15,0.0,1.48, , 
,13.50,1152,21.0,0.0,10110110,13.83,1152,40.0,6.18,459.0,14.15,0.0,1.48, , 
,14.48,1152,21.0,0.0,10110110,14.80,1152,38.4,6.18,459.0,15.14,0.0,1.48, , 
,15.47,1152,21.0,0.0,10110110,15.79,1152,38.4,6.18,459.0,16.11,0.0,1.48, , 
,16.43,1152,21.0,0.0,10110110,16.76,1152,38.4,6.18,459.0,17.07,0.0,1.48, , 
,17.38,1152,21.0,0.0,10110110,17.69,1120,36.9,5.15,438.6,18.03,0.0,1.48, , 
,18.37,1120,21.0,0.0,10110110,18.67,1120,38.4,5.15,438.6,18.99,0.0,1.48, , 
,19.31,1120,21.0,0.0,10110110,19.64,1120,38.4,5.15,459.0,19.99,0.0,1.48, , 
,20.32,1088,21.0,0.0,10110110,20.64,1088,40.0,6.18,459.0,20.97,0.0,1.48, , 
,21.29,1088,21.0,0.0,10110110,21.60,1088,41.2,6.18,479.4,21.94,0.0,1.48, , 
,22.27,1120,21.0,0.0,10110110,22.59,1120,42.7,6.18,479.4,22.90,0.0,1.48, , 
,23.23,1120,21.0,0.0,10110110,23.57,1088,44.3,6.18,499.8,23.90,0.0,1.48, , 
,24.22,1120,21.0,0.0,10110110,24.53,1088,45.9,6.18,520.2,24.86,0.0,1.48, , 
,25.20,1120,21.0,0.0,10110110,25.53,1120,48.6,6.18,550.8,25.86,0.0,1.48, , 
,26.19,1120,21.0,0.0,10110110,26.51,1120,48.6,6.18,550.8,26.83,0.0,1.48, , 
,27.18,1152,21.0,0.0,10110110,27.51,1088,50.2,7.21,571.2,27.82,0.0,1.48, , 
,28.15,1152,21.0,0.0,10110110,28.45,1120,51.8,7.21,571.2,28.78,0.0,1.48, , 
,29.13,1152,22.5,0.0,10110110,29.46,1120,51.8,7.21,591.6,29.78,0.0,1.52, , 
,30.12,1120,22.5,0.0,10110110,30.44,1120,51.8,7.21,591.6,30.78,0.0,1.52, , 
,31.11,1120,22.5,0.0,10110110,31.46,1088,51.8,7.21,591.6,31.78,0.0,1.56, , 
,32.12,1120,22.5,0.0,10110110,32.45,1152,51.8,7.21,591.6,32.76,0.0,1.60, , 
,33.10,1120,22.5,0.0,10110110,33.43,1120,51.8,7.21,591.6,33.74,0.0,1.64, , 
,34.07,1152,22.5,0.0,10110110,34.41,1152,51.8,7.21,571.2,34.73,0.0,1.68, , 
,35.07,1120,22.5,0.0,10110110,35.40,1120,51.8,7.21,571.2,35.72,0.0,1.64, , 
,36.03,1120,22.5,0.0,10110110,36.36,1152,51.8,7.21,571.2,36.68,0.0,1.64, , 
,37.01,1152,22.5,0.0,10110110,37.33,1152,50.2,7.21,571.2,37.64,0.0,1.60, , 
,37.98,1152,22.5,0.0,10110110,38.32,1120,50.2,6.18,571.2,38.66,0.0,1.60, , 
,38.99,1120,22.5,0.0,10110110,39.34,1120,50.2,6.18,571.2,39.67,0.0,1.64, , 
,39.99,1152,24.0,0.0,10110110,40.33,1120,50.2,6.18,571.2,40.65,0.0,1.68, , 
,40.98,1152,24.0,0.0,10110110,41.30,1152,48.6,6.18,550.8,41.63,0.0,1.60, , 
,41.95,1120,24.0,0.0,10110110,42.28,1120,48.6,6.18,550.8,42.62,0.0,1.64, , 
,42.95,1152,24.0,0.0,10110110,43.25,1120,48.6,6.18,550.8,43.59,0.0,1.64, , 
,43.91,1120,24.0,0.0,10110110,44.25,1152,47.1,6.18,550.8,44.57,0.0,1.60, , 
,44.91,1120,24.0,0.0,10110110,45.23,1120,47.1,6.18,550.8,45.55,0.0,1.64, , 
,45.86,1120,24.0,0.0,10110110,46.17,1120,48.6,6.18,550.8,46.49,0.0,1.60, , 
,46.82,1152,24.0,0.0,10110110,47.14,1120,45.9,6.18,520.2,47.48,0.0,1.60, , 
,47.80,1120,24.0,0.0,10110110,48.15,1120,45.9,6.18,520.2,48.46,0.0,1.60, , 
,48.77,1120,25.5,0.0,10110110,49.10,1120,45.9,6.18,520.2,49.43,1.6,1.60, , 
,49.77,1120,25.5,2.3,10111110,50.10,1152,45.9,6.18,520.2,50.43,3.5,1.56, , 
,50.76,1120,25.5,3.9,10111110,51.11,1152,44.3,6.18,520.2,51.45,3.9,1.52, , 
,51.75,1120,25.5,3.9,10111110,52.08,1120,44.3,6.18,499.8,52.41,3.9,1.52, , 
,52.73,1120,25.5,3.9,10111110,53.04,1120,44.3,6.18,499.8,53.36,4.3,1.52, , 
,53.68,1120,25.5,4.7,10111110,54.00,1120,44.3,6.18,499.8,54.36,4.7,1.52, , 
,54.70,1120,25.5,4.7,10111110,55.02,1120,44.3,6.18,499.8,55.34,4.7,1.48, , 
,55.66,1120,25.5,4.7,10111110,55.98,1120,42.7,6.18,499.8,56.34,4.7,1.52, , 
,56.66,1120,27.0,4.7,10111110,57.00,1120,42.7,6.18,499.8,57.35,3.9,1.48, , 
,57.69,1120,27.0,4.3,10111110,58.02,1120,42.7,6.18,499.8,58.36,3.9,1.48, , 
,58.70,1088,27.0,3.9,10111110,59.02,1120,41.2,6.18,479.4,59.36,3.9,1.52, , 
,59.71,1120,27.0,3.9,10111110,60.04,1120,41.2,6.18,479.4,60.36,3.9,1.48, , 
,60.69,1120,27.0,3.9,10111110,61.02,1088,41.2,6.18,479.4,61.34,3.5,1.48, , 
,61.67,1088,27.0,3.5,10111110,62.01,1120,40.0,6.18,479.4,62.33,3.1,1.48, , 
,62.66,1088,27.0,2.7,10111110,62.99,1088,40.0,5.15,479.4,63.32,2.7,1.48, , 
,63.65,1120,28.5,2.7,10111110,63.98,1088,41.2,6.18,479.4,64.30,2.7,1.48, , 
,64.62,1120,28.5,2.7,10111110,64.95,1120,40.0,5.15,479.4,65.27,2.7,1.48, , 
,65.61,1120,28.5,2.7,10111110,65.94,1120,40.0,5.15,479.4,66.27,2.7,1.48, , 
,66.59,1120,28.5,2.7,10111110,66.93,1088,40.0,5.15,459.0,67.26,2.7,1.52, , 
,67.58,1120,28.5,2.7,10111110,67.91,1088,38.4,5.15,459.0,68.23,2.3,1.48, , 
,68.55,1088,28.5,2.0,10111110,68.88,1088,38.4,5.15,459.0,69.20,2.0,1.48, , 
,69.51,1088,28.5,1.6,10111110,69.83,1088,36.9,5.15,459.0,70.14,1.2,1.48, , 
,70.47,1088,28.5,1.2,10111110,70.78,1088,36.9,5.15,438.6,71.09,1.2,1.48, , 
,71.41,1056,28.5,1.2,10111110,71.73,1088,35.3,5.15,438.6,72.04,0.8,1.48, , 
,72.35,1056,30.0,0.8,10111110,72.67,1088,35.3,5.15,438.6,73.00,0.4,1.48, , 
,73.33,1056,30.0,0.4,10111110,73.67,1056,35.3,5.15,438.6,74.00,0.0,1.48, , 
,74.33,1056,30.0,0.0,10111110,74.65,1056,35.3,5.15,438.6,74.98,-0.4,1.48, , 
,75.29,1056,30.0,-0.4,10111110,75.61,1056,35.3,5.15,438.6,75.94,-0.4,1.52, , 
,76.28,1056,30.0,0.0,10111110,76.62,1056,35.3,5.15,438.6,76.93,0.0,1.52, , 
,77.25,1056,30.0,0.0,10111110,77.57,1056,36.9,5.15,438.6,77.88,0.4,1.52, , 
,78.20,1056,31.5,0.8,10111110,78.53,1056,36.9,5.15,459.0,78.86,1.6,1.52, , 
,79.18,1056,31.5,2.0,10111110,79.50,1056,36.9,5.15,459.0,79.82,2.0,1.52, , 
,80.14,1056,31.5,2.0,10111110,80.47,1056,36.9,5.15,459.0,80.81,2.0,1.52, , 
,81.12,1056,31.5,2.0,10111110,81.43,1056,38.4,5.15,459.0,81.74,2.3,1.52, , 
,82.06,1056,31.5,2.3,10111110,82.39,1056,38.4,5.15,459.0,82.73,2.3,1.52, , 
,83.05,1056,31.5,2.3,10111110,83.38,1056,38.4,5.15,459.0,83.69,2.3,1.48, , 
,84.02,1024,33.0,2.0,10111110,84.33,1024,38.4,5.15,459.0,84.67,2.0,1.52, , 
,84.99,1024,33.0,2.0,10111110,85.32,1056,38.4,5.15,459.0,85.62,2.0,1.52, , 
,85.95,1024,33.0,2.0,10111110,86.27,1056,38.4,5.15,459.0,86.61,2.3,1.52, , 
,86.93,1056,33.0,2.0,10111110,87.27,1024,38.4,5.15,459.0,87.60,2.0,1.52, , 
,87.92,1024,33.0,2.0,10111110,88.25,1024,38.4,5.15,459.0,88.56,2.0,1.52, , 
,88.88,1024,33.0,2.0,10111110,89.17,1024,38.4,5.15,459.0,89.48,2.0,1.52, , 
,89.79,1024,33.0,2.0,10111110,90.08,1024,38.4,5.15,459.0,90.37,2.0,1.52, , 
,90.70,1024,34.5,2.0,10111110,91.00,992,40.0,5.15,479.4,91.29,2.0,1.52, , 
,91.63,992,34.5,2.0,10111110,91.97,992,40.0,5.15,479.4,92.29,2.0,1.52, , 
,92.65,992,34.5,2.3,10111110,92.96,1024,40.0,5.15,479.4,93.28,2.3,1.48, , 
,93.58,992,34.5,2.0,10111110,93.93,992,40.0,5.15,479.4,94.25,2.0,1.48, , 
,94.54,992,34.5,2.0,10111110,94.81,992,40.0,5.15,479.4,95.17,2.0,1.52, , 
,95.51,992,34.5,2.3,10111110,95.80,992,41.2,5.15,479.4,96.12,2.3,1.48, , 
,96.46,992,34.5,2.3,10111110,96.75,992,41.2,5.15,479.4,97.08,2.3,1.48, , 
,97.44,960,34.5,2.3,10111110,97.80,992,40.0,5.15,479.4,98.16,2.3,1.48, , 
,98.47,992,36.0,2.3,10111110,98.77,992,40.0,5.15,479.4,99.04,2.3,1.48, , 
,99.30,992,36.0,2.0,10111110,99.58,992,40.0,5.15,479.4,99.85,2.0,1.48, , 
,100.13,992,36.0,1.6,10111110,100.47,960,41.2,6.18,479.4,100.82,1.6,1.48, , 
,101.09,960,36.0,2.0,10111110,101.44,960,41.2,6.18,479.4,101.75,1.6,1.48, , 
,102.11,960,36.0,1.6,10111110,102.47,960,40.0,5.15,479.4,102.79,1.6,1.48, , 
,103.07,960,36.0,1.6,10111110,103.36,992,40.0,6.18,479.4,103.72,1.6,1.48, , 
,104.03,960,36.0,1.6,10111110,104.39,960,41.2,6.18,499.8,104.74,1.6,1.48, , 
,105.07,960,37.5,1.6,10111110,105.35,960,41.2,5.15,479.4,105.70,1.6,1.48, , 
,106.01,960,37.5,1.6,10111110,106.36,960,40.0,5.15,479.4,106.68,1.6,1.48, , 
,107.01,960,37.5,1.6,10111110,107.30,960,40.0,5.15,479.4,107.61,1.2,1.48, , 
,107.94,928,37.5,1.2,10111110,108.28,960,41.2,5.15,499.8,108.61,1.2,1.48, , 
,108.94,960,37.5,1.2,10111110,109.25,960,41.2,5.15,499.8,109.57,0.8,1.52, , 
,109.88,960,37.5,1.2,10111110,110.22,960,40.0,5.15,479.4,110.55,0.8,1.48, , 
,110.87,960,37.5,0.8,10111110,111.19,960,40.0,5.15,479.4,111.50,0.4,1.48, , 
,111.83,960,37.5,0.8,10111110,112.15,960,40.0,5.15,479.4,112.46,0.4,1.52, , 
,112.75,928,39.0,0.4,10111110,113.07,960,40.0,5.15,479.4,113.36,0.4,1.45, , 
,113.68,928,39.0,-0.4,10111110,113.98,928,40.0,5.15,479.4,114.31,-1.6,1.45, , 
,114.62,928,39.0,-1.2,10111110,114.95,896,40.0,5.15,479.4,115.25,-0.8,1.56, , 
,115.56,896,39.0,-0.4,10111110,115.86,928,40.0,5.15,479.4,116.17,0.4,1.56, , 
,116.48,928,39.0,0.8,10111110,116.78,928,40.0,5.15,479.4,117.10,1.6,1.48, , 
,117.41,928,39.0,2.0,10111110,117.73,928,40.0,6.18,499.8,118.03,2.3,1.45, , 
,118.34,928,39.0,2.3,10111110,118.63,928,40.0,6.18,479.4,118.94,2.7,1.45, , 
,119.25,928,39.0,2.3,10111110,119.58,928,40.0,5.15,479.4,119.88,2.7,1.45, , 
,120.20,928,39.0,2.3,10111110,120.49,928,40.0,5.15,479.4,120.80,2.0,1.41, , 
,121.12,928,40.5,2.0,10111110,121.44,896,40.0,5.15,479.4,121.75,1.6,1.45, , 
,122.07,896,40.5,1.2,10111110,122.39,928,40.0,5.15,479.4,122.69,1.2,1.45, , 
,122.99,928,40.5,1.2,10111110,123.30,928,38.4,5.15,479.4,123.63,1.2,1.45, , 
,123.95,928,40.5,1.2,10111110,124.27,928,38.4,5.15,479.4,124.57,1.2,1.45, , 
,124.89,896,40.5,1.2,10111110,125.18,896,38.4,5.15,479.4,125.48,1.6,1.48, , 
,125.77,928,40.5,1.6,10111110,126.10,896,38.4,5.15,479.4,126.42,1.6,1.45, , 
,126.73,896,40.5,2.0,10111110,127.02,928,38.4,5.15,479.4,127.34,2.0,1.45, , 
,127.64,896,40.5,2.0,10111110,127.96,896,38.4,5.15,479.4,128.28,1.6,1.45, , 
,128.57,928,42.0,1.6,10111110,128.87,896,36.9,5.15,459.0,129.18,1.6,1.41, , 
,129.50,896,42.0,1.6,10111110,129.82,896,36.9,5.15,459.0,130.14,1.2,1.45, , 
,130.44,896,42.0,1.2,10111110,130.74,896,36.9,5.15,459.0,131.06,1.2,1.45, , 
,131.35,896,42.0,1.2,10111110,131.65,896,36.9,5.15,459.0,131.95,1.2,1.45, , 
,132.27,896,42.0,1.2,10111110,132.59,928,36.9,5.15,459.0,132.89,1.2,1.45, , 
,133.21,896,42.0,1.2,10111110,133.54,896,36.9,5.15,459.0,133.84,1.6,1.45, , 
,134.16,896,42.0,1.6,10111110,134.47,896,36.9,5.15,459.0,134.80,1.6,1.48, , 
,135.11,928,42.0,2.0,10111110,135.43,896,36.9,5.15,459.0,135.72,2.0,1.45, , 
,136.05,896,42.0,2.0,10111110,136.36,896,36.9,5.15,459.0,136.69,2.0,1.45, , 
,136.99,896,42.0,2.0,10111110,137.32,896,35.3,5.15,459.0,137.61,2.0,1.45, , 
