Poniedziałek,10,Sierpień,2026,18:35:02:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'014,,,,Grupa C:,'015
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %,,,ZAPISU,,,,
,0.01,0,96.0,0.0,10110111,0.27,0,0.0,0,nieaktywna,0.54,0,0,0,nieaktywna
,0.81,0,96.0,0.0,10110111,1.08,0,0.0,0,nieaktywna,1.34,0,0,0,nieaktywna
,1.60,0,94.5,0.0,10110111,1.87,0,0.0,0,nieaktywna,2.14,0,0,0,nieaktywna
,2.40,0,96.0,0.0,10110111,2.67,0,0.0,0,nieaktywna,2.93,0,0,0,nieaktywna
,3.20,0,96.0,0.0,10110111,3.47,0,0.0,0,nieaktywna,3.73,0,0,0,nieaktywna
,4.00,0,96.0,0.0,10110111,4.26,0,0.0,0,nieaktywna,4.53,0,0,0,nieaktywna
,4.80,224,96.0,0.0,10110111,5.08,224,82.7,0,nieaktywna,5.34,0,0,0,nieaktywna
,5.61,224,96.0,0.0,10110111,5.87,224,81.2,0,nieaktywna,6.14,0,0,0,nieaktywna
,6.40,224,96.0,0.0,10110111,6.67,256,79.6,0,nieaktywna,6.94,0,0,0,nieaktywna
,7.22,0,96.0,0.0,10110111,7.48,0,0.0,0,nieaktywna,8.71,0,0,0,nieaktywna
,8.98,0,96.0,0.0,10110111,9.25,0,0.0,0,nieaktywna,9.51,0,0,0,nieaktywna
,9.78,0,94.5,0.0,10110111,10.05,0,0.0,0,nieaktywna,10.33,0,0,0,nieaktywna
,10.61,384,94.5,0.0,10110111,10.87,992,51.8,0,nieaktywna,11.16,0,0,0,nieaktywna
,11.44,896,94.5,0.0,10110111,11.76,832,31.0,0,nieaktywna,12.05,0,0,0,nieaktywna
,12.35,832,94.5,0.0,10110111,12.66,832,32.5,0,nieaktywna,12.96,0,0,0,nieaktywna
,13.25,832,94.5,0.0,10110111,13.55,832,32.5,0,nieaktywna,13.87,0,0,0,nieaktywna
,14.16,800,94.5,0.0,10110111,14.48,800,34.1,0,nieaktywna,14.78,0,0,0,nieaktywna
,15.07,800,94.5,0.0,10110111,15.37,800,32.5,0,nieaktywna,15.67,0,0,0,aktywna
,15.97,768,94.5,0.0,10110111,16.27,800,34.1,0,aktywna,16.57,0,0,0,aktywna
,16.88,800,94.5,0.0,10110111,17.17,800,32.5,0,aktywna,17.48,0,0,0,aktywna
,17.78,800,94.5,0.0,10110111,18.07,800,32.5,0,aktywna,18.37,0,0,0,aktywna
,18.66,800,93.0,0.0,10110111,18.97,800,32.5,0,aktywna,19.27,0,0,0,aktywna
,19.56,800,93.0,0.0,10110111,19.85,800,32.5,0,aktywna,20.17,0,0,0,aktywna
,20.47,800,93.0,0.0,10110111,20.77,800,32.5,0,aktywna,21.08,0,0,0,aktywna
,21.37,800,93.0,0.0,10110111,21.67,768,32.5,0,aktywna,21.96,0,0,0,aktywna
,22.25,768,91.5,0.0,10110111,22.56,800,32.5,0,aktywna,22.85,0,0,0,aktywna
,23.14,768,91.5,0.0,10110111,23.44,768,34.1,0,aktywna,23.73,0,0,0,aktywna
,24.04,832,91.5,0.0,10110111,24.34,832,31.0,0,aktywna,24.64,0,0,0,aktywna
,24.95,832,91.5,0.0,10110111,25.23,800,29.4,0,aktywna,25.52,0,0,0,aktywna
,25.81,800,90.0,0.0,10110111,26.11,800,29.4,0,aktywna,26.42,0,0,0,aktywna
,26.71,800,90.0,0.0,10110111,27.03,800,29.4,0,aktywna,27.32,0,0,0,aktywna
,27.60,800,91.5,0.0,10110111,27.90,800,29.4,0,aktywna,28.20,0,0,0,aktywna
,28.49,800,90.0,0.0,10110111,28.79,800,29.4,0,aktywna,29.08,0,0,0,aktywna
