Niedziela,30,Sierpieñ,2026,21:24:40:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.54,0,30.0,0.0,10110110,0.01,0,0.0,0.00,969.0,0.27,0.0,1.48, , 
,1.34,0,30.0,0.0,10110110,0.81,0,0.0,0.00,969.0,1.08,0.0,1.48, , 
,2.15,0,30.0,0.0,10110110,1.61,0,0.0,0.00,969.0,1.88,0.0,1.48, , 
,2.95,0,30.0,0.0,10110110,2.42,0,0.0,0.00,969.0,2.69,0.0,1.48, , 
,3.77,0,30.0,0.0,10110110,3.22,0,0.0,0.00,969.0,3.49,0.0,1.48, , 
,4.58,0,30.0,0.0,10110110,4.04,0,0.0,0.00,969.0,4.31,0.0,1.48, , 
,5.37,0,30.0,0.0,10110110,4.84,0,0.0,0.00,969.0,5.11,0.0,1.48, , 
,6.19,192,30.0,0.0,10110110,5.64,0,0.0,0.00,969.0,5.91,0.0,1.48, , 
,7.07,1152,30.0,0.0,10110110,6.45,224,100.0,50.47,969.0,6.72,0.0,1.48, , 
,8.04,1120,31.5,0.0,10110110,7.42,1280,51.8,11.33,591.6,7.73,0.0,1.48, , 
,9.03,1120,30.0,0.0,10110110,8.36,1088,40.0,8.24,479.4,8.67,0.0,1.48, , 
,9.96,1120,30.0,0.0,10110110,9.34,1120,38.4,7.21,459.0,9.64,0.0,1.48, , 
,10.93,1088,30.0,0.0,10110110,10.29,1120,40.0,7.21,459.0,10.61,0.0,1.48, , 
,11.93,1088,30.0,0.0,10110110,11.26,1088,40.0,7.21,459.0,11.59,0.0,1.48, , 
,12.87,1056,30.0,0.0,10110110,12.26,1088,40.0,7.21,459.0,12.56,0.0,1.48, , 
,13.83,1056,30.0,0.0,10110110,13.17,992,41.2,7.21,479.4,13.50,0.0,1.48, , 
,14.79,1024,30.0,0.0,10110110,14.16,1024,41.2,7.21,479.4,14.48,0.0,1.48, , 
,15.79,992,30.0,0.0,10110110,15.12,1024,44.3,7.21,520.2,15.47,0.0,1.48, , 
,16.76,1024,30.0,0.0,10110110,16.11,1024,48.6,8.24,550.8,16.42,0.0,1.48, , 
,17.77,1152,30.0,0.0,10110110,17.09,1120,45.9,7.21,550.8,17.43,0.0,1.48, , 
,18.78,1120,30.0,0.0,10110110,18.11,1152,44.3,7.21,499.8,18.44,0.0,1.48, , 
,19.74,1120,30.0,0.0,10110110,19.12,1120,44.3,7.21,499.8,19.45,0.0,1.48, , 
,20.73,1120,30.0,0.0,10110110,20.07,1120,42.7,6.18,499.8,20.41,0.0,1.48, , 
,21.71,1088,30.0,0.0,10110110,21.05,1088,40.0,6.18,479.4,21.38,0.0,1.48, , 
,22.69,1088,30.0,0.0,10110110,22.04,1056,41.2,6.18,479.4,22.36,0.0,1.48, , 
,23.64,1056,31.5,0.0,10110110,23.03,1056,41.2,6.18,479.4,23.33,0.0,1.48, , 
,24.62,1088,30.0,0.0,10110110,23.96,1088,42.7,6.18,499.8,24.30,0.0,1.48, , 
,25.60,1056,30.0,0.0,10110110,24.93,1088,42.7,6.18,499.8,25.28,0.0,1.48, , 
,26.55,1088,30.0,0.0,10100010,25.92,1056,44.3,6.18,520.2,26.23,0.0,1.48, , 
,27.52,928,30.0,0.0,10100010,26.87,1120,41.2,5.15,479.4,27.22,0.0,1.48, , 
,28.47,1024,31.5,0.0,10100010,27.83,896,50.2,7.21,571.2,28.15,0.0,1.48, , 
,29.46,1248,31.5,0.0,10100010,28.79,992,47.1,6.18,550.8,29.12,0.0,1.48, , 
,30.44,1248,31.5,0.0,10100010,29.79,1312,36.9,5.15,438.6,30.11,0.0,1.52, , 
,31.42,768,31.5,0.0,10100010,30.79,1152,40.0,5.15,459.0,31.12,0.0,1.52, , 
,32.38,992,31.5,0.0,10100010,31.73,832,57.6,10.30,652.8,32.03,0.0,1.45, , 
,33.40,1216,31.5,0.0,10100010,32.71,1088,45.9,6.18,520.2,33.05,0.0,1.41, , 
,34.48,1440,31.5,0.0,10100010,33.77,1280,47.1,6.18,550.8,34.14,0.0,1.56, , 
,35.60,1888,31.5,0.0,10100010,34.85,1600,57.6,11.33,612.0,35.23,0.0,1.56, , 
,36.63,2304,31.5,0.0,10100000,35.96,2048,56.1,8.24,591.6,36.30,0.0,1.60, , 
,37.69,1696,31.5,0.0,10110110,36.98,2400,48.6,7.21,520.2,37.33,0.0,1.60, , 
,38.72,1312,33.0,0.0,10101010,38.02,1056,41.2,8.24,459.0,38.39,0.0,1.72, , 
,39.75,1312,33.0,-6.6,10101010,39.06,1280,36.9,5.15,438.6,39.42,-5.5,1.25, , 
,40.81,1408,33.0,0.0,10101010,40.08,1344,42.7,7.21,499.8,40.45,0.0,1.45, , 
,42.06,1536,33.0,2.7,10101010,41.27,1440,44.3,6.18,499.8,41.70,2.7,1.60, , 
,43.19,1632,33.0,5.1,10101010,42.42,1568,41.2,6.18,479.4,42.81,3.5,1.52, , 
,44.31,1728,33.0,0.0,10101010,43.56,1664,44.3,7.21,499.8,43.93,7.4,1.52, , 
,45.45,1888,33.0,0.0,10101010,44.70,1760,50.2,7.21,550.8,45.09,0.0,1.56, , 
,46.48,2112,33.0,0.8,10101000,45.81,1984,63.5,9.27,673.2,46.16,0.0,1.60, , 
,47.56,2304,34.5,2.7,10101000,46.84,2176,60.4,9.27,632.4,47.18,1.6,1.56, , 
,48.67,2304,34.5,0.0,10111100,47.93,2368,62.0,9.27,632.4,48.31,0.0,1.60, , 
,49.67,1312,34.5,0.0,10111110,49.02,1536,0.0,0.00,377.4,49.34,0.0,3.09, , 
,50.69,1152,34.5,-4.3,10111110,50.00,1280,35.3,5.15,418.2,50.35,0.0,0.94, , 
,51.62,992,34.5,-9.8,10111110,50.98,1088,36.9,5.15,438.6,51.29,-9.4,1.25, , 
,52.60,1024,34.5,-9.4,10111110,51.94,1024,42.7,6.18,499.8,52.26,-9.4,1.52, , 
,53.52,1024,34.5,-7.8,10111110,52.90,1024,42.7,6.18,499.8,53.20,-8.2,1.56, , 
,54.49,992,34.5,-7.0,10111110,53.87,992,41.2,5.15,499.8,54.18,-7.0,1.52, , 
,55.56,992,34.5,-5.5,10111110,54.85,992,42.7,5.15,499.8,55.20,-6.3,1.56, , 
,56.53,992,36.0,-3.5,10111110,55.88,992,42.7,6.18,499.8,56.18,-4.3,1.56, , 
,57.54,992,36.0,-2.7,10111110,56.89,992,40.0,5.15,479.4,57.20,-2.7,1.52, , 
,58.47,992,36.0,-3.1,10111110,57.84,960,38.4,5.15,459.0,58.19,-3.1,1.48, , 
,59.51,960,36.0,-2.0,10111110,58.82,960,40.0,5.15,459.0,59.15,-2.7,1.56, , 
,60.42,992,36.0,0.0,10101010,59.78,992,40.0,5.15,479.4,60.10,-1.6,1.52, , 
,61.51,1600,36.0,1.2,10101010,60.78,1216,40.0,5.15,459.0,61.12,1.2,1.56, , 
,62.59,1632,36.0,-3.9,10101010,61.89,1632,31.0,4.12,377.4,62.24,-1.2,1.41, , 
,63.66,1344,36.0,-4.7,10101010,62.98,1568,25.1,3.09,336.6,63.32,-6.3,1.41, , 
,64.66,1312,37.5,-0.8,10101010,63.98,1280,32.5,4.12,397.8,64.31,-1.6,1.60, , 
,65.64,1088,37.5,0.4,10101010,64.98,1280,32.5,4.12,397.8,65.31,0.0,1.56, , 
,66.62,1184,37.5,-2.0,10111110,65.96,1120,38.4,5.15,459.0,66.31,2.0,1.52, , 
,67.61,960,37.5,0.4,10111110,66.95,960,36.9,5.15,438.6,67.29,0.4,1.56, , 
,68.61,1760,37.5,0.0,10101010,67.91,960,44.3,9.27,499.8,68.24,0.0,0.20, , 
,69.64,1152,37.5,0.0,10101010,68.96,1312,60.4,12.36,652.8,69.28,0.0,1.21, , 
,70.68,1824,37.5,0.0,10101010,69.92,1408,57.6,9.27,632.4,70.30,0.0,1.45, , 
,71.73,1344,37.5,0.0,10111110,71.03,2048,67.8,11.33,714.0,71.41,0.0,1.45, , 
,72.72,1248,39.0,0.0,10101010,72.06,1216,35.3,5.15,438.6,72.37,0.0,1.29, , 
,73.72,1312,39.0,0.0,10101010,73.04,1248,32.5,5.15,397.8,73.38,0.0,0.86, , 
,74.87,1536,39.0,0.0,10101010,74.08,1376,60.4,13.39,673.2,74.53,0.0,1.09, , 
,76.00,1792,39.0,-2.3,10101010,75.25,1632,53.3,8.24,591.6,75.62,0.0,1.41, , 
,77.10,2016,39.0,-6.3,10101000,76.37,1856,47.1,6.18,520.2,76.73,-1.6,1.48, , 
,78.17,2112,39.0,-10.2,10101000,77.45,2048,31.0,4.12,377.4,77.82,-10.9,1.37, , 
,79.24,2272,39.0,-2.3,10101000,78.52,2144,41.2,5.15,459.0,78.87,-3.1,1.72, , 
,80.34,2368,40.5,-3.1,10101000,79.60,2304,35.3,5.15,418.2,79.96,-1.6,1.52, , 
,81.44,2464,40.5,-3.1,10101000,80.70,2400,28.2,4.12,336.6,81.08,-3.1,1.52, , 
,82.47,2496,40.5,-3.5,10101000,81.79,2464,26.7,3.09,316.2,82.13,-3.1,1.48, , 
,83.51,2592,40.5,2.0,10101000,82.81,2624,35.3,5.15,397.8,83.16,2.3,1.64, , 
,84.52,2688,40.5,-3.5,10101000,83.86,2656,31.0,4.12,357.0,84.18,-0.4,1.33, , 
,85.51,2624,40.5,-2.7,10111100,84.86,2656,20.8,3.09,275.4,85.19,-2.3,1.52, , 
,86.55,2528,40.5,-2.0,10111100,85.86,2592,20.8,3.09,275.4,86.21,-1.6,1.60, , 
,87.58,2496,40.5,0.0,10111100,86.90,2496,20.8,3.09,275.4,87.25,-0.8,1.52, , 
,88.55,2368,40.5,0.4,10111100,87.91,2464,20.8,3.09,275.4,88.22,2.0,1.56, , 
,89.59,2144,40.5,0.8,10111100,88.88,2272,20.8,3.09,275.4,89.23,1.6,1.52, , 
,90.64,2016,42.0,3.1,10111100,89.94,2080,20.8,3.09,275.4,90.28,3.9,1.52, , 
,91.70,1984,42.0,2.7,10111100,91.00,2016,19.2,3.09,275.4,91.34,3.5,1.52, , 
,92.80,1952,42.0,3.5,10111110,92.07,1984,19.2,3.09,275.4,92.43,3.9,1.52, , 
,93.89,1920,42.0,3.1,10111110,93.15,1920,20.8,3.09,295.8,93.52,3.5,1.48, , 
,94.98,1920,42.0,3.5,10111110,94.25,1920,22.0,3.09,295.8,94.62,3.1,1.48, , 
,96.06,1888,42.0,2.3,10111110,95.35,1920,22.0,3.09,295.8,95.71,3.5,1.48, , 
,97.16,1888,42.0,2.7,10111110,96.42,1888,22.0,3.09,295.8,96.79,2.7,1.52, , 
,98.25,1856,42.0,3.1,10111110,97.52,1888,23.5,3.09,316.2,97.89,2.0,1.48, , 
,99.24,992,42.0,0.0,10111110,98.58,1536,0.0,0.00,336.6,98.91,0.0,3.36, , 
,100.15,960,43.5,0.0,10111110,99.51,1024,36.9,6.18,459.0,99.81,0.0,0.94, , 
,101.10,896,43.5,-6.3,10111110,100.47,928,36.9,5.15,438.6,100.78,-4.7,1.13, , 
,102.02,896,42.0,-7.8,10111110,101.42,896,36.9,5.15,459.0,101.72,-7.8,1.45, , 
,102.94,1248,43.5,-7.0,10111110,102.30,928,38.4,5.15,459.0,102.61,-7.4,1.56, , 
,103.93,1248,43.5,1.6,10111110,103.26,1248,28.2,4.12,357.0,103.59,1.6,1.76, , 
,104.95,1312,43.5,-1.6,10101010,104.26,1248,28.2,4.12,357.0,104.59,-2.3,1.48, , 
,106.05,1376,43.5,1.6,10101010,105.31,1312,31.0,4.12,397.8,105.70,2.0,1.60, , 
,107.07,1536,43.5,2.0,10101010,106.40,1472,31.0,4.12,397.8,106.69,1.6,1.52, , 
,108.21,1728,43.5,6.3,10101010,107.46,1632,38.4,6.18,459.0,107.82,4.7,1.56, , 
,109.31,1824,43.5,-0.4,10111110,108.60,1792,31.0,4.12,377.4,108.96,2.3,1.29, , 
,110.43,1824,45.0,-2.7,10111110,109.68,1888,23.5,3.09,316.2,110.05,-2.3,1.37, , 
,111.49,1664,45.0,-1.6,10111110,110.80,1760,25.1,3.09,336.6,111.13,-2.3,1.52, , 
,112.60,1664,45.0,-0.8,10101010,111.85,1664,26.7,3.09,336.6,112.20,-0.8,1.56, , 
,113.78,1824,45.0,2.0,10101010,113.00,1728,32.5,4.12,397.8,113.40,1.6,1.56, , 
,114.90,1952,45.0,0.8,10101010,114.16,1856,32.5,4.12,397.8,114.54,1.6,1.48, , 
,116.01,2080,45.0,-0.8,10101000,115.27,2016,28.2,4.12,357.0,115.64,-0.8,1.45, , 
,117.05,2176,45.0,-0.4,10101000,116.36,2112,29.4,4.12,357.0,116.71,0.0,1.52, , 
,118.07,2240,45.0,0.0,10101000,117.39,2176,28.2,4.12,357.0,117.73,-0.4,1.45, , 
,119.13,2304,45.0,0.0,10101000,118.42,2272,28.2,4.12,336.6,118.77,0.0,1.48, , 
,120.20,2432,45.0,3.5,10101000,119.46,2336,29.4,4.12,357.0,119.84,1.6,1.48, , 
,121.27,2592,45.0,-9.4,10101000,120.57,2464,41.2,5.15,459.0,120.91,-8.2,1.17, , 
,122.30,2752,46.5,-3.1,10101000,121.61,2656,36.9,5.15,418.2,121.97,-3.9,1.52, , 
,123.30,2880,46.5,-1.6,10101000,122.62,2784,34.1,4.12,397.8,122.97,-1.6,1.52, , 
,124.34,1728,46.5,0.0,10111110,123.64,2880,29.4,4.12,357.0,123.98,0.0,3.09, , 
,125.28,1056,46.5,0.0,10111110,124.63,1088,28.2,4.12,377.4,124.95,0.0,3.09, , 
,126.32,1856,46.5,0.0,10111110,125.59,1152,29.4,5.15,397.8,125.95,0.0,0.78, , 
,127.40,1824,46.5,0.0,10101010,126.68,1824,0.0,0.00,316.2,127.04,0.0,2.81, , 
,128.53,1824,46.5,-3.1,10101010,127.76,1792,31.0,4.12,377.4,128.14,-4.3,1.21, , 
,129.68,1856,46.5,-1.6,10101010,128.91,1824,34.1,4.12,418.2,129.30,-2.3,1.52, , 
,130.80,1888,46.5,0.0,10101010,130.06,1856,35.3,5.15,418.2,130.42,0.0,1.41, , 
,131.87,1984,46.5,-2.3,10101010,131.16,1920,51.8,7.21,571.2,131.51,-2.0,1.37, , 
,132.96,1984,46.5,0.0,10111110,132.23,1984,40.0,5.15,459.0,132.59,-2.7,1.45, , 
,133.92,1088,46.5,0.0,10111110,133.28,1312,0.0,0.00,377.4,133.60,0.0,3.44, , 
,134.88,928,46.5,0.0,10111110,134.23,1056,31.0,5.15,397.8,134.55,0.0,0.94, , 
,135.81,928,48.0,-4.3,10111110,135.19,928,34.1,5.15,418.2,135.51,-2.3,1.13, , 
,136.72,864,48.0,-6.6,10111110,136.12,896,34.1,5.15,438.6,136.42,-6.3,1.37, , 
,137.69,864,48.0,-6.6,10111110,137.03,896,34.1,4.12,438.6,137.35,-7.0,1.45, , 
,138.59,896,48.0,-5.9,10111110,137.99,864,34.1,4.12,438.6,138.30,-6.3,1.52, , 
,139.49,896,48.0,-5.1,10111110,138.89,896,35.3,4.12,438.6,139.18,-5.5,1.52, , 
,140.40,864,48.0,-4.3,10111110,139.78,864,34.1,4.12,438.6,140.10,-4.7,1.48, , 
,141.32,896,48.0,-3.9,10111110,140.72,864,34.1,4.12,438.6,141.02,-3.9,1.48, , 
,142.25,896,48.0,-3.1,10111110,141.65,896,34.1,4.12,438.6,141.95,-3.5,1.48, , 
,143.20,896,48.0,-3.5,10111110,142.59,896,34.1,4.12,438.6,142.89,-3.5,1.45, , 
