Poniedzia³ek,31,Sierpieñ,2026,06:34:37:00009-VCID:1C3761778CABCE7337-5178,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.54,0,21.0,0.0,10110110,0.01,0,0.0,0.00,969.0,0.27,0.0,1.48, , 
,1.36,0,21.0,0.0,10110110,0.81,0,0.0,0.00,969.0,1.08,0.0,1.48, , 
,2.15,0,21.0,0.0,10110110,1.62,0,0.0,0.00,969.0,1.89,0.0,1.48, , 
,2.95,0,21.0,0.0,10110110,2.42,0,0.0,0.00,969.0,2.68,0.0,1.48, , 
,3.75,0,21.0,0.0,10110110,3.21,0,0.0,0.00,969.0,3.48,0.0,1.48, , 
,4.54,0,21.0,0.0,10110110,4.01,0,0.0,0.00,969.0,4.28,0.0,1.48, , 
,5.36,0,21.0,0.0,10110110,4.81,0,0.0,0.00,969.0,5.08,0.0,1.48, , 
,6.19,0,21.0,0.0,10110110,5.64,0,0.0,0.00,969.0,5.91,0.0,1.48, , 
,6.99,0,21.0,0.0,10110110,6.46,0,0.0,0.00,969.0,6.73,0.0,1.48, , 
,7.79,0,21.0,0.0,10110110,7.26,0,0.0,0.00,969.0,7.53,0.0,1.48, , 
,8.61,0,21.0,0.0,10110110,8.06,0,0.0,0.00,969.0,8.33,0.0,1.48, , 
,9.40,0,21.0,0.0,10110110,8.87,0,0.0,0.00,969.0,9.13,0.0,1.48, , 
,10.21,192,21.0,0.0,10110110,9.67,192,97.3,58.71,969.0,9.93,0.0,1.48, , 
,11.17,1216,21.0,0.0,10110110,10.53,896,78.4,23.69,846.6,10.85,0.0,1.48, , 
,12.13,1152,21.0,0.0,10110110,11.48,1184,42.7,9.27,499.8,11.80,0.0,1.48, , 
,13.10,1152,21.0,0.0,10110110,12.45,1152,40.0,8.24,459.0,12.77,0.0,1.48, , 
,14.08,1152,21.0,0.0,10110110,13.42,1152,40.0,8.24,459.0,13.74,0.0,1.48, , 
,15.08,1184,21.0,0.0,10110110,14.43,1152,40.0,8.24,459.0,14.76,0.0,1.48, , 
,16.09,1152,21.0,0.0,10110110,15.42,1152,40.0,7.21,459.0,15.76,0.0,1.48, , 
,17.10,1152,21.0,0.0,10110110,16.41,1184,38.4,7.21,459.0,16.75,0.0,1.48, , 
,18.09,1152,21.0,0.0,10110110,17.46,1152,38.4,6.18,459.0,17.78,0.0,1.48, , 
,19.03,1056,21.0,0.0,10100010,18.40,1152,38.4,6.18,459.0,18.72,0.0,1.48, , 
,19.98,800,21.0,0.0,10100010,19.34,992,40.0,6.18,459.0,19.66,0.0,1.48, , 
,20.96,992,21.0,0.0,10100010,20.29,992,44.3,6.18,520.2,20.60,0.0,1.48, , 
,21.86,608,21.0,0.0,10110110,21.28,896,40.0,6.18,479.4,21.57,0.0,1.48, , 
,22.80,1088,21.0,0.0,10110110,22.16,704,65.1,12.36,714.0,22.50,0.0,1.48, , 
,23.77,1088,21.0,0.0,10110110,23.13,1056,38.4,5.15,459.0,23.45,0.0,1.48, , 
,24.76,1120,21.0,0.0,10110110,24.11,1120,36.9,5.15,438.6,24.41,0.0,1.48, , 
,25.75,1088,21.0,0.0,10110110,25.08,1120,36.9,5.15,438.6,25.41,0.0,1.48, , 
,26.71,1120,21.0,0.0,10110110,26.06,1088,38.4,5.15,459.0,26.39,0.0,1.48, , 
,27.70,1120,21.0,0.0,10110110,27.05,1088,40.0,5.15,459.0,27.36,0.0,1.48, , 
,28.68,1088,21.0,0.0,10110110,28.02,1088,41.2,6.18,479.4,28.36,0.0,1.48, , 
,29.63,1088,21.0,0.0,10110110,29.00,1120,42.7,6.18,479.4,29.32,0.0,1.48, , 
,30.58,1088,21.0,0.0,10110110,29.95,1088,44.3,6.18,499.8,30.27,0.0,1.48, , 
,31.57,1088,22.5,0.0,10110110,30.93,1088,45.9,6.18,520.2,31.25,0.0,1.48, , 
,32.51,1088,22.5,0.0,10110110,31.90,1088,48.6,6.18,550.8,32.20,0.0,1.48, , 
,33.48,1120,22.5,0.0,10110110,32.82,1088,50.2,7.21,571.2,33.15,0.0,1.48, , 
,34.39,1088,22.5,0.0,10100010,33.78,1088,51.8,7.21,571.2,34.09,0.0,1.48, , 
,35.42,1280,22.5,0.0,10100010,34.71,1312,50.2,5.15,571.2,35.07,0.0,1.52, , 
,36.54,1280,22.5,0.0,10100010,35.86,1472,50.2,7.21,550.8,36.19,0.0,1.52, , 
,37.52,1408,22.5,0.0,10100010,36.85,1152,60.4,10.30,652.8,37.20,0.0,1.56, , 
,38.55,1184,22.5,0.0,10100010,37.88,1408,36.9,5.15,438.6,38.23,0.0,1.60, , 
,39.53,1056,22.5,0.0,10110110,38.89,1120,48.6,6.18,550.8,39.20,0.0,1.56, , 
,40.52,992,22.5,0.0,10100010,39.85,1120,47.1,6.18,550.8,40.16,0.0,1.56, , 
,41.44,800,22.5,0.0,10100010,40.86,992,50.2,7.21,571.2,41.14,0.0,1.60, , 
,42.45,1024,22.5,0.0,10100010,41.77,896,59.2,9.27,652.8,42.14,0.0,1.56, , 
,43.39,1248,24.0,0.0,10100010,42.76,1088,53.3,7.21,591.6,43.06,0.0,1.60, , 
,44.45,1504,24.0,0.0,10100010,43.70,1312,50.2,7.21,550.8,44.07,0.0,1.68, , 
,45.60,1728,24.0,0.0,10101010,44.82,1600,45.9,6.18,499.8,45.21,0.0,1.56, , 
,46.76,1856,24.0,-5.1,10101010,45.99,1792,40.0,5.15,459.0,46.38,-3.9,1.37, , 
,47.83,2080,24.0,0.0,10101000,47.14,1888,40.0,5.15,459.0,47.49,0.0,1.48, , 
,48.91,2080,24.0,-7.8,10101000,48.19,2112,34.1,4.12,397.8,48.55,-4.3,1.21, , 
,50.01,1952,24.0,-9.8,10101010,49.28,2016,28.2,3.09,336.6,49.64,-10.5,1.41, , 
,51.10,1888,24.0,0.0,10101010,50.38,1920,32.5,4.12,377.4,50.75,-4.3,1.68, , 
,52.17,2112,24.0,3.9,10101000,51.47,1984,47.1,6.18,499.8,51.80,0.0,1.76, , 
,53.21,2112,25.5,-3.5,10101000,52.50,2144,31.0,4.12,357.0,52.85,-3.9,1.29, , 
,54.30,2240,25.5,0.0,10111100,53.59,2144,44.3,7.21,479.4,53.94,0.0,1.64, , 
,55.35,1280,25.5,0.0,10101010,54.67,2112,23.5,3.09,295.8,55.01,0.0,1.25, , 
,56.35,1312,25.5,0.0,10101010,55.68,1248,47.1,10.30,520.2,56.01,0.0,1.13, , 
,57.48,1632,25.5,0.0,10101010,56.74,1376,71.0,17.51,734.4,57.13,0.0,1.52, , 
,58.59,1792,25.5,0.0,10101010,57.83,1696,65.1,10.30,693.6,58.21,0.0,1.21, , 
,59.74,1824,25.5,-6.3,10101010,58.97,1824,36.9,5.15,438.6,59.34,0.0,1.09, , 
,60.91,1856,27.0,-5.9,10101010,60.13,1824,35.3,4.12,418.2,60.52,-6.6,1.52, , 
,62.05,1856,27.0,-3.5,10101010,61.30,1856,35.3,4.12,418.2,61.68,-4.7,1.56, , 
,63.21,1856,27.0,-0.4,10101010,62.44,1856,35.3,4.12,418.2,62.84,-2.0,1.60, , 
,64.34,1856,27.0,2.0,10101010,63.58,1856,35.3,5.15,418.2,63.97,1.2,1.52, , 
,65.47,1696,27.0,-4.3,10111110,64.72,1856,29.4,4.12,357.0,65.08,-1.6,1.33, , 
,66.50,1120,27.0,0.0,10111110,65.83,1440,29.4,4.12,357.0,66.15,-2.0,1.56, , 
,67.49,1088,27.0,0.0,10111110,66.82,1120,41.2,6.18,479.4,67.15,0.0,1.52, , 
,68.50,1088,27.0,2.3,10111110,67.82,1088,41.2,6.18,479.4,68.17,1.6,1.56, , 
,69.49,1088,27.0,4.3,10111110,68.82,1088,41.2,6.18,479.4,69.15,3.5,1.56, , 
,70.50,1120,28.5,5.9,10111110,69.84,1088,41.2,6.18,479.4,70.17,5.5,1.52, , 
,71.46,1088,28.5,5.9,10111110,70.82,1088,41.2,6.18,479.4,71.14,6.3,1.52, , 
,72.44,1120,28.5,5.1,10101010,71.79,1120,36.9,5.15,459.0,72.11,5.5,1.45, , 
,73.43,1184,28.5,8.2,10101010,72.78,1312,40.0,6.18,459.0,73.11,7.4,1.48, , 
,74.35,832,28.5,0.0,10101010,73.75,1088,48.6,7.21,550.8,74.06,0.0,1.56, , 
,75.41,1280,28.5,0.0,10101010,74.71,960,62.0,9.27,693.6,75.05,0.0,1.48, , 
,76.56,1856,28.5,-0.4,10101010,75.80,1504,62.0,9.27,673.2,76.18,0.0,1.52, , 
,77.61,2112,28.5,0.0,10111100,76.91,2016,53.3,7.21,591.6,77.24,0.0,1.48, , 
,78.62,1216,28.5,-9.8,10101010,77.96,2016,23.5,3.09,316.2,78.30,0.0,1.02, , 
,79.62,1280,28.5,0.0,10101010,78.95,1216,34.1,4.12,418.2,79.29,0.0,1.52, , 
,80.78,1472,30.0,0.0,10101010,79.96,1344,50.2,7.21,571.2,80.32,0.0,1.60, , 
,81.88,1632,30.0,-1.6,10101010,81.11,1504,40.0,5.15,479.4,81.50,0.0,1.45, , 
,83.03,1760,30.0,-2.0,10101010,82.26,1664,34.1,5.15,418.2,82.65,-1.2,1.48, , 
,84.19,1856,30.0,-3.1,10101010,83.41,1792,31.0,4.12,377.4,83.80,-2.3,1.48, , 
,85.30,1888,30.0,-4.3,10101010,84.58,1856,28.2,3.09,357.0,84.94,-4.3,1.45, , 
,86.39,1984,30.0,-5.5,10101010,85.67,1952,25.1,3.09,336.6,86.02,-5.1,1.48, , 
,87.47,1952,31.5,-5.5,10101010,86.75,1952,23.5,3.09,316.2,87.10,-5.5,1.52, , 
,88.54,1952,31.5,-3.9,10101010,87.82,1952,23.5,3.09,316.2,88.18,-4.7,1.56, , 
,89.63,1920,31.5,-2.7,10101010,88.91,1952,22.0,3.09,295.8,89.28,-3.5,1.52, , 
,90.72,1888,31.5,-1.6,10111110,90.00,1920,23.5,3.09,295.8,90.36,-1.6,1.56, , 
,91.85,1824,31.5,4.3,10111110,91.09,1920,23.5,3.09,295.8,91.46,1.6,1.64, , 
,92.99,1792,33.0,5.9,10111110,92.23,1824,25.1,3.09,336.6,92.62,7.0,1.60, , 
,94.14,1696,33.0,7.4,10111110,93.37,1760,28.2,4.12,336.6,93.76,6.6,1.48, , 
,95.22,1696,33.0,7.8,10111110,94.52,1728,28.2,4.12,357.0,94.89,7.8,1.45, , 
,96.30,1696,33.0,7.8,10111110,95.56,1696,28.2,4.12,357.0,95.93,7.8,1.48, , 
,97.37,1664,33.0,6.6,10111110,96.67,1664,28.2,4.12,357.0,97.03,7.0,1.45, , 
,98.51,1664,33.0,6.3,10111110,97.77,1632,28.2,4.12,357.0,98.14,6.3,1.45, , 
,99.62,1696,33.0,4.7,10101010,98.90,1632,28.2,4.12,357.0,99.26,5.5,1.45, , 
,100.78,1760,33.0,2.7,10101010,100.02,1728,28.2,4.12,357.0,100.39,3.5,1.45, , 
,101.91,1888,33.0,0.8,10101010,101.17,1792,26.7,4.12,336.6,101.54,1.2,1.45, , 
,103.01,1920,34.5,-0.8,10101010,102.28,1888,23.5,3.09,316.2,102.64,-0.8,1.45, , 
,104.12,1984,34.5,-2.7,10101010,103.38,1952,22.0,3.09,295.8,103.76,-1.6,1.48, , 
,105.19,2016,34.5,-2.7,10101000,104.48,1984,20.8,3.09,275.4,104.82,-2.3,1.52, , 
,106.27,2016,34.5,-1.2,10101000,105.56,2016,20.8,3.09,275.4,105.91,-2.0,1.56, , 
,107.35,1760,34.5,0.4,10111110,106.63,2048,20.8,3.09,275.4,106.99,-0.4,1.56, , 
,108.36,992,34.5,0.0,10111110,107.73,1408,29.4,4.12,377.4,108.02,0.8,1.64, , 
,109.28,992,34.5,-0.8,10111110,108.64,992,38.4,6.18,459.0,108.96,0.0,1.29, , 
,110.20,960,36.0,-1.6,10111110,109.54,960,38.4,5.15,459.0,109.87,-2.0,1.45, , 
,111.14,960,36.0,-0.8,10111110,110.53,960,40.0,5.15,479.4,110.86,-1.6,1.56, , 
,112.12,960,36.0,0.4,10111110,111.50,992,40.0,5.15,479.4,111.78,0.0,1.56, , 
,113.12,960,36.0,2.0,10111110,112.45,960,40.0,5.15,479.4,112.79,1.2,1.52, , 
,114.07,960,36.0,3.1,10111110,113.39,960,40.0,5.15,479.4,113.74,2.7,1.52, , 
,115.09,960,36.0,3.1,10111110,114.37,992,40.0,6.18,479.4,114.73,3.1,1.48, , 
,116.15,1600,36.0,5.9,10101010,115.43,1088,38.4,5.15,459.0,115.78,5.1,1.52, , 
,117.30,1792,36.0,7.4,10101010,116.53,1664,38.4,6.18,438.6,116.91,5.1,1.48, , 
,118.39,1984,36.0,7.0,10101010,117.67,1824,38.4,6.18,438.6,118.04,7.8,1.48, , 
,119.43,2208,36.0,7.0,10101000,118.74,2080,41.2,6.18,459.0,119.09,7.4,1.52, , 
,120.50,2368,36.0,0.0,10111100,119.80,2272,40.0,6.18,438.6,120.15,0.0,1.41, , 
,121.48,2272,37.5,-3.5,10111100,120.82,2336,20.8,3.09,275.4,121.15,-4.7,1.21, , 
,122.51,2112,37.5,-1.2,10111100,121.81,2208,20.8,3.09,275.4,122.15,-2.0,1.52, , 
,123.52,2112,37.5,1.2,10101000,122.85,2080,20.8,3.09,275.4,123.19,0.8,1.45, , 
,124.56,2240,37.5,7.8,10101000,123.88,2144,28.2,4.12,336.6,124.22,4.7,1.52, , 
,125.64,2464,37.5,10.9,10101000,124.91,2272,38.4,6.18,438.6,125.28,9.0,1.48, , 
,126.67,2016,37.5,0.0,10111100,125.96,2560,47.1,7.21,499.8,126.30,0.0,1.21, , 
,127.65,1056,37.5,0.0,10111110,127.01,1280,31.0,5.15,377.4,127.33,0.0,3.09, , 
,128.62,960,37.5,-1.6,10111110,127.97,1024,35.3,6.18,438.6,128.30,0.0,0.98, , 
,129.59,960,37.5,-6.3,10111110,128.95,960,38.4,6.18,459.0,129.26,-5.1,1.17, , 
,130.57,928,39.0,-7.0,10111110,129.91,928,38.4,5.15,479.4,130.25,-7.4,1.41, , 
,131.51,928,39.0,-5.5,10111110,130.88,928,38.4,5.15,479.4,131.20,-5.9,1.48, , 
,132.42,928,39.0,-3.5,10111110,131.83,928,38.4,5.15,479.4,132.12,-4.3,1.52, , 
,133.37,928,39.0,-1.6,10111110,132.76,928,38.4,5.15,479.4,133.08,-2.3,1.52, , 
,134.30,928,39.0,0.4,10111110,133.68,928,38.4,5.15,479.4,133.98,-0.4,1.52, , 
,135.28,928,39.0,1.6,10111110,134.62,896,40.0,5.15,479.4,134.96,1.2,1.48, , 
,136.19,928,39.0,2.3,10111110,135.59,928,38.4,5.15,479.4,135.89,2.0,1.48, , 
,137.17,1088,39.0,0.0,10101010,136.49,1056,42.7,7.21,499.8,136.83,0.0,1.37, , 
,138.16,1312,39.0,0.0,10101010,137.49,1184,57.6,9.27,652.8,137.81,0.0,1.52, , 
,139.16,1632,39.0,0.0,10101010,138.44,1440,66.3,10.30,714.0,138.76,0.0,1.64, , 
,140.21,1792,39.0,0.0,10101010,139.53,1696,38.4,5.15,459.0,139.86,0.0,1.37, , 
,141.35,1824,40.5,-8.6,10111110,140.59,1792,25.1,3.09,336.6,140.97,-6.6,1.21, , 
,142.47,1792,40.5,-5.9,10111110,141.71,1824,25.1,3.09,316.2,142.09,-6.6,1.48, , 
,143.49,1600,40.5,-1.6,10111110,142.80,1728,28.2,4.12,357.0,143.14,-2.7,1.60, , 
