Poniedzia³ek,31,Sierpieñ,2026,16:06:10:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obci¹¿enie,Czas wtrysku,Ciœnienie rzecz.,,Lambda,Napiêcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.01,800,96.0,3.9,10111111,0.31,768,29.4,4.12,438.6,0.61,3.9,1.45, , 
,0.91,800,96.0,3.5,10111111,1.22,768,29.4,4.12,418.2,1.52,3.5,1.45, , 
,1.81,800,96.0,3.9,10111111,2.12,768,29.4,4.12,438.6,2.42,3.9,1.48, , 
,2.69,768,96.0,4.7,10101011,2.99,672,36.9,5.15,499.8,3.28,0.0,1.52, , 
,3.56,640,96.0,0.0,10101011,3.85,768,60.4,8.24,754.8,4.14,0.0,1.52, , 
,4.48,1088,96.0,0.0,10101011,4.81,896,66.3,10.30,795.6,5.10,0.0,1.64, , 
,5.40,800,96.0,0.0,10101011,5.68,928,67.8,10.30,826.2,5.98,0.0,1.56, , 
,6.38,1344,96.0,0.0,10101011,6.70,1696,81.2,13.39,948.6,7.04,0.0,1.29, , 
,7.39,1984,96.0,0.0,10111101,7.70,1504,26.7,4.12,357.0,8.02,0.0,2.46, , 
,8.35,1312,96.0,0.0,10101011,8.71,1376,72.2,11.33,867.0,9.06,0.0,1.29, , 
,9.43,1664,96.0,0.0,10101011,9.78,1792,82.7,13.39,948.6,10.13,-2.3,1.45, , 
,10.47,2080,94.5,-2.3,10101001,10.81,2240,84.3,13.39,948.6,11.16,-3.5,1.45, , 
,11.50,2496,94.5,-3.9,10101001,11.84,2656,85.5,13.39,948.6,12.18,-2.7,1.48, , 
,12.50,2944,94.5,-3.1,11101001,12.91,3072,78.4,11.33,867.0,13.23,0.0,3.55, , 
,13.57,2112,94.5,0.0,11101001,13.93,2080,56.1,8.24,652.8,14.28,0.0,1.45, , 
,14.61,2176,94.5,0.0,11101001,14.96,2208,84.3,13.39,928.2,15.29,-2.0,1.41, , 
,15.62,2336,94.5,-2.3,11101001,15.96,2400,81.2,13.39,907.8,16.32,-2.7,1.48, , 
,16.66,2496,94.5,0.0,11101001,17.00,2528,54.5,7.21,632.4,17.33,0.0,1.68, , 
,17.67,2592,93.0,5.5,11101001,18.00,2592,45.9,6.18,550.8,18.32,9.8,1.60, , 
,18.65,2656,93.0,11.3,11101001,18.99,2656,48.6,7.21,571.2,19.33,8.6,1.13, , 
,19.69,2720,93.0,7.8,11101001,20.03,2752,63.5,9.27,714.0,20.34,5.5,1.33, , 
,20.69,2848,93.0,3.5,11101001,21.04,2880,63.5,9.27,714.0,21.43,1.2,1.41, , 
,21.69,2944,93.0,0.0,11101001,21.95,2976,60.4,8.24,693.6,22.22,0.0,1.52, , 
,22.55,2752,91.5,0.0,11111101,22.91,2272,0.0,0.00,295.8,23.27,0.0,3.87, , 
,23.59,1504,91.5,0.0,11101011,23.92,2240,19.2,3.09,275.4,24.25,0.0,1.09, , 
,24.60,2176,91.5,0.0,11101001,24.94,2176,31.0,4.12,377.4,25.28,2.7,1.56, , 
,25.62,2176,91.5,5.1,11101001,25.98,2144,53.3,7.21,632.4,26.34,5.5,1.52, , 
,26.69,2176,91.5,6.6,11101001,27.03,2208,51.8,7.21,612.0,27.37,10.2,1.52, , 
,27.71,2208,91.5,10.5,11101001,28.03,2240,60.4,9.27,693.6,28.36,5.1,1.33, , 
,28.69,2272,91.5,3.5,11101001,29.04,2304,62.0,8.24,693.6,29.38,0.8,1.37, , 
,29.71,2336,91.5,-0.4,11101001,30.06,2336,65.1,9.27,734.4,30.40,-1.6,1.45, , 
,30.73,2400,91.5,-2.7,11101001,31.07,2400,66.3,9.27,754.8,31.42,-4.3,1.48, , 
,31.77,2464,91.5,-4.7,11101001,32.13,2464,65.1,8.24,734.4,32.44,-1.2,1.64, , 
,32.78,2496,91.5,0.8,11101001,33.12,2496,56.1,8.24,632.4,33.48,5.5,1.45, , 
,33.82,2528,90.0,3.9,11101001,34.17,2560,60.4,8.24,693.6,34.51,3.9,1.52, , 
,34.87,2592,90.0,3.9,11101001,35.20,2592,66.3,9.27,734.4,35.52,3.5,1.48, , 
,35.84,2656,90.0,3.5,11101001,36.19,2688,81.2,13.39,887.4,36.52,3.1,1.48, , 
,36.85,2720,90.0,2.3,11101001,37.20,2752,81.2,13.39,887.4,37.54,1.2,1.45, , 
,37.88,2816,90.0,0.8,11101001,38.24,2848,79.6,12.36,887.4,38.55,0.0,1.95, , 
,38.90,2176,90.0,0.0,11111101,39.28,1632,0.0,0.00,295.8,39.66,0.0,3.44, , 
,40.02,2144,90.0,0.0,11101001,40.35,2176,26.7,4.12,336.6,40.67,1.2,1.52, , 
,41.01,2144,91.5,0.0,11101001,41.34,2144,67.8,10.30,775.2,41.69,0.0,1.48, , 
,42.03,2176,90.0,0.4,11101001,42.36,2176,67.8,9.27,775.2,42.69,-0.4,1.45, , 
,43.03,2176,90.0,0.0,11101001,43.37,2208,59.2,8.24,693.6,43.72,3.5,1.60, , 
,44.06,2208,90.0,6.3,11101001,44.40,2208,54.5,8.24,632.4,44.75,9.8,1.45, , 
,45.11,2208,90.0,10.9,11101001,45.45,2208,54.5,8.24,632.4,45.80,12.1,1.48, , 
,46.15,2208,90.0,14.1,11101001,46.51,2208,40.0,6.18,479.4,46.85,17.2,1.48, , 
,47.18,2208,90.0,18.0,11101001,47.52,2208,40.0,6.18,479.4,47.86,19.5,1.48, , 
,48.20,2208,90.0,18.4,11101001,48.54,2208,40.0,6.18,479.4,48.88,19.1,1.45, , 
,49.23,2176,90.0,19.1,11101001,49.57,2208,42.7,6.18,520.2,49.93,17.2,1.41, , 
,50.28,2176,88.5,16.4,11101001,50.63,2208,41.2,6.18,499.8,50.96,12.9,1.48, , 
,51.29,2176,90.0,12.5,11101001,51.63,2176,42.7,6.18,520.2,51.97,13.7,1.48, , 
,52.33,2176,88.5,14.1,11101001,52.68,2176,42.7,6.18,520.2,53.03,11.7,1.48, , 
,53.37,2176,88.5,12.5,11101001,53.73,2176,42.7,6.18,520.2,54.08,12.5,1.48, , 
,54.42,2176,88.5,12.5,11101001,54.78,2176,42.7,6.18,520.2,55.13,9.4,1.48, , 
,55.47,2176,88.5,9.0,11101001,55.80,2176,23.5,3.09,336.6,56.15,8.2,1.45, , 
,56.51,2176,88.5,6.3,11101001,56.86,2144,25.1,4.12,336.6,57.20,7.4,1.52, , 
,57.56,2144,88.5,7.0,11101001,57.92,2144,44.3,6.18,520.2,58.27,5.1,1.52, , 
,58.61,2144,88.5,5.9,11101001,58.96,2144,47.1,7.21,571.2,59.29,0.0,1.52, , 
,59.62,2112,88.5,0.0,11101001,59.98,2144,14.9,2.06,244.8,60.35,4.3,1.37, , 
,60.70,2112,88.5,9.0,11101001,61.07,2080,14.9,2.06,244.8,61.42,6.3,1.41, , 
,61.78,2080,88.5,2.7,11101001,62.14,2048,22.0,3.09,316.2,62.50,6.3,1.48, , 
,62.87,2048,88.5,7.0,11101001,63.23,2048,25.1,4.12,336.6,63.60,7.8,1.48, , 
,63.95,2048,88.5,9.0,11101001,64.31,2048,32.5,5.15,418.2,64.68,7.4,1.37, , 
,65.03,2048,88.5,7.0,11101001,65.37,2048,40.0,6.18,479.4,65.72,6.3,1.45, , 
,66.08,2080,88.5,5.5,11101001,66.45,2080,38.4,6.18,479.4,66.81,4.3,1.45, , 
,67.18,2080,88.5,3.9,11101001,67.51,2112,36.9,6.18,459.0,67.85,2.7,1.45, , 
,68.20,2112,88.5,2.7,11101001,68.53,2112,36.9,5.15,459.0,68.88,2.3,1.48, , 
,69.20,2144,88.5,2.0,11101001,69.58,2144,36.9,5.15,459.0,69.94,2.3,1.48, , 
,70.28,2144,87.0,2.3,11101001,70.61,2144,28.2,4.12,377.4,70.96,4.7,1.56, , 
,71.29,2176,87.0,6.3,11101001,71.63,2176,28.2,4.12,357.0,71.98,7.4,1.48, , 
,72.33,2176,87.0,7.8,11101001,72.68,2176,20.8,3.09,295.8,73.02,8.2,1.52, , 
,73.36,2176,87.0,7.0,11101001,73.69,2144,16.1,2.06,244.8,74.04,3.1,1.37, , 
,74.39,2144,87.0,5.9,11101001,74.75,2144,19.2,3.09,295.8,75.08,6.6,1.52, , 
,75.42,2144,87.0,6.3,11101001,75.78,2144,25.1,4.12,336.6,76.13,6.3,1.48, , 
,76.48,2144,87.0,4.3,11101001,76.83,2112,34.1,5.15,418.2,77.18,5.5,1.52, , 
,77.53,2144,87.0,3.9,11101001,77.86,2112,60.4,9.27,693.6,78.21,0.0,1.33, , 
,78.55,2144,87.0,-1.2,11101001,78.90,2112,71.0,11.33,826.2,79.25,-2.0,1.45, , 
,79.61,2144,87.0,-2.3,11101001,79.94,2144,73.7,11.33,846.6,80.29,-3.1,1.48, , 
,80.63,2144,87.0,-3.1,11101001,80.99,2144,75.3,11.33,846.6,81.33,-3.9,1.45, , 
,81.66,2144,87.0,-4.7,11101001,81.99,2176,82.7,13.39,928.2,82.31,-4.3,1.52, , 
,82.64,2176,87.0,-4.3,11101001,82.98,2176,82.7,13.39,928.2,83.32,-3.9,1.48, , 
,83.65,2208,87.0,-3.9,11101001,84.01,2208,82.7,13.39,928.2,84.36,-4.3,1.45, , 
,84.69,2208,87.0,-4.7,11101001,85.04,2240,81.2,13.39,907.8,85.38,-5.5,1.48, , 
,85.69,2240,85.5,-5.5,11101001,86.03,2272,81.2,12.36,907.8,86.37,-6.3,1.45, , 
,86.71,2272,85.5,-7.0,11101001,87.04,2272,76.9,11.33,867.0,87.38,-7.0,1.52, , 
,87.72,2304,85.5,-7.0,11101001,88.05,2304,69.4,10.30,775.2,88.38,-8.2,1.48, , 
,88.71,2304,85.5,-7.8,11101001,89.04,2304,69.4,10.30,775.2,89.41,-7.4,1.45, , 
,89.78,2336,85.5,-7.8,11101001,90.13,2336,69.4,10.30,775.2,90.47,-5.5,1.52, , 
,90.80,2336,85.5,-5.1,11101001,91.17,2336,69.4,10.30,775.2,91.52,-5.5,1.48, , 
,91.85,2368,85.5,-5.5,11101001,92.18,2368,69.4,10.30,775.2,92.50,0.0,1.41, , 
,92.85,2400,85.5,0.0,11101001,93.18,2400,53.3,8.24,612.0,93.50,-0.8,1.45, , 
,93.82,2400,85.5,-1.6,11101001,94.13,2400,54.5,8.24,632.4,94.46,-1.2,1.52, , 
,94.78,2400,85.5,-2.3,11101001,95.17,2400,54.5,8.24,632.4,95.52,-2.3,1.45, , 
,95.83,2400,85.5,-3.1,11101001,96.19,2400,57.6,8.24,652.8,96.55,-4.7,1.45, , 
,96.90,2400,85.5,-5.5,11101001,97.25,2400,62.0,9.27,693.6,97.59,-8.2,1.48, , 
,97.93,2400,85.5,-8.2,11101001,98.28,2400,60.4,8.24,693.6,98.63,-8.6,1.48, , 
,98.98,2400,85.5,-9.0,11101001,99.33,2432,60.4,8.24,693.6,99.67,-8.2,1.48, , 
,100.02,2432,85.5,-5.9,11101001,100.35,2432,48.6,7.21,571.2,100.68,-1.2,1.60, , 
,101.04,2432,85.5,0.4,11101001,101.38,2400,56.1,8.24,652.8,101.72,-1.6,1.33, , 
,102.09,2432,85.5,-2.0,11101001,102.46,2400,56.1,8.24,632.4,102.80,-3.1,1.45, , 
,103.15,2432,85.5,-3.5,11101001,103.50,2432,54.5,8.24,632.4,103.85,-3.5,1.48, , 
,104.18,2432,85.5,-3.9,11101001,104.53,2432,54.5,8.24,632.4,104.89,-3.9,1.45, , 
,105.22,2432,85.5,-3.9,11101001,105.56,2432,54.5,8.24,632.4,105.92,-3.9,1.52, , 
,106.25,2432,85.5,-3.5,11101001,106.58,2432,54.5,8.24,632.4,106.94,-3.5,1.45, , 
,107.31,2464,85.5,-2.7,11101001,107.67,2464,53.3,8.24,612.0,108.02,-2.3,1.45, , 
,108.35,2464,85.5,-1.2,11101001,108.71,2464,48.6,7.21,571.2,109.05,2.0,1.56, , 
,109.38,2432,84.0,0.0,11101001,109.71,2432,20.8,3.09,295.8,110.04,0.0,1.68, , 
,110.37,2432,85.5,0.0,11111101,110.69,2400,0.0,0.00,244.8,111.01,0.0,3.75, , 
,111.33,2368,85.5,0.0,11111101,111.66,2368,0.0,0.00,244.8,111.98,0.0,3.87, , 
,112.33,2304,85.5,0.0,11111101,112.65,2304,0.0,0.00,244.8,112.97,0.0,3.87, , 
,113.30,2272,84.0,0.0,11111101,113.63,2272,0.0,0.00,244.8,113.97,0.0,3.91, , 
,114.31,2240,84.0,0.0,11111101,114.67,2208,0.0,0.00,244.8,115.02,0.0,3.95, , 
,115.36,2176,84.0,0.0,11111101,115.71,2176,0.0,0.00,244.8,116.05,0.0,3.95, , 
,116.40,2112,84.0,0.0,11101001,116.74,2112,14.9,2.06,244.8,117.07,0.0,1.13, , 
,117.41,2112,84.0,0.0,11101001,117.75,2112,45.9,8.24,550.8,118.09,0.0,1.41, , 
,118.46,2080,84.0,0.0,11101001,118.80,2112,62.0,9.27,693.6,119.13,0.0,1.48, , 
,119.48,2112,84.0,0.0,11101001,119.83,2144,76.9,12.36,867.0,120.17,-0.4,1.48, , 
,120.51,2144,84.0,0.8,11101001,120.85,2176,84.3,14.42,928.2,121.19,1.2,1.45, , 
,121.53,2208,84.0,0.8,11101001,121.88,2208,85.5,14.42,948.6,122.22,1.6,1.48, , 
,122.54,2240,84.0,1.6,11101001,122.87,2272,87.1,15.45,969.0,123.20,2.0,1.48, , 
,123.54,2304,84.0,2.0,11101001,123.89,2304,85.5,14.42,948.6,124.22,1.6,1.45, , 
,124.56,2336,84.0,1.2,11101001,124.89,2336,72.2,11.33,826.2,125.22,0.0,1.41, , 
,125.54,2368,84.0,0.0,11101001,125.87,2368,47.1,7.21,571.2,126.20,2.3,1.56, , 
,126.55,2368,84.0,0.4,11101001,126.89,2368,57.6,9.27,652.8,127.23,-1.6,1.41, , 
,127.58,2368,84.0,-2.7,11101001,127.90,2368,62.0,9.27,693.6,128.27,-4.3,1.45, , 
,128.59,2400,84.0,-5.1,11101001,128.92,2400,62.0,9.27,693.6,129.31,-6.3,1.45, , 
,129.66,2400,84.0,-7.0,11101001,130.00,2400,62.0,9.27,693.6,130.36,-7.4,1.52, , 
,130.70,2400,84.0,-7.0,11101001,131.03,2400,69.4,10.30,754.8,131.40,-5.5,1.52, , 
,131.77,2432,84.0,-4.7,11101001,132.12,2432,69.4,10.30,775.2,132.47,-2.3,1.52, , 
,132.80,2432,84.0,-1.6,11101001,133.13,2432,69.4,10.30,775.2,133.50,-0.4,1.48, , 
,133.87,2464,84.0,1.2,11101001,134.25,2464,62.0,9.27,693.6,134.59,-2.0,1.37, , 
,134.97,2464,82.5,-3.1,11101001,135.33,2464,59.2,8.24,673.2,135.68,-3.9,1.48, , 
,136.03,2464,82.5,-4.3,11101001,136.40,2464,59.2,8.24,673.2,136.74,-5.1,1.45, , 
,137.09,2464,82.5,-4.7,11101001,137.45,2496,57.6,8.24,652.8,137.78,-4.7,1.48, , 
,138.12,2496,82.5,-4.3,11101001,138.42,2496,57.6,8.24,652.8,138.78,-3.5,1.52, , 
,139.11,2496,82.5,0.4,11101001,139.46,2496,44.3,6.18,520.2,139.77,4.3,1.56, , 
,140.12,2496,82.5,5.5,11101001,140.42,2496,45.9,7.21,550.8,140.75,6.6,1.45, , 
,141.10,2496,82.5,7.0,11101001,141.43,2496,44.3,7.21,520.2,141.76,6.6,1.37, , 
,142.10,2496,82.5,8.2,11101001,142.44,2496,31.0,5.15,377.4,142.78,10.5,1.52, , 
,143.11,2496,82.5,12.5,11101001,143.45,2496,32.5,5.15,397.8,143.81,14.1,1.48, , 
