Poniedziałek,10,Sierpień,2026,18:30:46:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.60,800,90.0,-0.4,10111111,0.01,800,26.7,3.09,397.8,0.29,-0.4,1.48, , 
,1.48,768,90.0,-0.4,10111111,0.90,800,26.7,3.09,397.8,1.19,-0.4,1.48, , 
,2.39,800,90.0,-0.8,10111111,1.78,768,26.7,3.09,397.8,2.08,-0.8,1.45, , 
,3.29,768,90.0,-0.8,10111111,2.68,768,26.7,3.09,397.8,2.99,-0.8,1.48, , 
,4.20,800,90.0,-0.4,10111111,3.59,768,26.7,3.09,397.8,3.90,-0.8,1.52, , 
,5.10,800,90.0,0.0,10111111,4.49,768,26.7,3.09,397.8,4.79,0.0,1.48, , 
,6.00,768,90.0,0.0,10111111,5.41,800,26.7,3.09,397.8,5.69,0.0,1.48, , 
,6.91,768,90.0,-0.8,10111111,6.30,800,26.7,3.09,397.8,6.61,-0.4,1.45, , 
,7.83,768,90.0,-1.2,10111111,7.21,768,26.7,3.09,397.8,7.51,-0.8,1.48, , 
,8.74,800,90.0,-1.2,10111111,8.13,800,26.7,3.09,397.8,8.44,-1.2,1.48, , 
,9.67,800,90.0,-1.2,10111111,9.05,768,26.7,3.09,397.8,9.36,-1.2,1.48, , 
,10.58,768,90.0,-1.2,10111111,9.98,768,26.7,3.09,397.8,10.28,-1.2,1.48, , 
,11.48,800,90.0,-1.2,10111111,10.88,800,26.7,3.09,397.8,11.18,-1.2,1.48, , 
,12.36,768,90.0,-1.6,10111111,11.76,768,26.7,3.09,397.8,12.07,-1.6,1.48, , 
,13.30,800,90.0,-1.2,10111111,12.68,768,26.7,3.09,397.8,12.99,-1.2,1.48, , 
,14.18,768,90.0,-1.2,10111111,13.59,768,26.7,3.09,397.8,13.89,-1.2,1.48, , 
,15.09,768,90.0,-0.8,10111111,14.49,800,26.7,3.09,397.8,14.80,-0.8,1.48, , 
,16.00,800,90.0,-0.8,10111111,15.40,768,26.7,3.09,397.8,15.71,-0.8,1.48, , 
,16.88,800,90.0,-0.8,10111111,16.30,800,26.7,3.09,397.8,16.58,-0.8,1.48, , 
,17.76,800,90.0,-0.8,10111111,17.16,768,26.7,3.09,397.8,17.45,-0.8,1.48, , 
,18.66,768,90.0,-0.8,10111111,18.08,768,26.7,3.09,397.8,18.36,-0.8,1.48, , 
,19.57,800,90.0,-0.8,10111111,18.95,800,26.7,3.09,397.8,19.26,-0.8,1.48, , 
,20.48,800,90.0,-0.8,10111111,19.87,800,26.7,3.09,397.8,20.18,-0.8,1.48, , 
,21.39,800,90.0,-1.2,10111111,20.79,800,26.7,3.09,397.8,21.09,-0.8,1.48, , 
,22.26,768,91.5,-1.2,10111111,21.67,800,26.7,3.09,397.8,21.96,-1.2,1.48, , 
,23.19,800,91.5,-1.6,10111111,22.57,800,26.7,3.09,397.8,22.87,-1.2,1.45, , 
,24.08,768,91.5,-1.6,10111111,23.49,768,26.7,3.09,397.8,23.78,-1.6,1.48, , 
,24.97,768,91.5,-1.6,10111111,24.37,800,26.7,3.09,397.8,24.67,-1.6,1.48, , 
,25.89,800,91.5,-1.2,10111111,25.27,768,26.7,3.09,397.8,25.59,-1.2,1.48, , 
,26.80,800,91.5,-1.2,10111111,26.19,800,26.7,3.09,397.8,26.48,-1.2,1.48, , 
,27.68,800,91.5,-0.8,10111111,27.09,800,26.7,3.09,397.8,27.39,-0.8,1.52, , 
,28.61,768,91.5,-0.8,10111111,27.98,768,26.7,3.09,397.8,28.30,-0.8,1.48, , 
,29.50,768,91.5,-1.2,10101011,28.91,800,26.7,3.09,397.8,29.20,-1.2,1.48, , 
,30.42,1152,91.5,0.0,10101011,29.80,800,32.5,4.12,459.0,30.10,0.4,1.56, , 
,31.43,1248,91.5,-2.7,10101011,30.76,1184,35.3,4.12,459.0,31.11,-0.8,1.41, , 
,32.39,1024,91.5,2.3,10101011,31.75,1184,41.2,5.15,520.2,32.07,0.4,1.56, , 
,33.37,1088,91.5,0.0,10111111,32.69,1024,50.2,7.21,632.4,33.03,3.1,1.52, , 
,34.33,1120,91.5,1.6,10111111,33.71,1312,20.8,2.06,316.2,34.05,0.0,1.56, , 
,35.26,864,91.5,-1.6,10111111,34.65,1056,25.1,3.09,357.0,34.96,-1.2,1.37, , 
,36.15,1568,91.5,0.0,10101011,35.56,800,32.5,4.12,438.6,35.85,0.0,1.56, , 
,37.00,960,91.5,0.0,10101011,36.43,1088,53.3,8.24,632.4,36.72,0.0,1.21, , 
,37.98,1344,91.5,0.0,10111111,37.30,1152,44.3,5.15,571.2,37.63,0.0,1.37, , 
,38.96,1568,91.5,-3.1,10111111,38.25,1440,23.5,3.09,336.6,38.60,-2.7,1.41, , 
,39.86,1280,91.5,-5.1,10111111,39.23,1504,22.0,3.09,336.6,39.55,-4.3,1.37, , 
,40.77,768,91.5,-3.9,10111111,40.15,1056,20.8,2.06,336.6,40.46,-3.9,1.48, , 
,41.66,800,91.5,-4.7,10111111,41.04,768,26.7,3.09,397.8,41.36,-3.9,1.41, , 
,42.56,768,91.5,-4.7,10111111,41.96,768,28.2,3.09,418.2,42.27,-5.1,1.52, , 
,43.45,800,91.5,-2.0,10111111,42.86,768,28.2,3.09,418.2,43.16,-3.1,1.60, , 
,44.37,800,91.5,-0.4,10111111,43.77,800,28.2,3.09,418.2,44.06,-0.8,1.56, , 
,45.30,800,91.5,0.4,10111111,44.68,800,28.2,3.09,418.2,45.01,0.4,1.52, , 
,46.18,800,91.5,0.8,10111111,45.59,800,26.7,3.09,397.8,45.89,0.8,1.48, , 
,47.10,768,91.5,0.8,10111111,46.49,800,26.7,3.09,397.8,46.80,0.8,1.48, , 
,48.03,800,91.5,0.8,10111111,47.43,800,26.7,3.09,397.8,47.73,0.8,1.48, , 
,48.93,768,91.5,0.4,10111111,48.32,800,26.7,3.09,397.8,48.62,0.8,1.45, , 
,49.84,800,91.5,0.4,10111111,49.23,768,26.7,3.09,418.2,49.54,0.4,1.48, , 
,50.76,800,91.5,0.8,10111111,50.16,800,28.2,3.09,418.2,50.46,0.8,1.48, , 
,51.65,768,91.5,0.0,10111111,51.05,800,26.7,3.09,397.8,51.35,0.4,1.45, , 
,52.56,800,91.5,-1.2,10111111,51.96,800,26.7,3.09,397.8,52.26,-0.8,1.41, , 
,53.45,768,91.5,-1.6,10111111,52.85,768,26.7,3.09,397.8,53.15,-1.6,1.48, , 
,54.36,768,91.5,-1.2,10111111,53.76,768,28.2,3.09,418.2,54.06,-1.2,1.52, , 
,55.25,800,91.5,-0.4,10111111,54.66,768,28.2,3.09,418.2,54.95,-0.8,1.52, , 
,56.14,800,91.5,-0.4,10111111,55.55,800,26.7,3.09,397.8,55.84,-0.4,1.52, , 
,57.04,800,91.5,-0.4,10111111,56.44,800,26.7,3.09,397.8,56.73,-0.4,1.48, , 
,57.94,800,91.5,0.0,10111111,57.34,800,26.7,3.09,397.8,57.63,-0.4,1.48, , 
,58.82,800,91.5,0.0,10111111,58.23,800,26.7,3.09,397.8,58.53,0.0,1.48, , 
