Piątek,26,Czerwiec,2026,16:11:25:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'002,,,,Grupa B:,'004,,,,Grupa C:,'032
,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Obroty silnika,Napięcie,Temperatura,Temperatura,,Lambda,Lambda, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %, ms, mbar,ZAPISU, /min, V,*C,*C,ZAPISU, %, %,,
,0.27,0,0.0,0.00,989.4,0.54,0,12.22,34.5,33.0,0.01,99.2,0.0, , 
,1.07,0,0.0,0.00,989.4,1.34,0,12.22,34.5,33.0,0.81,99.2,0.0, , 
,1.87,0,0.0,0.00,989.4,2.14,0,12.22,34.5,33.0,1.61,99.2,0.0, , 
,2.68,0,0.0,0.00,989.4,2.96,512,10.40,34.5,33.0,2.41,99.2,0.0, , 
,3.50,0,0.0,25.75,989.4,3.77,0,11.92,34.5,33.0,3.23,0.0,0.0, , 
,5.05,0,0.0,25.75,989.4,5.33,0,11.92,34.5,33.0,4.78,99.2,0.0, , 
,5.87,0,0.0,25.75,989.4,6.14,0,8.69,34.5,33.0,5.61,99.2,0.0, , 
,6.72,640,88.6,26.78,948.6,6.99,1024,13.33,34.5,33.0,6.40,99.2,0.0, , 
,7.66,960,45.9,9.27,550.8,7.97,928,13.43,34.5,33.0,7.35,0.0,0.0, , 
,8.56,960,47.1,9.27,550.8,8.88,960,13.53,34.5,33.0,8.25,0.0,0.0, , 
,9.55,960,45.9,8.24,550.8,9.87,928,13.53,34.5,33.0,9.20,0.0,0.0, , 
,10.48,896,47.1,8.24,550.8,10.79,928,13.74,34.5,33.0,10.16,0.0,0.0, , 
,11.40,928,45.9,8.24,550.8,11.71,928,13.74,34.5,33.0,11.09,0.0,0.0, , 
,12.34,928,45.9,8.24,550.8,12.65,928,13.64,34.5,33.0,12.03,0.0,0.0, , 
,13.26,928,44.3,7.21,520.2,13.57,928,13.64,34.5,33.0,12.96,0.0,0.0, , 
,14.19,928,44.3,7.21,520.2,14.50,928,13.64,34.5,33.0,13.88,0.0,0.0, , 
