Czwartek,23,Lipiec,2026,08:45:26:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'001,,,,Grupa B:,'002,,,,Grupa C:,'033
,,Obroty silnika,Temperatura,Lambda,Bity binarnie,,Obroty silnika,Obciążenie,Czas wtrysku,Ciśnienie rzecz.,,Lambda,Napięcie, , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min,*C, %,,ZAPISU, /min, %, ms, mbar,ZAPISU, %, V,,
,0.60,800,88.5,-0.4,10111111,0.91,768,29.4,3.09,438.6,0.29,0.0,1.45, , 
,1.52,800,88.5,-0.4,10111111,1.83,800,29.4,3.09,418.2,1.22,-0.4,1.48, , 
,2.47,1312,88.5,0.0,10101011,2.81,1824,35.3,4.12,459.0,2.14,0.0,1.56, , 
,3.48,2016,88.5,0.0,10101001,3.79,1920,44.3,5.15,571.2,3.12,0.0,1.37, , 
,4.47,1920,88.5,0.0,10101011,4.80,2208,69.4,10.30,775.2,4.13,0.0,1.45, , 
,5.51,1600,88.5,0.0,10101011,5.86,1312,25.1,4.12,357.0,5.13,0.0,1.80, , 
,6.56,1408,88.5,0.0,10101011,6.94,1376,40.0,5.15,499.8,6.23,0.0,1.21, , 
,7.62,1440,88.5,-1.2,10111111,8.01,1440,23.5,3.09,336.6,7.32,0.0,1.52, , 
,8.77,1440,88.5,-7.0,10101011,9.14,1440,22.0,2.06,316.2,8.36,-5.5,1.33, , 
,9.82,1440,88.5,-10.2,10101011,10.09,1472,22.0,2.06,316.2,9.45,-10.5,1.37, , 
,10.83,1472,88.5,-8.6,10101011,11.20,1472,31.0,3.09,397.8,10.44,-10.9,1.52, , 
,11.88,1472,88.5,-4.7,10101011,12.28,1504,34.1,4.12,438.6,11.60,-6.6,1.64, , 
,12.99,1600,88.5,-2.0,10101011,13.36,1632,41.2,5.15,499.8,12.64,-3.5,1.64, , 
,14.09,1760,88.5,4.3,10101011,14.43,1888,50.2,7.21,612.0,13.72,3.5,1.64, , 
,15.14,2048,88.5,6.3,10101001,15.48,2144,63.5,9.27,734.4,14.79,7.0,1.45, , 
,16.14,2400,88.5,1.2,10101001,16.49,2496,65.1,9.27,734.4,15.81,2.3,1.33, , 
,17.15,2112,88.5,0.0,10111101,17.46,1600,0.0,0.00,316.2,16.82,0.0,1.33, , 
,18.12,1696,88.5,0.0,10101011,18.46,1728,20.8,3.09,295.8,17.76,0.0,3.87, , 
,19.15,1696,88.5,0.0,10101011,19.48,1728,20.8,2.06,295.8,18.80,0.0,0.82, , 
,20.20,1728,88.5,-5.1,10101011,20.55,1728,20.8,2.06,316.2,19.83,-4.3,1.37, , 
,21.30,1728,88.5,-4.7,10101011,21.65,1728,22.0,2.06,316.2,20.92,-5.1,1.48, , 
,22.38,1728,88.5,-2.7,10101011,22.76,1728,26.7,3.09,357.0,22.01,-3.9,1.56, , 
,23.49,1760,88.5,-2.0,10101011,23.85,1760,28.2,3.09,377.4,23.12,-2.3,1.52, , 
,24.62,1792,88.5,-0.8,10101011,25.00,1792,28.2,3.09,377.4,24.22,-2.0,1.48, , 
,25.72,1824,88.5,-6.6,10101011,26.08,1824,26.7,3.09,357.0,25.35,-5.1,1.37, , 
,26.83,1824,88.5,-11.3,10101011,27.24,1824,26.7,3.09,357.0,26.46,-9.4,1.37, , 
,28.00,1856,88.5,-13.3,10101011,28.35,1856,25.1,3.09,357.0,27.61,-12.1,1.48, , 
,29.09,1856,87.0,-14.5,10101011,29.48,1856,25.1,3.09,357.0,28.72,-13.7,1.52, , 
,30.23,1856,88.5,-9.4,10101011,30.61,1856,25.1,3.09,336.6,29.87,-10.2,1.52, , 
,31.37,1824,87.0,-9.4,10101011,31.76,1824,23.5,3.09,336.6,30.98,-9.4,1.48, , 
,32.54,1824,88.5,-11.3,10101011,32.92,1824,25.1,3.09,336.6,32.15,-10.9,1.45, , 
,33.68,1824,87.0,-9.4,10101011,34.05,1824,23.5,3.09,336.6,33.30,-9.4,1.48, , 
,34.81,1824,87.0,-9.8,10101011,35.17,1824,25.1,3.09,336.6,34.43,-9.0,1.48, , 
,35.90,1824,87.0,-7.0,10101011,36.28,1824,25.1,3.09,336.6,35.54,-8.2,1.48, , 
,37.02,1824,87.0,-8.6,10101011,37.39,1824,22.0,2.06,316.2,36.64,-5.9,1.48, , 
,38.11,1792,87.0,-7.4,10101011,38.47,1760,20.8,2.06,295.8,37.75,-12.1,1.33, , 
,39.20,1728,87.0,-7.4,10101011,39.57,1728,22.0,2.06,316.2,38.84,-3.9,1.76, , 
,40.30,1696,87.0,-3.5,10101011,40.63,1696,23.5,3.09,336.6,39.96,-3.5,1.56, , 
,41.34,1696,87.0,-1.2,10101011,41.68,1696,26.7,3.09,357.0,40.97,-2.0,1.52, , 
,42.40,1696,87.0,2.0,10101011,42.74,1696,29.4,4.12,377.4,42.03,0.0,1.52, , 
,43.47,1696,87.0,5.9,10101011,43.82,1696,29.4,4.12,377.4,43.14,4.7,1.56, , 
,44.57,1696,87.0,6.6,10101011,44.92,1728,29.4,4.12,397.8,44.21,5.1,1.48, , 
,45.64,1728,87.0,5.5,10101011,46.03,1728,31.0,4.12,397.8,45.27,5.5,1.48, , 
,46.77,1728,87.0,6.3,10101011,47.13,1696,31.0,4.12,418.2,46.41,6.3,1.45, , 
,47.87,1728,87.0,5.9,10101011,48.23,1728,20.8,3.09,316.2,47.51,6.6,1.45, , 
,48.92,1696,87.0,0.4,10111111,49.28,1696,22.0,2.06,316.2,48.61,1.2,1.21, , 
,49.95,1664,87.0,2.0,10111111,50.28,1632,22.0,3.09,316.2,49.62,0.8,1.48, , 
,50.99,1600,85.5,3.9,10111111,51.32,1600,22.0,3.09,316.2,50.62,3.1,1.56, , 
,52.03,1536,87.0,4.3,10111111,52.40,1504,22.0,3.09,336.6,51.67,3.9,1.48, , 
,53.12,1504,87.0,2.3,10101011,53.45,1472,23.5,3.09,336.6,52.71,3.1,1.45, , 
,54.07,1472,87.0,-1.2,10101011,54.46,1472,23.5,3.09,336.6,53.71,0.8,1.41, , 
,55.00,1472,87.0,-2.3,10101011,55.42,1472,29.4,4.12,397.8,54.73,-2.7,1.45, , 
,56.30,1504,85.5,-0.8,10101011,56.56,1504,36.9,5.15,459.0,55.86,-2.3,1.52, , 
,57.26,1536,85.5,2.3,10101011,57.61,1536,36.9,5.15,479.4,56.95,1.6,1.52, , 
,58.33,1536,85.5,4.7,10101011,58.73,1568,36.9,5.15,459.0,57.96,3.9,1.48, , 
,59.42,1568,85.5,3.9,10101011,59.77,1600,29.4,4.12,397.8,59.08,3.9,1.45, , 
,60.50,1600,85.5,2.0,10101011,60.87,1632,28.2,4.12,377.4,60.13,2.7,1.41, , 
,61.61,1600,85.5,0.0,10101011,62.00,1600,25.1,3.09,336.6,61.25,2.0,1.45, , 
,62.69,1600,85.5,-1.6,10101011,63.05,1600,23.5,3.09,336.6,62.33,-1.6,1.45, , 
,63.75,1568,85.5,-3.1,10101011,64.09,1568,22.0,2.06,316.2,63.39,-3.1,1.45, , 
,64.74,1536,87.0,-4.7,10111111,65.12,1536,22.0,2.06,316.2,64.42,-5.5,1.45, , 
,65.93,1504,85.5,-0.8,10101011,66.20,1504,22.0,3.09,316.2,65.47,-3.1,1.60, , 
,66.74,1472,85.5,-0.8,10101011,67.19,1472,22.0,3.09,336.6,66.46,0.0,1.48, , 
,67.84,1472,85.5,-3.1,10101011,68.21,1440,22.0,2.06,336.6,67.46,-2.3,1.41, , 
,68.91,1440,85.5,-4.3,10101011,69.24,1440,23.5,3.09,336.6,68.56,-4.7,1.45, , 
,69.87,1440,85.5,-5.5,10101011,70.19,1440,23.5,3.09,336.6,69.54,-5.1,1.48, , 
,70.86,1408,85.5,-5.9,10101011,71.18,1440,20.8,2.06,316.2,70.51,-5.5,1.52, , 
,71.92,1376,85.5,-7.4,10101011,72.25,1440,20.8,2.06,316.2,71.56,-8.6,1.45, , 
,72.92,1408,85.5,-0.8,10101011,73.25,1440,26.7,3.09,357.0,72.57,-2.3,1.48, , 
,73.93,1440,85.5,4.3,10101011,74.34,1440,26.7,3.09,357.0,73.58,3.1,1.60, , 
,74.96,1472,85.5,3.9,10111111,75.34,1536,22.0,3.09,316.2,74.61,4.3,1.48, , 
,75.96,1408,85.5,2.0,10111111,76.27,1248,23.5,3.09,336.6,75.60,2.0,1.41, , 
,76.84,832,85.5,3.1,10111111,77.14,896,29.4,3.09,418.2,76.56,3.5,1.56, , 
,77.73,864,85.5,3.5,10111111,78.04,864,29.4,3.09,418.2,77.45,3.5,1.48, , 
,78.69,896,85.5,5.9,10111111,78.99,896,29.4,3.09,418.2,78.37,4.7,1.60, , 
,79.60,896,85.5,7.8,10111111,79.92,896,29.4,3.09,418.2,79.31,7.0,1.56, , 
,80.51,896,85.5,3.1,10111111,80.81,896,29.4,3.09,418.2,80.21,3.1,1.52, , 
,81.40,896,85.5,3.9,10111111,81.71,896,28.2,3.09,397.8,81.11,3.9,1.52, , 
,82.30,800,85.5,5.1,10111111,82.59,736,31.0,4.12,438.6,82.02,4.3,1.56, , 
,83.22,896,87.0,0.0,10101011,83.54,1152,38.4,5.15,499.8,82.90,0.0,1.56, , 
,84.18,960,85.5,3.9,10101011,84.47,960,40.0,5.15,520.2,83.86,1.6,1.56, , 
,85.08,1120,85.5,6.3,10101011,85.40,1248,41.2,6.18,520.2,84.77,7.4,1.64, , 
,86.12,1472,85.5,7.8,10101011,86.48,1568,34.1,5.15,438.6,85.75,6.6,1.48, , 
,87.21,1696,85.5,6.3,10101011,87.55,1792,40.0,6.18,479.4,86.84,7.0,1.37, , 
,88.27,2144,85.5,0.0,10101001,88.61,1856,0.0,0.00,357.0,87.91,0.0,1.29, , 
,89.26,1344,85.5,0.0,10101011,89.59,1312,35.3,5.15,459.0,88.93,0.0,3.71, , 
,90.30,1376,87.0,0.0,10101011,90.67,1408,38.4,5.15,479.4,89.95,0.0,1.29, , 
,91.22,1472,85.5,4.7,10101011,91.57,1504,35.3,5.15,459.0,90.95,3.1,1.60, , 
,92.24,1536,85.5,4.3,10101011,92.59,1536,22.0,3.09,316.2,91.90,4.7,1.52, , 
,93.24,1536,87.0,-2.7,10101011,93.57,1536,22.0,2.06,316.2,92.91,-0.4,1.29, , 
,94.21,1568,87.0,-5.1,10101011,94.55,1536,22.0,2.06,316.2,93.88,-5.5,1.33, , 
,95.25,1568,87.0,-2.0,10101011,95.59,1568,23.5,2.06,336.6,94.89,-2.0,1.48, , 
,96.33,1632,87.0,7.0,10101011,96.67,1664,31.0,4.12,397.8,95.95,3.5,1.64, , 
,97.41,1760,87.0,13.7,10101011,97.79,1824,35.3,5.15,459.0,97.03,10.5,1.64, , 
,98.54,1920,85.5,14.8,10101011,98.92,1952,31.0,4.12,397.8,98.17,14.8,1.48, , 
,99.62,2048,87.0,13.7,10101001,99.97,2112,42.7,6.18,499.8,99.28,12.5,1.37, , 
,100.65,2240,87.0,16.8,10101001,101.00,2336,50.2,7.21,591.6,100.30,16.0,1.52, , 
,101.68,2496,87.0,16.8,10101001,102.01,2528,0.0,0.00,377.4,101.34,16.8,1.45, , 
,102.72,1472,87.0,0.0,10111111,103.03,1216,23.5,3.09,336.6,102.36,0.0,3.44, , 
,103.73,1728,87.0,0.0,10101011,104.08,1728,22.0,2.06,316.2,103.37,0.0,2.97, , 
,104.80,1728,87.0,3.9,10101011,105.16,1760,23.5,3.09,336.6,104.42,0.0,1.56, , 
,105.89,1760,87.0,6.6,10101011,106.21,1760,23.5,3.09,316.2,105.53,5.1,1.60, , 
,106.93,1792,87.0,6.6,10101011,107.31,1760,26.7,3.09,357.0,106.57,6.6,1.45, , 
,108.07,1792,87.0,4.7,10101011,108.43,1824,26.7,3.09,357.0,107.69,5.9,1.41, , 
,109.15,1824,87.0,3.1,10101011,109.53,1824,26.7,3.09,357.0,108.78,4.3,1.41, , 
,110.27,1824,87.0,1.6,10101011,110.64,1856,25.1,3.09,357.0,109.90,2.0,1.45, , 
,111.40,1824,85.5,-1.6,10101011,111.75,1856,20.8,2.06,295.8,111.03,-0.4,1.45, , 
,112.50,1824,87.0,1.6,10101011,112.87,1824,17.6,2.06,275.4,112.11,-3.5,1.41, , 
,113.60,1824,87.0,2.7,10101011,113.96,1824,20.8,2.06,316.2,113.24,-2.0,1.33, , 
,114.71,1792,85.5,-0.8,10101011,115.07,1792,26.7,3.09,357.0,114.35,-1.6,1.48, , 
,115.79,1824,85.5,2.0,10101011,116.16,1824,26.7,3.09,357.0,115.43,1.2,1.52, , 
,116.90,1824,85.5,3.1,10101011,117.27,1824,26.7,3.09,357.0,116.52,3.1,1.48, , 
,118.01,1856,85.5,3.9,10101011,118.36,1856,28.2,3.09,377.4,117.65,3.1,1.52, , 
,119.10,1824,85.5,3.1,10101011,119.47,1856,29.4,4.12,397.8,118.75,5.1,1.45, , 
,120.22,1856,85.5,8.2,10101011,120.61,1856,35.3,4.12,438.6,119.86,5.9,1.56, , 
,121.33,1888,85.5,11.7,10101011,121.68,1920,34.1,4.12,438.6,120.95,10.9,1.52, , 
,122.40,1920,85.5,14.5,10101011,122.77,1920,32.5,4.12,418.2,122.04,13.7,1.48, , 
,123.50,1952,85.5,12.1,10101011,123.88,1952,31.0,4.12,397.8,123.14,12.1,1.37, , 
,124.61,1952,85.5,7.8,10101011,124.98,1952,31.0,4.12,397.8,124.25,8.2,1.41, , 
,125.68,1984,85.5,7.4,10101011,126.03,1984,31.0,4.12,397.8,125.33,7.0,1.45, , 
,126.74,2016,85.5,4.3,10101001,127.08,2016,31.0,4.12,397.8,126.38,4.7,1.45, , 
,127.81,2016,85.5,3.9,10101001,128.16,2016,31.0,4.12,397.8,127.45,3.9,1.48, , 
,128.83,2048,85.5,3.9,10101001,129.18,2048,31.0,4.12,397.8,128.50,3.5,1.48, , 
,129.92,2048,85.5,3.5,10101001,130.25,2080,34.1,4.12,418.2,129.54,3.5,1.52, , 
,130.95,2080,85.5,4.3,10101001,131.30,2080,26.7,3.09,357.0,130.60,5.1,1.52, , 
,131.97,2080,85.5,-1.6,10101001,132.32,2080,26.7,3.09,357.0,131.64,-0.4,1.37, , 
,133.03,2112,85.5,-3.9,10101001,133.37,2112,26.7,3.09,357.0,132.68,-3.5,1.45, , 
,134.05,2112,85.5,-3.9,10101001,134.37,2112,34.1,4.12,438.6,133.71,-4.3,1.52, , 
,135.09,2144,85.5,1.6,10101001,135.43,2144,42.7,6.18,499.8,134.74,0.8,1.60, , 
,136.13,2208,85.5,8.2,10101001,136.48,2208,40.0,5.15,479.4,135.79,5.9,1.60, , 
,137.17,2240,85.5,10.5,10101001,137.50,2208,44.3,6.18,520.2,136.83,9.8,1.48, , 
,138.18,2240,85.5,13.3,10101001,138.52,2272,48.6,7.21,571.2,137.84,12.9,1.48, , 
,139.19,2304,85.5,14.5,10101001,139.53,2304,47.1,7.21,571.2,138.85,14.5,1.45, , 
,140.21,2368,85.5,10.9,10101001,140.56,2368,45.9,6.18,550.8,139.87,11.7,1.45, , 
,141.21,2368,85.5,9.8,10101001,141.54,2368,42.7,6.18,499.8,140.89,10.2,1.45, , 
,142.30,2400,85.5,6.3,10101001,142.67,2400,44.3,6.18,520.2,141.93,6.6,1.45, , 
,143.38,2432,85.5,6.3,10101001,143.75,2464,42.7,6.18,499.8,143.02,6.6,1.52, , 
,144.44,2240,85.5,0.0,10111101,144.74,1664,0.0,0.00,316.2,144.09,4.7,1.45, , 
,145.44,1792,85.5,0.0,10101011,145.79,1760,19.2,3.09,295.8,145.08,0.0,3.87, , 
,146.51,1728,85.5,0.0,10101011,146.86,1728,32.5,4.12,418.2,146.18,0.0,0.94, , 
,147.61,1760,85.5,6.3,10101011,147.96,1760,50.2,8.24,591.6,147.22,3.5,1.64, , 
