Czwartek,06,Sierpień,2026,20:45:12:00009-VCID:1C3761778CABCE7337-515A,Wersja VCDS: AKP 23.3.1,Wersja danych: 20230601 DS346.2
047 906 033 L,,1.4l SIMOS3PA   00HS5401,

,Grupa A:,'014,,,,Grupa B:,'015,,,,Grupa C:,'016
,,Obroty silnika,Obciążenie,Zliczanie, ,,Zliczanie,Zliczanie,Zliczanie, ,,Zliczanie, , , 
,CZAS,,,,,CZAS,,,,,CZAS,,,,
Znacznik,ZAPISU, /min, %,,,ZAPISU,,,,,ZAPISU,,,,
,0.23,0,0.0,0,aktywna,0.50,0,0,0,aktywna,0.76,0, , ,aktywna
,1.03,0,0.0,0,aktywna,1.30,0,0,0,aktywna,1.56,0, , ,aktywna
,1.83,0,0.0,0,aktywna,2.09,0,0,0,aktywna,2.36,0, , ,aktywna
,2.63,0,0.0,0,aktywna,2.91,0,0,0,aktywna,3.18,0, , ,aktywna
,3.46,0,0.0,0,aktywna,3.74,0,0,0,aktywna,4.01,0, , ,aktywna
,4.29,0,0.0,0,aktywna,4.57,0,0,0,nieaktywna,4.84,0, , ,nieaktywna
,5.11,192,100.0,0,nieaktywna,5.38,0,0,0,nieaktywna,5.67,0, , ,nieaktywna
,5.93,192,100.0,0,nieaktywna,7.17,0,0,0,nieaktywna,7.44,0, , ,nieaktywna
,7.70,224,94.5,0,nieaktywna,8.02,0,0,0,nieaktywna,8.36,0, , ,nieaktywna
,8.67,1216,48.6,0,nieaktywna,9.01,0,0,0,nieaktywna,9.33,0, , ,nieaktywna
,9.63,1088,41.2,0,nieaktywna,9.95,0,0,0,nieaktywna,10.27,0, , ,nieaktywna
,10.60,1088,41.2,0,nieaktywna,10.91,0,0,0,nieaktywna,11.23,0, , ,nieaktywna
,11.56,1088,41.2,0,nieaktywna,11.88,0,0,0,nieaktywna,12.21,0, , ,nieaktywna
,12.54,1088,41.2,0,nieaktywna,12.86,0,0,0,aktywna,13.18,0, , ,aktywna
,13.50,1088,41.2,0,aktywna,13.81,0,0,0,aktywna,14.14,0, , ,aktywna
,14.47,1088,41.2,0,aktywna,14.79,0,0,0,aktywna,15.12,0, , ,aktywna
,15.44,1088,40.0,0,aktywna,15.76,0,0,0,aktywna,16.09,0, , ,aktywna
,16.40,1088,40.0,0,aktywna,16.75,0,0,0,aktywna,17.06,0, , ,aktywna
,17.37,1088,40.0,0,aktywna,17.70,0,0,0,aktywna,18.01,0, , ,aktywna
,18.35,1056,40.0,0,aktywna,18.67,0,0,0,aktywna,18.99,0, , ,aktywna
,19.30,1056,40.0,0,aktywna,19.61,0,0,0,aktywna,19.92,0, , ,aktywna
,20.25,1056,40.0,0,aktywna,20.56,0,0,0,aktywna,20.89,0, , ,aktywna
,21.21,1056,40.0,0,aktywna,21.53,0,0,0,aktywna,21.86,0, , ,aktywna
,22.18,1056,40.0,0,aktywna,22.50,0,0,0,aktywna,22.82,0, , ,aktywna
,23.15,1056,38.4,0,aktywna,23.47,0,0,0,aktywna,23.79,0, , ,aktywna
,24.12,1152,42.7,0,aktywna,24.43,0,0,0,aktywna,24.76,0, , ,aktywna
,25.09,992,48.6,0,aktywna,25.39,0,0,0,aktywna,25.68,0, , ,aktywna
,25.98,896,56.1,0,aktywna,26.31,0,0,0,aktywna,26.62,0, , ,aktywna
,26.95,1248,44.3,0,aktywna,27.31,0,0,0,aktywna,27.62,0, , ,aktywna
,27.90,1472,31.0,0,nieaktywna,28.26,0,0,0,aktywna,28.61,0, , ,aktywna
,28.92,1056,41.2,0,nieaktywna,29.23,0,0,0,aktywna,29.56,0, , ,aktywna
,29.87,1024,45.9,0,aktywna,30.20,0,0,0,aktywna,30.51,0, , ,aktywna
,30.83,1024,44.3,0,aktywna,31.15,0,0,0,aktywna,31.47,0, , ,aktywna
,31.80,1024,45.9,0,aktywna,32.10,0,0,0,aktywna,32.43,0, , ,aktywna
,32.77,1280,38.4,0,aktywna,33.12,0,0,0,aktywna,33.46,0, , ,aktywna
,33.80,1184,35.3,0,aktywna,34.10,0,0,0,aktywna,34.43,0, , ,aktywna
,34.75,1056,44.3,0,aktywna,35.06,0,0,0,aktywna,35.39,0, , ,aktywna
,35.71,1024,45.9,0,aktywna,36.04,0,0,0,aktywna,36.34,0, , ,aktywna
,36.66,1024,45.9,0,aktywna,36.98,0,0,0,aktywna,37.32,0, , ,aktywna
,37.64,1024,45.9,0,aktywna,37.96,0,0,0,aktywna,38.31,0, , ,aktywna
,38.63,1024,44.3,0,aktywna,38.97,0,0,0,aktywna,39.30,0, , ,aktywna
,39.63,1024,44.3,0,aktywna,39.97,0,0,0,aktywna,40.27,0, , ,aktywna
,40.63,992,44.3,0,aktywna,40.92,0,0,0,aktywna,41.27,0, , ,aktywna
,41.61,960,45.9,0,aktywna,41.93,0,0,0,aktywna,42.22,0, , ,aktywna
,42.57,992,45.9,0,aktywna,42.90,0,0,0,aktywna,43.22,0, , ,aktywna
,43.53,1024,45.9,0,aktywna,43.82,0,0,0,aktywna,44.14,0, , ,aktywna
,44.48,1152,42.7,0,aktywna,44.81,0,0,0,aktywna,45.16,0, , ,aktywna
,45.54,1664,31.0,0,aktywna,45.94,0,0,0,nieaktywna,46.28,0, , ,nieaktywna
,46.63,1184,35.3,0,aktywna,46.96,0,0,0,aktywna,47.30,0, , ,aktywna
,47.62,1184,38.4,0,aktywna,47.96,0,0,0,aktywna,48.31,0, , ,aktywna
,48.63,1344,32.5,0,aktywna,48.98,0,0,0,aktywna,49.30,0, , ,aktywna
,49.59,992,44.3,0,aktywna,49.95,0,0,0,nieaktywna,50.30,0, , ,aktywna
,50.58,960,48.6,0,aktywna,50.91,0,0,0,aktywna,51.20,0, , ,aktywna
,51.56,960,48.6,0,aktywna,51.83,0,0,0,aktywna,52.15,0, , ,aktywna
,52.48,960,50.2,0,aktywna,52.81,0,0,0,aktywna,53.15,0, , ,aktywna
,53.46,1024,48.6,0,aktywna,53.79,0,0,0,aktywna,54.10,0, , ,aktywna
,54.42,1024,48.6,0,aktywna,54.77,0,0,0,aktywna,55.13,0, , ,aktywna
,55.45,992,47.1,0,aktywna,55.76,0,0,0,aktywna,56.11,0, , ,aktywna
,56.44,1024,45.9,0,aktywna,56.70,0,0,0,aktywna,57.00,0, , ,aktywna
,57.35,992,45.9,0,aktywna,57.64,0,0,0,aktywna,57.97,0, , ,aktywna
,58.28,992,44.3,0,aktywna,58.61,0,0,0,aktywna,58.88,0, , ,aktywna
,59.23,992,41.2,0,aktywna,59.55,0,0,0,aktywna,59.91,0, , ,aktywna
,60.27,1600,38.4,0,aktywna,60.62,0,0,0,aktywna,60.99,0, , ,aktywna
,61.35,1408,48.6,0,aktywna,61.69,0,0,0,aktywna,62.02,1, , ,aktywna
